 	a66	a87	a97	a87	a97	a87	a97	a30	a13	a57	a4	a53	a69	a90	a93	a4	a53	a93	a94	a98	a85	a37	a26	a47	a62	a88	a50	a88	a71	a94	a15	a79	a0	a75	a56	a0	a11	a54	a36	a37	a66	a13	a3	a97	a99	a97	a38	a97	a10	</S>
le	0.00952178	0.0122262	0.0174199	0.0182545	0.0112204	0.0147926	0.0205484	0.0136869	0.0185314	0.0693528	0.0509146	0.0564206	0.0346143	0.0514329	0.0364979	0.0377271	0.0235448	0.0139544	0.0153291	0.0120173	0.00965829	0.0123794	0.021478	0.0107309	0.0105796	0.00986733	0.0119498	0.00792353	0.0093012	0.0119408	0.0130118	0.010471	0.00732	0.00461905	0.0051725	0.00393291	0.0062982	0.00810901	0.0128268	0.0212749	0.0184598	0.0156793	0.0113508	0.0183736	0.0184766	0.0165815	0.0228901	0.0424287	0.0348939	0.054013
forgeron	0.00174557	0.00358204	0.00858083	0.010603	0.00770374	0.0130864	0.0156469	0.0180984	0.0177782	0.0294516	0.0289589	0.0413484	0.0407358	0.0930819	0.0836434	0.134092	0.0205062	0.0448695	0.103687	0.0374473	0.0321775	0.024544	0.0362734	0.0201534	0.0157044	0.011452	0.00858843	0.0253152	0.00432427	0.00593959	0.00604998	0.00776675	0.0104863	0.0133896	0.0030685	0.00276122	0.00254782	0.00193866	0.00132094	0.00132331	0.00137544	0.00110506	0.000764741	0.000723406	0.000722093	0.000855691	0.000740911	0.000786623	0.0014761	0.00167819
garde	0.0208725	0.0159926	0.0121381	0.0114942	0.0154984	0.0120238	0.012523	0.00905176	0.0386921	0.0820988	0.0773193	0.0503863	0.0570024	0.0351122	0.0465865	0.0567399	0.0204202	0.0450234	0.0378024	0.0132722	0.0297627	0.0194263	0.0385364	0.0290356	0.0355836	0.024371	0.0224873	0.0205749	0.0069008	0.0126495	0.0147268	0.0157888	0.010724	0.00794377	0.0078849	0.00666173	0.00436214	0.00337899	0.00234728	0.00274618	0.00230743	0.00254126	0.00106121	0.000974528	0.00234017	0.0015832	0.000884294	0.000547773	0.00142267	0.00039463
des	0.0330383	0.0220026	0.00695144	0.00968592	0.0101091	0.00786319	0.00557659	0.00539626	0.00530218	0.00522977	0.00729475	0.0111753	0.0309155	0.0182079	0.0170772	0.0235537	0.0532372	0.0553069	0.0562497	0.0590082	0.0363957	0.0328531	0.0143335	0.0154073	0.0233769	0.0227896	0.0252169	0.0205082	0.016942	0.023384	0.0250614	0.0127138	0.00826109	0.00775233	0.00804844	0.00768266	0.00690932	0.00865953	0.00781403	0.0138994	0.0100361	0.0146001	0.0129929	0.0104652	0.0138337	0.0151434	0.0249456	0.0422602	0.0279844	0.0465477
morceaux	0.01539	0.0173791	0.0143067	0.0155684	0.0264384	0.0298856	0.0308564	0.0356665	0.044157	0.0413891	0.0390259	0.0399158	0.035628	0.0350064	0.019528	0.0156141	0.0199549	0.0275706	0.0309067	0.0502822	0.0573961	0.0318002	0.0125634	0.0141296	0.0131061	0.0130687	0.0117308	0.0130409	0.0161494	0.0178263	0.0241536	0.0183886	0.0278264	0.0196975	0.0166561	0.0179652	0.0117641	0.00691822	0.00469746	0.00517196	0.00362236	0.00380201	0.00512482	0.00328908	0.00405291	0.00601683	0.00619549	0.0126202	0.00828882	0.00846693
de	0.0146618	0.0127822	0.00741319	0.00925542	0.0112023	0.010613	0.0110566	0.00756803	0.0112839	0.0297338	0.0158905	0.0211522	0.0199638	0.0168152	0.0502644	0.0441314	0.0409138	0.0309252	0.0188121	0.0343865	0.0167276	0.0178852	0.0118847	0.0155197	0.0184346	0.0232239	0.0320106	0.0187072	0.0271235	0.0246829	0.0285981	0.0231839	0.0122487	0.0092769	0.00951956	0.00996362	0.0117641	0.00867213	0.00965077	0.0113322	0.00955651	0.0103943	0.00804048	0.0107003	0.0297838	0.0237175	0.0206704	0.0473283	0.046199	0.0343741
fer	0.0212224	0.00770575	0.00419723	0.00492942	0.00946915	0.00391382	0.00471248	0.00387523	0.0178262	0.0422675	0.0307859	0.0389002	0.0277483	0.0268835	0.034687	0.032561	0.0227462	0.0393577	0.045977	0.0394218	0.0240008	0.0213802	0.0192842	0.0459631	0.0328903	0.0351047	0.0263859	0.0164432	0.0202629	0.0193092	0.0213515	0.0151228	0.0124629	0.00799665	0.010843	0.00920528	0.0105741	0.0149718	0.0175224	0.0226374	0.0163173	0.0157846	0.0148273	0.0143472	0.0220006	0.0192388	0.0104552	0.00792249	0.00886227	0.00734405
dans	0.016462	0.0111755	0.00575625	0.0107302	0.0161636	0.0166146	0.0114579	0.0136001	0.0376481	0.035561	0.0370817	0.0523846	0.0318317	0.0297425	0.0337316	0.0268886	0.0297879	0.0387332	0.0538766	0.0435993	0.0345362	0.0318174	0.0314943	0.0521157	0.0434538	0.0331132	0.023899	0.0162576	0.0137776	0.0126697	0.0146243	0.0130062	0.0150481	0.0109365	0.0168437	0.0108937	0.00883825	0.00578808	0.00409245	0.0035526	0.0031028	0.00333078	0.00312249	0.00267428	0.00701336	0.00590529	0.00382118	0.00560308	0.00866078	0.00718086
la	0.0186353	0.0178306	0.0109698	0.0131921	0.0168769	0.0136417	0.0162792	0.0128909	0.0231595	0.033403	0.0178563	0.0254669	0.0238085	0.0148065	0.0268634	0.0290066	0.0236108	0.0196291	0.017556	0.0177315	0.00742213	0.00804951	0.0074265	0.00916327	0.0095637	0.00892024	0.0108219	0.00390221	0.00715056	0.00554907	0.00490927	0.00643988	0.00455504	0.00360935	0.00512529	0.00532433	0.00851953	0.0115817	0.0186509	0.0248597	0.0258994	0.0239963	0.0227679	0.0335915	0.0733965	0.0494189	0.0413546	0.0565769	0.0516075	0.0566318
caisse	0.0209452	0.0238821	0.0141749	0.0236313	0.0363517	0.028973	0.025176	0.0270782	0.0274884	0.0239435	0.0205216	0.0265269	0.0177459	0.0190214	0.028164	0.023933	0.0175551	0.0232005	0.0229387	0.0238623	0.013341	0.0156053	0.0199715	0.0148109	0.0132754	0.0121259	0.00929384	0.00788974	0.0066519	0.00640714	0.0065261	0.00693025	0.0102123	0.00929396	0.00725576	0.00719442	0.0104764	0.0141975	0.0180493	0.0234695	0.0225333	0.0157028	0.0158695	0.0246679	0.0280939	0.0348235	0.0392233	0.0392173	0.041926	0.0298507
</S>	0.0181475	0.0181281	0.0134646	0.0151287	0.0253874	0.0252316	0.0346518	0.0265752	0.0500537	0.0532139	0.0545101	0.0630561	0.0466363	0.042782	0.0339167	0.0304344	0.0338856	0.0327449	0.0292764	0.0325364	0.023203	0.0197899	0.0143583	0.00926386	0.00870683	0.00794703	0.00744358	0.00526809	0.00586136	0.00477136	0.00446718	0.00466272	0.00383225	0.00314875	0.00354213	0.0033337	0.00471501	0.00453278	0.00498516	0.00620548	0.00618781	0.00503369	0.00574527	0.00995554	0.0131264	0.0158578	0.0171449	0.0207102	0.0388936	0.037545
