 	a66	a87	a23	a18	a82	a27	a54	a56	a43	a0	a62	a21	a5	a36	a25	a56	a32	a11	a93	a79	a44	a75	a79	a44	a79	a37	a36	a2	a57	a87	a23	a40	a7	a11	a70	a93	a13	a30	a13	a26	a3	a87	</S>
la	0.0366578	0.037804	0.0435726	0.0398792	0.0314032	0.0538848	0.0493125	0.037717	0.0482508	0.0378237	0.0217707	0.00882431	0.0199627	0.0134336	0.0107538	0.012093	0.00767133	0.0118319	0.00879326	0.0127854	0.00955592	0.0105205	0.00871564	0.0132293	0.0209688	0.0188703	0.0177787	0.0229631	0.014093	0.00837617	0.00913292	0.0141549	0.0162454	0.01394	0.0130709	0.0165202	0.0301387	0.0581826	0.0523863	0.0284861	0.0183972	0.0203085	0.0197392
manière	0.00331276	0.00326507	0.0157677	0.0065516	0.0076554	0.0156214	0.0119753	0.00995832	0.00923462	0.0110495	0.0194066	0.0268604	0.0233679	0.0513775	0.0565359	0.0534934	0.0715195	0.0728263	0.0807317	0.0930891	0.12988	0.0430161	0.0456609	0.0287303	0.0456379	0.0198513	0.0108279	0.0103503	0.00784076	0.0038569	0.0033523	0.00174512	0.00188922	0.00134826	0.000337139	0.000269127	0.000118785	0.0001666	0.000146758	0.000254448	0.00018422	0.000539402	0.000396512
dont	0.0758822	0.0408402	0.0367919	0.0275545	0.0320398	0.0293923	0.0346256	0.0297796	0.0239043	0.0340022	0.0201461	0.0245829	0.0348144	0.0474546	0.0496272	0.0561941	0.0435958	0.0374837	0.0446444	0.027995	0.0272536	0.033629	0.0214427	0.0236877	0.014389	0.0160681	0.00678519	0.00329777	0.00451669	0.00452201	0.00688893	0.00955634	0.0153833	0.00774179	0.00467087	0.00335869	0.00109121	0.00308408	0.00356437	0.00446943	0.0119514	0.0128546	0.00844242
il	0.0340099	0.01759	0.00837832	0.00819333	0.00608102	0.0069962	0.0109989	0.00534041	0.00568807	0.00644446	0.00456928	0.00650558	0.00931472	0.0114244	0.0134152	0.024074	0.0197454	0.0170749	0.0389285	0.0179398	0.0240715	0.050515	0.0344991	0.0481208	0.0409603	0.0426699	0.0283621	0.0182973	0.0467828	0.0408782	0.0181216	0.0173549	0.0132939	0.0250401	0.018926	0.0222594	0.0156423	0.0244464	0.0363905	0.0375327	0.0423542	0.053509	0.0272597
a	0.0506899	0.0248713	0.0112084	0.00721999	0.010582	0.0095919	0.0096619	0.0101639	0.0144022	0.00963113	0.00414111	0.00321829	0.00561329	0.00881419	0.00815984	0.01442	0.0170281	0.0263181	0.0381246	0.0467948	0.0626829	0.0938105	0.056584	0.0590627	0.0508489	0.0484404	0.0275605	0.0275822	0.0360961	0.0247283	0.00810117	0.0115399	0.0122534	0.0120538	0.01276	0.018064	0.0138427	0.0154019	0.018266	0.0170427	0.0148078	0.0163959	0.0114192
blessé	0.0516839	0.0340792	0.021897	0.0161173	0.0153139	0.0166677	0.0138085	0.00955969	0.0172813	0.0123783	0.00914892	0.00966844	0.0143707	0.0280201	0.022569	0.0393667	0.0433587	0.0475085	0.0381929	0.0355516	0.040344	0.0424562	0.0213913	0.0202464	0.0181122	0.0267826	0.0321572	0.0272935	0.0276611	0.0257028	0.012597	0.0307159	0.0165587	0.0130503	0.015243	0.0144082	0.0131628	0.0164742	0.0181065	0.0140545	0.0119954	0.0227507	0.0221932
mon	0.0401746	0.0287768	0.0234013	0.0249686	0.02414	0.0200386	0.015991	0.0112942	0.0174561	0.0142614	0.0138142	0.0142713	0.0204442	0.0248476	0.016998	0.0211503	0.0195523	0.0262913	0.0205225	0.0192738	0.0215181	0.0229802	0.0140013	0.0129004	0.0115062	0.0136385	0.021339	0.0278277	0.0120555	0.0204974	0.0238631	0.0401801	0.0178936	0.0156481	0.0190625	0.0311681	0.0334741	0.0359236	0.0246424	0.0233739	0.0211878	0.065095	0.0525553
fils	0.0283788	0.0368246	0.0182913	0.0266758	0.0353597	0.0200745	0.0207752	0.0133588	0.0190361	0.0227652	0.020395	0.0214417	0.0220052	0.0254435	0.0157109	0.0228351	0.0186865	0.0207918	0.0217355	0.0191221	0.0294191	0.0199298	0.0138039	0.0124648	0.00694096	0.0100664	0.0115095	0.00981472	0.00420281	0.00777632	0.0103717	0.0218014	0.0167859	0.0216183	0.0150365	0.0251897	0.0276163	0.0448351	0.0340836	0.046448	0.0267246	0.0523022	0.0815511
relève	0.0335069	0.023416	0.0130223	0.0135933	0.012801	0.00777512	0.00835014	0.00664158	0.00859885	0.0128578	0.0100866	0.0124292	0.0143002	0.0169313	0.00960329	0.0137182	0.0117406	0.018109	0.0166944	0.0208439	0.0177226	0.0215675	0.0169578	0.0199757	0.016655	0.0167705	0.0172903	0.0125408	0.0100802	0.0126523	0.00910462	0.0260116	0.0170006	0.0277243	0.030606	0.0401108	0.044067	0.0598007	0.0443403	0.0669168	0.0404835	0.0803032	0.0662978
d'	0.0287415	0.0209902	0.0178568	0.0186924	0.0185044	0.0160243	0.0138136	0.0135526	0.0148812	0.0165724	0.0139159	0.0135252	0.014551	0.0219739	0.0121965	0.0168797	0.0160191	0.0285132	0.024254	0.0352619	0.0282173	0.0369227	0.0250878	0.0265338	0.0251901	0.0227535	0.0171679	0.00985043	0.017259	0.00927327	0.00746417	0.0139847	0.0147395	0.0219195	0.0176384	0.0211735	0.0244706	0.0378959	0.0392296	0.0497391	0.0247697	0.0890697	0.0429298
