 	a66	a87	a10	a54	a36	a61	a75	a85	a6	a37	a85	a47	a36	a2	a57	a87	a79	a69	a7	a54	a79	a37	a92	a79	a37	a98	a47	a85	a6	a98	a79	a12	a96	a36	a2	a57	a87	a23	a99	a97	</S>
parmi	0.0378697	0.0570548	0.0812193	0.0692681	0.088544	0.154078	0.0941361	0.079054	0.0289793	0.0150294	0.0146006	0.0255862	0.00945777	0.0129037	0.014293	0.0137292	0.015494	0.0151406	0.0161497	0.013007	0.0110591	0.010293	0.013681	0.00954467	0.0120346	0.00665441	0.00493344	0.00399467	0.00503553	0.00838525	0.00409649	0.00369745	0.00371902	0.00410081	0.0043624	0.00492576	0.00460897	0.00407684	0.00729234	0.00515473	0.0127547
vous	0.0139975	0.016037	0.0188648	0.0181182	0.0180846	0.0159112	0.0359371	0.0209777	0.0352951	0.0304527	0.0350329	0.0473623	0.0449746	0.0560377	0.0827456	0.0538616	0.0316712	0.033466	0.0192062	0.0152751	0.0179517	0.0209074	0.0150218	0.0255076	0.0123293	0.0234353	0.0177429	0.0295622	0.0285727	0.0206764	0.00663524	0.0093915	0.0127475	0.009802	0.0115127	0.0148481	0.0157463	0.0107313	0.0154388	0.0132402	0.02489
quatre	0.0137804	0.00781719	0.00846714	0.0107143	0.0229386	0.0175468	0.0580637	0.0373194	0.0533295	0.0732265	0.116331	0.0516563	0.0596463	0.078758	0.0520812	0.0490328	0.0416513	0.0354189	0.0261364	0.029307	0.0225835	0.0271419	0.0127843	0.0118166	0.00550401	0.00570442	0.009766	0.00626331	0.00335341	0.0036691	0.00232673	0.00123646	0.00117308	0.00147617	0.00357896	0.00497715	0.00512108	0.00506507	0.00848943	0.00496269	0.00978395
quel	0.0412354	0.0364677	0.0207406	0.0142601	0.015073	0.00832557	0.00746572	0.0101425	0.00667709	0.0106422	0.0087421	0.0131314	0.0178076	0.0169275	0.0198918	0.0156896	0.016108	0.0349947	0.0285362	0.0212229	0.0226761	0.0234074	0.011979	0.0108508	0.0137358	0.0217859	0.0514812	0.0378932	0.0263784	0.0275864	0.0409859	0.0346133	0.0291805	0.032537	0.031193	0.0314002	0.0348997	0.0385444	0.029035	0.0368385	0.0489167
est	0.0266395	0.0213816	0.0191042	0.0167444	0.0141609	0.00813708	0.011389	0.012006	0.00821545	0.0121741	0.00844785	0.0153714	0.0156601	0.0338059	0.0322181	0.0391804	0.0577224	0.0801739	0.129112	0.0971331	0.0638191	0.0491444	0.0151065	0.00433461	0.00646507	0.00431305	0.00512112	0.0057968	0.00743254	0.0122185	0.018582	0.0162974	0.00907151	0.00807255	0.00954639	0.0120181	0.0171354	0.0173931	0.0175039	0.0177454	0.0241054
celui	0.0249084	0.0148515	0.0191627	0.0186204	0.0253418	0.0146673	0.0200478	0.0240969	0.0171912	0.0275998	0.0231304	0.0209343	0.0241879	0.0389874	0.0556939	0.0579519	0.0798837	0.0515157	0.088948	0.0933773	0.0574158	0.0450469	0.0348352	0.0212067	0.0144402	0.0177411	0.0106115	0.00455542	0.00559127	0.00699213	0.00336465	0.00313728	0.0006868	0.000768696	0.00264212	0.0034359	0.00464947	0.00538972	0.00605256	0.00394756	0.00639088
qui	0.0405148	0.0295404	0.0176149	0.0138774	0.0127453	0.00806282	0.0174992	0.0134879	0.013839	0.0130456	0.0173384	0.031468	0.018207	0.0307808	0.0456251	0.0371782	0.0439036	0.0479203	0.100752	0.102216	0.0532296	0.0625746	0.028516	0.0118926	0.00909638	0.00600117	0.00415333	0.00902487	0.00795162	0.010324	0.0131809	0.0107991	0.00641425	0.00732495	0.0124569	0.00959507	0.0158519	0.0175022	0.0152457	0.0205991	0.0126492
s'	0.0428297	0.0235044	0.0131309	0.0099325	0.00536104	0.00397687	0.00410882	0.00526931	0.00353435	0.00359856	0.00404776	0.0110426	0.00823146	0.0102977	0.0138752	0.013327	0.0150225	0.014515	0.0234313	0.0264217	0.0167679	0.0198699	0.0108107	0.00539123	0.00791839	0.011334	0.009361	0.0123239	0.0171674	0.0196497	0.0349482	0.0296178	0.0338549	0.0162612	0.0894981	0.0412661	0.0546735	0.104205	0.0699854	0.0902521	0.0493853
est	0.0548917	0.0413504	0.0264276	0.0202859	0.00999599	0.00841208	0.00658356	0.00499415	0.00329786	0.00343736	0.00368283	0.010171	0.0064364	0.00853365	0.0102563	0.0100572	0.00806345	0.0110776	0.0114917	0.0108354	0.0090862	0.00940185	0.00755292	0.00390109	0.00755323	0.0101368	0.00669512	0.0112188	0.0178444	0.0348231	0.0208948	0.0355657	0.0252481	0.0104141	0.0627738	0.0356367	0.0579752	0.0767651	0.0719271	0.117321	0.0969829
disputé	0.0472192	0.0321167	0.0284288	0.0278144	0.0177881	0.0119112	0.00911574	0.0145274	0.00769912	0.00818759	0.00602806	0.0124261	0.0202575	0.0183288	0.0242736	0.0255531	0.0233506	0.0272843	0.0381092	0.0206341	0.0170534	0.0174559	0.0134733	0.0110487	0.013272	0.0242298	0.0172545	0.018124	0.0163669	0.0235364	0.0124098	0.0145496	0.00761338	0.00642605	0.0299472	0.0227719	0.031946	0.0646418	0.0601384	0.0727371	0.0839505
avec	0.0408497	0.0386059	0.0197761	0.0160317	0.0165379	0.0170081	0.0185355	0.00852677	0.00746036	0.00756955	0.00698141	0.016408	0.00982175	0.0129555	0.0177015	0.0137068	0.0118601	0.0135681	0.0210578	0.00912454	0.00916545	0.0102124	0.00788447	0.0038236	0.00798517	0.00927604	0.00595836	0.0204277	0.0205047	0.0311351	0.0412685	0.0479308	0.0449582	0.0422919	0.0624678	0.0483323	0.0447979	0.0484437	0.0471077	0.0521098	0.0698316
ma	0.0351077	0.0308614	0.0152005	0.0116717	0.00930457	0.00755523	0.0108566	0.00712098	0.00623938	0.0092236	0.00714624	0.016609	0.0141859	0.0165932	0.021868	0.0182416	0.0187979	0.0162131	0.02844	0.00889498	0.00851636	0.00959707	0.00645395	0.00378873	0.00563912	0.00922285	0.00721884	0.023419	0.0217079	0.0267257	0.0335198	0.0406678	0.0380296	0.0328197	0.0656764	0.0490314	0.0456821	0.0555828	0.0560021	0.0578854	0.0926818
femme	0.0457505	0.0348487	0.0193749	0.0170444	0.0153544	0.00783169	0.00911435	0.00942826	0.00752829	0.013412	0.0110443	0.0197136	0.0240759	0.0223937	0.0289419	0.024028	0.0279778	0.03055	0.0517971	0.0204949	0.0176888	0.0207475	0.0138741	0.00663005	0.0110996	0.0158093	0.0128885	0.0295627	0.03101	0.0332012	0.011632	0.00748131	0.00822784	0.00707769	0.0445708	0.0428377	0.0370273	0.0427578	0.0571298	0.0605401	0.0475009
</S>	0.0424681	0.0396304	0.0324511	0.0318142	0.0324688	0.0265149	0.0172779	0.0142789	0.0112704	0.0169209	0.013895	0.0230097	0.0196999	0.0206074	0.0167202	0.0147515	0.0164005	0.0189003	0.0402701	0.0201403	0.0137406	0.0130775	0.0134907	0.0104147	0.0161332	0.0230178	0.0114631	0.0220501	0.0307918	0.0470028	0.0193361	0.00934018	0.0138803	0.0099061	0.0355199	0.0338398	0.0283024	0.0301151	0.0440558	0.0537879	0.0512434
