 	a66	a87	a23	a83	a24	a18	a94	a93	a56	a93	a4	a53	a90	a92	a75	a92	a98	a79	a44	a18	a26	a82	a87	a23	a82	</S>
j'	0.0312461	0.0551909	0.078724	0.0684175	0.0485605	0.0176745	0.00834731	0.00747728	0.00885931	0.00835056	0.00808078	0.00459601	0.005741	0.00952042	0.012363	0.0159462	0.0307874	0.0407737	0.0521486	0.0588408	0.0789896	0.10538	0.0718301	0.0638204	0.0522404	0.0560936
ai	0.0328542	0.0135439	0.0140572	0.0198626	0.0198202	0.012125	0.0304444	0.0249852	0.0332806	0.0598928	0.0725182	0.0701804	0.0611086	0.0423919	0.0393106	0.0697904	0.0407194	0.0704197	0.0253336	0.0340626	0.0374764	0.0321736	0.0451609	0.034576	0.0420682	0.0218435
découvert	0.0269415	0.0273829	0.0173154	0.0131048	0.0110733	0.0103163	0.00844616	0.00877263	0.0192922	0.0221568	0.0365121	0.043369	0.0380004	0.0143163	0.0217387	0.0561888	0.0620615	0.067619	0.0594649	0.0584629	0.0705463	0.0561615	0.0502813	0.0517608	0.0943491	0.0543654
le	0.0967747	0.0353262	0.0216402	0.0199895	0.0160904	0.0152107	0.0255488	0.0227062	0.0241173	0.0435666	0.0533119	0.11388	0.0903589	0.0604317	0.0465273	0.0436805	0.0378547	0.0402907	0.0247682	0.0221669	0.0235018	0.01697	0.0297744	0.0219725	0.0237458	0.0297938
terrier	0.0703418	0.0571034	0.056209	0.0424256	0.0255046	0.0148455	0.0135674	0.0187666	0.0303791	0.0346118	0.0298257	0.0220974	0.0288455	0.0304305	0.0161767	0.0214991	0.0307124	0.0746014	0.0795102	0.064057	0.0523841	0.0662155	0.0445976	0.0303913	0.0169967	0.0279042
d'	0.107886	0.0727169	0.0594444	0.0422549	0.0350758	0.0166995	0.00796584	0.0085467	0.0143713	0.00600561	0.00722485	0.00396704	0.00571569	0.00996532	0.0153403	0.0244844	0.0296298	0.0444637	0.0447931	0.0623996	0.0359237	0.0572241	0.0985999	0.0469486	0.0302472	0.112106
un	0.0995882	0.0328737	0.0278816	0.0207901	0.0355923	0.0378702	0.030563	0.0243701	0.0240184	0.0284172	0.0306845	0.0238182	0.0304603	0.0346379	0.0401406	0.0531114	0.047133	0.051927	0.0296684	0.0509842	0.0337835	0.0336665	0.0521257	0.0285362	0.0528741	0.0444838
blaireau	0.106756	0.0571327	0.0540108	0.0343693	0.0366645	0.0135716	0.00731556	0.00565004	0.00375962	0.0050754	0.0053805	0.0132534	0.0163431	0.0223909	0.0236454	0.0280513	0.0496898	0.0340044	0.0384745	0.0594642	0.0394512	0.0595845	0.0698425	0.0451995	0.0794644	0.0914552
dans	0.101516	0.0467685	0.0400203	0.0268001	0.0235518	0.00762057	0.00545772	0.00525742	0.00499057	0.00857963	0.0078725	0.0167827	0.0185238	0.0218127	0.0202152	0.0191366	0.0515938	0.0474078	0.0402352	0.0620302	0.0496155	0.0666726	0.0668827	0.0476981	0.0542628	0.138695
mon	0.0582704	0.0328384	0.0242581	0.020881	0.0230389	0.0115664	0.00618585	0.00613342	0.00706942	0.00585073	0.00609738	0.00617096	0.0110795	0.0123439	0.0183395	0.0196508	0.0418107	0.043844	0.0379139	0.0578911	0.046926	0.0746265	0.0952963	0.0591854	0.0922415	0.18049
champ	0.0201092	0.00668346	0.00555858	0.00491474	0.00548901	0.00518845	0.00459016	0.0044864	0.00635882	0.00410334	0.00520933	0.00674138	0.00810109	0.0147419	0.0174306	0.0414248	0.0811872	0.0817726	0.0851128	0.0768412	0.0800779	0.0918724	0.0734713	0.0894467	0.0730511	0.106035
</S>	0.0137009	0.00634989	0.00764158	0.00597233	0.00934568	0.00656842	0.00478672	0.00263971	0.00297924	0.0020571	0.00182149	0.00339631	0.0061685	0.00584989	0.0200982	0.0238378	0.0450786	0.083132	0.0469757	0.0642674	0.0761302	0.114424	0.127387	0.0779476	0.124693	0.11675
