 	a23	a85	a87	a23	a53	a5	a66	a75	a5	a37	a54	a73	a7	a84	a53	a90	a69	a58	a5	a18	a61	a24	a12	a98	a79	a94	a53	a90	a70	a75	a85	a41	a7	a2	a7	a53	a69	a58	a82	a87	</S>
a	0.0436688	0.045089	0.0369161	0.0268777	0.0476475	0.0292378	0.0437482	0.0172707	0.0309275	0.0231608	0.0373859	0.0273952	0.0226727	0.0263643	0.0189677	0.0215428	0.0204724	0.0220242	0.017915	0.0182331	0.0149752	0.0195373	0.0141026	0.0129482	0.0195615	0.0115885	0.0104077	0.0198362	0.00783039	0.0117984	0.0125682	0.017687	0.0172296	0.0222388	0.0255935	0.0236487	0.0279217	0.0291817	0.0272262	0.0224859	0.0541153
côté	0.0105903	0.0100811	0.0118386	0.0180443	0.0255517	0.0714845	0.0409959	0.0646813	0.0429362	0.0389502	0.0365936	0.0564358	0.0623235	0.0463339	0.0376646	0.0309188	0.0211553	0.0154619	0.0101809	0.00736005	0.00719457	0.0102246	0.00678092	0.00811929	0.010976	0.0109928	0.0111331	0.0147842	0.0121819	0.0122802	0.0176846	0.0198775	0.0210621	0.0218658	0.0201675	0.022927	0.0242654	0.0246418	0.0187742	0.0243237	0.0201603
du	0.0289229	0.0266473	0.0257015	0.0266881	0.0184628	0.043296	0.0253038	0.0296149	0.0224692	0.037098	0.0435392	0.0361114	0.0331251	0.0382716	0.0461155	0.0360541	0.0276961	0.0270427	0.0144179	0.00889019	0.00832508	0.0104774	0.013479	0.0113434	0.0114429	0.00713044	0.00612333	0.00758854	0.00739472	0.00947383	0.0104553	0.0155945	0.0201663	0.0248825	0.0371358	0.0312368	0.038685	0.0323813	0.0411561	0.0219467	0.0381129
village	0.027904	0.0301642	0.016205	0.0231441	0.0220322	0.0372045	0.0370298	0.0339412	0.0340932	0.0271371	0.0270431	0.0279894	0.0180906	0.0122976	0.0223515	0.0280066	0.0116917	0.0162137	0.036811	0.0378947	0.0459967	0.0463401	0.0247203	0.0579935	0.0376631	0.0304171	0.0438848	0.0480586	0.025422	0.021716	0.01476	0.0200423	0.0100779	0.00993415	0.00675276	0.00593817	0.00829878	0.00491786	0.00497202	0.00220219	0.00264644
il	0.0489391	0.0296562	0.0335769	0.0371226	0.0154576	0.0365085	0.0201245	0.0210278	0.00960578	0.0172364	0.0135048	0.0066971	0.00910974	0.00543684	0.0087363	0.00753344	0.00928951	0.0128689	0.0131685	0.0106154	0.00901696	0.0113795	0.00750759	0.0119696	0.0206036	0.00902233	0.0128033	0.0248357	0.0138072	0.0209915	0.0230467	0.0365409	0.054003	0.05047	0.0457168	0.0317344	0.056631	0.0686691	0.0482021	0.0434161	0.033417
y	0.0352045	0.0182799	0.0116061	0.0123313	0.00623707	0.0120447	0.00656576	0.00906324	0.00607717	0.0113523	0.00783941	0.00446874	0.00398424	0.00273532	0.00658125	0.0095353	0.0123033	0.0228949	0.0217522	0.0300194	0.024631	0.0478459	0.0241038	0.0410801	0.0493909	0.0381614	0.0369058	0.062926	0.0344124	0.0396505	0.050407	0.0316946	0.0434605	0.0272173	0.0305476	0.0198554	0.0220416	0.0427081	0.0284549	0.0359374	0.0176916
a	0.0256236	0.0221715	0.0214095	0.0215887	0.0193886	0.0143702	0.00841856	0.00945172	0.00902931	0.0161071	0.0167966	0.0121329	0.011954	0.00948607	0.0168324	0.00929842	0.0107588	0.0168228	0.0165944	0.0189987	0.0203596	0.0297654	0.0214721	0.0338262	0.0529345	0.0418114	0.0264912	0.0789968	0.0331549	0.0338145	0.0272194	0.0144468	0.0292991	0.023747	0.0313994	0.0310546	0.0261658	0.0303705	0.0349679	0.0364471	0.0350216
une	0.0304544	0.0263109	0.028396	0.0258136	0.0223754	0.0141837	0.00952515	0.00985338	0.0104942	0.0183475	0.0236346	0.014517	0.0170423	0.013497	0.0230715	0.00918833	0.0103683	0.0172782	0.0147429	0.013732	0.0130886	0.0163013	0.0115008	0.0142858	0.0144213	0.0171844	0.0143403	0.0269834	0.0210233	0.0296983	0.0313363	0.0182098	0.0278705	0.0314396	0.0384226	0.0426814	0.0390181	0.0537776	0.0548956	0.0627773	0.0679176
grande	0.0249495	0.0187617	0.0193514	0.0250096	0.0158994	0.0278978	0.0156783	0.0160944	0.00874738	0.0167957	0.0162393	0.00606928	0.00700024	0.00540692	0.0138382	0.00796952	0.00993807	0.0168076	0.0199214	0.0157883	0.0213684	0.0225242	0.0158254	0.0221161	0.020491	0.0204781	0.0213879	0.0356974	0.0231093	0.034512	0.0450783	0.0289568	0.0389518	0.0362806	0.0442981	0.0353604	0.032509	0.0567247	0.041299	0.0578266	0.037041
bananeraie	0.0506539	0.0314663	0.0293206	0.0329041	0.0266203	0.0326198	0.0188693	0.0182603	0.010922	0.0238088	0.0191941	0.0140436	0.0199913	0.021632	0.0411251	0.0194322	0.0260175	0.0295548	0.0213825	0.0157065	0.01983	0.0117153	0.0118152	0.00844226	0.00794805	0.00836942	0.00926672	0.0117901	0.00890611	0.00902074	0.0111527	0.0101471	0.0158254	0.0127982	0.0240492	0.0259629	0.0364105	0.0608761	0.065982	0.0716232	0.054544
