 	a66	a87	a23	a83	a34	a75	a43	a31	a21	a47	a21	a43	a75	a85	a21	a47	a61	a90	a98	a92	a37	a43	a93	a43	a11	a94	a66	a44	a2	a57	a87	a23	a99	a97	</S>
l'	0.0421482	0.0358256	0.0455083	0.0250874	0.0344867	0.023603	0.0158979	0.020684	0.0203859	0.0121861	0.0133698	0.0107807	0.0130416	0.0139463	0.0219778	0.0254057	0.025798	0.029931	0.0296065	0.0185176	0.0138278	0.0202187	0.0343943	0.0650429	0.0678822	0.0436279	0.0212316	0.0306426	0.0364194	0.0256458	0.0268085	0.0231716	0.0358727	0.0243519	0.052674
oiseau	0.00496781	0.00527543	0.00504009	0.00514563	0.00631374	0.00642888	0.0101048	0.0104508	0.029274	0.0312333	0.0224746	0.0186953	0.0246785	0.020557	0.041881	0.0582424	0.101148	0.1472	0.112069	0.0521257	0.0460167	0.0437812	0.0264624	0.0213703	0.0270846	0.0124271	0.00908725	0.0112347	0.0102716	0.0106582	0.0125308	0.0134779	0.0132422	0.0154684	0.0135815
qui	0.0230692	0.0214317	0.0247393	0.0225223	0.0136741	0.0189368	0.0452509	0.0320858	0.0501047	0.0732397	0.0996212	0.0626927	0.0851516	0.0670287	0.0357607	0.0302689	0.0287798	0.0203851	0.0119726	0.0152144	0.00699928	0.00666586	0.00480462	0.00250333	0.00336764	0.00595466	0.00628314	0.0118796	0.0113106	0.0163915	0.0264786	0.0181963	0.0395874	0.0307531	0.0268945
était	0.0281597	0.0239163	0.0179599	0.0114005	0.00990071	0.00684823	0.0167245	0.0145373	0.0123296	0.0273622	0.0353357	0.024765	0.0401852	0.0418985	0.0350657	0.0302579	0.0244716	0.023183	0.0253811	0.0253403	0.0271946	0.0153446	0.00819931	0.00963599	0.00831868	0.0142917	0.0220393	0.0242727	0.028287	0.0308126	0.0499784	0.056536	0.0740723	0.0594935	0.0965004
dans	0.0362796	0.0372179	0.0307189	0.0250946	0.0141794	0.0109704	0.0172084	0.014751	0.0183877	0.0355592	0.0363008	0.0405315	0.0384953	0.0388144	0.0382996	0.0397258	0.0384088	0.0599908	0.0676711	0.0637951	0.0571441	0.0484666	0.0191695	0.010979	0.00810721	0.0102747	0.00971808	0.0123784	0.0117071	0.0155436	0.017172	0.0147583	0.0230241	0.0170798	0.0220771
cet	0.0427524	0.0297073	0.0352989	0.0216673	0.0164796	0.0148851	0.0265891	0.0174377	0.0150195	0.0138187	0.0192591	0.0235334	0.0230454	0.0180485	0.0178439	0.0135837	0.00728535	0.00926791	0.00953352	0.0101303	0.00558518	0.0096038	0.0126555	0.0222197	0.0126841	0.0228352	0.0338602	0.0488148	0.0355576	0.0402531	0.0470844	0.0605486	0.0709849	0.0679449	0.124181
arbre	0.0317279	0.0233972	0.020593	0.0232046	0.0143367	0.00985972	0.0151268	0.0093801	0.00810676	0.0223361	0.0335741	0.0234647	0.0265535	0.0534516	0.0763808	0.0599588	0.0399129	0.0334644	0.0321698	0.0612374	0.0539359	0.0276039	0.0216233	0.0175367	0.0209299	0.0180487	0.022837	0.0257553	0.0270767	0.0344094	0.0277696	0.0187728	0.0346176	0.0181442	0.0127022
s'	0.0634798	0.0554818	0.0547834	0.0428594	0.0306775	0.0177391	0.0151283	0.00989718	0.0118016	0.0214322	0.0216625	0.0123784	0.0196332	0.0281066	0.0280539	0.0335026	0.0290421	0.0335564	0.0359344	0.0667031	0.0368789	0.0331633	0.0259305	0.0120551	0.00895215	0.0113416	0.0101965	0.0172258	0.020168	0.0339333	0.0292689	0.0242037	0.0530459	0.0278478	0.0239351
est	0.0328711	0.0296512	0.0277306	0.0237298	0.0168477	0.0143693	0.0114614	0.010742	0.0110858	0.0249826	0.0238154	0.0254325	0.0258185	0.0344322	0.0303312	0.0296319	0.0268164	0.0231293	0.0197451	0.0326295	0.0237521	0.0290216	0.0280615	0.0281555	0.0203885	0.018889	0.0121929	0.0305389	0.0295716	0.0391636	0.0464829	0.0417719	0.0779348	0.051625	0.0471969
envolé	0.0270139	0.0229314	0.0246635	0.0172201	0.0130403	0.00988892	0.00856755	0.00742142	0.00824096	0.0184366	0.0203803	0.0213471	0.0191081	0.0187657	0.0160057	0.0159422	0.0196589	0.0191466	0.0215625	0.032183	0.0275332	0.0299795	0.0186094	0.0168748	0.0152251	0.0165129	0.0113825	0.027997	0.0295137	0.0401669	0.0680772	0.0548827	0.112925	0.0826145	0.0861803
</S>	0.0436011	0.0351511	0.0427564	0.0352754	0.0346044	0.0321476	0.0241661	0.0223122	0.016742	0.0251855	0.0290243	0.0264629	0.0234441	0.0198409	0.0180923	0.0181306	0.0207895	0.022902	0.0313189	0.0179621	0.014902	0.0190583	0.0170096	0.0115291	0.0121307	0.0154178	0.0158439	0.0233352	0.0261268	0.0268283	0.0374741	0.0390174	0.0524134	0.0485472	0.100457
