 	a66	a87	a23	a71	a9	a75	a85	a5	a12	a62	a96	a93	a56	a75	a85	a92	a37	a75	a47	a36	a7	a2	a57	a87	a23	a71	a50	a62	a12	a56	a44	a93	a56	a96	a18	a71	a25	a87	a23	a83	a36	a37	a54	a47	a36	a56	a96	a79	a44	a75	a92	a37	a98	a15	a7	a79	a94	a98	a66	a54	a6	a37	a6	a7	a36	a11	a10	a87	a23	a99	a87	</S>
mes	0.0428543	0.0608657	0.0406393	0.049021	0.0464751	0.0472129	0.0390671	0.0244685	0.015662	0.00641471	0.00862378	0.0071004	0.00894788	0.0087278	0.00644514	0.00530481	0.0059698	0.00734911	0.00620108	0.00946911	0.00750963	0.00858251	0.00756578	0.00589814	0.00685907	0.012389	0.0122928	0.0132314	0.0134917	0.01876	0.0206187	0.0286829	0.0300354	0.0195492	0.0272814	0.0284949	0.016465	0.0289308	0.0216147	0.0289045	0.0154609	0.0289671	0.012901	0.0206586	0.00865706	0.00796274	0.0117964	0.00352845	0.00672321	0.00335499	0.00279839	0.00189548	0.00125642	0.0013318	0.00110123	0.00188677	0.00211707	0.00275646	0.00465675	0.00245811	0.00354397	0.00377625	0.00299857	0.00290034	0.00384095	0.00257033	0.00336129	0.00325638	0.00318091	0.00428719	0.00486817	0.0151698
parents	0.00737387	0.010938	0.0099284	0.0122671	0.00985716	0.0132	0.0130797	0.0318354	0.0204086	0.0175808	0.0199662	0.0321737	0.0352454	0.0447525	0.0485914	0.0689814	0.0360605	0.024284	0.0180316	0.0155853	0.0180537	0.0131366	0.00567822	0.00315335	0.00547941	0.00697187	0.00720028	0.00623623	0.00412234	0.00540622	0.018623	0.0125136	0.00960437	0.0165088	0.0127112	0.019149	0.0228197	0.0219642	0.0289524	0.0241083	0.0200381	0.0252895	0.0204878	0.0139332	0.00711283	0.00573958	0.00927735	0.00490992	0.00798295	0.00762792	0.00958757	0.00655181	0.00807555	0.00438416	0.00595188	0.0109884	0.0153472	0.017107	0.0141053	0.00938485	0.00965848	0.001357	0.00324665	0.000875869	0.000862627	0.00025329	0.000331932	0.000300263	0.000625897	0.000771327	0.00406691	0.00123292
m'	0.0156592	0.00986743	0.00571529	0.00606538	0.00696855	0.00747884	0.0130969	0.0123764	0.0124643	0.0153941	0.00813926	0.0153388	0.0139223	0.0317249	0.0213787	0.0203075	0.0350841	0.0206368	0.0353925	0.045229	0.035239	0.0595171	0.0323397	0.0173131	0.0191205	0.0155433	0.0149631	0.0257906	0.0139	0.0116375	0.02202	0.0252842	0.0139096	0.0127622	0.0145656	0.0144978	0.013329	0.0127896	0.0115157	0.0108869	0.0110173	0.0131472	0.00915853	0.00870272	0.0193373	0.0166442	0.0196002	0.016562	0.0216307	0.0211443	0.0231978	0.0123898	0.0101606	0.00672369	0.00493342	0.00301661	0.00352862	0.00206779	0.00190072	0.00160311	0.00192483	0.00135275	0.00238718	0.000350846	0.00152859	0.000338056	0.00184469	0.00300149	0.00316667	0.00244888	0.00436818	0.00165668
ont	0.0699174	0.0496721	0.0317241	0.0269796	0.0257158	0.0242825	0.0176598	0.00686921	0.00646199	0.00420218	0.00502399	0.00451318	0.00407791	0.0049624	0.0052963	0.00530066	0.00613659	0.0076049	0.0100912	0.00895606	0.0126894	0.00855178	0.0105269	0.0176091	0.0166787	0.0204677	0.0160582	0.0206326	0.0247298	0.0129602	0.00790844	0.0214059	0.0106305	0.0103483	0.0113751	0.0095006	0.011615	0.0134677	0.0162275	0.0183257	0.00897298	0.0100269	0.00779524	0.00972865	0.0121492	0.0138267	0.0140949	0.0130522	0.0131439	0.0118076	0.0114831	0.00983052	0.00967291	0.00944486	0.0128178	0.011112	0.00522003	0.00410707	0.00300757	0.0051837	0.0046138	0.0106845	0.0109455	0.0045451	0.0182587	0.00917483	0.0228339	0.0176625	0.0248784	0.0163465	0.027159	0.0192623
trahi	0.0411254	0.0236066	0.0119567	0.00660578	0.00951872	0.00946105	0.00570673	0.00136673	0.00140363	0.00128649	0.00175394	0.00233478	0.00199164	0.00248315	0.00245518	0.00152387	0.00327648	0.00337222	0.00382102	0.00390257	0.00739233	0.00341328	0.0101607	0.00549755	0.00609476	0.0120428	0.0194912	0.0272692	0.0163712	0.0213868	0.0411694	0.0421018	0.0404101	0.0189103	0.0243762	0.0166125	0.0152725	0.0231404	0.0210751	0.0192498	0.02475	0.0297337	0.0157563	0.0239256	0.0148495	0.0387832	0.0600908	0.0434586	0.0476521	0.0278184	0.0276497	0.0181459	0.0101717	0.00818015	0.00584925	0.00431544	0.00352661	0.00422035	0.0023143	0.00361662	0.0029315	0.00333424	0.00341364	0.0022055	0.00605424	0.00252921	0.00754045	0.00463366	0.00555913	0.00609431	0.00570168	0.00480377
car	0.0327452	0.024926	0.0187737	0.00822928	0.0101722	0.00983281	0.00700574	0.00276741	0.0044188	0.00281097	0.00380412	0.00378291	0.00275787	0.00495933	0.00638186	0.00420779	0.00825601	0.00601111	0.0119814	0.00737308	0.0315033	0.00986797	0.0209134	0.0129183	0.0171058	0.0286178	0.0333851	0.0361556	0.0415832	0.0231792	0.0173207	0.0463995	0.0282062	0.0178448	0.0225177	0.0149337	0.0113421	0.0265815	0.0281797	0.0372378	0.017549	0.0191193	0.0105376	0.0167172	0.0224099	0.0259406	0.0341751	0.0222871	0.0259516	0.0217279	0.0149695	0.00682506	0.00516222	0.0027184	0.00169487	0.00105842	0.000692421	0.00120261	0.000850929	0.00133553	0.00157994	0.00283492	0.00220906	0.00277958	0.00384478	0.00385495	0.00405201	0.00338092	0.00425641	0.00867363	0.00902219	0.0135954
ils	0.0165001	0.0102435	0.014422	0.00658943	0.00657224	0.00634547	0.00636901	0.0066292	0.00684836	0.00509164	0.0110536	0.0114688	0.0164078	0.0155189	0.0243741	0.027786	0.0296259	0.0200575	0.0216755	0.0130485	0.0191212	0.0114969	0.0141515	0.0194781	0.0207451	0.0246867	0.0154219	0.0136414	0.0236809	0.0166376	0.0125891	0.0318055	0.0258145	0.0250714	0.0338376	0.0189377	0.0173668	0.0305014	0.0361044	0.0377202	0.0199352	0.0207497	0.0149818	0.0261622	0.0185051	0.0117175	0.0173126	0.0163566	0.019181	0.0156489	0.0121139	0.00768264	0.00839341	0.00755209	0.0032311	0.00335142	0.00225488	0.00347073	0.0038836	0.0043091	0.00429887	0.00294959	0.00266738	0.00103158	0.00270112	0.00220375	0.00213374	0.0041089	0.00318154	0.0033908	0.00395906	0.00514297
ont	0.0285483	0.0188943	0.0195475	0.00935625	0.00919348	0.00859019	0.00502434	0.00388711	0.00363357	0.00182447	0.00604649	0.00713336	0.00685123	0.00824915	0.0157573	0.0161797	0.0157124	0.00962121	0.0123185	0.00247859	0.00894602	0.00152016	0.00896193	0.0156574	0.0237846	0.0218752	0.0151743	0.00861869	0.0249891	0.0205941	0.0167223	0.0328876	0.0266053	0.0301403	0.0363611	0.0211895	0.0224098	0.0348417	0.033187	0.033587	0.0287481	0.0241791	0.0201405	0.0336756	0.0165083	0.0132467	0.0194365	0.0143345	0.0144077	0.011928	0.0119364	0.00843471	0.0072023	0.0117812	0.00518761	0.00502125	0.00464653	0.00528431	0.00533558	0.00490085	0.00719472	0.00710138	0.00464644	0.00146727	0.00465929	0.00555906	0.00887063	0.0091119	0.00724621	0.00783053	0.0105615	0.0125148
refusé	0.0289785	0.0290223	0.0289191	0.0130746	0.0185547	0.0152811	0.00844744	0.00397237	0.00316049	0.00171859	0.00687779	0.0104597	0.0086236	0.0088297	0.0179186	0.0141861	0.017149	0.00950755	0.012578	0.00284185	0.00829911	0.00216962	0.0134705	0.0116502	0.0186151	0.0128563	0.0190221	0.0137211	0.0207823	0.0294282	0.0252728	0.0224495	0.019268	0.0278891	0.0287333	0.0208734	0.022077	0.0242562	0.0226632	0.0192224	0.0244749	0.019852	0.0212585	0.0246659	0.0163122	0.0147551	0.0133782	0.0108618	0.0108725	0.012449	0.0111952	0.00889653	0.0085752	0.012133	0.00579597	0.00758837	0.00636696	0.00688054	0.00588266	0.00540502	0.00631398	0.00508024	0.00569841	0.00161519	0.00446435	0.00503448	0.00841685	0.00982793	0.00677799	0.010997	0.0135135	0.0318397
de	0.0441198	0.0301249	0.0252467	0.0183712	0.0234551	0.0163581	0.00912006	0.00561073	0.00463487	0.00313865	0.00918783	0.012485	0.0107114	0.0108816	0.0142762	0.0099814	0.0175505	0.00953628	0.0144138	0.00324621	0.0085076	0.00388453	0.0132342	0.0141614	0.0212111	0.0174635	0.0227191	0.0136429	0.0231429	0.0271506	0.0168523	0.0237915	0.0174104	0.0220026	0.0208272	0.0169168	0.0164376	0.0196466	0.0219943	0.0184401	0.0166487	0.0170142	0.0164543	0.0193451	0.0125092	0.0112246	0.00940508	0.00562609	0.00665335	0.00861233	0.00790841	0.00511282	0.0045242	0.010961	0.00406174	0.00567737	0.00314345	0.00374035	0.00255169	0.00448612	0.00635603	0.00800665	0.0116567	0.00284516	0.0118901	0.00787506	0.0141439	0.0126781	0.0138417	0.0153043	0.0226788	0.0451758
