 	a23	a40	a44	a66	a61	a75	a44	a98	a85	a37	a26	a40	a90	a15	a98	a92	a85	a73	a44	a90	a70	a24	a0	a93	a90	a15	a73	a2	a57	a87	a10	a11	a75	a25	a90	a15	a44	a58	a82	a38	a12	a96	a83	a11	a21	a18	a25	a75	a47	a44	a7	a57	a99	a97	a99	a87	a23	a99	a9	a99	a9	</S>
ses	0.0163086	0.0139994	0.0204059	0.0444205	0.0432932	0.0306754	0.033312	0.0188601	0.0293221	0.0305508	0.023702	0.0285749	0.0299102	0.0319098	0.0513236	0.0587884	0.0408306	0.0519221	0.0260442	0.0193028	0.0265369	0.010346	0.0048908	0.00543942	0.00846647	0.00660111	0.00868354	0.00597441	0.00804133	0.0099362	0.015842	0.0142361	0.0126341	0.0141084	0.00783696	0.0147616	0.0142403	0.0137642	0.0258022	0.0177225	0.00750181	0.0032934	0.00275432	0.00193006	0.00151529	0.00254218	0.00308912	0.00376189	0.00352204	0.0031472	0.00362074	0.00312959	0.00482943	0.00476884	0.00516053	0.00583638	0.00726986	0.00698552	0.00685092	0.00655162	0.00822439	0.0143937
collègues	0.00227223	0.00318017	0.00496993	0.00517364	0.00883863	0.00749768	0.0175893	0.0111533	0.0212545	0.0354582	0.0255307	0.0174576	0.028673	0.0676058	0.0233312	0.0331946	0.0259298	0.035812	0.0283132	0.0133504	0.0697976	0.0570608	0.019775	0.0237875	0.0119746	0.0070298	0.00976666	0.0121239	0.031902	0.0255269	0.0638599	0.0422908	0.0293892	0.0194037	0.0178475	0.0251798	0.0309291	0.0361098	0.0213709	0.0108459	0.00337717	0.00218676	0.000787632	0.000572504	0.000231966	0.000229054	0.000233996	0.00027783	0.000399929	0.000488913	0.00102148	0.000618873	0.000644209	0.000536877	0.000565472	0.000558002	0.000668628	0.000655258	0.000574965	0.000611751	0.00101191	0.00118981
de	0.006968	0.0269834	0.0298491	0.0213459	0.0363162	0.0355297	0.0320984	0.0278556	0.013824	0.0366466	0.023497	0.0203078	0.0124114	0.0122776	0.0141271	0.0103893	0.0147802	0.0158729	0.0134118	0.0177936	0.0234285	0.0185514	0.0147234	0.0122978	0.0197179	0.0346106	0.0337492	0.0415584	0.0378599	0.0248679	0.0182499	0.0241448	0.0231369	0.0244433	0.0189368	0.0195373	0.0106588	0.00898904	0.015334	0.0142063	0.0156072	0.0173254	0.0113251	0.00883664	0.00629434	0.00509999	0.00720299	0.00470944	0.00348162	0.00402823	0.00397237	0.00535488	0.00450759	0.00413408	0.00764927	0.00422425	0.00326948	0.0040691	0.00508732	0.00318323	0.00614488	0.00320457
classe	0.00432979	0.00230092	0.00320889	0.000847551	0.00132597	0.00140046	0.000985409	0.0012094	0.00167309	0.00192973	0.00533303	0.00326284	0.00101302	0.00176802	0.00232815	0.00165766	0.00233921	0.0120293	0.00675998	0.0071713	0.0154929	0.0412463	0.0323785	0.0421937	0.0764358	0.086106	0.0668234	0.0650271	0.0395395	0.0324713	0.0607272	0.0575184	0.037839	0.0292915	0.0318325	0.0228239	0.0104077	0.0157134	0.0382788	0.0256715	0.0165932	0.00711096	0.00622814	0.00383169	0.00472641	0.00796719	0.00496596	0.00248756	0.00173552	0.00223772	0.00353259	0.00340039	0.00447426	0.00461594	0.00841802	0.00535732	0.00613314	0.00486971	0.00395227	0.00235225	0.00221818	0.00209936
l'	0.00944213	0.0053634	0.0051499	0.00291633	0.00485039	0.0120211	0.00497759	0.00354205	0.00703615	0.0058886	0.0141369	0.0129207	0.00562199	0.00367278	0.0119787	0.00676346	0.023443	0.015142	0.0159955	0.028839	0.0113875	0.041596	0.0306651	0.029676	0.0323894	0.0822183	0.0696821	0.0677707	0.065232	0.0397316	0.034551	0.0406284	0.0225675	0.0142422	0.0161036	0.0149728	0.0124141	0.0147975	0.0177468	0.0142452	0.0171938	0.0122874	0.00953204	0.00837709	0.00722022	0.00650524	0.0070342	0.00373903	0.00220901	0.00205346	0.00440906	0.00309043	0.00294931	0.00343604	0.00651058	0.00337595	0.00422729	0.00608873	0.00438954	0.00431772	0.00455221	0.00418204
ont	0.00289404	0.000956243	0.00170802	0.00146696	0.00148804	0.00220625	0.00141872	0.00221969	0.00171132	0.00172184	0.00243258	0.00170214	0.00453142	0.00591482	0.00792139	0.0105164	0.0128956	0.0163197	0.011651	0.00688473	0.0236202	0.0280825	0.0307274	0.0361995	0.0513871	0.0554673	0.064406	0.0718255	0.0968327	0.0662656	0.0646027	0.0655437	0.0323449	0.0321492	0.0292376	0.0161664	0.0123293	0.0150343	0.0221475	0.0156979	0.0131903	0.00923677	0.00609142	0.00403752	0.00279795	0.00223401	0.00194816	0.00184806	0.00109156	0.00217888	0.00160448	0.0013616	0.00113781	0.00168383	0.00411421	0.00142867	0.00268322	0.00234676	0.00296482	0.00273054	0.00228683	0.00237426
raisonné	0.00737946	0.00217509	0.00395697	0.00418895	0.00364657	0.0055371	0.00358046	0.00914056	0.00371467	0.00746249	0.0102203	0.00791667	0.00806586	0.00974711	0.0178583	0.0145775	0.0230541	0.0206613	0.0126281	0.012013	0.0234982	0.0160456	0.00871876	0.0134537	0.0541247	0.0284893	0.061312	0.0853572	0.0859956	0.0581668	0.0708032	0.0594705	0.0269983	0.0317769	0.0258904	0.0202687	0.0167951	0.0170143	0.0205279	0.0176627	0.00982319	0.00462556	0.00291691	0.0011109	0.00112569	0.00189787	0.00251788	0.00200032	0.00120394	0.00250986	0.00347869	0.00213769	0.00214132	0.0027331	0.0065067	0.00233561	0.00318426	0.00454253	0.00351353	0.00324981	0.00404409	0.00250579
parce	0.0239755	0.0111615	0.00878349	0.0111211	0.00650586	0.00786796	0.00601944	0.0108642	0.00454042	0.010036	0.0115638	0.00871157	0.0116863	0.0144839	0.0169981	0.00928513	0.0123319	0.0170665	0.00913815	0.00842517	0.0114231	0.00607571	0.00388652	0.00656011	0.0211236	0.0136476	0.021998	0.0308095	0.0677829	0.0559419	0.0761447	0.0461831	0.0280415	0.0256866	0.0162437	0.0155215	0.0159788	0.0141875	0.0210613	0.016326	0.0138818	0.0111723	0.00897854	0.00615002	0.00609493	0.0100082	0.00671297	0.00516551	0.0055405	0.00713636	0.0175453	0.0105887	0.0127444	0.00954272	0.0161361	0.0133578	0.0198754	0.0194842	0.0160729	0.0126485	0.0180588	0.0179141
qu'	0.0675087	0.0320249	0.0242543	0.0134628	0.0148279	0.0132914	0.0145681	0.0259345	0.0229211	0.0222943	0.0338901	0.0336389	0.0190569	0.0210706	0.014525	0.00561946	0.00910477	0.0130456	0.00615221	0.0051765	0.00577042	0.00959798	0.0062145	0.00737763	0.0116739	0.0151294	0.0198494	0.0235156	0.0192587	0.0205848	0.0174307	0.0130004	0.0112512	0.0122201	0.0066214	0.00679334	0.00551311	0.00461854	0.01212	0.00889658	0.00563029	0.0047992	0.00490048	0.00539208	0.00525546	0.00638758	0.00958248	0.00954808	0.00931374	0.0133033	0.0146847	0.0143262	0.0163148	0.0189473	0.0255565	0.019357	0.0184446	0.0302751	0.0207081	0.0315687	0.0322352	0.0336631
il	0.0277704	0.00855703	0.0101873	0.0089394	0.00659308	0.00582223	0.00490838	0.0159021	0.00512164	0.0100888	0.0162083	0.0172331	0.00997898	0.010129	0.0120964	0.00360566	0.00624672	0.00713912	0.00388444	0.00357963	0.00380202	0.00695334	0.00449622	0.0051809	0.00980316	0.0107317	0.00919291	0.0127234	0.0140158	0.0153312	0.0143492	0.010828	0.0119089	0.0135104	0.00742429	0.00888862	0.00886759	0.00779548	0.0151014	0.00859607	0.0068264	0.00643735	0.00749894	0.0131091	0.0121096	0.0193171	0.0227922	0.0206987	0.0239633	0.0262684	0.0306049	0.0349285	0.0360335	0.0322441	0.0523002	0.0357918	0.0368095	0.0398088	0.0335998	0.0428059	0.0414049	0.0311547
