 	a57	a87	a23	a38	a94	a56	a96	a75	a92	a85	a44	a57	a53	a56	a34	a83	a90	a82	a75	a18	a25	a38	a21	a61	a21	a61	a21	a92	a44	a13	a18	a30	a93	a34	a47	a62	a83	a9	a10	a87	a23	a87	</S>
dans	0.063832	0.0881144	0.0915771	0.0682017	0.0655757	0.0318796	0.0231777	0.0537324	0.0439941	0.0253791	0.0133255	0.0108342	0.00831461	0.00764559	0.0145096	0.0104635	0.0133964	0.0079656	0.0109366	0.0074105	0.00787503	0.00991643	0.00715147	0.00857429	0.0123805	0.0170296	0.0224142	0.0245686	0.0190426	0.0121827	0.0157086	0.01555	0.0109228	0.0111106	0.0107507	0.0097811	0.0108456	0.012224	0.0129149	0.00922276	0.0145016	0.0167936	0.0482724
la	0.0282892	0.0164784	0.012357	0.0111893	0.0147129	0.019476	0.0307683	0.0313189	0.0368861	0.0368425	0.0326271	0.0288876	0.0243756	0.0196187	0.0157154	0.0105826	0.00795348	0.00923973	0.00750544	0.00876855	0.0106347	0.0146746	0.0161777	0.020911	0.0177976	0.0233382	0.0169224	0.0144207	0.0171027	0.012013	0.0113211	0.0170709	0.0186945	0.0189507	0.0339116	0.0379423	0.0383533	0.040451	0.0365806	0.0419453	0.0372429	0.0489082	0.0510422
nuit	0.0320171	0.0323153	0.024617	0.0209334	0.0315165	0.0475518	0.0380339	0.0589774	0.0660429	0.0651508	0.0960246	0.0486668	0.0408943	0.0649031	0.0446537	0.0436427	0.0355973	0.0313529	0.0167863	0.0168672	0.0151478	0.0104716	0.00787615	0.00543145	0.00760009	0.00736967	0.00805719	0.00807679	0.0121969	0.00627061	0.00554148	0.00671521	0.00726091	0.00674523	0.00469963	0.00292942	0.00389003	0.00213308	0.00234308	0.00370651	0.00323925	0.00230004	0.00345286
la	0.0153177	0.00582328	0.00364911	0.00378308	0.00683102	0.00854672	0.0106675	0.021878	0.0270074	0.0288847	0.0366881	0.0316829	0.0336501	0.0591461	0.065537	0.0665266	0.0623879	0.0864322	0.0542743	0.0696619	0.0518285	0.0348854	0.0249815	0.025997	0.012987	0.0176603	0.00881787	0.00997887	0.00670336	0.00542323	0.00501155	0.00533972	0.00409993	0.00309716	0.00315164	0.0038701	0.00631185	0.0100937	0.010655	0.0164899	0.0139749	0.013007	0.00725889
lampe	0.0455398	0.0192034	0.0156432	0.0142859	0.012661	0.00704184	0.00381918	0.00487979	0.0088641	0.00959485	0.012163	0.019299	0.0360116	0.0551944	0.0592561	0.0906922	0.110492	0.104452	0.0708144	0.0638197	0.0458407	0.0319474	0.0165854	0.0190156	0.0175543	0.0125567	0.00906328	0.0115483	0.0105633	0.00991266	0.00758571	0.00576896	0.00419781	0.00419136	0.00388554	0.00247248	0.00349062	0.00173643	0.00213291	0.00215518	0.00210569	0.004962	0.00700111
émet	0.05816	0.0563997	0.0643878	0.0554225	0.0421978	0.0166307	0.0166154	0.0157982	0.00908293	0.00788877	0.00866613	0.0129015	0.0188811	0.0169555	0.0195983	0.0182166	0.0200183	0.0196207	0.0138097	0.0131594	0.0116431	0.0105047	0.0145236	0.0157234	0.0152704	0.0158906	0.0142231	0.0144809	0.0140052	0.0137679	0.0177572	0.0187834	0.0201396	0.0145332	0.0225107	0.0196608	0.0264775	0.0245666	0.0323043	0.0285591	0.0416972	0.0437536	0.0448129
une	0.0878786	0.0604201	0.0392324	0.0301144	0.0264986	0.0104934	0.00820286	0.00711411	0.00574623	0.00575959	0.00695421	0.00789156	0.0153265	0.0151684	0.0124755	0.00669856	0.0072981	0.0058559	0.00690207	0.00892708	0.00826656	0.00793204	0.00874238	0.00971543	0.00985513	0.0124446	0.0106411	0.0118495	0.0102303	0.0148614	0.0216255	0.0189569	0.025401	0.0179905	0.048092	0.0391338	0.0438664	0.0614107	0.0653673	0.0516865	0.0499408	0.0419223	0.0351095
lumière	0.0597576	0.040219	0.0351187	0.0401589	0.0451708	0.0174129	0.0100617	0.0123227	0.0130763	0.012907	0.0199148	0.0164965	0.0312297	0.0344718	0.0307257	0.0264112	0.0254892	0.021383	0.016139	0.0176648	0.0169382	0.0159215	0.0166268	0.016629	0.0180289	0.0182851	0.0167914	0.0166935	0.0146077	0.0178758	0.0162307	0.012395	0.0144596	0.015072	0.0201882	0.0177887	0.0181329	0.0336081	0.0414151	0.0272464	0.0295963	0.027925	0.0314127
éblouissante	0.0965647	0.0360819	0.0271824	0.0258266	0.0262201	0.0110532	0.00512098	0.0116978	0.0105257	0.00813346	0.0105599	0.00875084	0.0156598	0.0186824	0.0199352	0.0183531	0.0148694	0.0119683	0.0110395	0.0134502	0.0140557	0.0131662	0.0139059	0.0160489	0.021987	0.0255165	0.0215112	0.0224024	0.0236378	0.0260229	0.0194488	0.0152912	0.0212502	0.0167363	0.0300764	0.0312545	0.0298286	0.0442074	0.0523502	0.0392231	0.0349973	0.0294602	0.0359461
</S>	0.102709	0.0528023	0.0531308	0.0329892	0.0287713	0.0102688	0.00509535	0.00975944	0.00666558	0.00543928	0.00586765	0.00520891	0.0102342	0.0123256	0.0130134	0.0135582	0.0144853	0.0130495	0.0134484	0.016315	0.015414	0.0107533	0.0105914	0.0136349	0.0156417	0.0182028	0.0147856	0.0122573	0.013043	0.0143099	0.0159451	0.0166117	0.026836	0.0138348	0.0338928	0.0346462	0.0376206	0.0479854	0.0479761	0.0412914	0.0352313	0.0416537	0.0427036
