 	a87	a23	a83	a75	a5	a85	a47	a37	a75	a37	a66	a98	a47	a5	a61	a47	a66	a71	a11	a66	a18	a83	a0	a75	a47	a44	a53	a69	a4	a57	a3	a97	a87	a23	a10	a87	</S>
le	0.0407158	0.0453763	0.0591564	0.0335379	0.052468	0.0439405	0.0692209	0.0427781	0.0440549	0.0351692	0.030239	0.0230071	0.0343468	0.038156	0.0423964	0.0353238	0.0252144	0.0199014	0.0147244	0.00991255	0.0107565	0.027718	0.0253569	0.0137697	0.0147128	0.0161166	0.0175029	0.0161267	0.012281	0.0133711	0.0157448	0.0162446	0.012084	0.00906894	0.0114526	0.0100612	0.0179915
chef	0.00321232	0.0116128	0.0175625	0.025561	0.0565036	0.0866561	0.111417	0.219506	0.175697	0.0616347	0.0654545	0.0442292	0.0295855	0.0141446	0.010107	0.0100614	0.00626517	0.00794226	0.00909512	0.00684966	0.00682063	0.00222789	0.00223648	0.00272453	0.00215045	0.00180884	0.00136462	0.00130601	0.00100648	0.000670797	0.00105584	0.00093245	0.000469938	0.000486523	0.000232117	0.000902622	0.000507056
traditionnel	0.0345064	0.0321997	0.0366114	0.0480622	0.0963556	0.130519	0.0948767	0.0956829	0.13314	0.0941967	0.0485053	0.0624835	0.0184222	0.00730466	0.0037451	0.00308692	0.00402666	0.00332876	0.00428151	0.00206946	0.00295002	0.00205618	0.00246758	0.00566963	0.00252541	0.00660044	0.00199931	0.00398882	0.00179145	0.00177507	0.00102526	0.00306983	0.00174877	0.00287281	0.00157325	0.003166	0.00131533
se	0.0223058	0.017805	0.015337	0.018047	0.0183061	0.0160374	0.0103606	0.0107371	0.0151967	0.0289518	0.0664338	0.0775306	0.0511351	0.0332257	0.0260377	0.0245505	0.0229918	0.0377286	0.0707812	0.0293165	0.0374806	0.0433064	0.0231298	0.036215	0.0245592	0.0297421	0.0132458	0.0142615	0.0129779	0.0191557	0.0137217	0.0171783	0.0194408	0.0240191	0.0184874	0.0172318	0.0230308
promène	0.0304541	0.0241369	0.0159667	0.0140013	0.0138394	0.0100125	0.011155	0.00949316	0.0120957	0.012469	0.0169024	0.0237832	0.0290778	0.037827	0.0496146	0.0612602	0.0583626	0.0624107	0.0450897	0.0813739	0.0566781	0.0576344	0.0956542	0.0526377	0.040859	0.0262789	0.00622419	0.00661142	0.00314945	0.00517313	0.00393219	0.00585222	0.00456014	0.00473158	0.00350239	0.00307476	0.00412026
avec	0.10036	0.0763694	0.0559456	0.0422867	0.0199652	0.0127839	0.00549149	0.004984	0.00585253	0.00866971	0.00575706	0.00797993	0.00835212	0.00904111	0.0108217	0.0114456	0.0157084	0.0191984	0.014614	0.0106106	0.0125484	0.0168428	0.0205601	0.0263198	0.03231	0.0472154	0.0411054	0.0431909	0.0256084	0.0388056	0.0357409	0.0340301	0.0362878	0.0417941	0.0232876	0.0388504	0.0392645
son	0.0436247	0.0423563	0.039238	0.0389513	0.0352373	0.0277908	0.0180507	0.0153267	0.0184194	0.0225596	0.0116403	0.0115228	0.00965377	0.00964156	0.00687131	0.00685965	0.00732938	0.00944314	0.0113439	0.00711291	0.00971877	0.00917546	0.00923098	0.0115006	0.0127194	0.018434	0.0194493	0.0244337	0.0337697	0.0390904	0.0398524	0.0463838	0.0442283	0.0511782	0.0591284	0.0715805	0.107153
sceptre	0.0272746	0.0205227	0.0112588	0.0131062	0.0137969	0.0188805	0.0151504	0.019928	0.0273359	0.038843	0.0438088	0.0758979	0.0423765	0.0313246	0.0275348	0.0297882	0.0371942	0.0345195	0.0364353	0.0245461	0.0219748	0.0339771	0.0256871	0.0180776	0.0166564	0.018174	0.0171184	0.019523	0.0215212	0.0281684	0.0289045	0.0333958	0.0257661	0.0310041	0.0251794	0.0249789	0.0203701
à	0.0394565	0.0423835	0.0344147	0.0323939	0.0402868	0.0378494	0.0356833	0.0287959	0.0344994	0.0298143	0.0182986	0.0185136	0.0150819	0.0152636	0.0124055	0.0155935	0.0156784	0.0170655	0.0230859	0.0101759	0.00934112	0.00927853	0.00893533	0.00978729	0.0114608	0.0178689	0.0227029	0.0305465	0.0264067	0.0302023	0.0297155	0.0426348	0.0418633	0.0389873	0.0390413	0.048772	0.0657158
la	0.0241903	0.0262456	0.0235187	0.0227223	0.0249867	0.0245972	0.0250305	0.0263472	0.0287601	0.0262349	0.0200511	0.0145501	0.0128903	0.0147662	0.0119115	0.01477	0.0162392	0.0189682	0.0232846	0.0136856	0.0171225	0.0159191	0.0132182	0.0157957	0.0161838	0.0125121	0.0233358	0.0276207	0.0316849	0.0286323	0.0397411	0.0501424	0.0507599	0.0444025	0.0559131	0.0608787	0.082387
main	0.0398258	0.0351809	0.024101	0.029023	0.022994	0.0205052	0.0155465	0.0207351	0.0267892	0.035219	0.0189943	0.0299302	0.021772	0.0200307	0.0223668	0.0258599	0.0275389	0.0251325	0.0262299	0.0169574	0.0178993	0.0192889	0.0196762	0.0192134	0.0131506	0.0170451	0.0151069	0.0216804	0.0138619	0.0175921	0.0288167	0.0332455	0.0388094	0.0377822	0.0403841	0.0554127	0.086302
</S>	0.035804	0.0373744	0.0424295	0.0392894	0.0520015	0.0428441	0.0401475	0.0363442	0.0297201	0.019678	0.0101233	0.00883889	0.00822788	0.00905027	0.00876117	0.0109447	0.0130534	0.0115335	0.0107002	0.00714566	0.00878701	0.0123441	0.0171723	0.0154299	0.0189891	0.0153869	0.0246094	0.0298149	0.0266631	0.0227041	0.0249998	0.0382043	0.0372545	0.0279971	0.0405156	0.0516906	0.113425
