 	a15	a66	a87	a23	a10	a83	a54	a15	a79	a44	a56	a94	a93	a4	a93	a56	a44	a98	a6	a0	a61	a88	a50	a75	a6	a36	a2	a57	a87	a23	a87	</S>
l'	0.032053	0.0476988	0.0289837	0.0259437	0.0393497	0.060196	0.0653435	0.053452	0.0408249	0.0355513	0.0153005	0.0289452	0.0267637	0.0384506	0.0386889	0.0227394	0.0190133	0.0152137	0.0134585	0.0101578	0.0186432	0.0200779	0.0159291	0.0220963	0.0267703	0.0379361	0.0225428	0.0250911	0.0200164	0.0315729	0.0280316	0.073164
héron	0.00680353	0.00770813	0.00901436	0.0117341	0.00990851	0.0242801	0.0407969	0.0737046	0.119243	0.173811	0.0791618	0.0473157	0.0492411	0.0388884	0.0548788	0.0428627	0.0251615	0.0313231	0.0375061	0.0349802	0.0235372	0.016218	0.00403794	0.00701735	0.00355247	0.00339063	0.00420831	0.0024869	0.00255995	0.00502866	0.00466858	0.00497052
est	0.0396261	0.0371029	0.03686	0.0446208	0.0416139	0.0370375	0.0302472	0.0248403	0.0265964	0.0227368	0.0184705	0.0140235	0.0197426	0.0165443	0.0298151	0.0382055	0.0300686	0.0255181	0.0303866	0.0235765	0.0338002	0.0224467	0.0183583	0.0276678	0.0517113	0.0454457	0.033315	0.0384462	0.029424	0.0332043	0.0495231	0.0290244
en	0.00502008	0.00257641	0.00412265	0.00387272	0.00359642	0.00173753	0.000857629	0.00221184	0.00212873	0.00541026	0.00797255	0.00816528	0.0274068	0.0496731	0.0957503	0.206312	0.121434	0.0973947	0.0258696	0.0324002	0.051145	0.071054	0.0308564	0.032995	0.0287246	0.0277502	0.0101605	0.0121241	0.0102985	0.0085715	0.00586879	0.00653868
train	0.0236289	0.0295427	0.0372626	0.037326	0.0329388	0.019701	0.0145633	0.0166732	0.0134233	0.00947808	0.010305	0.0140525	0.0180584	0.0352834	0.0486874	0.0771106	0.0762155	0.0944692	0.0340049	0.0350343	0.0368599	0.0402164	0.0295996	0.0211837	0.0301776	0.0330815	0.0174303	0.0254398	0.0191422	0.0229795	0.0217507	0.0243797
de	0.0160488	0.0152162	0.0113568	0.0127094	0.0142792	0.014063	0.0134811	0.0161472	0.0134873	0.00583271	0.0134467	0.0139983	0.014116	0.00890637	0.00594095	0.00688589	0.00550841	0.00308031	0.0105985	0.0137051	0.0273073	0.0159887	0.0318595	0.043749	0.0872062	0.0827535	0.083333	0.0670389	0.0867616	0.0809001	0.0854573	0.0788367
se	0.0173202	0.0181107	0.0175087	0.014209	0.0132775	0.014225	0.0120691	0.0108499	0.00734259	0.0115047	0.0280699	0.0407832	0.0628705	0.0677013	0.0864672	0.0959796	0.103743	0.0835522	0.0659021	0.0919766	0.0200959	0.0116161	0.0138215	0.0134887	0.0234689	0.0129337	0.0070671	0.00550215	0.00610568	0.00729337	0.00929143	0.00585234
promener	0.0234962	0.0241421	0.0281047	0.0231799	0.023978	0.0214793	0.0219796	0.0163526	0.0137027	0.0256573	0.0552196	0.0769948	0.0984159	0.0745136	0.0644334	0.0543616	0.0605014	0.0426069	0.0341296	0.0280165	0.0138018	0.00961519	0.00997996	0.0152173	0.0205455	0.0184595	0.0175397	0.0173828	0.0128685	0.012827	0.0176014	0.0228954
dans	0.0411973	0.0388062	0.0438731	0.0348088	0.0325564	0.0227822	0.0277455	0.0326625	0.0148091	0.0101517	0.0218677	0.0309064	0.0388553	0.0254364	0.0266777	0.0233581	0.0311608	0.020766	0.044044	0.0295915	0.0229718	0.0236415	0.0360964	0.031972	0.0638098	0.0400846	0.0276349	0.0294001	0.0295816	0.0259033	0.0322832	0.0445639
la	0.0322908	0.025995	0.0224194	0.0199282	0.0214153	0.0197067	0.0189166	0.0212202	0.0166314	0.0158114	0.0180093	0.0199365	0.0143486	0.0118012	0.0120623	0.00977894	0.0110146	0.00882293	0.0157154	0.0130865	0.0300503	0.0235225	0.0183653	0.0397589	0.0839465	0.0655029	0.0533806	0.0627474	0.0547189	0.0519675	0.0529235	0.114205
savane	0.0155008	0.0140244	0.0177994	0.0139979	0.0166755	0.0154396	0.0133826	0.0164902	0.0118202	0.00795283	0.00947377	0.0108572	0.0265787	0.0189864	0.0213307	0.0198965	0.0176924	0.0152763	0.0268302	0.0251583	0.0228522	0.0267745	0.0294626	0.0361544	0.067481	0.0812867	0.0624382	0.0687036	0.0720379	0.0653614	0.0565463	0.0757373
brûlée	0.0307088	0.037715	0.0327774	0.0250831	0.029729	0.0381941	0.0440667	0.0403827	0.0286208	0.0310874	0.0406513	0.0539212	0.0427676	0.0351107	0.0240141	0.0187203	0.0204131	0.0166996	0.022406	0.0135474	0.0104855	0.00850582	0.0070538	0.0105961	0.0283528	0.0268896	0.0205876	0.0346104	0.0360691	0.0423821	0.0533629	0.0944877
</S>	0.0597584	0.058705	0.049456	0.0371916	0.0404528	0.0368539	0.0430162	0.0421934	0.0329602	0.0238779	0.0190829	0.0194966	0.0155381	0.0148049	0.0124672	0.0102076	0.012135	0.00951279	0.0145679	0.0161157	0.0198752	0.00930209	0.0138509	0.0155527	0.0368253	0.0262041	0.0245772	0.0343341	0.0356394	0.0397377	0.0544086	0.121299
