 	a66	a87	a23	a87	a23	a61	a5	a43	a11	a61	a18	a24	a31	a24	a31	a62	a83	a9	a83	a24	a31	a62	a88	a50	a83	a70	a13	a3	a99	a87	a23	a87	</S>
cette	0.0576353	0.0645672	0.059028	0.0491338	0.0471823	0.0617107	0.0317943	0.0295255	0.0343146	0.0229622	0.0315105	0.0307486	0.01593	0.0232597	0.0137219	0.0144808	0.0120188	0.0184016	0.0195147	0.0125924	0.00762474	0.0190622	0.0250366	0.0281094	0.0385192	0.0228075	0.0277521	0.0232434	0.0219947	0.0304656	0.0463599	0.0203439	0.0386479
manière	0.0083191	0.0176532	0.0306169	0.0574245	0.082691	0.122283	0.14663	0.0939529	0.0724587	0.0359792	0.0522165	0.0534552	0.0268675	0.035615	0.0349057	0.0118331	0.00807902	0.0123036	0.0108667	0.00341559	0.00604197	0.00473862	0.0023794	0.00283601	0.00894603	0.0114728	0.00280407	0.00845492	0.0139621	0.00411357	0.00560092	0.00752103	0.00356252
de	0.0685267	0.046639	0.0267871	0.0290536	0.0257125	0.0238122	0.0266844	0.0238066	0.0212399	0.0157593	0.0135297	0.0164931	0.0220699	0.00660382	0.0148211	0.0221134	0.0172367	0.0107545	0.0174449	0.0255	0.0177959	0.0294627	0.0396072	0.020174	0.0314925	0.0246884	0.0521993	0.0418642	0.0386035	0.0645365	0.0401806	0.076952	0.0478548
dire	0.0231619	0.0180742	0.00918494	0.00766272	0.0169505	0.00791795	0.0458094	0.0283251	0.0315368	0.0790275	0.0265276	0.050211	0.0828467	0.0269235	0.048364	0.0477973	0.040323	0.0298821	0.0595553	0.0530356	0.0702324	0.0358443	0.022246	0.019278	0.025703	0.0143351	0.0139592	0.00870801	0.0120565	0.0136033	0.0136684	0.00957349	0.00767511
au-revoir	0.0269104	0.023377	0.0177976	0.0113809	0.00866914	0.00929521	0.0182518	0.0333755	0.035009	0.0751068	0.0440436	0.0660538	0.0597338	0.0350971	0.0302951	0.0327835	0.0393507	0.030324	0.0298877	0.0354257	0.02697	0.0490689	0.0289139	0.0115439	0.0234975	0.021789	0.0207502	0.0136835	0.0337666	0.0434311	0.0257755	0.0151617	0.0234798
est	0.030549	0.0284967	0.0200396	0.015465	0.0144997	0.0119004	0.0152357	0.018335	0.0155954	0.0223217	0.0214178	0.0229635	0.0327134	0.0314632	0.0421331	0.0288007	0.0323712	0.0200761	0.0166114	0.0175618	0.00927034	0.0183384	0.0188739	0.00554714	0.00977115	0.0182699	0.0303802	0.00971723	0.0464167	0.11246	0.117442	0.061914	0.0830487
celle	0.020383	0.0126337	0.00957445	0.00852123	0.00715665	0.00435566	0.00438564	0.00847412	0.00363484	0.00612633	0.00651286	0.0062681	0.00986013	0.0129338	0.0123038	0.0241424	0.0374807	0.0322203	0.0380992	0.0436785	0.0264565	0.039787	0.0461062	0.0276797	0.0210922	0.0343031	0.0575945	0.0520797	0.0527546	0.0743598	0.0984695	0.0971828	0.0633888
des	0.0226185	0.0142019	0.0070804	0.006677	0.0040146	0.00398835	0.00281297	0.0108776	0.00357545	0.00538772	0.00585804	0.00560644	0.00874871	0.011991	0.0128597	0.0213795	0.0309979	0.0390753	0.0305971	0.0270208	0.0371443	0.0442415	0.0401372	0.0281135	0.0374841	0.0608873	0.0702071	0.068567	0.0673982	0.0668417	0.0627242	0.085281	0.0556038
vieillards	0.0176237	0.0129742	0.00761425	0.00776603	0.00659381	0.00772891	0.00547805	0.0172879	0.00679815	0.0122154	0.0115308	0.0145976	0.0220729	0.0272393	0.0182223	0.0222896	0.0347985	0.0405285	0.0299434	0.0312699	0.0336709	0.044945	0.0315659	0.0275063	0.0204865	0.0480305	0.0879718	0.0350841	0.0531165	0.0617678	0.091338	0.0705656	0.039378
</S>	0.013564	0.0128561	0.00925108	0.00971716	0.00988932	0.00995312	0.00511544	0.0106802	0.00663621	0.00921374	0.00737374	0.00941687	0.0124963	0.0181473	0.0115857	0.019285	0.0393542	0.0726766	0.0474847	0.0392336	0.0334175	0.0493159	0.0459044	0.0255025	0.029311	0.0499277	0.0872262	0.0278952	0.0474857	0.0527294	0.0921426	0.0485406	0.0366708
