 	a66	a87	a97	a99	a53	a5	a36	a54	a15	a7	a44	a53	a90	a94	a90	a69	a58	a82	a99	a38	a83	a70	a94	a62	a88	a71	a53	a90	a94	a75	a85	a92	a36	a94	a43	a11	a24	a94	a36	a15	a69	a4	a44	a36	a26	a57	a97	a87	a97	</S>
le	0.0266635	0.0233509	0.0284549	0.0254984	0.0202322	0.0125231	0.0151006	0.0454028	0.0538547	0.0439872	0.0369702	0.0515582	0.0365667	0.0225769	0.0253826	0.0354997	0.0456816	0.0378719	0.0336478	0.0172201	0.0197985	0.0125933	0.0097028	0.0130896	0.00992382	0.0146941	0.0125859	0.0175734	0.0140843	0.0212026	0.0194887	0.0187912	0.0148713	0.0120393	0.0206596	0.00929056	0.009192	0.00587347	0.00680812	0.00626743	0.00771089	0.0052425	0.00531677	0.00815844	0.00895776	0.00988462	0.00876018	0.00884456	0.00680625	0.0237441
repas	0.00076236	0.000893375	0.0033153	0.00392777	0.0129289	0.0149102	0.059244	0.286533	0.213666	0.0568746	0.089537	0.0423012	0.0240083	0.0113459	0.00736483	0.00681347	0.00832369	0.00403992	0.00331883	0.00327573	0.00791944	0.00664201	0.00465858	0.0131279	0.0145939	0.00885487	0.0260698	0.0160165	0.010392	0.00536634	0.00687595	0.00642572	0.00287568	0.0022337	0.00133654	0.000971066	0.00103502	0.000875673	0.00109852	0.00159078	0.00216048	0.00127215	0.000615818	0.000489356	0.000488166	0.00040972	0.000386563	0.000592426	0.000862118	0.000378397
qu'	0.0214701	0.0160673	0.0176159	0.0313554	0.0251869	0.0594585	0.0540676	0.03028	0.0353384	0.0634842	0.0644924	0.0636018	0.0655566	0.033003	0.0523281	0.0276241	0.0141712	0.010641	0.0141634	0.0279272	0.0320914	0.0319449	0.0319259	0.0371958	0.0227412	0.0164862	0.0226428	0.0184851	0.0106496	0.00476493	0.00427899	0.00360551	0.00299968	0.00480571	0.00321223	0.00258151	0.00302594	0.00168809	0.00187478	0.00161458	0.00166895	0.00133204	0.0012078	0.00105811	0.00246625	0.0013535	0.00142028	0.0011147	0.00129508	0.000635118
il	0.035856	0.0163879	0.00752149	0.0136984	0.0119987	0.0119019	0.0195052	0.0349387	0.0479355	0.0482882	0.0448694	0.0399357	0.0406651	0.0253024	0.0550444	0.0262241	0.0212872	0.0170594	0.00987697	0.00764995	0.0110502	0.0110135	0.0132775	0.0108261	0.0117524	0.0172508	0.0154907	0.0116816	0.0142135	0.00964329	0.0132557	0.0113697	0.0156391	0.0174246	0.0100992	0.00582531	0.00955677	0.00524965	0.00682857	0.0127003	0.012891	0.0200094	0.0256866	0.0257893	0.0180204	0.0165715	0.0167453	0.0269951	0.023527	0.0436694
a	0.0478273	0.0202986	0.0109544	0.00650562	0.0032072	0.00211841	0.00194288	0.00111992	0.00253553	0.00501363	0.00849012	0.0048787	0.0196499	0.0117927	0.0282269	0.0169268	0.0243287	0.0351472	0.0211158	0.0450323	0.0266593	0.0236228	0.0338924	0.0239855	0.0260691	0.0377997	0.0267579	0.0413995	0.0413571	0.0304384	0.022899	0.0174999	0.0147167	0.0135191	0.0113803	0.00787258	0.0110264	0.0117051	0.0186585	0.0177905	0.0169406	0.0164712	0.0344356	0.0202876	0.0174933	0.0180156	0.0171384	0.0241465	0.0177502	0.0411586
préparé	0.0320718	0.021869	0.0198718	0.0128777	0.00300827	0.00434327	0.0024714	0.00148788	0.00252842	0.00530833	0.00544429	0.00792089	0.0149616	0.0125706	0.0173474	0.0197522	0.0235827	0.0532008	0.0437149	0.0552626	0.0286449	0.0327118	0.0230673	0.0194418	0.0225109	0.0378908	0.0208627	0.0413697	0.0422216	0.0365059	0.030529	0.0236142	0.0182961	0.0175005	0.0164789	0.0107704	0.0159565	0.0127453	0.0147485	0.014739	0.00741908	0.00750921	0.0177534	0.0117523	0.0208501	0.0139686	0.0202316	0.0161157	0.0118401	0.0323583
pour	0.0325456	0.0122316	0.0096484	0.00744013	0.00247615	0.00262101	0.00144875	0.0013603	0.00175945	0.00389865	0.00353068	0.00480493	0.0100663	0.0106383	0.0195554	0.0186522	0.027313	0.0692801	0.0462366	0.045502	0.0291538	0.0246849	0.0169453	0.0167804	0.0155765	0.0274359	0.0135701	0.0239452	0.024987	0.0202218	0.0120338	0.00857217	0.0102086	0.00986743	0.00891402	0.00945842	0.00904517	0.0138269	0.0177193	0.0249337	0.02532	0.0264322	0.0459045	0.0416538	0.042354	0.0303282	0.0324534	0.0240922	0.0261901	0.0363813
nous	0.0167776	0.011605	0.00961019	0.00772822	0.00381522	0.00304156	0.00144848	0.00165128	0.00165495	0.00333041	0.00379342	0.00495206	0.0110397	0.0153695	0.0285161	0.0207115	0.0245033	0.0468378	0.0239624	0.017738	0.0151506	0.0114217	0.0128897	0.0168127	0.0153776	0.0197257	0.0145867	0.0223872	0.0192299	0.0166439	0.0125363	0.00972794	0.0125682	0.0127085	0.0116908	0.0124743	0.0100273	0.0142407	0.0187571	0.0229856	0.0349251	0.0516419	0.0488487	0.0491866	0.0542522	0.0419243	0.0459745	0.0326022	0.0377126	0.042903
offrir	0.0110267	0.0112021	0.015593	0.0139673	0.00836462	0.00426261	0.00222574	0.00227047	0.00226643	0.00353373	0.00558692	0.00583012	0.0124423	0.0134632	0.0163942	0.0150674	0.0139077	0.0216223	0.016734	0.0130754	0.0116503	0.00905993	0.00917679	0.011408	0.0112861	0.0109156	0.00964522	0.0166099	0.0155837	0.0160044	0.0188476	0.0189468	0.0182384	0.0170286	0.0196714	0.0203255	0.0152841	0.0194291	0.0227763	0.0213477	0.0382145	0.0567164	0.0250587	0.062427	0.0583506	0.057677	0.0516867	0.0363502	0.0453961	0.0460513
a	0.0155073	0.0115497	0.0157318	0.0110773	0.00941756	0.00492546	0.00361583	0.00394349	0.0047506	0.00615796	0.00896015	0.0107144	0.0191556	0.0189331	0.0193835	0.0166524	0.0151845	0.0205642	0.0276105	0.0428747	0.0284903	0.0294516	0.0220219	0.0206778	0.0243548	0.0200884	0.0225731	0.0242047	0.0226021	0.0168064	0.01934	0.0155696	0.0164276	0.0134145	0.0142222	0.0145832	0.00979286	0.0121114	0.0153114	0.0117812	0.0222714	0.0251308	0.0217083	0.0347825	0.0398728	0.0462224	0.0412776	0.0201174	0.0323983	0.0556834
été	0.0162153	0.0107812	0.0138202	0.0112896	0.0102813	0.00853897	0.00683208	0.00852529	0.0123503	0.0221844	0.0212124	0.0335056	0.0301015	0.0232436	0.0295367	0.0210065	0.0231012	0.0335506	0.036239	0.040763	0.0261998	0.0279545	0.0145441	0.0102002	0.012412	0.00993735	0.0144088	0.0122914	0.00990706	0.00858846	0.0104103	0.0102503	0.0109252	0.0113475	0.0115119	0.0136426	0.0119475	0.0155429	0.0216506	0.0145659	0.0196492	0.0176105	0.0243738	0.0268904	0.036747	0.0336775	0.0355322	0.0192231	0.0258017	0.0691773
excessif	0.0187748	0.0131944	0.0143584	0.0127518	0.0114261	0.00992754	0.0076019	0.00772823	0.0110059	0.022208	0.0197958	0.0314085	0.0330557	0.0327222	0.0421787	0.0335626	0.0359828	0.0498616	0.044827	0.0348629	0.0277147	0.0260303	0.0102141	0.0102529	0.0097828	0.00977563	0.0120901	0.0125465	0.0101939	0.0103271	0.0103937	0.00961563	0.0119321	0.0114961	0.0120491	0.0146425	0.0115142	0.013456	0.0183511	0.0126091	0.0147983	0.0124877	0.0240968	0.0202404	0.031588	0.0256972	0.0315153	0.0182278	0.0221026	0.0470235
</S>	0.0239099	0.0142943	0.0130293	0.0133599	0.0130062	0.00851998	0.0060238	0.0159308	0.0165365	0.0153251	0.0104298	0.0116407	0.0111455	0.0103545	0.0125343	0.0251697	0.0253802	0.039271	0.0334854	0.0168457	0.0153172	0.0117556	0.00672669	0.00630235	0.00499842	0.0064735	0.00425413	0.00431413	0.00442508	0.00599811	0.00428297	0.00485345	0.00562847	0.00465305	0.0044937	0.00565894	0.00382129	0.00679322	0.0131588	0.0168024	0.0269235	0.0341437	0.0450625	0.0666564	0.0631931	0.0640825	0.0576725	0.042068	0.0463167	0.0769772
