 	a23	a87	a30	a93	a70	a31	a56	a34	a93	a61	a43	a11	a90	a93	a90	a56	a75	a85	a5	a47	a88	a31	a24	a9	a75	a5	a61	a75	a85	a37	a66	a93	a4	a93	a43	a75	a21	a18	a98	a92	a96	a66	a10	a9	a10	a87	a23	a87	</S>
cette	0.0233271	0.0413485	0.0327202	0.0579305	0.0190215	0.0456587	0.0553412	0.027162	0.0228149	0.0309197	0.0126802	0.0307721	0.0200385	0.0185121	0.0155798	0.024421	0.0226595	0.0297284	0.0237058	0.0231202	0.0233161	0.0208381	0.0185282	0.0143476	0.0172956	0.0354324	0.0238735	0.0212498	0.0177575	0.0130389	0.00991406	0.00698507	0.0102848	0.00669339	0.00271774	0.00505006	0.00548516	0.00659997	0.00813669	0.0118432	0.0115568	0.00695314	0.0124468	0.00909622	0.0112043	0.0125434	0.0128221	0.018873	0.0476547
femme	0.00577233	0.00657187	0.0119752	0.00834074	0.00935555	0.0289948	0.0395768	0.0449469	0.0685301	0.0519628	0.0178989	0.0496022	0.0202223	0.0333207	0.0235784	0.061789	0.0464187	0.0512861	0.0274832	0.0150188	0.0274675	0.0213397	0.0171483	0.0216381	0.0414813	0.0358931	0.0436348	0.03969	0.0196594	0.0141347	0.00894568	0.00827407	0.0094618	0.00912375	0.00767458	0.00929566	0.00523123	0.00270124	0.00878312	0.00215595	0.00202353	0.00101784	0.00172909	0.00215442	0.00161438	0.00247433	0.00257761	0.00364024	0.00638914
malpropre	0.0253787	0.0144232	0.0124886	0.0203018	0.0278267	0.0377419	0.0754558	0.0630201	0.0608771	0.0449228	0.0308831	0.0275391	0.0484584	0.0220859	0.024554	0.03479	0.0463701	0.0291699	0.0182486	0.0201854	0.0334176	0.0248705	0.0329666	0.025182	0.0296659	0.0260744	0.0186311	0.0149613	0.00795418	0.00740322	0.00322123	0.00339733	0.00147726	0.00169543	0.00102492	0.00121032	0.00155733	0.00140051	0.00261762	0.00189586	0.00387268	0.00630535	0.00571351	0.00724739	0.0077758	0.00817372	0.0109713	0.0126949	0.0118996
laisse	0.047957	0.0306094	0.0232432	0.0211168	0.0172435	0.0197834	0.0188739	0.0183053	0.0227206	0.020679	0.0280517	0.0150953	0.0319125	0.0186272	0.0362095	0.0230415	0.0219401	0.018266	0.0194603	0.0213724	0.0160646	0.0198916	0.0335921	0.0173925	0.022874	0.0124363	0.0103925	0.0122195	0.00978629	0.00862587	0.0116339	0.0179402	0.0142448	0.0125346	0.0073074	0.00835779	0.00815143	0.00797072	0.010373	0.00916817	0.00871732	0.00943017	0.0140055	0.0175187	0.0227449	0.0295938	0.0347899	0.04573	0.0720041
des	0.0529154	0.0429215	0.0371721	0.0257991	0.0150273	0.0117232	0.0129555	0.00936372	0.00956344	0.00827085	0.0151795	0.0135213	0.0183258	0.0137192	0.0150796	0.0126334	0.0164331	0.0162206	0.0250579	0.0286395	0.0175003	0.0159022	0.0337102	0.0336698	0.0213322	0.00921801	0.0159556	0.0148577	0.0182061	0.0178159	0.0238972	0.0211842	0.0254997	0.0185856	0.0190344	0.0153217	0.0191742	0.0308911	0.0214065	0.0249301	0.0190963	0.0106615	0.0195519	0.0201202	0.0216348	0.0196587	0.0162749	0.0187616	0.0356255
vêtements	0.0497243	0.0402771	0.0344239	0.029198	0.0178079	0.0206191	0.0193508	0.0206948	0.0209385	0.0135168	0.0224678	0.0150935	0.0171976	0.0163964	0.016347	0.0123115	0.0165041	0.0207772	0.0437986	0.0405026	0.0234686	0.0186948	0.0235598	0.0229491	0.0154682	0.00842846	0.010212	0.0138163	0.0122521	0.0130399	0.0184346	0.0183748	0.023884	0.0180956	0.0129556	0.0121885	0.0142147	0.0169667	0.020083	0.0160135	0.017811	0.0171919	0.0211113	0.0249933	0.0297189	0.021615	0.0212854	0.012662	0.0125635
ça	0.040824	0.016148	0.0154401	0.0101016	0.0106474	0.0148584	0.0209072	0.0126257	0.0138853	0.0172043	0.0268247	0.0149	0.0125628	0.0156444	0.0169695	0.016751	0.0220788	0.0266727	0.0427069	0.054324	0.0470023	0.0504623	0.0419876	0.0379091	0.0237942	0.0197863	0.0189746	0.016274	0.0100887	0.00820532	0.0082006	0.00652762	0.00707062	0.00531984	0.00259303	0.00439799	0.0057618	0.009552	0.00916342	0.00994576	0.0116956	0.0167659	0.0190051	0.0271134	0.0302485	0.024819	0.0336607	0.0281957	0.0434019
et	0.032466	0.0127717	0.00814133	0.00347111	0.00933712	0.00468689	0.00721325	0.00617263	0.00575541	0.00973595	0.0138436	0.00709331	0.00410984	0.00837318	0.00685369	0.0109862	0.0120531	0.0165366	0.0249676	0.0407921	0.0294711	0.0260526	0.0332833	0.0212454	0.0226333	0.0114876	0.0109618	0.00963006	0.00563233	0.00554755	0.00561361	0.006421	0.00544419	0.00516918	0.00367879	0.00639568	0.00792535	0.0157485	0.0145053	0.0208577	0.0224372	0.029372	0.0578796	0.0677869	0.0790889	0.0632168	0.0798015	0.0503907	0.0369612
là	0.0161201	0.00772211	0.00483173	0.00247314	0.00551003	0.00310966	0.00485492	0.00393015	0.00420086	0.00674227	0.0109369	0.00530184	0.00442141	0.00630236	0.00614607	0.00713137	0.0097171	0.00899657	0.0199379	0.0335956	0.0230022	0.0178884	0.0301051	0.023886	0.0260566	0.0116363	0.0127674	0.0144904	0.00857487	0.0103115	0.0106844	0.0100537	0.00841594	0.00952058	0.0107672	0.0188622	0.0200519	0.0385201	0.0214374	0.0352409	0.0362846	0.0438598	0.0638415	0.066719	0.0720718	0.0539278	0.0616722	0.0332659	0.0341025
dans	0.054126	0.0371088	0.0296915	0.0305697	0.0311038	0.0298449	0.0297001	0.0233092	0.0170939	0.018736	0.0106887	0.0089725	0.00642619	0.00656391	0.00886151	0.00860855	0.0112518	0.0148353	0.0179948	0.0241104	0.024304	0.0214336	0.0268845	0.0223235	0.014412	0.0183869	0.0196371	0.0134802	0.0179917	0.0171614	0.0211596	0.016396	0.0169236	0.0189484	0.00940335	0.0102719	0.0114486	0.00984845	0.0119859	0.015336	0.0131242	0.0102926	0.0161344	0.0141638	0.0255776	0.0256344	0.0256363	0.0501577	0.0619449
