 	a66	a87	a97	a13	a79	a4	a70	a96	a93	a90	a69	a93	a56	a75	a73	a79	a93	a98	a47	a37	a21	a5	a37	a18	a88	a66	a53	a69	a4	a13	a4	a57	a3	a97	a87	a97	a87	a97	a87	</S>
cette	0.01053	0.0144846	0.0136863	0.0423492	0.0557482	0.0571917	0.0609579	0.0394103	0.0538026	0.0385186	0.0290678	0.0287851	0.025888	0.0188459	0.0209733	0.0256089	0.0216887	0.0279624	0.0196915	0.0158382	0.0147416	0.00629122	0.00744469	0.00902464	0.00712746	0.00992462	0.0148676	0.0246035	0.0303877	0.029639	0.0216767	0.028227	0.0242662	0.0272138	0.0172653	0.015988	0.0200315	0.0220939	0.00980666	0.0383498
femme	0.00426096	0.008726	0.0112914	0.0128049	0.0231127	0.0314037	0.0250582	0.0391943	0.0281806	0.0321568	0.0436177	0.0574147	0.0284615	0.0402005	0.0509229	0.0812291	0.0837696	0.0751069	0.0529929	0.0394999	0.0331462	0.0157335	0.0231284	0.02155	0.0366901	0.0254743	0.0197053	0.00976044	0.00704609	0.00403809	0.00376365	0.00250427	0.00160396	0.00376916	0.00426415	0.00346118	0.00474078	0.00349138	0.00326198	0.00346176
a	0.0352167	0.0378628	0.0465277	0.0294592	0.0400527	0.048911	0.0562352	0.0635397	0.0560745	0.0306918	0.0363627	0.0343269	0.0834006	0.0587217	0.0451442	0.0152556	0.016867	0.0137793	0.0169638	0.0226666	0.0154832	0.00643297	0.00581641	0.00832592	0.00685303	0.00798402	0.0104721	0.00981626	0.0101757	0.0132289	0.0081073	0.00561706	0.00744825	0.0143762	0.00860507	0.0151265	0.0162724	0.0130484	0.0201465	0.00860385
oint	0.0295045	0.0224313	0.0288165	0.0120396	0.0160377	0.0105966	0.00897353	0.0155076	0.0134857	0.0129001	0.0108352	0.0144513	0.0217695	0.0326736	0.0424963	0.0325776	0.0452748	0.0382161	0.0643257	0.0598164	0.0240034	0.0306156	0.0452912	0.0292614	0.0415028	0.0250789	0.0166462	0.0182986	0.0129254	0.00781419	0.00708417	0.00918971	0.0179041	0.0135964	0.0217654	0.0230526	0.0310183	0.0245486	0.0195243	0.0481491
ses	0.0435181	0.0347877	0.0342219	0.0284837	0.0505186	0.0502046	0.0388429	0.0384377	0.0292985	0.023652	0.0151139	0.0221725	0.0250957	0.0279536	0.0260871	0.0297103	0.0372561	0.0340776	0.0282632	0.0200818	0.0166012	0.0150301	0.0174155	0.01798	0.0152931	0.01959	0.0214398	0.0262979	0.0246616	0.015519	0.0112275	0.00752197	0.0148992	0.0147399	0.0104807	0.0208493	0.0123903	0.0177655	0.0118362	0.050684
mollets	0.0393938	0.0297231	0.0317752	0.0271177	0.0389713	0.0422898	0.044076	0.046	0.0449104	0.0345712	0.0234933	0.0228631	0.0311148	0.024024	0.0206505	0.0220615	0.0220857	0.0190542	0.0224146	0.0201845	0.0133554	0.0114345	0.0163123	0.0144683	0.0124837	0.0166235	0.0165755	0.0178022	0.0192258	0.0175682	0.0153576	0.0150726	0.0173605	0.0225054	0.0289749	0.0288587	0.0298259	0.024357	0.0242324	0.030831
d'	0.0111869	0.00831428	0.0088079	0.0148932	0.0340597	0.0591618	0.0846604	0.0495052	0.10183	0.0731602	0.0547592	0.0524015	0.0534129	0.0467096	0.0445377	0.0242156	0.0260016	0.0188133	0.00820095	0.00647843	0.0101744	0.00303066	0.00450919	0.00780057	0.00564811	0.00595701	0.0104816	0.01488	0.0112055	0.012103	0.00635403	0.00909056	0.00934394	0.0106485	0.00945232	0.012742	0.0183142	0.0126271	0.0163623	0.028165
huile	0.0327275	0.0266466	0.0226273	0.0134401	0.0220344	0.0195066	0.0218127	0.0278988	0.062602	0.0394059	0.0230678	0.0255734	0.0254421	0.0354051	0.0209303	0.0113376	0.0212983	0.0108193	0.00907603	0.0157724	0.0292906	0.0173108	0.0251099	0.0569746	0.0416908	0.047809	0.040727	0.0347965	0.0261808	0.0172233	0.00786062	0.00954667	0.0101025	0.0130865	0.0140309	0.020878	0.0267716	0.0151568	0.0250668	0.0329619
de	0.0210604	0.0221983	0.0147022	0.0123153	0.0141962	0.0139126	0.0251644	0.0244124	0.0468155	0.0409003	0.0218665	0.0163815	0.0116736	0.0227994	0.0151595	0.00612746	0.00585535	0.00305316	0.00309953	0.00570333	0.0132539	0.00874425	0.0145163	0.0312087	0.0243912	0.0291732	0.0358545	0.0427378	0.0384205	0.0386727	0.0111991	0.0301802	0.0312504	0.0346406	0.0259421	0.0417035	0.0536354	0.0344325	0.0448678	0.0677784
palme	0.0185103	0.0258929	0.0191351	0.0110318	0.0121304	0.00892025	0.0124342	0.0154641	0.0323719	0.0243133	0.0127402	0.0102143	0.00899709	0.0168866	0.00970154	0.00544977	0.00768273	0.00384648	0.00435202	0.00668384	0.0135865	0.0125861	0.0282247	0.0435038	0.0353238	0.0335992	0.0402508	0.0342354	0.0270396	0.0288924	0.0107186	0.0304557	0.0314257	0.0374646	0.0378859	0.0474389	0.0695304	0.048238	0.0522499	0.0705914
</S>	0.0273137	0.0344915	0.031195	0.0308621	0.0229354	0.0179128	0.0236948	0.0254851	0.0364225	0.0288747	0.0166189	0.015749	0.0155294	0.0200244	0.0150221	0.00846609	0.00994059	0.00641306	0.00582136	0.00685029	0.0175526	0.0134172	0.0218185	0.0297895	0.0236934	0.026053	0.0366631	0.0349746	0.023506	0.0245632	0.00996816	0.0224581	0.0177659	0.0279126	0.0250875	0.0347061	0.0433429	0.0328276	0.0388988	0.0953783
