 	a66	a87	a23	a87	a23	a79	a37	a53	a7	a79	a37	a26	a12	a93	a96	a18	a5	a23	a56	a27	a54	a7	a44	a4	a57	a82	a87	a23	a87	</S>
je	0.0539294	0.0662185	0.0651956	0.0683716	0.0611185	0.0400883	0.0298885	0.0222695	0.023593	0.0173536	0.0257598	0.0203143	0.0174784	0.0137855	0.0176151	0.016258	0.00936221	0.00953713	0.0114447	0.0155539	0.0252192	0.0380024	0.0323388	0.0558001	0.0497064	0.0320792	0.03741	0.0367876	0.0269839	0.0605368
m'	0.0178767	0.0139612	0.0138765	0.0125828	0.0148975	0.0173683	0.0280027	0.0275617	0.0221828	0.0250652	0.010132	0.011255	0.0222255	0.0251946	0.0257876	0.0228983	0.0285279	0.0281754	0.0348238	0.0385448	0.0375021	0.0592122	0.0658399	0.0693211	0.0652936	0.0738085	0.0679313	0.051541	0.0429504	0.0256597
en	0.0237914	0.0181374	0.0173814	0.0135956	0.0169533	0.0221215	0.0133455	0.0140779	0.0228854	0.0264687	0.010555	0.00685559	0.00411832	0.0030518	0.00402086	0.00425185	0.00537328	0.0106979	0.0178792	0.0267371	0.0346485	0.0690379	0.0479347	0.0711037	0.0929461	0.0706185	0.0947597	0.0811505	0.0910899	0.0644116
vais	0.0718596	0.0508268	0.0317782	0.0361122	0.0246972	0.0248363	0.0198023	0.0227069	0.0330943	0.0199351	0.0383351	0.0327923	0.039315	0.0792339	0.0509119	0.047432	0.0561948	0.0441225	0.0344352	0.048474	0.0254892	0.0440424	0.0276122	0.0151232	0.0094596	0.00781007	0.0162835	0.0106234	0.00897951	0.0276815
au	0.0819248	0.0463543	0.0363185	0.0285493	0.0255416	0.0207266	0.0119683	0.0103366	0.0112947	0.0100514	0.0105372	0.00893697	0.014168	0.0193468	0.0178594	0.0118584	0.0119945	0.0141947	0.0210861	0.0315398	0.0301313	0.0533834	0.0549613	0.0540112	0.0547487	0.037017	0.0803829	0.0388089	0.0448651	0.107102
champ	0.0419073	0.0315636	0.0190054	0.0178272	0.0123276	0.0189969	0.0163686	0.0189061	0.062148	0.0575759	0.0948436	0.0636973	0.0464783	0.035465	0.0325666	0.0173099	0.0135782	0.0188159	0.0206763	0.0235339	0.0379839	0.0400852	0.0552215	0.042498	0.0305199	0.0282919	0.0263513	0.0207137	0.0212212	0.0335221
couper	0.154845	0.0797837	0.0576801	0.0511271	0.0285845	0.0307571	0.0275867	0.0162541	0.0331783	0.0346085	0.027113	0.0142383	0.0122842	0.0102765	0.0126074	0.0159793	0.0150268	0.0309859	0.02322	0.0399627	0.0117052	0.0243265	0.0500176	0.0252829	0.0314304	0.018531	0.03496	0.0258474	0.034275	0.0275249
des	0.0584684	0.0341193	0.013891	0.0129726	0.00579091	0.00705155	0.0115399	0.00912671	0.012577	0.0112708	0.00617737	0.0055157	0.00574173	0.00512109	0.00614116	0.0149763	0.0203485	0.0328423	0.0371328	0.0950177	0.0376847	0.0538376	0.109993	0.0680311	0.0718599	0.063807	0.0670888	0.0547184	0.047463	0.0196937
branchettes	0.03423	0.0201672	0.0106627	0.0101201	0.00505	0.00317295	0.00198008	0.00219844	0.00364703	0.0033004	0.00310268	0.00353741	0.00322805	0.00439825	0.0036168	0.00853521	0.0161259	0.0199869	0.0285448	0.037139	0.0420369	0.0462522	0.0823423	0.105783	0.10309	0.102536	0.0973043	0.0818543	0.0811903	0.0348669
à	0.118291	0.0549166	0.0220929	0.0289329	0.0219726	0.00892414	0.00288552	0.00202375	0.00388932	0.00676705	0.00511916	0.00436044	0.0045703	0.00399317	0.00459915	0.00638636	0.00841975	0.0138408	0.0193821	0.0348611	0.0210418	0.0266798	0.0625457	0.0819191	0.0572886	0.0616531	0.07434	0.0701556	0.0873428	0.0808056
brûler	0.0287987	0.0161065	0.00938464	0.0125118	0.00587528	0.0026336	0.00163004	0.00150217	0.00263809	0.00270131	0.00275666	0.00232647	0.00259211	0.00306207	0.00587539	0.00742196	0.0101653	0.0186532	0.0397678	0.0519968	0.0454798	0.0683583	0.105809	0.0976803	0.0743688	0.0985666	0.0876454	0.0744356	0.0757479	0.0435086
</S>	0.0164872	0.00788174	0.00768136	0.00637144	0.00861506	0.00377095	0.00138311	0.00120929	0.00163647	0.00262973	0.00257563	0.0028922	0.00334059	0.00374885	0.00467937	0.00449408	0.00594664	0.00932942	0.0166356	0.0359986	0.0445067	0.121043	0.0799464	0.103661	0.0874863	0.0737165	0.100129	0.0759474	0.0637388	0.102517
