 	a66	a87	a23	a50	a62	a21	a5	a61	a47	a62	a88	a75	a25	a92	a93	a4	a94	a11	a75	a6	a36	a26	a57	a87	a23	a38	</S>
le	0.106333	0.11264	0.0958456	0.0556862	0.0369452	0.0229708	0.0232156	0.0157051	0.010938	0.00918068	0.00661633	0.0128458	0.0183595	0.0149158	0.016709	0.00983456	0.0169965	0.0384647	0.0355926	0.053628	0.0517499	0.067919	0.0346966	0.0336744	0.0303208	0.0259932	0.0422232
poisson	0.00935802	0.0347154	0.0680126	0.0941119	0.0676269	0.0460717	0.0359912	0.0327414	0.0367237	0.0296865	0.0508863	0.0881624	0.0775208	0.0333186	0.0670349	0.0466678	0.043122	0.0216369	0.0200769	0.0123734	0.0100113	0.0230764	0.0142987	0.00688804	0.0100632	0.0170911	0.00273188
en	0.0725278	0.0625714	0.0963891	0.0771821	0.0808515	0.0720703	0.0514005	0.0326025	0.0232224	0.0215604	0.0210415	0.0180779	0.0115606	0.0067944	0.00540085	0.00488075	0.00892747	0.021592	0.03116	0.0399469	0.0381089	0.0383446	0.0351414	0.0302984	0.0264065	0.0488049	0.023135
forme	0.0321279	0.0155586	0.016243	0.0203854	0.0261727	0.0286077	0.0361225	0.0381163	0.0420925	0.0486048	0.0421377	0.0298511	0.0268045	0.0157492	0.013833	0.0285427	0.0408527	0.0366407	0.0696139	0.0819647	0.0703968	0.0304753	0.0518533	0.0390225	0.0315144	0.0328525	0.0538636
de	0.0197599	0.0165023	0.0161033	0.0114594	0.0143318	0.0182688	0.0317197	0.0304085	0.0554825	0.0773424	0.190132	0.0885773	0.0668866	0.0386594	0.0367157	0.0293351	0.0260055	0.0169773	0.0203815	0.0166514	0.0240043	0.0142571	0.0240209	0.0197139	0.0375307	0.0347301	0.0240428
carpe	0.0628806	0.0328831	0.026985	0.0158719	0.0220063	0.0251698	0.0217973	0.01078	0.0137954	0.011778	0.0182684	0.0111307	0.0128194	0.0230448	0.0195394	0.0200445	0.0250514	0.0373219	0.0513054	0.0615516	0.062502	0.0621705	0.0679936	0.0566649	0.0619281	0.0497396	0.114976
est	0.0816575	0.0481003	0.0415695	0.0217251	0.0132274	0.0148243	0.0171583	0.0118696	0.0170872	0.00706059	0.00778656	0.00366175	0.00412505	0.00890673	0.00682353	0.00508072	0.00936262	0.0161693	0.022915	0.0376009	0.0403635	0.0775464	0.0435896	0.080099	0.079939	0.0965967	0.185154
pris	0.0590951	0.0245623	0.0230626	0.0146093	0.0102226	0.00927313	0.014758	0.0182471	0.0193074	0.0117456	0.0115508	0.00712969	0.00735551	0.00824149	0.00940071	0.00941782	0.0104043	0.0155609	0.0230517	0.032426	0.029603	0.0627256	0.0654089	0.0973419	0.117258	0.137544	0.150696
au	0.0442785	0.0288315	0.0198573	0.0160853	0.0115041	0.0110905	0.0129894	0.0152347	0.0131588	0.00639652	0.00735518	0.00421982	0.00364017	0.00506794	0.00614322	0.00689672	0.00906434	0.0181791	0.0223863	0.0442753	0.0586792	0.103906	0.0746355	0.0890309	0.111654	0.0907166	0.164724
filet	0.0331601	0.0257253	0.0233281	0.0201692	0.0195625	0.016808	0.0188597	0.015292	0.0151114	0.0119712	0.0126718	0.00656869	0.00472122	0.00557091	0.00687419	0.00721403	0.0107802	0.0180166	0.0319923	0.0471882	0.0539802	0.0969945	0.0927885	0.0840455	0.111488	0.096567	0.112551
</S>	0.0807346	0.0731424	0.0467041	0.0343276	0.0223241	0.0244336	0.0254005	0.019029	0.0119057	0.00622742	0.00672899	0.00474951	0.00429765	0.00534483	0.00634974	0.00713872	0.0116174	0.0180577	0.0236148	0.0306646	0.0340912	0.054084	0.0444086	0.0557934	0.0700344	0.0674165	0.211379
