 	a66	a87	a99	a38	a94	a53	a56	a12	a96	a61	a43	a90	a98	a56	a75	a21	a12	a43	a11	a70	a66	a9	a87	a23	a99	a97	</S>
les	0.0584067	0.0545405	0.061254	0.0341875	0.0256701	0.0148845	0.0140285	0.0123523	0.0172603	0.0111161	0.008713	0.00720605	0.00563343	0.00585131	0.0111861	0.0223091	0.0244968	0.0493657	0.064443	0.0626574	0.0288383	0.0500309	0.0308973	0.0483406	0.0540258	0.0901858	0.132119
mauvaises	0.00384274	0.00498446	0.00638301	0.00853234	0.0113358	0.0164444	0.0381287	0.0954982	0.155708	0.204846	0.125701	0.102476	0.107361	0.0354956	0.0148472	0.00788593	0.00718952	0.00721593	0.00414707	0.00671505	0.00378182	0.00677295	0.00390213	0.00351529	0.0041645	0.010699	0.00242785
herbes	0.0638961	0.0415021	0.0346238	0.0281162	0.0402406	0.0486927	0.0337926	0.0249676	0.0308659	0.0163459	0.0159387	0.0171439	0.0122861	0.0121128	0.0126784	0.0150218	0.0387362	0.0473985	0.0332131	0.0489024	0.0555328	0.0940164	0.0717802	0.0570745	0.0439385	0.028908	0.0322743
ont	0.0376188	0.0416127	0.0342784	0.029196	0.0252158	0.0310344	0.0289762	0.0225663	0.0213781	0.0334914	0.0192013	0.0319614	0.0206837	0.0259804	0.0240796	0.0178704	0.0320555	0.0292659	0.0274798	0.0380333	0.0526551	0.0668743	0.0589719	0.0698314	0.0599304	0.0412966	0.0784608
beaucoup	0.0542435	0.0523611	0.0358448	0.0302921	0.026429	0.0307786	0.0189551	0.0260985	0.0318358	0.0609299	0.084443	0.06839	0.0527147	0.0428575	0.0301062	0.0425054	0.0797459	0.0412257	0.0314642	0.0205358	0.0144852	0.0185884	0.0147365	0.018552	0.020154	0.0212148	0.0305121
poussé	0.0424125	0.0401719	0.0220337	0.0236841	0.0186052	0.0145432	0.0102908	0.00588589	0.00626303	0.00672727	0.00942919	0.0160013	0.0120541	0.0177719	0.0258752	0.038994	0.0580274	0.0917029	0.0675883	0.0714123	0.0574842	0.0875995	0.0555485	0.0528369	0.0628243	0.0394947	0.0447375
dans	0.0492023	0.0507464	0.0395015	0.0348314	0.0295883	0.0337216	0.0172003	0.0108435	0.00990891	0.00490244	0.00553308	0.00798727	0.00888791	0.0153809	0.0168507	0.0218187	0.0290732	0.0374889	0.0494225	0.0492297	0.0778552	0.0684676	0.0815507	0.0830451	0.0527366	0.0428362	0.071389
la	0.0438718	0.0225207	0.0158888	0.0115295	0.0122215	0.0142775	0.0148898	0.012541	0.0196662	0.0140593	0.0108443	0.0116222	0.00975841	0.0103492	0.0206847	0.038107	0.0368317	0.0476592	0.0544034	0.0607242	0.0663247	0.0674689	0.0752766	0.0752327	0.0774888	0.062606	0.0931519
parcelle	0.0378686	0.0229076	0.0229247	0.0189903	0.0147385	0.0159132	0.012668	0.0077018	0.00896059	0.00999808	0.00798051	0.0119795	0.0203879	0.0197333	0.0288545	0.0463763	0.036605	0.0463301	0.0476997	0.0598671	0.0546847	0.0767202	0.0730839	0.0566978	0.105807	0.0642335	0.0702881
</S>	0.0411862	0.0290567	0.024353	0.0133578	0.00973938	0.00789275	0.00615323	0.00382237	0.00450465	0.00286717	0.00242427	0.00188241	0.00381244	0.00772823	0.0154984	0.0215701	0.0296047	0.0453223	0.0546694	0.058768	0.0756964	0.0700291	0.0856523	0.0777428	0.0960711	0.0886344	0.12196
