 	a66	a87	a23	a83	a98	a92	a75	a12	a75	a21	a12	a21	a5	a92	a37	a85	a21	a12	a62	a21	a12	a96	a37	a26	a82	a97	a87	a23	a99	a97	a57	</S>
la	0.0539065	0.0795881	0.0656083	0.0655125	0.0664644	0.0224903	0.0196984	0.0138582	0.0143523	0.0139986	0.0144559	0.0163734	0.0222335	0.022999	0.0258789	0.0205367	0.0209124	0.0315203	0.0381714	0.0256128	0.0169497	0.0290185	0.0306646	0.0383293	0.0231229	0.0394931	0.0264895	0.0307539	0.0230299	0.0303402	0.0222925	0.0353441
fille	0.00185252	0.0157875	0.0193456	0.0606189	0.0648728	0.0586619	0.152091	0.130272	0.227865	0.112588	0.045921	0.0293006	0.0360873	0.011102	0.00352277	0.00557374	0.00215187	0.00227067	0.00161206	0.00137529	0.000944228	0.00103507	0.00164548	0.00108837	0.000508577	0.00110314	0.00227485	0.00161881	0.00123572	0.0015385	0.00206873	0.00206697
que	0.0206654	0.0319074	0.0556736	0.0417046	0.0891322	0.143268	0.179432	0.124026	0.0964492	0.0916457	0.0325096	0.0262623	0.0154663	0.00769176	0.00285882	0.00385867	0.00142402	0.00167291	0.00225342	0.00323608	0.00255658	0.00199172	0.0063958	0.00181907	0.00262794	0.00272391	0.00171527	0.00132005	0.00232876	0.00248531	0.00213196	0.000765211
tu	0.105342	0.094822	0.108296	0.10416	0.0896028	0.0822299	0.0452728	0.0358401	0.0174129	0.0327656	0.0324459	0.0288456	0.0231335	0.0119217	0.00879637	0.0115328	0.0047589	0.00556075	0.00408283	0.00585881	0.0038895	0.00340217	0.00414202	0.00812686	0.00416234	0.0121946	0.0206045	0.0122941	0.0184699	0.0169154	0.0170375	0.0260801
m'	0.0597249	0.0614645	0.0521027	0.0560451	0.0472497	0.0638288	0.0489111	0.0560833	0.039051	0.0592262	0.0626627	0.0445346	0.0482874	0.0354471	0.0298931	0.0316443	0.0185044	0.0243818	0.00893137	0.00928714	0.0042515	0.00464836	0.00657155	0.00586399	0.00413418	0.0116696	0.0125865	0.0123032	0.0162655	0.0173131	0.0226603	0.024471
as	0.0338968	0.0347545	0.0289416	0.0244034	0.0236506	0.0310293	0.0215667	0.0178757	0.021697	0.0451666	0.0702947	0.0780683	0.0670921	0.0455065	0.0337923	0.0473144	0.0353218	0.044319	0.0295097	0.0278995	0.0167466	0.0193864	0.0215304	0.0157752	0.0108971	0.0138143	0.0299382	0.0232298	0.0206743	0.0218342	0.0197602	0.0243128
proposée	0.0195456	0.0202293	0.0232027	0.0183923	0.0236773	0.0357553	0.0257384	0.0215257	0.0183174	0.0328539	0.0507557	0.0763695	0.0713467	0.0550844	0.0520635	0.0516682	0.0501067	0.0591108	0.0299884	0.0244545	0.0195459	0.0274577	0.0281184	0.0188959	0.0123699	0.0119997	0.0186573	0.0169349	0.022115	0.0204865	0.0247103	0.0185221
est	0.0131912	0.0127467	0.0111034	0.00944721	0.00897685	0.00675785	0.00447761	0.00506185	0.00665072	0.0118977	0.0207152	0.0273013	0.0258964	0.0300067	0.0365259	0.0452608	0.076955	0.0616398	0.0643453	0.0550861	0.0504137	0.0508753	0.0393519	0.0279608	0.0351263	0.031187	0.0325287	0.0411753	0.0432081	0.0337434	0.0428456	0.0375404
encore	0.0241946	0.0223876	0.0152327	0.00991592	0.00944077	0.01124	0.00885557	0.00983905	0.0110318	0.0170816	0.01727	0.0194157	0.0186101	0.0212661	0.022332	0.0332808	0.0373097	0.0336671	0.0425006	0.0441293	0.0537255	0.043064	0.0493716	0.0518893	0.0482371	0.0416396	0.037565	0.0706755	0.0468165	0.0457506	0.0455334	0.036731
mineure	0.0205265	0.0216153	0.0159181	0.0155443	0.0143342	0.00736498	0.00531172	0.00486378	0.00683865	0.0082283	0.0102097	0.0118872	0.0131792	0.0163893	0.01691	0.020551	0.0278072	0.0249781	0.0327007	0.0300217	0.0502803	0.0452957	0.0358278	0.0482457	0.0516549	0.0510339	0.0708484	0.0799476	0.0642947	0.0570012	0.055571	0.0648188
</S>	0.0205269	0.0213605	0.0180566	0.0164821	0.0148551	0.00671599	0.00555643	0.00468316	0.00641372	0.00805322	0.00832401	0.00998751	0.011828	0.0164152	0.0189174	0.0279293	0.0361428	0.0358874	0.0432348	0.0378312	0.0478908	0.0452877	0.038356	0.0523227	0.0508886	0.060551	0.0516946	0.073354	0.0460974	0.0499751	0.0526354	0.0617454
