 	a66	a97	a9	a3	a83	a62	a88	a71	a62	a47	a62	a31	a0	a47	a31	a24	a31	a88	a50	a62	a21	a47	a62	a47	a18	a62	a98	a70	a93	a13	a38	a47	a62	a0	a75	a5	a18	a43	a21	a92	a37	a98	a47	a36	a26	a57	a3	a62	a88	a24	a88	a71	a70	a44	a79	a37	a92	a37	a62	a0	a9	a99	a3	a99	a9	a99	a82	</S>
la	0.0236156	0.0281769	0.026218	0.0194793	0.0173871	0.0134691	0.0182698	0.0328861	0.024528	0.0208526	0.0215202	0.0179723	0.0220694	0.0171264	0.017726	0.0113237	0.00947896	0.0114073	0.010055	0.0118498	0.00930898	0.0190849	0.00667386	0.0104358	0.0100526	0.00799529	0.0086865	0.00877496	0.0102692	0.0118051	0.0187071	0.0289606	0.0423247	0.0252443	0.031422	0.0152952	0.0134631	0.0127419	0.0131676	0.0155548	0.00986485	0.00655787	0.008666	0.0101537	0.0108651	0.0113465	0.00748995	0.00854849	0.00977835	0.00945468	0.0165655	0.0169585	0.0200049	0.0145206	0.0089061	0.0111821	0.01568	0.00972583	0.00911905	0.00805707	0.00829993	0.0127195	0.00846631	0.00781542	0.00915839	0.00734057	0.00843904	0.0189354
manière	0.00555472	0.00945138	0.0116361	0.00655839	0.0119973	0.00837935	0.0140755	0.0230526	0.0118339	0.0109733	0.0110405	0.0139204	0.0211025	0.0325295	0.0188953	0.0338896	0.0215163	0.110044	0.0662577	0.0146462	0.0222733	0.0407801	0.0232304	0.0253363	0.0211201	0.0195871	0.0181953	0.0183565	0.00906666	0.0185661	0.0297921	0.0174924	0.0125953	0.00788352	0.0122212	0.010387	0.00878155	0.0138702	0.00221478	0.00678556	0.00472755	0.0106852	0.0382571	0.0404841	0.0219998	0.0173335	0.0208337	0.00777665	0.00578173	0.0078822	0.00140603	0.00278512	0.00189651	0.00346198	0.00349581	0.00209966	0.00181121	0.000868682	0.00133089	0.000770879	0.00062511	0.000565019	0.000735907	0.000737109	0.00117618	0.00139049	0.0020084	0.00118382
dont	0.0281992	0.0150353	0.0104944	0.00830939	0.00632148	0.00908396	0.00654026	0.0108557	0.0103396	0.00509258	0.00428167	0.00415543	0.00505129	0.00600008	0.0122557	0.0166851	0.0192245	0.0163901	0.0270429	0.0123776	0.0165324	0.0149558	0.0200658	0.025123	0.041789	0.0545149	0.022357	0.0215702	0.0201947	0.0128873	0.00829717	0.00490417	0.0142028	0.0201507	0.012683	0.0324453	0.0342744	0.0525349	0.059484	0.0543678	0.0423626	0.0310289	0.0305409	0.0164945	0.01429	0.00614359	0.00571016	0.0033482	0.00301406	0.00248678	0.00345762	0.00430158	0.00446497	0.00470802	0.00468799	0.00369842	0.00232284	0.00274565	0.00303801	0.0017956	0.00408368	0.00392972	0.00355396	0.0031502	0.00348805	0.00527166	0.00509968	0.003712
il	0.0193897	0.013944	0.0121763	0.0153437	0.014449	0.0144325	0.00892332	0.00986894	0.00759703	0.00720996	0.00262624	0.00376109	0.00519705	0.00490415	0.0194433	0.00664399	0.00892284	0.015764	0.0296948	0.00987303	0.0144583	0.010484	0.0170957	0.0179465	0.030246	0.02898	0.0206117	0.0141852	0.0167156	0.0129066	0.011856	0.016993	0.0201571	0.01316	0.0133126	0.0250149	0.0387993	0.0279859	0.0441032	0.0269711	0.0190217	0.0117026	0.0233153	0.0136899	0.0123912	0.011052	0.0153866	0.00550654	0.0059304	0.00483358	0.0114818	0.017546	0.0133235	0.0171165	0.0122838	0.0170442	0.0122318	0.0133596	0.012663	0.0105326	0.00997323	0.00882795	0.0106457	0.00877188	0.011368	0.0168369	0.0136399	0.0073758
voulait	0.0145606	0.00725678	0.00496456	0.00930382	0.00799346	0.00786933	0.00640523	0.00413031	0.00359408	0.00318254	0.00356065	0.00452566	0.00453842	0.00347876	0.013768	0.0186096	0.00870193	0.00929148	0.0309088	0.0146099	0.00950314	0.00813508	0.00912743	0.00933353	0.0136295	0.0301826	0.0133645	0.0194253	0.0212319	0.0120783	0.0351645	0.0240464	0.05252	0.0443253	0.0471663	0.0222427	0.00770433	0.0207867	0.00664017	0.0190192	0.00996633	0.0160515	0.0368913	0.0214926	0.0439827	0.0319736	0.0574725	0.0333089	0.023593	0.0162223	0.0173597	0.013329	0.00734077	0.00606218	0.00612885	0.00571709	0.00311852	0.00361974	0.00350234	0.00347179	0.00281729	0.00222721	0.00299303	0.00284146	0.00329654	0.00541228	0.00980453	0.00312227
nous	0.00863048	0.00694947	0.00582039	0.00823466	0.00628047	0.0054143	0.00468092	0.00288819	0.00347633	0.00401714	0.00274761	0.00523953	0.00540171	0.00260778	0.00967978	0.0106781	0.0123774	0.00759499	0.0161701	0.0160792	0.0121999	0.013986	0.0210002	0.0237489	0.0359313	0.0333496	0.030871	0.0390177	0.0278697	0.0306162	0.0239412	0.0238226	0.0348174	0.0379743	0.0173306	0.0294611	0.0312366	0.050908	0.0285173	0.0272512	0.0165452	0.0208188	0.0188904	0.0103582	0.0129875	0.0128141	0.0142478	0.0138913	0.0124061	0.00880292	0.0196933	0.0147558	0.0109806	0.0129863	0.0104836	0.01218	0.00703962	0.00672527	0.00472448	0.0030599	0.00318461	0.00473963	0.00381404	0.00228141	0.00382607	0.00594003	0.00511927	0.00788431
faire	0.0145231	0.00910518	0.00592077	0.012767	0.00702763	0.00638945	0.00428421	0.00214848	0.00347864	0.00268955	0.003538	0.00361972	0.00380138	0.00207831	0.0057182	0.00453587	0.00581652	0.00495368	0.0075548	0.00573395	0.00607766	0.00502456	0.010858	0.00912838	0.00980472	0.010232	0.0104019	0.0164622	0.00990996	0.0127371	0.0138642	0.0104478	0.0143774	0.01396	0.0102993	0.0120637	0.01034	0.0101148	0.00575977	0.0076	0.00662984	0.00742077	0.015054	0.00823533	0.0104541	0.00954626	0.02104	0.0191153	0.0189472	0.0240928	0.0435081	0.0342678	0.0310551	0.0501076	0.0539531	0.0618853	0.0485369	0.0237574	0.0296037	0.0208331	0.0133337	0.0158072	0.0188104	0.0105164	0.0164509	0.0212909	0.0287267	0.0118722
traverser	0.0133557	0.0114371	0.00725185	0.0121908	0.00627123	0.00574995	0.00451766	0.0039004	0.00363969	0.00436401	0.0044066	0.00304627	0.00350784	0.00255666	0.00483355	0.00470323	0.00599976	0.00422336	0.00459642	0.00652886	0.00617408	0.00679179	0.00722963	0.00703945	0.00865948	0.00770807	0.0098832	0.00889426	0.00843906	0.0138105	0.0142233	0.0165943	0.0236287	0.0125389	0.0108887	0.0086091	0.00950502	0.00961804	0.00660325	0.00525305	0.00575648	0.00601172	0.00875876	0.00465282	0.00628249	0.0064349	0.00811564	0.00902922	0.00849262	0.0113152	0.0320806	0.018414	0.0209624	0.0320695	0.028162	0.0286372	0.0435498	0.0299091	0.0234985	0.0394605	0.0289435	0.0286047	0.0341051	0.031979	0.0366232	0.0337896	0.0590239	0.0561647
le	0.00527732	0.0028174	0.00225203	0.00250294	0.00173408	0.00140317	0.0019251	0.00304414	0.00400091	0.00521487	0.00604226	0.00742006	0.00945291	0.00596612	0.0108212	0.0119606	0.0165111	0.0108528	0.013053	0.015276	0.0111516	0.0139374	0.0252611	0.0223221	0.0194798	0.027294	0.0253026	0.021639	0.025116	0.0225281	0.0136208	0.0152836	0.0229647	0.0187225	0.0133543	0.00812381	0.0107101	0.0142064	0.0131002	0.0108923	0.018208	0.0130438	0.018809	0.0109332	0.0167049	0.0122072	0.0135828	0.0156753	0.0118808	0.0113303	0.0230062	0.0130098	0.0164984	0.0228419	0.0179461	0.0227496	0.0315307	0.0210873	0.0214514	0.0222398	0.0194307	0.0167121	0.0203936	0.0129539	0.017588	0.0187616	0.0224101	0.0244751
fleuve	0.0140824	0.00422479	0.00292181	0.00361734	0.00447217	0.0062396	0.0057702	0.00537441	0.00793306	0.00455778	0.00478055	0.00340125	0.00283057	0.00144617	0.00539609	0.00653925	0.00775077	0.00476774	0.00886253	0.00773793	0.00813663	0.00616543	0.0123964	0.0086955	0.0164746	0.0111135	0.0124544	0.0167629	0.0059756	0.00871225	0.0108581	0.00692025	0.00968879	0.0114334	0.00934098	0.0120009	0.00972742	0.0147527	0.00891874	0.0114942	0.00684597	0.0112959	0.0136791	0.0156215	0.0134833	0.0104593	0.0123625	0.0142964	0.014791	0.0113464	0.0386769	0.0293151	0.0215002	0.0638756	0.0529441	0.0725107	0.0486563	0.0334079	0.0447971	0.0226339	0.0118648	0.0249693	0.0185014	0.00818517	0.00869892	0.0171762	0.0123088	0.0210673
