 	a66	a87	a10	a87	a23	a13	a50	a62	a12	a61	a21	a5	a18	a20	a90	a25	a92	a37	a26	a98	a15	a79	a44	a21	a12	a43	a62	a75	a5	a37	a44	a26	a82	a87	</S>
j'	0.0748076	0.0757784	0.0600111	0.025002	0.0230786	0.0248879	0.0371681	0.0537822	0.0479518	0.0232895	0.0220568	0.0300111	0.0340949	0.0171748	0.0148492	0.0182174	0.0109399	0.0145416	0.0173701	0.0114977	0.0176856	0.0170755	0.0112979	0.00931728	0.0147937	0.0137547	0.0212119	0.0238659	0.0236491	0.0230939	0.0306357	0.026889	0.0444408	0.0195522	0.066226
ai	0.0262669	0.0211754	0.0215174	0.0147865	0.0157209	0.0158459	0.0198647	0.0191594	0.0149341	0.0146662	0.0236352	0.0351548	0.0425296	0.0381067	0.0654208	0.0638176	0.0334138	0.0195978	0.011211	0.0162145	0.015115	0.0320198	0.0175134	0.047977	0.031669	0.0191515	0.0200791	0.0297039	0.0492931	0.0496282	0.0453762	0.0278531	0.0305783	0.0309684	0.0200348
raté	0.0400761	0.0225856	0.0275812	0.0235125	0.0289257	0.0223492	0.0152137	0.0166032	0.0153324	0.0113104	0.0183829	0.022921	0.0209574	0.013835	0.037702	0.0503525	0.0350549	0.0265402	0.0134475	0.00533027	0.00516191	0.00467954	0.00440405	0.00924436	0.0167378	0.0151974	0.0343754	0.0470097	0.0418681	0.0710243	0.08182	0.0615054	0.0356976	0.0726793	0.0305817
les	0.0154921	0.0111493	0.0107917	0.0162376	0.0247511	0.0170222	0.00980519	0.00535563	0.0106323	0.0101773	0.00701272	0.00559058	0.0072005	0.0055141	0.00947649	0.008265	0.0391165	0.068885	0.0475247	0.103703	0.0886363	0.105845	0.0625721	0.0569303	0.0434385	0.0212261	0.0283473	0.0227071	0.0228742	0.0344805	0.0218129	0.0164391	0.0181493	0.00991082	0.0129273
cours	0.0280401	0.0231384	0.0217634	0.0248971	0.0251297	0.0242201	0.0272252	0.0192177	0.0313862	0.0337884	0.0187505	0.0163349	0.0168527	0.0133224	0.019828	0.0241214	0.0433372	0.0354067	0.0302528	0.0304337	0.037597	0.0309027	0.0295824	0.0495687	0.0536548	0.0347781	0.0472418	0.0289835	0.0346201	0.0590985	0.0279447	0.0195042	0.0143131	0.0120435	0.0127206
aujourd'	0.0718287	0.0489314	0.048413	0.0590923	0.0660518	0.0564372	0.047124	0.022968	0.0303925	0.0238403	0.0137911	0.0138016	0.0131033	0.00844954	0.0137289	0.0152224	0.0194337	0.0145825	0.0129096	0.0160649	0.0200985	0.0194934	0.0195735	0.0272623	0.0285108	0.0334645	0.0542206	0.0405933	0.0236863	0.031486	0.0141658	0.0194034	0.0114385	0.0139022	0.0265341
hui	0.0234153	0.0202547	0.0208097	0.0327166	0.0467947	0.0309321	0.016788	0.0113475	0.0115863	0.0120104	0.012327	0.0124262	0.0142088	0.0350525	0.0245142	0.021751	0.0261628	0.0152823	0.0165	0.027251	0.0424516	0.0549737	0.047401	0.0591488	0.0717394	0.0734814	0.0682335	0.0327454	0.0283805	0.0214547	0.0152734	0.0184745	0.0115198	0.0110114	0.0115797
par	0.074726	0.0543008	0.0425128	0.0356715	0.0317383	0.02361	0.0337376	0.0242564	0.0195156	0.0165866	0.0158388	0.0167935	0.0196992	0.0119828	0.0152079	0.015943	0.0138379	0.00732935	0.0128632	0.00936329	0.0115218	0.0175043	0.0139978	0.0174876	0.0114809	0.0201222	0.0254874	0.038158	0.050238	0.0369692	0.0509889	0.0558206	0.0300612	0.0556328	0.069015
ta	0.066679	0.0515444	0.0428375	0.0418682	0.0335434	0.0245588	0.0302525	0.0276443	0.0239489	0.022481	0.0249173	0.0267637	0.0275527	0.0146807	0.0191989	0.0223816	0.0210038	0.0123601	0.0192294	0.0111637	0.0115936	0.0163729	0.013652	0.0189869	0.0170413	0.0285661	0.0298098	0.0363698	0.0388757	0.0254424	0.0339792	0.0322611	0.0279375	0.0417493	0.0627523
faute	0.0315338	0.0250876	0.0234938	0.0274628	0.026734	0.0211765	0.0186976	0.0158985	0.0171738	0.0199487	0.0152486	0.0112405	0.0118089	0.0104834	0.0125147	0.0132207	0.0205941	0.0169651	0.0269306	0.0251003	0.0426121	0.0616221	0.0407103	0.0554188	0.0331417	0.0318641	0.0291317	0.0247586	0.0394582	0.0270349	0.0464184	0.0348674	0.0413383	0.0445766	0.0557328
</S>	0.0597187	0.0329701	0.0248449	0.0161473	0.012383	0.0067438	0.0086914	0.00881866	0.00776531	0.00551197	0.00506657	0.00530803	0.00452034	0.00626946	0.00881408	0.0140163	0.0130234	0.00712535	0.0147901	0.00743121	0.0120566	0.020488	0.0179515	0.0346178	0.0255104	0.0452665	0.0478753	0.0311429	0.0534601	0.0392435	0.0628464	0.0693004	0.0595736	0.0803356	0.130372
