 	a87	a23	a83	a13	a61	a24	a96	a62	a70	a75	a47	a83	a18	a70	a98	a21	a70	a13	a88	a11	a96	a75	a85	a5	a47	a96	a34	a0	a75	a25	a92	a34	a56	a96	a75	a66	a38	a21	a96	a75	a47	a44	a66	a38	a82	a9	a87	a97	a87	a23	a9	a57	</S>
les	0.0365338	0.051898	0.0281851	0.0228028	0.0197252	0.0131765	0.0215297	0.0167603	0.0137835	0.0346263	0.0335543	0.0172559	0.0233164	0.0202174	0.017042	0.0169321	0.0105871	0.0210942	0.0277285	0.0311092	0.0316126	0.0336231	0.0453049	0.0220056	0.030615	0.0229783	0.0194537	0.0251433	0.013792	0.0204095	0.0236359	0.0153726	0.0166259	0.0105437	0.0137341	0.0127296	0.00658697	0.00608891	0.00609621	0.00578653	0.00631612	0.0122733	0.00677747	0.00640533	0.00636684	0.00582755	0.00816639	0.00970024	0.0137262	0.0137163	0.0167721	0.00884829	0.025107
marques	0.0014213	0.00195129	0.0019194	0.00206502	0.00292162	0.00303721	0.00242387	0.00261064	0.0038228	0.00374971	0.00499163	0.010793	0.0165372	0.039144	0.0580402	0.0495064	0.0771617	0.0779718	0.068409	0.0749261	0.0469735	0.0556023	0.0547088	0.0625521	0.0592446	0.0466096	0.0309002	0.0319973	0.0325551	0.0166832	0.0211895	0.00816542	0.00305729	0.00226872	0.00124913	0.00084819	0.000729554	0.000634829	0.00136963	0.00119848	0.00113966	0.000611871	0.00130048	0.00120044	0.000864695	0.00113746	0.00158847	0.00120037	0.00121768	0.00122298	0.00180106	0.0024754	0.00229804
laissées	0.0081862	0.00239153	0.00266503	0.00222306	0.00313129	0.00472921	0.00400502	0.00304432	0.00438849	0.00248928	0.00439525	0.00910459	0.00802032	0.0210481	0.0391067	0.0419733	0.0888164	0.102395	0.0927149	0.0695331	0.0707835	0.0475164	0.0678837	0.0701485	0.0622666	0.0342118	0.0246176	0.0204989	0.0150315	0.0173624	0.0116601	0.0123722	0.00607976	0.005034	0.00233525	0.00102652	0.000975794	0.000600924	0.000546453	0.00068795	0.000794594	0.00105446	0.000979449	0.00136503	0.00100841	0.00141352	0.000895252	0.00109133	0.000816681	0.000695411	0.00214972	0.00135555	0.000379611
par	0.00585703	0.0019782	0.00318793	0.00610291	0.00298819	0.00608614	0.00522651	0.0106504	0.00681328	0.00934118	0.00922565	0.0116392	0.00567975	0.0107066	0.015479	0.00900447	0.017454	0.0272199	0.03419	0.0205528	0.0218326	0.0296511	0.0219608	0.0411724	0.0385956	0.060639	0.051079	0.0477807	0.0496532	0.0404013	0.0300569	0.024673	0.0196258	0.0171705	0.0152721	0.0117174	0.00915956	0.00936997	0.00962866	0.0119618	0.0113923	0.016647	0.0195558	0.0151636	0.015043	0.0237466	0.0234402	0.0168592	0.0192882	0.0155739	0.018609	0.0191999	0.0046966
les	0.0163452	0.0101573	0.00968777	0.0235192	0.0152132	0.0213876	0.020555	0.0226502	0.00991548	0.018439	0.0140643	0.0103392	0.00998428	0.00845101	0.0202194	0.0156375	0.0200402	0.0330729	0.0460964	0.0234085	0.0304812	0.0284964	0.018263	0.0214659	0.0313148	0.0374069	0.0327449	0.0367776	0.0290036	0.0231867	0.0154116	0.0104584	0.00944024	0.00911009	0.00670082	0.008732	0.0105873	0.0127066	0.00789125	0.0180987	0.0143837	0.0312447	0.0227835	0.0159558	0.0179929	0.0218359	0.0144093	0.0123685	0.0220815	0.0258861	0.012228	0.012767	0.00860149
femmes	0.0358369	0.0319082	0.0308858	0.0476172	0.031593	0.042359	0.0526078	0.0451919	0.0261379	0.0450986	0.0318439	0.0160862	0.0173184	0.0120195	0.0250696	0.0177389	0.0237964	0.0299192	0.0359791	0.0229841	0.0308995	0.022284	0.0141188	0.0085083	0.0193418	0.0186521	0.0166077	0.0149848	0.0140072	0.0145489	0.0121141	0.0151849	0.0168079	0.0193619	0.010826	0.0117895	0.00563339	0.00533115	0.0034436	0.00673486	0.00511498	0.0143746	0.0059792	0.00649659	0.0065733	0.00727991	0.00455586	0.00463232	0.00970497	0.00977514	0.00875189	0.00503925	0.00854946
qui	0.0186894	0.00922516	0.0102872	0.0124946	0.0119032	0.016084	0.0176932	0.0160913	0.0141004	0.0177244	0.0108845	0.0167473	0.0149666	0.0206491	0.0498996	0.0325363	0.0434916	0.0591602	0.0736087	0.0526155	0.0513065	0.0411466	0.042406	0.0291476	0.0285307	0.029556	0.0255149	0.0230761	0.0132532	0.0196186	0.0152519	0.0150246	0.0107235	0.0106525	0.0119574	0.00884602	0.00633397	0.006068	0.00415793	0.00376469	0.00481452	0.0139742	0.00417787	0.00382389	0.00377177	0.00384146	0.00437693	0.00546935	0.0116117	0.0106334	0.00761963	0.00552427	0.00517226
se	0.0245708	0.0132842	0.0107602	0.00602047	0.00992385	0.0123799	0.0108406	0.0142921	0.0134141	0.0116382	0.00888848	0.014355	0.0126689	0.0178582	0.0264818	0.0287677	0.034763	0.0444176	0.0492459	0.0475224	0.0546256	0.0458369	0.0554089	0.0404794	0.0359354	0.0236815	0.0172536	0.0201941	0.0112893	0.0127763	0.011018	0.0121539	0.0132745	0.0145958	0.0148894	0.0127568	0.010591	0.0118834	0.00554548	0.00733277	0.00730068	0.0131567	0.00857856	0.011806	0.00802793	0.00852954	0.0101104	0.0105262	0.0163283	0.0186109	0.0165149	0.01681	0.0100845
sont	0.0229433	0.0231342	0.0174424	0.00985041	0.0157433	0.0134204	0.0106785	0.0108543	0.014129	0.0199288	0.0117902	0.012649	0.0165957	0.01636	0.0252211	0.0178301	0.0255962	0.0379498	0.0289296	0.0330012	0.0380372	0.0333428	0.0313633	0.0252522	0.022282	0.0183609	0.0139968	0.0137525	0.0102186	0.0158807	0.0138142	0.020687	0.022674	0.0287318	0.0316037	0.0234112	0.0255762	0.0168332	0.0120507	0.0110941	0.0105897	0.0139384	0.00874219	0.0079424	0.00987564	0.00624045	0.00893402	0.0091295	0.0154879	0.0261451	0.0253482	0.0221042	0.0225117
battues	0.019985	0.0186648	0.0135618	0.00923115	0.0142922	0.0138529	0.00935415	0.00934406	0.0114493	0.0134799	0.00796559	0.0113247	0.0122609	0.0145909	0.0245559	0.0174599	0.0236457	0.0348214	0.0316845	0.0312	0.0369952	0.0281803	0.0319053	0.0260973	0.0230776	0.0233389	0.0194925	0.0203945	0.0133925	0.0181688	0.013569	0.0187913	0.0229614	0.027518	0.0250683	0.0222414	0.0142389	0.0156923	0.00742655	0.0111963	0.0122181	0.0269366	0.0105618	0.00938012	0.010395	0.00940825	0.0131835	0.00988449	0.0213202	0.0290958	0.0219955	0.0221078	0.0410416
