 	a66	a87	a23	a50	a88	a62	a47	a96	a75	a79	a56	a94	a62	a47	a62	a88	a75	a98	a47	a85	a5	a61	a62	a88	a71	a9	a87	a23	a87	</S>
il	0.0406792	0.0392267	0.0252625	0.0235132	0.025528	0.0265048	0.0180265	0.0320763	0.028579	0.0323853	0.0332738	0.0390043	0.0398749	0.0262275	0.0353334	0.0474854	0.0383924	0.0317887	0.0206164	0.0303122	0.0268999	0.0552057	0.0417213	0.0324725	0.0307893	0.0324491	0.0358156	0.0260718	0.0380397	0.0464445
n'	0.0497087	0.0473501	0.119793	0.0663985	0.0597076	0.0367	0.0353742	0.0405699	0.0432216	0.0230727	0.0274916	0.0217106	0.0256706	0.0191667	0.0140986	0.012656	0.012302	0.0169036	0.0231382	0.0163736	0.0192834	0.0180337	0.0214557	0.0303486	0.0351132	0.0245175	0.0225686	0.0462838	0.0434993	0.027488
y	0.0738792	0.0421982	0.0748303	0.0396124	0.0732823	0.0591475	0.0483135	0.0379791	0.0270387	0.0165731	0.0103261	0.00967941	0.0118164	0.0102866	0.0172927	0.0179627	0.0285142	0.0393797	0.0304925	0.0332756	0.0271956	0.0270696	0.014507	0.0215786	0.0223047	0.0290696	0.0268358	0.0524963	0.0426556	0.0344071
a	0.0588636	0.0669591	0.0610089	0.0897233	0.100759	0.0674583	0.0696901	0.0441241	0.0320762	0.0266405	0.0160894	0.0143222	0.0172312	0.0192017	0.0147692	0.0136508	0.012118	0.00806519	0.00859816	0.00898763	0.00998686	0.0143549	0.024235	0.0263725	0.0337263	0.0203533	0.0192098	0.0202151	0.0285555	0.0526538
personne	0.0610709	0.0465126	0.0369891	0.0320733	0.0172152	0.0196522	0.0161353	0.0125529	0.00915348	0.0123237	0.0116062	0.0124013	0.0144017	0.0146419	0.0147633	0.0153626	0.0231253	0.0213502	0.0249617	0.0339122	0.0314083	0.0478249	0.0532045	0.0590028	0.0646025	0.0670306	0.0518059	0.0596374	0.0584684	0.0568092
pour	0.0535147	0.0330166	0.0284606	0.030194	0.0249702	0.0221883	0.0220489	0.0204885	0.0208042	0.0230085	0.017142	0.0156286	0.0136404	0.018573	0.0294599	0.0282597	0.0384977	0.0364897	0.0402959	0.0388414	0.0365247	0.04361	0.0463904	0.0582211	0.0416414	0.0515377	0.0422441	0.0477219	0.0553374	0.0212485
pleurer	0.0836801	0.0405359	0.0381267	0.0278118	0.0228813	0.0179142	0.0180774	0.0164436	0.0144017	0.0159848	0.0139217	0.0195826	0.0216405	0.0258354	0.0419895	0.0388327	0.0556599	0.0515818	0.052174	0.0575403	0.0595596	0.0504853	0.0412418	0.042947	0.0209102	0.0286051	0.0213041	0.026161	0.0266113	0.00755875
ce	0.112205	0.0528754	0.0384973	0.0246145	0.0219427	0.0129492	0.0138624	0.0122122	0.00907295	0.0113294	0.0102684	0.016192	0.0213128	0.0273736	0.0362907	0.0349947	0.0556594	0.0450014	0.0575485	0.0782041	0.0655773	0.0553019	0.0442736	0.0304074	0.0152857	0.0211189	0.0164694	0.0219516	0.0291839	0.00802411
voleur	0.0554969	0.0168272	0.00857454	0.00856409	0.00677322	0.00838741	0.00858397	0.00943785	0.007878	0.0083905	0.00865855	0.0155367	0.0207243	0.0214529	0.0302264	0.0429326	0.0425037	0.0359705	0.0466165	0.066362	0.0609706	0.0672868	0.0654316	0.0605775	0.0444417	0.0519037	0.0493838	0.0407507	0.0717047	0.017651
</S>	0.0870385	0.0359079	0.018185	0.0193607	0.0122006	0.0126642	0.00914233	0.0080882	0.00554545	0.00622449	0.00480797	0.00620003	0.0111428	0.0104516	0.0150708	0.0196615	0.0211916	0.0215767	0.028484	0.0352876	0.0372805	0.0520762	0.0617561	0.0717864	0.0413682	0.0518951	0.0609559	0.0697454	0.107365	0.0575395
