 	a15	a66	a87	a23	a79	a4	a75	a24	a21	a85	a5	a75	a85	a47	a37	a44	a4	a13	a57	a3	a87	a23	a79	a90	a58	a56	a75	a92	a85	a6	a37	a98	a47	a37	a93	a4	a13	a3	a87	a23	a87	</S>
tant	0.0209941	0.0290722	0.0415765	0.0602909	0.0300565	0.0803142	0.0894661	0.0677645	0.0337685	0.0511734	0.0427958	0.0337158	0.027981	0.014371	0.0145287	0.00722578	0.00708925	0.00317499	0.00490177	0.00499518	0.00344775	0.00333319	0.00413762	0.00289886	0.00301574	0.00903062	0.00569657	0.0041526	0.00814286	0.00947252	0.0189638	0.0198674	0.0280852	0.0299265	0.0266757	0.0198952	0.0247269	0.0222077	0.0246973	0.0166031	0.0209082	0.0288583
pis	0.013439	0.00731442	0.00790124	0.00921659	0.00864863	0.0135113	0.0151572	0.0121756	0.0218036	0.0219165	0.0234504	0.0264797	0.032449	0.0151548	0.0171075	0.0309175	0.017072	0.0193884	0.0165682	0.0144218	0.012251	0.0124718	0.00833584	0.00905041	0.00505825	0.0113609	0.00396641	0.00948191	0.0153623	0.0173297	0.0220684	0.0177594	0.0288971	0.0309405	0.0474259	0.0511567	0.0721481	0.104695	0.0465636	0.051967	0.0555903	0.0220261
si	0.0258989	0.00985221	0.00673611	0.00308737	0.00416686	0.00378845	0.00618503	0.00698887	0.032805	0.0311782	0.0369699	0.0519702	0.0839886	0.0264936	0.03907	0.0253311	0.0224129	0.0232499	0.0205338	0.0200081	0.0208536	0.0184847	0.012792	0.0245153	0.00830084	0.0144624	0.00251652	0.00701088	0.00519772	0.00402295	0.00417385	0.00421763	0.00446233	0.0072468	0.0190867	0.0449936	0.0535105	0.0552993	0.0445617	0.061192	0.0734172	0.0289664
tu	0.0643737	0.0424156	0.0263026	0.0131635	0.0179951	0.00741527	0.00412799	0.00566133	0.0131799	0.0219929	0.0177781	0.017451	0.0179113	0.033578	0.033952	0.0521534	0.0504648	0.0454464	0.0188087	0.0213959	0.0172713	0.0188638	0.0250429	0.0209683	0.0144812	0.0178099	0.0145411	0.0175602	0.00917178	0.0160578	0.0187377	0.0170962	0.0146905	0.0318832	0.0300805	0.0312306	0.0304747	0.0287861	0.0214327	0.0269192	0.0204397	0.0308932
m'	0.0339124	0.0276448	0.0233879	0.0160597	0.0208168	0.0101701	0.00657094	0.0117635	0.0175315	0.0224736	0.0351779	0.0329786	0.0297917	0.0417272	0.0424648	0.0480896	0.042103	0.0385472	0.0202627	0.021232	0.0159373	0.0205069	0.0240259	0.0228827	0.0158926	0.0337374	0.0129803	0.0133385	0.00978714	0.0106963	0.0157002	0.0100505	0.0179049	0.0184209	0.021783	0.0293418	0.0260714	0.0339254	0.0271447	0.0220555	0.0246534	0.0304575
acceptes	0.00962547	0.0114006	0.0130788	0.015795	0.0135749	0.013321	0.00951282	0.0135454	0.0128683	0.013433	0.024232	0.0158688	0.018167	0.0352239	0.0398763	0.0726841	0.0748811	0.0829557	0.065376	0.0702068	0.0551497	0.0480284	0.0461536	0.0206202	0.0154366	0.0190322	0.0146024	0.0130209	0.00471097	0.00665501	0.00660472	0.00676593	0.0102513	0.0126904	0.0103938	0.00923169	0.0119514	0.0171385	0.0117106	0.00809101	0.0101907	0.0159431
ou	0.0549915	0.017397	0.0164876	0.0120252	0.00734032	0.0117052	0.0177251	0.0144385	0.0130492	0.0120044	0.0133214	0.0167002	0.0202352	0.0122268	0.0128878	0.0123034	0.0072628	0.00755044	0.0115616	0.0116159	0.0102745	0.00725115	0.0100104	0.0192651	0.0106328	0.0402227	0.00660934	0.00966558	0.00517337	0.00434194	0.0082741	0.00939789	0.0235524	0.0363671	0.0374242	0.0444135	0.0847567	0.0946948	0.0542352	0.0605523	0.0762571	0.0437981
tu	0.0217296	0.0194363	0.0203161	0.0175695	0.00913632	0.00946537	0.00865896	0.0119415	0.00922217	0.00698244	0.00867798	0.0121954	0.0134777	0.0139197	0.0123054	0.0110436	0.00810211	0.00880873	0.00938578	0.0108352	0.0124769	0.00882887	0.0119585	0.0200283	0.0111324	0.0298359	0.00584791	0.00751191	0.00735781	0.00528475	0.0119068	0.0104317	0.0357538	0.0650599	0.0680199	0.112776	0.0755496	0.0728475	0.0425635	0.0371592	0.0549434	0.0495148
me	0.0249753	0.025657	0.0275805	0.0315923	0.0152733	0.0176796	0.00862585	0.0141663	0.0104356	0.00612151	0.0149504	0.0180272	0.019161	0.0207909	0.0144117	0.0125626	0.00954756	0.0090077	0.00905208	0.00718983	0.00659846	0.00467968	0.00594579	0.00842455	0.00594577	0.0108359	0.00645482	0.00760238	0.0113621	0.00769204	0.0118101	0.0142046	0.0315938	0.0546841	0.0690056	0.115888	0.0647481	0.0782219	0.035954	0.0377424	0.0559101	0.0378878
refuses	0.0384433	0.0528422	0.0323507	0.0120053	0.010023	0.00742019	0.00667168	0.013791	0.0217303	0.0190921	0.0274261	0.0307387	0.0315843	0.0317653	0.0289192	0.0271496	0.026714	0.025788	0.0178361	0.0140987	0.0118768	0.0111678	0.0116234	0.0134701	0.00953129	0.0118733	0.00942622	0.0124658	0.0156829	0.0176761	0.0141811	0.00915449	0.0181058	0.0227231	0.0332087	0.0488094	0.0257174	0.0244286	0.0354529	0.0277944	0.0523062	0.0869345
</S>	0.0611547	0.0359197	0.0272088	0.0120642	0.013251	0.0106371	0.00919564	0.0136117	0.0283173	0.0208063	0.0428743	0.0506375	0.0394746	0.0456396	0.0280689	0.0160181	0.0173819	0.00884843	0.00799727	0.00627286	0.00493928	0.0037686	0.00535767	0.00599547	0.0029385	0.00547951	0.00340613	0.00394342	0.00752486	0.00621778	0.0100823	0.00715269	0.0182338	0.0195794	0.033195	0.0466728	0.0337304	0.0430454	0.0482771	0.0500434	0.0826813	0.0623553
