 	a66	a87	a23	a13	a38	a5	a12	a88	a71	a38	a56	a94	a15	a92	a5	a37	a12	a47	a31	a0	a25	a79	a37	a12	a96	a66	a18	a25	a87	a23	a87	a23	a87	</S>
j'	0.0900934	0.0556253	0.0446	0.0215082	0.0192764	0.0173947	0.0176245	0.0147514	0.0204264	0.0161065	0.0129037	0.0183491	0.0159328	0.024477	0.0196421	0.0242058	0.0222668	0.0177186	0.015925	0.0327436	0.0349684	0.0347752	0.0387796	0.0274966	0.0510598	0.0338232	0.0252499	0.0324421	0.0254725	0.0221006	0.0235291	0.0288102	0.0250369	0.0748846
ai	0.0203777	0.0249784	0.0243067	0.0297223	0.025259	0.0370003	0.041221	0.0434299	0.036647	0.0271305	0.028638	0.0303598	0.0438162	0.0472997	0.0826717	0.0719112	0.0496136	0.0428116	0.0452709	0.01939	0.0214807	0.0297316	0.00992812	0.0134303	0.00975239	0.0110859	0.0159341	0.014475	0.0125585	0.0173881	0.0163747	0.0163136	0.0208534	0.0188381
appris	0.0318951	0.0218633	0.0186231	0.0231347	0.0171155	0.0273648	0.0619421	0.0600942	0.0737291	0.0452988	0.107493	0.056423	0.0373809	0.0318771	0.0265475	0.0156225	0.0123917	0.0132912	0.0189704	0.0142166	0.00794592	0.00878425	0.00717859	0.00849235	0.0140479	0.0152195	0.0215626	0.0211669	0.0185267	0.0262037	0.0342451	0.0296877	0.0444699	0.0271945
à	0.0727249	0.0584968	0.0263943	0.022273	0.0361478	0.0215224	0.0264442	0.0439786	0.0215192	0.027734	0.0403678	0.0254383	0.0343865	0.0421892	0.0378085	0.0536191	0.040936	0.0381628	0.0407117	0.0288681	0.0258828	0.0159917	0.0143368	0.0150891	0.0182236	0.0128671	0.0143219	0.0127384	0.0183496	0.0247775	0.0206835	0.0200055	0.018833	0.0281765
construire	0.0684812	0.0460123	0.0358732	0.0318127	0.0363973	0.0220366	0.0201341	0.0274838	0.0122101	0.0179364	0.0179536	0.0190008	0.0311235	0.0413487	0.033296	0.0338965	0.0252712	0.0235882	0.0274189	0.0231336	0.0220333	0.0226658	0.0319141	0.034796	0.0409809	0.0273118	0.0276108	0.0272012	0.0265798	0.0270112	0.0288844	0.023075	0.0379892	0.0275378
une	0.0926163	0.0591822	0.041715	0.0387456	0.0323041	0.0342447	0.0217177	0.0161226	0.00820463	0.0139609	0.00883096	0.0100912	0.0131894	0.0159151	0.0136836	0.0149744	0.0137431	0.0170139	0.0190218	0.025182	0.0371999	0.0394878	0.0500222	0.0524261	0.0485131	0.0367715	0.0243619	0.0303912	0.027948	0.025263	0.028668	0.0262985	0.0348775	0.0273122
maison	0.0553276	0.0269086	0.0201734	0.0267631	0.0200693	0.0182663	0.0311145	0.0325663	0.022293	0.0296252	0.0377425	0.0297307	0.0167012	0.0208486	0.0155282	0.0167801	0.0163314	0.0159297	0.0188079	0.0199136	0.0239685	0.026867	0.0494093	0.0475163	0.0535511	0.0635888	0.0466907	0.0455163	0.0351689	0.0373122	0.0253517	0.0193374	0.0217104	0.0125904
dans	0.0689371	0.0532645	0.0414897	0.0292764	0.0219641	0.0200086	0.0189404	0.01917	0.00977326	0.0163833	0.0100252	0.0119297	0.00717004	0.0103408	0.0116163	0.0115263	0.0111717	0.00852102	0.00793378	0.00638983	0.00533341	0.00564066	0.0264249	0.02256	0.0319844	0.0435082	0.0305406	0.0481871	0.0473289	0.0744045	0.0625515	0.062833	0.0712217	0.0716491
ma	0.0869678	0.0535201	0.040689	0.0348707	0.0269705	0.0410407	0.0239194	0.0187153	0.00587022	0.012116	0.01003	0.0129275	0.0104694	0.0167477	0.01628	0.0200942	0.0222913	0.023462	0.0290942	0.0214538	0.0125207	0.013321	0.0186359	0.0183993	0.0232699	0.035118	0.0266839	0.0434731	0.0285193	0.0413569	0.0365462	0.0466964	0.0653401	0.0625896
jeunesse	0.0282695	0.019756	0.0157822	0.0171991	0.0152294	0.0166056	0.0170292	0.0327031	0.0200316	0.0384609	0.0546778	0.0404192	0.0317281	0.0392316	0.0361354	0.0307358	0.0335095	0.0250343	0.0250304	0.0202282	0.0140196	0.0165641	0.0328272	0.0276295	0.0390227	0.0382233	0.0328307	0.0357479	0.0428357	0.0382474	0.0400024	0.0327089	0.0342773	0.0172662
</S>	0.0216443	0.0136071	0.00963894	0.00792638	0.00787008	0.00651675	0.00525894	0.00845135	0.00742207	0.00797679	0.00529762	0.00433658	0.00327445	0.00320871	0.00352475	0.00340827	0.00297206	0.00243563	0.00256761	0.00455977	0.00549309	0.0109416	0.0358889	0.0241443	0.036389	0.071684	0.0425722	0.100075	0.0752774	0.105222	0.0966295	0.103645	0.0832204	0.0769191
