 	a87	a23	a13	a11	a24	a11	a90	a4	a90	a76	a94	a32	a75	a98	a73	a94	a41	a94	a41	a18	a32	a9	a10	a11	a90	a82	a40	a98	a73	a84	a57	a38	a50	a13	a54	a73	a94	a90	a25	a90	a58	a53	a69	a58	a84	a57	a87	</S>
je	0.042029	0.0514683	0.0508752	0.0974011	0.0907433	0.0231296	0.0291193	0.0310188	0.0260773	0.0199342	0.013026	0.0170601	0.0092942	0.0120913	0.00776538	0.0119189	0.00957959	0.00602082	0.00875253	0.00468131	0.00509943	0.00966532	0.0173066	0.0193804	0.0248177	0.00941631	0.0103488	0.0100044	0.0151519	0.0289603	0.0135721	0.00927916	0.0094201	0.0107648	0.0153851	0.0159571	0.0174392	0.0144608	0.0114531	0.0109687	0.0181212	0.0143245	0.0148464	0.0286012	0.0155254	0.0266624	0.0143656	0.0267158
n'	0.00715509	0.00639173	0.0124796	0.0209932	0.0332357	0.0254641	0.0215498	0.0371914	0.072763	0.0451546	0.0366093	0.0458573	0.0542012	0.0757811	0.0706766	0.048902	0.0626794	0.0198759	0.0131304	0.016133	0.0172781	0.0122182	0.0159687	0.0113374	0.00639492	0.00732328	0.00381775	0.00324006	0.00432135	0.00675101	0.00562411	0.00449434	0.00316862	0.00257671	0.00421285	0.00404966	0.00462677	0.00535051	0.00750161	0.013938	0.00697718	0.0124166	0.0188373	0.0175838	0.013067	0.0127739	0.027233	0.0206927
ai	0.0286513	0.0196263	0.0207477	0.0147475	0.0140096	0.0108576	0.00500651	0.00408893	0.0105587	0.0115746	0.0153635	0.0206725	0.0290956	0.0298236	0.0518438	0.0313922	0.0266713	0.0196248	0.0155831	0.015629	0.0131557	0.0145707	0.0189731	0.00876663	0.00457061	0.00678168	0.00728114	0.00440191	0.00387275	0.0058972	0.00479491	0.00358901	0.00281556	0.00215269	0.000807511	0.00279263	0.00292119	0.00178908	0.00203684	0.00429136	0.00913086	0.0318036	0.0424162	0.0814482	0.0589344	0.0775424	0.0883551	0.0985388
pas	0.0188539	0.0131672	0.0152459	0.0209576	0.0253265	0.0643888	0.047435	0.0494577	0.0467789	0.0489567	0.0422063	0.0263951	0.0451436	0.0345689	0.0305041	0.0523086	0.0376774	0.0122841	0.0111925	0.00983691	0.0104646	0.00789099	0.0328293	0.0204991	0.0180137	0.0202909	0.0232076	0.015944	0.0144753	0.0154449	0.0145522	0.0131465	0.0143219	0.0101942	0.011982	0.00602193	0.00859777	0.00658154	0.00744836	0.00709184	0.00553646	0.0054051	0.00510243	0.00523694	0.00879181	0.00942979	0.00955543	0.0192574
pu	0.0265127	0.0189049	0.0164434	0.0231607	0.0232559	0.0189339	0.0263001	0.031872	0.0308838	0.0199293	0.0203673	0.0189667	0.0197858	0.0224215	0.0249167	0.0370496	0.0321025	0.029147	0.0356026	0.0296462	0.0214328	0.0281848	0.0352278	0.0251025	0.0333364	0.0226028	0.0250246	0.0242912	0.0214305	0.0281841	0.021556	0.0192819	0.0172014	0.0123705	0.0143024	0.0118775	0.0139837	0.0133504	0.011893	0.0116779	0.0089324	0.00819104	0.00551894	0.00517018	0.0121007	0.0104026	0.0106809	0.0204888
faire	0.0630601	0.0388743	0.0222245	0.025468	0.0239787	0.0189627	0.0183026	0.011241	0.0118505	0.0068004	0.0089427	0.0110768	0.00888271	0.0125574	0.0163772	0.0223488	0.0182299	0.0208564	0.0248412	0.0151058	0.0162854	0.0261296	0.022861	0.02296	0.02505	0.0167097	0.0160353	0.0129815	0.0159564	0.0233449	0.0156365	0.0144916	0.0119508	0.0116323	0.01311	0.0145363	0.0159462	0.0225847	0.027811	0.0308189	0.0289658	0.0285962	0.0160445	0.0228509	0.0274201	0.023082	0.0272843	0.0489422
autrement	0.014763	0.00838563	0.00517996	0.00913711	0.00888321	0.00774525	0.00930543	0.0079332	0.00765236	0.010358	0.0145462	0.0147292	0.0207715	0.020412	0.0213943	0.0250363	0.0319697	0.0328313	0.0398527	0.0414828	0.0291885	0.0391	0.0350213	0.0452827	0.0448475	0.0271958	0.0341056	0.0305686	0.0315522	0.0289618	0.0284446	0.0301477	0.027627	0.0273695	0.0231753	0.0231201	0.0234362	0.0145861	0.0123732	0.0101946	0.0112803	0.00740183	0.00832103	0.0122349	0.0112476	0.0114021	0.0089923	0.0104526
que	0.0167117	0.00934765	0.00534835	0.0100072	0.00968851	0.0113784	0.0133973	0.00740947	0.00338772	0.00638659	0.00940385	0.0217132	0.0242811	0.0213462	0.0194914	0.021588	0.0331947	0.0288445	0.0269379	0.0187376	0.0232314	0.0341148	0.031994	0.0328717	0.0398661	0.0244149	0.0374628	0.0306437	0.0421371	0.0452834	0.0269616	0.0393629	0.0271743	0.0336706	0.0288951	0.0266669	0.0241435	0.0223407	0.0188228	0.0134646	0.0121583	0.0090111	0.0102834	0.00935906	0.00939277	0.0102018	0.00930417	0.00816529
d'	0.120937	0.0491899	0.0205081	0.032903	0.0245151	0.00893614	0.010742	0.00419311	0.00556911	0.00994861	0.00961777	0.0207756	0.00796645	0.00666845	0.00998879	0.0124485	0.0110317	0.0183882	0.025642	0.0131855	0.0119369	0.0276689	0.0156034	0.0149795	0.0170907	0.010777	0.00968968	0.00622011	0.0107364	0.0211997	0.0073402	0.00653864	0.00455504	0.00685388	0.00826949	0.0170487	0.0150104	0.0125941	0.0205339	0.0153881	0.0351733	0.0248124	0.0141071	0.0339116	0.0283882	0.0390038	0.0385135	0.1029
y	0.0563154	0.026675	0.0172341	0.0327629	0.0280106	0.0256693	0.0177087	0.00709843	0.0103146	0.00903548	0.0117839	0.0291114	0.0128639	0.0216625	0.0251868	0.0208813	0.0201943	0.0241808	0.0239382	0.0152485	0.0196182	0.0276236	0.0222096	0.0213745	0.0179518	0.0211744	0.0150231	0.0130672	0.0210942	0.032939	0.0182538	0.0129832	0.00893186	0.01023	0.0146811	0.0195048	0.018627	0.0131696	0.0172176	0.0126183	0.0226547	0.0155319	0.0139903	0.0181744	0.0158483	0.0357606	0.0312695	0.0526014
