 	a66	a87	a23	a87	a23	a87	a23	a30	a13	a57	a9	a62	a54	a6	a79	a54	a47	a37	a75	a47	a7	a47	a6	a36	a11	a83	a98	a79	a90	a69	a44	a90	a56	a32	a90	a58	a82	a87	a23	a87	a10	a87	a23	a87	</S>
le	0.0150789	0.0159485	0.0210315	0.0131908	0.0122768	0.0247982	0.0166668	0.0161244	0.013749	0.0419973	0.0353239	0.0606635	0.0731372	0.0493651	0.0414833	0.0437086	0.0345503	0.0174567	0.0206005	0.0206106	0.015406	0.0146945	0.0120133	0.0116112	0.00774706	0.00586243	0.00967571	0.0178202	0.00605007	0.00654465	0.0101818	0.00942286	0.0244828	0.0235992	0.0234163	0.021463	0.022174	0.021095	0.0224007	0.013548	0.0243599	0.0202975	0.02126	0.0183324	0.0287794
filet	0.00425789	0.00902324	0.00707491	0.0153403	0.0198931	0.040293	0.0192965	0.0163659	0.010072	0.0149846	0.0143691	0.0268436	0.0583745	0.0637219	0.0651435	0.031153	0.0392825	0.018875	0.0425065	0.043871	0.0465872	0.0462937	0.0452592	0.0357908	0.0193	0.0261609	0.0177543	0.0112108	0.00848369	0.00975472	0.00745533	0.00493436	0.00561572	0.00543399	0.0113973	0.00902683	0.012735	0.0112628	0.0117223	0.00922154	0.00843663	0.010971	0.0136691	0.0174631	0.0333177
pour	0.0204812	0.0224394	0.0189652	0.0213665	0.0192759	0.0116482	0.0151484	0.0118903	0.0235236	0.0277851	0.0376467	0.0322297	0.0179026	0.0437463	0.0422714	0.0298388	0.0614395	0.0391539	0.0327741	0.0494921	0.075841	0.0631639	0.0461501	0.0755396	0.0468564	0.0185042	0.00608182	0.0036008	0.00433606	0.00375369	0.00478372	0.0033727	0.00555046	0.00428054	0.0034735	0.00371855	0.00540887	0.00562337	0.00584231	0.005061	0.00365149	0.00520268	0.00730296	0.0096828	0.00419855
la	0.0191568	0.0100023	0.00671756	0.00747294	0.00761838	0.0041612	0.00391502	0.00654968	0.012809	0.0248996	0.0280412	0.0598585	0.058145	0.0312771	0.0603	0.0504274	0.0426094	0.034787	0.0222277	0.0241887	0.0168855	0.0199745	0.0143966	0.014996	0.0186543	0.0151006	0.00633294	0.0100895	0.0138973	0.0197843	0.00845346	0.00696864	0.0138174	0.0141277	0.0230772	0.0174298	0.0169964	0.0239126	0.0192035	0.0317607	0.0193058	0.025649	0.0364431	0.0313375	0.0462415
chasse	0.0440891	0.0339356	0.0162688	0.0255222	0.0419125	0.0317022	0.0411971	0.0380406	0.03203	0.019857	0.0224543	0.0128222	0.00889145	0.0111907	0.0113531	0.0159638	0.0267568	0.0182282	0.021264	0.0131486	0.0102964	0.015878	0.0228447	0.0262631	0.0217032	0.018234	0.0205334	0.0180964	0.0248108	0.0134128	0.00858681	0.00571465	0.00686977	0.00828806	0.00696806	0.011221	0.00985794	0.0161827	0.0181316	0.023822	0.0297352	0.0250603	0.0399533	0.0382733	0.0726342
aux	0.0124582	0.0159046	0.0113514	0.0147462	0.0139407	0.0119234	0.0130564	0.0108027	0.0226338	0.0394005	0.0526921	0.0717328	0.0706323	0.069049	0.0589493	0.0657286	0.0558713	0.0517053	0.0374129	0.0233358	0.0231857	0.0205837	0.0195191	0.0125002	0.00495969	0.00470472	0.0040551	0.00499603	0.00463218	0.00373405	0.00962805	0.00928041	0.0114995	0.00838305	0.00552723	0.0113951	0.0114479	0.0134892	0.015055	0.0144853	0.0132803	0.0128076	0.0128578	0.00950771	0.0151578
buffles	0.018455	0.013623	0.0105907	0.0153307	0.01924	0.019556	0.0254143	0.020656	0.0253638	0.0394934	0.0485192	0.0461274	0.0303194	0.0339961	0.0359369	0.042012	0.0454719	0.0549739	0.0425259	0.022673	0.0424079	0.0273465	0.0246392	0.0274402	0.0288075	0.0172094	0.00959246	0.00773011	0.0166511	0.00840027	0.0197581	0.00799302	0.00852004	0.00885643	0.00568573	0.00781031	0.00606848	0.00801663	0.0114042	0.0130106	0.0116631	0.0146794	0.0174945	0.0142576	0.0242788
est	0.0154149	0.0129594	0.00913706	0.0124799	0.017022	0.0150705	0.0203295	0.0259921	0.0345741	0.0569296	0.0411988	0.0552756	0.0314909	0.0298784	0.0501698	0.0482343	0.0498796	0.0588862	0.0485091	0.0341884	0.0326509	0.023235	0.0178856	0.0213609	0.0264691	0.00965762	0.0105137	0.00937963	0.0184631	0.013159	0.0230175	0.00924224	0.00507521	0.00472848	0.00336089	0.00556116	0.00698948	0.00999659	0.0112278	0.0113797	0.0108828	0.0119815	0.0127563	0.0098956	0.01351
fabriqué	0.0155919	0.0171987	0.0128508	0.0150602	0.0207259	0.0235937	0.0320989	0.0259929	0.0321292	0.0362225	0.0296979	0.029894	0.0174106	0.0123719	0.0203487	0.0213265	0.0178042	0.021067	0.0164032	0.0144721	0.0104746	0.011936	0.0130466	0.0144868	0.0224795	0.0265378	0.0209371	0.0332653	0.0530291	0.0669637	0.0332762	0.0363092	0.0197776	0.0145673	0.00965699	0.0100139	0.0163514	0.010515	0.0147116	0.0121119	0.0227141	0.0197753	0.0215044	0.0225493	0.0307483
avec	0.0198007	0.026275	0.0248382	0.0275342	0.0324491	0.044677	0.0564124	0.037873	0.0275477	0.0300615	0.0211605	0.0238352	0.0146666	0.013185	0.0182597	0.0195847	0.0175349	0.0172773	0.0139067	0.00899622	0.00841122	0.00880429	0.0111385	0.0129167	0.0166156	0.0297587	0.0191751	0.0193723	0.0229771	0.0262905	0.0166087	0.0154736	0.0158953	0.0169951	0.0151474	0.0141741	0.0177948	0.0147262	0.0201527	0.0128287	0.0291677	0.0278449	0.0304384	0.0357597	0.0456573
