 	a23	a87	a23	a20	a30	a35	a24	a25	a38	a41	a35	a26	a41	a25	a76	a90	a57	a38	a75	a73	a76	a73	a35	a24	a25	a11	a26	a24	a9	a87	</S>
il	0.0250428	0.0545725	0.107041	0.119551	0.258232	0.0886928	0.039463	0.0396181	0.0324233	0.028436	0.0188321	0.00928969	0.00808627	0.00335122	0.00746951	0.00273196	0.00314112	0.00356842	0.00367465	0.00530044	0.00419704	0.00704043	0.00777933	0.00915179	0.00909518	0.0111169	0.0142729	0.0157447	0.0132924	0.0139143	0.0358767
a	0.00333985	0.00300068	0.00198487	0.0030293	0.00551062	0.0136429	0.00753383	0.0163308	0.0270264	0.039616	0.0533902	0.0576447	0.0669881	0.0835593	0.0592404	0.049279	0.0209476	0.015578	0.0105959	0.0151721	0.02475	0.0223877	0.019145	0.0256611	0.042511	0.0458418	0.0603817	0.0718774	0.0417293	0.0541117	0.0381927
accroché	0.00569824	0.00736562	0.0107156	0.0122788	0.0187578	0.0355591	0.02927	0.0347091	0.0341863	0.0288516	0.0147695	0.0147617	0.0114874	0.0236601	0.0103518	0.00787284	0.00446421	0.00287912	0.00450698	0.00730001	0.00840904	0.019421	0.04361	0.0434075	0.0505879	0.0677453	0.0824963	0.0787738	0.0837124	0.0972737	0.105117
son	0.0421499	0.0231552	0.0143863	0.0170851	0.00916526	0.0102729	0.0128462	0.00653528	0.00828591	0.00749973	0.00465301	0.0142777	0.0218845	0.0287846	0.0353109	0.0472785	0.122095	0.0722496	0.0677867	0.0778368	0.0544633	0.0440539	0.0412365	0.031799	0.0263958	0.029007	0.0204809	0.025151	0.0266999	0.0331093	0.024064
chapeau	0.0345664	0.0183747	0.0163934	0.013576	0.0237076	0.0633311	0.0883714	0.101987	0.0625913	0.0456465	0.0382282	0.0490598	0.0475586	0.0290102	0.0554204	0.025848	0.0424214	0.0417751	0.0397018	0.0331289	0.016287	0.00883848	0.00651686	0.00734621	0.00771315	0.00809661	0.00881077	0.0131683	0.0141178	0.0153478	0.0230595
au	0.0643169	0.0873755	0.0513491	0.0396101	0.025785	0.0421867	0.0305084	0.0250609	0.0180802	0.0120676	0.00489522	0.00989248	0.0281795	0.0259138	0.0312822	0.0269203	0.0323083	0.0342917	0.0312559	0.0397827	0.0216118	0.0299921	0.0223739	0.0188335	0.0141169	0.0204156	0.0256521	0.0603886	0.0573187	0.0458179	0.0224165
bout	0.0541678	0.037983	0.0178371	0.0162006	0.0126661	0.015119	0.0127978	0.0162951	0.0200718	0.0139995	0.0127113	0.0166323	0.0220342	0.0168822	0.0186313	0.0187148	0.0569357	0.0638274	0.0491022	0.0483702	0.0461468	0.0524547	0.0509282	0.0364746	0.0341429	0.0505698	0.0366014	0.047093	0.0590853	0.0281929	0.0173309
du	0.0419147	0.0329653	0.031242	0.0179994	0.0148156	0.0266879	0.0249817	0.043904	0.03357	0.0274487	0.0275345	0.0297192	0.025569	0.023677	0.0140302	0.016482	0.0221046	0.0250381	0.0160544	0.0318747	0.0385993	0.0220524	0.0255638	0.0151893	0.0200643	0.0228815	0.0276459	0.077891	0.0684946	0.0781426	0.0758625
piquet	0.0265404	0.0214971	0.0179056	0.0119222	0.00905244	0.00853126	0.00696883	0.00701308	0.00692698	0.00546145	0.00544894	0.00649139	0.00872518	0.00947523	0.0137595	0.00833437	0.0111246	0.0155597	0.015257	0.0267833	0.0397809	0.067894	0.0652273	0.072076	0.0924326	0.0849251	0.0940405	0.0758689	0.0589564	0.0606534	0.0453665
</S>	0.0423046	0.0356843	0.0306223	0.0133262	0.00816023	0.0140809	0.00803201	0.00798784	0.00713758	0.00596526	0.00591002	0.00849111	0.00986371	0.00856858	0.00755465	0.00583388	0.00853026	0.0124807	0.0178929	0.0361424	0.0381151	0.040279	0.0563894	0.0526067	0.0646209	0.0588518	0.0644177	0.0766497	0.0790383	0.0926849	0.0817772
