 	a87	a10	a87	a83	a62	a21	a66	a98	a79	a44	a98	a73	a94	a44	a56	a70	a61	a70	a98	a85	a37	a66	a75	a85	a47	a37	a47	a37	a66	a61	a21	a85	a47	a37	a66	a75	a85	a35	a66	a83	a9	a99	a87	a23	a87	a23	a99	a97	</S>
pendant	0.0714515	0.0754536	0.0406237	0.0380657	0.0534855	0.0317827	0.0623932	0.0247579	0.0426169	0.0448285	0.0362636	0.0374715	0.0223623	0.0191194	0.00854782	0.0100953	0.011554	0.0107467	0.00870191	0.00691419	0.0081202	0.00857037	0.0104242	0.0123954	0.0101051	0.00887248	0.0117284	0.00987556	0.0111561	0.0206749	0.0248585	0.0165195	0.0169709	0.0166036	0.0131561	0.0138723	0.0131453	0.0162333	0.015287	0.00649062	0.00815426	0.00796688	0.00554109	0.0100692	0.00894542	0.00604945	0.0103097	0.00484807	0.0158202
la	0.00526201	0.00611904	0.00577355	0.00677132	0.00687416	0.00617387	0.0147984	0.0113759	0.0557329	0.0228958	0.0331118	0.0534348	0.0562225	0.130921	0.059815	0.0736056	0.0828627	0.0699735	0.0521522	0.0315295	0.0336918	0.0218161	0.0212354	0.0213617	0.00472181	0.00476372	0.00319212	0.00327799	0.00368605	0.00280654	0.00284831	0.00316946	0.00398724	0.00553731	0.00759585	0.00507438	0.00824279	0.00770077	0.00786186	0.00251257	0.00250127	0.0028263	0.00447908	0.00826525	0.00443214	0.00533018	0.00517158	0.00407906	0.0024261
saison	0.0380752	0.0123682	0.0192074	0.0130257	0.00627982	0.00583578	0.0108253	0.00980005	0.00929362	0.0223054	0.0210807	0.0130707	0.0171843	0.0309608	0.0252473	0.0429732	0.0426396	0.0592492	0.0538683	0.0240572	0.0306656	0.0199065	0.0100433	0.0141502	0.0100711	0.0120798	0.0123231	0.0150254	0.0167789	0.0132262	0.0142242	0.0145355	0.0115136	0.0104379	0.00813277	0.0160741	0.0182527	0.0362122	0.0288002	0.0158526	0.0165203	0.0145627	0.0235683	0.0167332	0.021258	0.0233409	0.0384301	0.0285614	0.0113713
de	0.005398	0.00108927	0.0010694	0.000955315	0.0019647	0.0023908	0.00700135	0.0124754	0.00444843	0.0102785	0.0133015	0.00675127	0.00963597	0.0181479	0.0397826	0.0523558	0.121982	0.0716413	0.117303	0.0764615	0.0972171	0.0528962	0.0417824	0.0479256	0.0346395	0.0309976	0.00931677	0.010793	0.00778935	0.00366468	0.00253461	0.00249663	0.00255845	0.00204082	0.00233901	0.0035656	0.00337286	0.00393243	0.00459387	0.00704449	0.00639905	0.00487058	0.00590532	0.00408566	0.00460314	0.00743702	0.00821324	0.00762242	0.00492907
grandes	0.0287699	0.0191299	0.0165141	0.0114195	0.0129664	0.00955954	0.0107643	0.0257378	0.0150876	0.00667591	0.00922243	0.00851217	0.00753938	0.0102057	0.0185699	0.0263077	0.0337902	0.0492701	0.0401684	0.04061	0.0375436	0.0441287	0.0365023	0.0488382	0.0460496	0.0367519	0.0272234	0.0274396	0.0238738	0.0205214	0.0246504	0.018159	0.0129628	0.0138829	0.00601914	0.012061	0.0227134	0.0153585	0.0177988	0.0147659	0.0186977	0.00804708	0.00664356	0.00916297	0.0101063	0.0100984	0.0117255	0.0083964	0.00905673
pluies	0.051948	0.0281502	0.0140886	0.0138564	0.0237144	0.0221417	0.0350036	0.0508957	0.0298546	0.0219561	0.0278704	0.02154	0.0142921	0.0117099	0.0171644	0.017879	0.024153	0.0269523	0.0230044	0.0251008	0.0226526	0.0191835	0.0187593	0.025151	0.0277087	0.0222454	0.0173137	0.0182737	0.0177297	0.0166425	0.0213569	0.0145677	0.0122825	0.0128672	0.00715051	0.0153424	0.0176171	0.0211613	0.0281808	0.0305151	0.0267026	0.0138613	0.00812073	0.0118899	0.00974266	0.00973405	0.0139003	0.00734168	0.0107299
les	0.0750586	0.0395892	0.0168584	0.0122654	0.0180764	0.0212306	0.0221508	0.0259976	0.0127189	0.00993743	0.0132783	0.00917689	0.0103967	0.0140695	0.0158129	0.0159752	0.0346328	0.0335432	0.0272268	0.0329985	0.0361351	0.0145042	0.0180073	0.0170531	0.0206064	0.0205557	0.0201661	0.021981	0.0275996	0.025997	0.0312648	0.0260681	0.0191562	0.014458	0.0106863	0.0163518	0.0203093	0.0195379	0.0231032	0.0193055	0.0180047	0.0156332	0.00838205	0.0141008	0.0117031	0.0110291	0.0185239	0.0074241	0.0113581
populations	0.0568677	0.0433391	0.0187445	0.0111167	0.0148438	0.0104346	0.0134293	0.0191589	0.0129011	0.00995651	0.0116732	0.00833062	0.00919003	0.0110611	0.0107128	0.0144983	0.0181021	0.0387612	0.019329	0.0283314	0.0364489	0.0201029	0.0178563	0.0150773	0.0214881	0.021261	0.0336496	0.0238184	0.0271751	0.030096	0.0375166	0.0325849	0.0176406	0.019938	0.0109435	0.0188676	0.0275681	0.0256624	0.0276431	0.0166224	0.0220335	0.0148079	0.0112159	0.0175301	0.0161266	0.0138588	0.0193467	0.00850902	0.0138284
de	0.038039	0.0234737	0.0162981	0.0175687	0.0195466	0.0179016	0.0187765	0.01443	0.00980471	0.0249455	0.0178712	0.0152027	0.0239617	0.018664	0.016032	0.014711	0.0131417	0.0220923	0.0147153	0.0188877	0.0224306	0.0249615	0.0239699	0.0228109	0.0163869	0.0118006	0.0169417	0.0120514	0.0332615	0.0211199	0.0217581	0.021444	0.0283526	0.0229361	0.0253243	0.0223343	0.0234473	0.0283346	0.0242306	0.0102378	0.0213204	0.02249	0.0174361	0.0175741	0.0179501	0.0226182	0.0237512	0.0163683	0.030293
boundji	0.0260712	0.0141476	0.0155789	0.0116894	0.0109368	0.00980599	0.0115427	0.011458	0.00695717	0.0133786	0.0106892	0.0105529	0.0109743	0.0161578	0.0240282	0.0313451	0.0296263	0.0513128	0.0292884	0.0510913	0.0519185	0.0513184	0.0378543	0.0325442	0.0317927	0.0352095	0.0390926	0.0273726	0.029906	0.0307936	0.0300274	0.0299453	0.0248425	0.0171475	0.0105567	0.0133585	0.015882	0.0136552	0.0112963	0.00336141	0.00670167	0.00516137	0.00450174	0.00746184	0.00814909	0.0076838	0.0114246	0.00691911	0.00748895
se	0.0266539	0.01567	0.0149766	0.0105568	0.0153997	0.00927901	0.0193521	0.0109817	0.00944826	0.025384	0.0179912	0.0178141	0.0116189	0.0141988	0.0190476	0.0259818	0.030506	0.0434455	0.0323054	0.0405224	0.0410012	0.0431179	0.0409667	0.0413471	0.0406896	0.0405783	0.0402062	0.0338531	0.0322941	0.0231086	0.0198613	0.0207386	0.0183351	0.0113072	0.00787539	0.00945855	0.0110875	0.0126678	0.0102213	0.00435659	0.00776388	0.00606556	0.00648535	0.00916762	0.0104054	0.00960279	0.0159016	0.00978597	0.010616
nourrissent	0.0262854	0.0154154	0.0204675	0.0166458	0.0146968	0.0110172	0.0219205	0.0105217	0.0101713	0.0264754	0.0174288	0.0159356	0.0107301	0.0131189	0.0180922	0.0258528	0.0266257	0.0371546	0.02977	0.0330476	0.0351875	0.0358353	0.0363457	0.036727	0.0351369	0.033526	0.0368585	0.0328264	0.0338715	0.0287355	0.0237323	0.0288699	0.0280512	0.0153886	0.0125171	0.0120867	0.0133346	0.0133059	0.00998329	0.00366624	0.00721916	0.00725143	0.00516752	0.00939795	0.0110457	0.0093766	0.0172811	0.00974932	0.0161519
d'	0.0472995	0.0330236	0.0242554	0.0226975	0.0248163	0.0223399	0.0198803	0.0130756	0.00945742	0.0166781	0.0176471	0.0208923	0.0283143	0.0265054	0.0141308	0.0178683	0.0168571	0.0187618	0.0140079	0.0144199	0.0172746	0.0201074	0.0127955	0.0102449	0.008721	0.00774579	0.0205378	0.0128178	0.0243674	0.0261677	0.0314844	0.0345164	0.0401767	0.0228585	0.0227997	0.021425	0.0216786	0.0231519	0.0172169	0.0103704	0.0172355	0.0180523	0.0121605	0.0170729	0.0184014	0.0159031	0.0196811	0.0167651	0.0353415
oseille	0.0307916	0.0258954	0.0219073	0.0220871	0.0267963	0.0176039	0.0334104	0.0207886	0.0151991	0.0326612	0.0286867	0.0300703	0.0328528	0.033481	0.0215856	0.025003	0.031957	0.0331257	0.0280828	0.0239691	0.028411	0.0299721	0.0279799	0.0260069	0.0256326	0.0222658	0.0263751	0.0235543	0.0245454	0.0232258	0.0219016	0.0229558	0.0227446	0.0128879	0.012933	0.011728	0.0115964	0.0103087	0.00725794	0.00232825	0.00626524	0.00688429	0.00411233	0.00760578	0.00739	0.00669342	0.00996282	0.00741453	0.0131056
et	0.0555647	0.0370619	0.02101	0.0181191	0.0348191	0.0244592	0.0304073	0.034311	0.0220046	0.0299811	0.0264511	0.0217199	0.0288848	0.0262204	0.0200559	0.0204338	0.0282798	0.0205928	0.0243862	0.0239702	0.0261188	0.0239596	0.0246793	0.0211386	0.0163165	0.0119639	0.0140803	0.0135134	0.0160024	0.0164424	0.0161154	0.0172076	0.0190676	0.0107227	0.0113385	0.0202657	0.0159479	0.0126828	0.0149113	0.00685291	0.0136767	0.0144803	0.0114172	0.013326	0.0119666	0.0137063	0.0142685	0.0183606	0.0107373
de	0.0767743	0.0407644	0.0244707	0.0179763	0.0355557	0.0247495	0.029886	0.0264223	0.0157057	0.0267864	0.01923	0.0136756	0.0167831	0.0130409	0.0129907	0.0106315	0.0143424	0.0171735	0.0164449	0.0154151	0.0178825	0.0218523	0.0233412	0.0217799	0.0165539	0.0109021	0.0131333	0.0125518	0.0166493	0.0131991	0.0138236	0.0141455	0.0167007	0.00997933	0.0108718	0.0214607	0.0164344	0.0116803	0.0141136	0.0125885	0.0210603	0.0248547	0.0193236	0.0228019	0.0249985	0.0209811	0.0245383	0.0242217	0.0387571
mangues	0.051504	0.0373027	0.0213626	0.0160914	0.0461951	0.0277489	0.0513417	0.0342482	0.0332304	0.0399736	0.0285135	0.0232302	0.0233851	0.0193382	0.0148458	0.0121439	0.0152583	0.0185996	0.0167809	0.0139523	0.0149812	0.0187887	0.0210993	0.0237216	0.0161344	0.0108272	0.0107592	0.0106245	0.0129424	0.0100669	0.0103769	0.0108998	0.0126629	0.00920954	0.00902486	0.0195496	0.0132597	0.0106274	0.0122764	0.0109437	0.0197021	0.0226123	0.0163455	0.0194778	0.0189703	0.0169991	0.0211354	0.0201091	0.0308257
</S>	0.0668864	0.0479843	0.0248	0.0195215	0.0494443	0.0285702	0.0534444	0.0392538	0.0388937	0.0417184	0.0351809	0.0268503	0.0225479	0.0217214	0.0148724	0.0134986	0.015427	0.0216082	0.0164767	0.0150623	0.0163125	0.0192659	0.0187363	0.0175867	0.0133516	0.00951789	0.0115402	0.00982412	0.0119936	0.0102222	0.0104989	0.0104065	0.011434	0.00726959	0.00662248	0.0156269	0.0115592	0.00960011	0.0102972	0.00710308	0.0141736	0.0165814	0.0109517	0.016466	0.0156802	0.0124303	0.0183694	0.0139518	0.0288638
