 	a66	a87	a23	a99	a97	a87	a97	a87	a99	a54	a6	a37	a6	a36	a75	a25	a92	a56	a62	a96	a88	a71	a9	a3	a97	a87	a40	a6	a36	a26	a93	a70	a96	a93	a56	a75	a21	a12	a18	a75	a47	a6	a36	a26	a57	a87	a23	a97	a87	a23	a99	a10	</S>
les	0.0120809	0.016188	0.0264161	0.0308368	0.0213992	0.0222011	0.0176485	0.0392067	0.0704433	0.0839255	0.0655326	0.0670377	0.0540447	0.0520307	0.0350013	0.0348905	0.0286772	0.0238312	0.0142724	0.0164026	0.0151095	0.0127169	0.0243074	0.016495	0.01068	0.00812475	0.00678347	0.00559913	0.00614522	0.0045366	0.00519332	0.00678076	0.00616666	0.00637125	0.0049169	0.00460544	0.00469709	0.00568565	0.0029725	0.00310004	0.00222589	0.00274927	0.00388328	0.00514412	0.00717969	0.00811564	0.00500082	0.00594294	0.00769392	0.00817122	0.00982625	0.0107297	0.0302828
enfants	0.00181381	0.00318671	0.00292952	0.00798592	0.0093431	0.0187292	0.0172754	0.0306552	0.0372922	0.0421771	0.0416627	0.0433899	0.071253	0.081601	0.0698744	0.0810847	0.0655108	0.0311088	0.0158735	0.00977176	0.0143648	0.0230998	0.0329529	0.0181906	0.0189395	0.0165112	0.0149387	0.0236915	0.0235801	0.0101726	0.023299	0.0267079	0.00771874	0.0195245	0.00481958	0.00454959	0.00222078	0.00121441	0.00231802	0.00149471	0.00468294	0.00365719	0.00187631	0.0034548	0.00256272	0.00195313	0.00181926	0.000672679	0.00105677	0.00167709	0.000829865	0.00184535	0.00108431
ont	0.0235628	0.0269391	0.0174815	0.0249119	0.03467	0.0395337	0.0425915	0.0244656	0.0285677	0.0418844	0.0241781	0.0254576	0.0155567	0.0196842	0.0237543	0.020295	0.0293236	0.0444147	0.0528008	0.0339389	0.0499924	0.03242	0.0351395	0.0261373	0.0281466	0.0240339	0.0251148	0.0230972	0.015743	0.0162594	0.0118914	0.00726971	0.00984991	0.00997401	0.00813903	0.00578154	0.00511107	0.00241815	0.00215728	0.00298751	0.00407836	0.00665246	0.00382746	0.00572469	0.00432967	0.00369879	0.00423703	0.00306195	0.00596809	0.00836051	0.00646364	0.0054773	0.00244426
cueilli	0.0124819	0.0150559	0.00940607	0.00646713	0.00879615	0.00930653	0.012295	0.00609223	0.00781111	0.0104875	0.0219904	0.0212771	0.0133093	0.0340972	0.044975	0.0344448	0.0436323	0.0264115	0.0235402	0.0227345	0.0240104	0.0186427	0.0166496	0.0220647	0.0199712	0.0137267	0.0157429	0.017774	0.0173684	0.0175112	0.0135763	0.02045	0.0178269	0.0262284	0.0248113	0.0275241	0.0188269	0.0102729	0.0107418	0.0090979	0.00932825	0.00904864	0.0158431	0.0128543	0.0171846	0.017535	0.0208688	0.0227769	0.0299671	0.0212933	0.0211962	0.0221714	0.0325024
cinq	0.0242295	0.0291211	0.013609	0.00862585	0.0120322	0.0152745	0.008632	0.00310161	0.00254226	0.00277361	0.00407882	0.00491113	0.00494296	0.0128722	0.0203772	0.0276632	0.0376917	0.0120595	0.0131175	0.0155213	0.0182027	0.0203796	0.0204399	0.0407506	0.0301023	0.0350489	0.0372538	0.0289773	0.0213535	0.022608	0.0308378	0.027558	0.027065	0.0438317	0.0333953	0.0372846	0.0446501	0.0157512	0.0110767	0.00866539	0.00612049	0.0051213	0.00611482	0.00717541	0.00874615	0.0101467	0.0103554	0.0126916	0.0171397	0.0180749	0.018217	0.0197917	0.0318954
paniers	0.0249841	0.0116102	0.00713933	0.00580041	0.00539072	0.00558724	0.00599748	0.00434926	0.00413935	0.00510354	0.00996978	0.0114147	0.00911601	0.0136018	0.021752	0.0215347	0.0402972	0.0504126	0.0431906	0.0433576	0.0392195	0.0287882	0.0476735	0.0431958	0.0620576	0.0338039	0.0524436	0.0291593	0.0173973	0.0214013	0.0123143	0.0113388	0.0131159	0.014272	0.0162063	0.015705	0.016757	0.013953	0.00963918	0.00935537	0.0059223	0.00583875	0.00803224	0.00979502	0.0104013	0.0136201	0.00691706	0.0114057	0.016678	0.0135963	0.0151975	0.0170187	0.0130314
de	0.0477537	0.0297688	0.0256047	0.0226532	0.0153408	0.0167038	0.0119684	0.0101453	0.00554369	0.00648326	0.0166645	0.018383	0.0170658	0.0259995	0.03354	0.0308728	0.0304047	0.0296986	0.0255379	0.0307809	0.0361651	0.0335338	0.0405575	0.0417624	0.0343595	0.0236494	0.0274509	0.0143533	0.00858586	0.00791645	0.00593563	0.00571263	0.0170241	0.0137863	0.0176791	0.0118369	0.0136636	0.0157535	0.0113751	0.0117726	0.00641285	0.00622534	0.0108227	0.0118463	0.00994145	0.014417	0.00951644	0.0112388	0.0118371	0.0118266	0.0142297	0.016332	0.0215671
fruits	0.0314841	0.0100701	0.00463096	0.00285006	0.00346819	0.00335822	0.00267095	0.00233113	0.00204095	0.00182224	0.00423721	0.00321244	0.00391844	0.00570613	0.00720596	0.00615293	0.0100155	0.0199048	0.0169383	0.0231165	0.0257095	0.0212613	0.0256696	0.0225789	0.0230727	0.0219903	0.0165084	0.0142412	0.0116968	0.0119223	0.00846752	0.00744615	0.0149941	0.0150286	0.0194485	0.0136727	0.0178977	0.0289322	0.017923	0.0197686	0.0231162	0.0289544	0.0546267	0.0661136	0.0434704	0.0599799	0.0314808	0.0307433	0.0622614	0.0230606	0.019305	0.0270825	0.00644003
atobhi	0.0431123	0.0229653	0.0146233	0.010223	0.00834653	0.0072665	0.00544079	0.00715851	0.00332255	0.00208394	0.00659043	0.00362739	0.00389697	0.00743527	0.010094	0.00884969	0.0100388	0.0220656	0.0169836	0.0297046	0.0380589	0.0329221	0.0478156	0.0307566	0.0327487	0.0250396	0.0151877	0.00831647	0.00630984	0.00622277	0.00488975	0.00437854	0.0145659	0.0125021	0.0112356	0.0111772	0.00962766	0.0196944	0.0083404	0.00773231	0.0109335	0.0140003	0.0198031	0.0290216	0.0182354	0.0323041	0.0211408	0.0166074	0.0525125	0.0489015	0.0382119	0.0770009	0.0299756
</S>	0.0291816	0.0195644	0.0147499	0.0123988	0.0106593	0.00969246	0.0067049	0.00879226	0.00417837	0.00203585	0.00399214	0.0024275	0.00274271	0.0051356	0.00978863	0.00949647	0.0145758	0.0218145	0.0211855	0.0342175	0.0376903	0.0301363	0.0400527	0.0315449	0.0326726	0.027998	0.0168948	0.0106734	0.0067099	0.00768046	0.0076188	0.00624261	0.0113898	0.0128027	0.0090228	0.00838759	0.00857883	0.0164889	0.00803813	0.00784328	0.0102126	0.0125759	0.0139864	0.0208584	0.01503	0.0276181	0.0201955	0.0174631	0.0474814	0.0492213	0.0483596	0.0747243	0.0604725
