 	a23	a87	a23	a79	a58	a82	a53	a90	a38	a75	a73	a84	a26	a53	a4	a57	a3	a87	a23	a40	a30	a35	a98	a71	a9	a62	a24	a41	a73	a2	a40	a73	a26	a57	a40	a41	a61	a96	a98	a9	a99	a97	a9	a25	a50	a62	a24	a98	a71	a38	a9	a87	</S>
le	0.0298171	0.0190376	0.0272334	0.0229972	0.0126776	0.00804578	0.0104658	0.0142026	0.0236295	0.022377	0.0305634	0.0241339	0.025277	0.0221455	0.0506531	0.0236752	0.029207	0.0589622	0.0521342	0.0439203	0.0338845	0.0364499	0.0234772	0.00894924	0.0136038	0.0152552	0.0185198	0.0116005	0.00880144	0.0170913	0.0145494	0.011286	0.00666056	0.00836684	0.0116016	0.00678271	0.00870652	0.0194024	0.0214771	0.011482	0.00926495	0.0237263	0.0130456	0.0102377	0.00988512	0.00842142	0.00691995	0.0073489	0.0078319	0.00835208	0.00849775	0.01061	0.016755
chef	0.000394416	0.00302323	0.00735626	0.00987838	0.0107467	0.00801585	0.0168308	0.0148017	0.0231442	0.00586272	0.0121567	0.0190571	0.0159421	0.0347155	0.0585753	0.0274545	0.0297599	0.0331207	0.0304767	0.0329873	0.0310518	0.0294438	0.0165605	0.019257	0.0204777	0.0294717	0.0298191	0.0260797	0.0223311	0.0471835	0.0289013	0.0522386	0.0505539	0.0524038	0.0448703	0.031241	0.0190598	0.0102193	0.00843678	0.00932419	0.00653771	0.0101433	0.00530906	0.00256469	0.000458588	0.000142204	0.000221853	0.000218573	0.000111292	0.000188689	0.000212254	0.000247542	0.000419457
du	0.0287395	0.0141678	0.0203866	0.0230864	0.0239237	0.0234707	0.0286181	0.0435889	0.0704171	0.0723307	0.0393765	0.0327642	0.027702	0.0319506	0.0255088	0.018619	0.0521451	0.0604682	0.0277716	0.0367043	0.0255906	0.0189371	0.00912088	0.0071815	0.013215	0.00770167	0.0114849	0.0041795	0.0052318	0.00578123	0.00658037	0.0101927	0.0140812	0.0133077	0.0146128	0.023098	0.0167274	0.0149098	0.015196	0.0129174	0.00954822	0.00612498	0.00228669	0.00176684	0.00219652	0.00107914	0.00227664	0.0019969	0.00347891	0.00317131	0.00413715	0.00524274	0.0049069
village	0.00222717	0.00450111	0.00234591	0.00384535	0.00719416	0.0104778	0.0154381	0.0092506	0.00579661	0.00707184	0.008642	0.00967023	0.00841719	0.0187415	0.0168965	0.00701727	0.0159924	0.00772478	0.00748311	0.00734026	0.0178393	0.0288816	0.023244	0.0178194	0.0212351	0.0255793	0.0182471	0.0172121	0.0196383	0.0222744	0.0377595	0.0348212	0.0893409	0.0517209	0.0466874	0.0648891	0.0851836	0.0601874	0.0737721	0.0386436	0.00571215	0.00444265	0.00247311	0.00233986	0.00224084	0.00162592	0.00180998	0.00155077	0.00161251	0.00126781	0.00120356	0.00160199	0.00106843
a	0.0200726	0.0139096	0.00862747	0.0118505	0.0131432	0.0203925	0.0163716	0.0147252	0.00817575	0.0152054	0.0103572	0.00922744	0.0105234	0.0178612	0.0174065	0.0112009	0.0241999	0.0208411	0.013889	0.0125343	0.0198215	0.0232061	0.030874	0.0207757	0.0321055	0.0489151	0.0391837	0.0291113	0.0362149	0.0575602	0.0693073	0.0313095	0.0478297	0.0114949	0.016319	0.0198439	0.01207	0.0127722	0.0140348	0.00984284	0.00479331	0.00420099	0.00286476	0.00475387	0.01145	0.00644161	0.00807791	0.0071208	0.0116695	0.00737642	0.0120422	0.0169922	0.0291095
convoqué	0.0146605	0.0124805	0.00933936	0.0100149	0.0131458	0.0182612	0.00943117	0.00680299	0.00428627	0.01067	0.00780946	0.00575545	0.00571203	0.00823692	0.00492248	0.0131487	0.0169123	0.0227597	0.0172755	0.0144351	0.028979	0.0354708	0.0330366	0.0283962	0.0286126	0.0628072	0.0453646	0.0170579	0.0175169	0.0250974	0.0156966	0.0252724	0.0280249	0.0293953	0.0317166	0.0415485	0.0405168	0.0464645	0.0525734	0.0447594	0.0207256	0.0210243	0.00756734	0.00383914	0.00346387	0.00191501	0.00398545	0.00263829	0.00306195	0.00315782	0.00619403	0.00752614	0.0105332
l'	0.0156532	0.0142088	0.0116784	0.00927601	0.00946863	0.0108375	0.00461233	0.00428309	0.00504049	0.00995359	0.00919813	0.00896818	0.00910197	0.0106056	0.00592623	0.0153532	0.0190324	0.0220653	0.0232243	0.0231654	0.0296665	0.0336923	0.023514	0.0253727	0.0196893	0.0291992	0.0253838	0.0155737	0.0170606	0.0170593	0.0107824	0.0159114	0.0179374	0.012667	0.0112369	0.0140372	0.0182559	0.0153658	0.0188511	0.0212478	0.0302914	0.0392008	0.0363125	0.0337314	0.0428832	0.0179692	0.0299914	0.0161002	0.0289814	0.0190315	0.0205274	0.0272831	0.0235396
assemblée	0.00388492	0.00453369	0.00536611	0.00681536	0.00752795	0.00589694	0.00828472	0.00619385	0.00994207	0.00742834	0.00934917	0.00873085	0.0103422	0.0209283	0.0195133	0.0171033	0.038144	0.0353834	0.0328357	0.0244279	0.0765802	0.131394	0.0588843	0.0335384	0.0542428	0.0634822	0.0557759	0.0148848	0.0108641	0.0195682	0.0108535	0.00706505	0.00878567	0.00602126	0.00531369	0.00844192	0.0140993	0.0132159	0.0112005	0.0138556	0.0121085	0.0159091	0.00780408	0.00563245	0.00814086	0.00548526	0.00898233	0.00568696	0.00551496	0.00469223	0.00577646	0.00588581	0.00768178
des	0.0236326	0.0134199	0.0184393	0.0175964	0.0146972	0.0116458	0.0078635	0.00354309	0.0072265	0.00721559	0.0105701	0.00936389	0.0129224	0.0240174	0.016167	0.0314248	0.055574	0.061638	0.0457336	0.056681	0.0347435	0.0270264	0.0244031	0.0166297	0.0336117	0.0208601	0.0288654	0.0220234	0.0193575	0.0273887	0.0176475	0.0187361	0.0086791	0.00486156	0.00391311	0.00409274	0.00580337	0.0067035	0.00371131	0.00703379	0.00602342	0.00853228	0.00918282	0.00724691	0.00709774	0.00479557	0.0138089	0.013186	0.0132794	0.0201623	0.0255803	0.023972	0.0616686
anciens	0.0134564	0.0089098	0.0141185	0.0168881	0.0131838	0.0106724	0.0108262	0.00783259	0.0123082	0.00905364	0.0100381	0.0112487	0.0139614	0.0134093	0.0135556	0.016993	0.0221315	0.0244712	0.016099	0.0184132	0.0269992	0.0403403	0.0212544	0.0210792	0.0375763	0.0286568	0.0260406	0.0150115	0.0137922	0.0216089	0.0118754	0.0200467	0.0150332	0.0100368	0.0107385	0.011757	0.0152231	0.0173253	0.0113569	0.0230908	0.0178145	0.0179175	0.0128597	0.0111712	0.0137569	0.0143833	0.0364043	0.030389	0.0274904	0.0272128	0.0285688	0.0262701	0.0593479
