 	a87	a23	a87	a23	a97	a23	a53	a4	a58	a21	a12	a62	a0	a83	a24	a0	a24	a9	a75	a5	a0	a75	a37	a70	a62	a96	a70	a62	a47	a88	a71	a27	a40	a75	a37	a93	a4	a13	a57	a53	a44	a75	a36	a27	a36	a37	a26	a57	a87	a23	a87	a23	a87	a23	</S>
c'	0.0507685	0.0303046	0.0335457	0.0161773	0.03282	0.0315949	0.0344369	0.0746004	0.0945662	0.0679921	0.0635362	0.045827	0.02492	0.0229295	0.023662	0.0192062	0.0113591	0.00750786	0.00829255	0.011156	0.0063656	0.00908113	0.00507779	0.0058377	0.00481458	0.00332814	0.00315701	0.00225454	0.00476265	0.00500261	0.00377714	0.00434907	0.00507915	0.00581185	0.0083272	0.00747655	0.0083391	0.0046394	0.00772532	0.00613773	0.00705269	0.00842786	0.00423362	0.0064975	0.00649696	0.0141337	0.0227798	0.028094	0.0172655	0.0197902	0.00977786	0.00987431	0.0110811	0.00631909	0.0116286
est	0.015948	0.0114361	0.0116425	0.00604213	0.00498951	0.00717034	0.00666177	0.00937952	0.013767	0.0131806	0.0231981	0.0193398	0.0139094	0.0214903	0.0234746	0.0174056	0.0278957	0.0452587	0.036055	0.0188772	0.0297229	0.0352221	0.0251107	0.0219269	0.0291285	0.0253174	0.0259311	0.0162568	0.0202683	0.0220191	0.0181988	0.0185055	0.0165811	0.0158333	0.0171059	0.0106482	0.0291477	0.0122713	0.0224571	0.00835111	0.00967226	0.00926095	0.00738694	0.0105226	0.0227045	0.0284267	0.0182048	0.0212127	0.01652	0.0185405	0.0143063	0.0164491	0.0131971	0.0198284	0.00664128
l'	0.0185947	0.0135689	0.0126381	0.0104343	0.0144027	0.00770374	0.0053866	0.00427545	0.00775086	0.0116184	0.0107026	0.0170566	0.00814006	0.0142973	0.01967	0.0229345	0.0261608	0.0364325	0.0232033	0.0226872	0.0228624	0.0239589	0.0216353	0.0154501	0.0220221	0.0184836	0.017063	0.0184972	0.0187363	0.0203539	0.017228	0.0183314	0.0151534	0.0209829	0.0226727	0.0235661	0.034268	0.0354411	0.0277373	0.0268567	0.0214101	0.0100544	0.00941355	0.00530819	0.00736386	0.00781921	0.00665475	0.007674	0.00792291	0.0125685	0.0140031	0.0324913	0.0225242	0.0357824	0.0500502
ancien	0.0171661	0.0155824	0.0138182	0.0178754	0.0274107	0.0404371	0.0325396	0.0656132	0.0683281	0.029439	0.0679693	0.0265604	0.0789664	0.0390436	0.0211816	0.0111545	0.00981621	0.0086369	0.00266222	0.00224889	0.00548418	0.00289091	0.00484643	0.00548543	0.00655431	0.0103949	0.0166356	0.0154047	0.0124289	0.0108037	0.0168015	0.0125153	0.0147671	0.00761238	0.00664199	0.0278479	0.00706608	0.0226661	0.0178722	0.0233592	0.0303172	0.0216166	0.0124157	0.0141232	0.00880571	0.00568362	0.00599242	0.008725	0.00729734	0.00723584	0.00602707	0.00818838	0.00653049	0.00813849	0.00437416
président	0.00596484	0.00365549	0.00262483	0.00411519	0.00444553	0.00499302	0.00237644	0.00347233	0.00382817	0.00379717	0.00323663	0.00376143	0.004789	0.00803631	0.0155397	0.0235209	0.0349804	0.042856	0.0261253	0.0208122	0.0401091	0.0361422	0.0356115	0.0416255	0.0414854	0.0360514	0.0319145	0.0641767	0.0350519	0.0311991	0.0296642	0.0318299	0.0198259	0.0211436	0.0150258	0.0273379	0.0188205	0.0276908	0.0174484	0.00697723	0.00486564	0.00516462	0.00825556	0.00884784	0.0142368	0.0121582	0.0112788	0.0143599	0.00779995	0.0150373	0.0171535	0.0138855	0.0140135	0.00951967	0.0113607
qui	0.012512	0.00427929	0.00403916	0.00305525	0.00604149	0.00582592	0.00574648	0.0104329	0.00831015	0.00949691	0.01211	0.0110776	0.0200176	0.0222403	0.025176	0.0272401	0.0412049	0.0331835	0.0226681	0.031676	0.0296692	0.0371359	0.0472894	0.0368122	0.0607389	0.0564931	0.0517236	0.0544471	0.0601139	0.0444713	0.0296955	0.0263754	0.0157292	0.0169979	0.00903716	0.0077149	0.00597271	0.00536344	0.00514169	0.00282403	0.00308049	0.003398	0.00462971	0.00353015	0.00583246	0.00386051	0.00386587	0.00571613	0.00403998	0.00847116	0.00740356	0.00683934	0.00598584	0.00591282	0.00735377
nous	0.0363088	0.023237	0.0179682	0.00962361	0.0069939	0.00541249	0.00392152	0.00655835	0.00992077	0.00570547	0.00809592	0.00636344	0.00721285	0.0084298	0.0135277	0.0187488	0.0491146	0.0328364	0.0272455	0.0162211	0.0189354	0.022371	0.0403836	0.0317499	0.0399027	0.0447803	0.0362101	0.0423086	0.0409922	0.0338495	0.026824	0.0253433	0.0151362	0.011547	0.0103831	0.0112501	0.0195699	0.0181614	0.0259428	0.0107036	0.00973277	0.00777305	0.00736912	0.00801643	0.0206782	0.0129362	0.00869597	0.0166857	0.00846246	0.0144144	0.0127354	0.0106779	0.00812878	0.0102683	0.00363442
a	0.021578	0.0132662	0.0118298	0.0107049	0.00483792	0.00504913	0.00251258	0.00466773	0.00913041	0.0111932	0.00920799	0.0106704	0.0198088	0.0108323	0.0128068	0.0116193	0.0167764	0.0109187	0.0115103	0.0114855	0.0122935	0.0117789	0.0266871	0.0194451	0.0208049	0.0230922	0.0160754	0.00848678	0.0204335	0.0245561	0.0166988	0.0220284	0.0161489	0.0154426	0.0139128	0.0378328	0.0197549	0.0471181	0.0343898	0.0316154	0.0114501	0.023899	0.0195089	0.0164779	0.0275146	0.024912	0.0185805	0.0287153	0.0231405	0.0263354	0.028305	0.0282977	0.0196516	0.0254044	0.0188049
fait	0.0286313	0.0272722	0.0277707	0.0234237	0.0125336	0.0150559	0.00810712	0.00908554	0.0134497	0.0125352	0.00954559	0.009189	0.0103789	0.0101013	0.0153659	0.0185793	0.0234213	0.0104296	0.015187	0.0127189	0.01203	0.0127164	0.024438	0.0125002	0.017023	0.0170387	0.0113395	0.00793863	0.0175365	0.0153037	0.0112977	0.0214037	0.0182188	0.0212528	0.0263675	0.0181282	0.0275807	0.0184328	0.0212807	0.0163626	0.00759624	0.0157599	0.0154362	0.0120129	0.016039	0.0168133	0.0143616	0.0290158	0.0224883	0.0370669	0.0339074	0.0288821	0.0287476	0.0275223	0.0333785
écrire	0.0150033	0.00791596	0.00794432	0.00640166	0.00303872	0.00456978	0.00251854	0.00486677	0.00634114	0.00798027	0.00649787	0.00823399	0.0108314	0.0118903	0.0179639	0.0185286	0.0192843	0.0101824	0.0130778	0.0131697	0.0123322	0.014811	0.023559	0.0124518	0.0164872	0.0154968	0.0107567	0.0083773	0.0164078	0.0125961	0.00976423	0.0145062	0.01364	0.014985	0.021568	0.0185081	0.0243173	0.0187873	0.0223525	0.0164436	0.00965914	0.0150793	0.0132579	0.0120007	0.0183628	0.0195828	0.0177103	0.03955	0.0274709	0.0523382	0.0502515	0.0469483	0.0484903	0.0496489	0.06526
