 	a66	a87	a23	a62	a21	a5	a75	a5	a43	a0	a21	a85	a6	a98	a85	a21	a47	a61	a75	a47	a7	a84	a82	a87	a23	a87	</S>
ta	0.0387645	0.0320646	0.0203695	0.0168728	0.0148191	0.0161173	0.0226016	0.0253043	0.0457325	0.0499754	0.0477543	0.049121	0.0485241	0.0288322	0.046369	0.0224573	0.033826	0.025552	0.0277514	0.035792	0.0367157	0.0417473	0.0624867	0.0711551	0.0531255	0.0415131	0.0446555
manière	0.0144489	0.0145529	0.0182247	0.0187064	0.0258013	0.0315383	0.0391959	0.054616	0.0729356	0.0530008	0.0761925	0.209965	0.0770372	0.10462	0.0603371	0.0271569	0.0357707	0.0121251	0.00838724	0.0139997	0.00863648	0.00642034	0.00405091	0.00268665	0.0020104	0.00444521	0.00313824
de	0.0526431	0.0217568	0.0200684	0.0129725	0.0130388	0.00960882	0.00751624	0.0131988	0.0162343	0.0182674	0.0148401	0.0199091	0.0119351	0.0576406	0.0548349	0.0710393	0.0586686	0.058583	0.0521632	0.045222	0.0582119	0.0647323	0.0671822	0.038258	0.0682586	0.0510124	0.0222035
faire	0.0469369	0.0356586	0.0278956	0.0230825	0.0162648	0.0147657	0.0338513	0.0428159	0.0531598	0.119085	0.095236	0.0951148	0.0511229	0.0321642	0.0193469	0.0169978	0.0203172	0.0188821	0.018807	0.0152823	0.0319947	0.0190846	0.0420157	0.0306375	0.024329	0.0468215	0.0083293
traverser	0.0759062	0.0602856	0.0327672	0.0225672	0.0250818	0.0176342	0.0251818	0.0434781	0.044938	0.0347965	0.0900847	0.063873	0.0342077	0.0278683	0.0196374	0.0262442	0.030227	0.0422848	0.0330239	0.0220066	0.0491453	0.0411904	0.0223814	0.0360253	0.0234794	0.0232628	0.0324213
les	0.0778464	0.0588021	0.0323275	0.0198986	0.0180403	0.011393	0.00904531	0.0150134	0.0270718	0.0231655	0.0207436	0.0203988	0.0125118	0.0181539	0.024899	0.022235	0.03668	0.0303868	0.0703548	0.0683474	0.0630014	0.0350348	0.0626642	0.0332906	0.0486825	0.0282499	0.111762
enfants	0.0396312	0.0227883	0.0180353	0.0151889	0.014668	0.0185208	0.0185007	0.0323545	0.0314336	0.041258	0.0382912	0.0365838	0.0488059	0.0390086	0.0176076	0.0326807	0.0261669	0.0295248	0.0659409	0.0330609	0.0400617	0.03458	0.0616293	0.0506761	0.0415433	0.0505943	0.100864
est	0.0205308	0.011355	0.00920296	0.00505591	0.00614924	0.00598666	0.00893486	0.0176726	0.0198553	0.038341	0.029421	0.0176274	0.0178665	0.00942583	0.00890475	0.0187617	0.0299839	0.0613023	0.127664	0.0689589	0.0679735	0.0521824	0.0754989	0.0492953	0.0828767	0.087526	0.0516469
épouvantable	0.0180939	0.0142457	0.0114264	0.00882669	0.00856883	0.00932175	0.0102939	0.0191508	0.0223706	0.0317481	0.025101	0.0325967	0.0312972	0.0364595	0.0235705	0.0339051	0.0455471	0.0656497	0.0675079	0.0434255	0.0588913	0.0399912	0.0996174	0.0471281	0.0549159	0.0681992	0.0721501
</S>	0.0213671	0.0180547	0.0112932	0.0081809	0.00823652	0.00788668	0.00539867	0.00888658	0.0105642	0.0111922	0.0111642	0.0131318	0.0113602	0.0132238	0.0145474	0.0239035	0.0366213	0.0578765	0.081096	0.0816727	0.0718678	0.102148	0.0815465	0.0672472	0.0732708	0.060952	0.0873092
