 	a87	a99	a3	a97	a87	a97	a99	a97	a99	a18	a34	a21	a47	a21	a61	a62	a56	a98	a92	a37	a23	a90	a25	a92	a61	a62	a47	a88	a9	a99	a97	a87	a23	a87	a23	a79	a7	a32	a75	a85	a37	a93	a70	a34	a75	a6	a36	a26	a36	a2	a57	a87	a23	a87	a97	</S>
depuis	0.0462702	0.0354133	0.0292297	0.0223971	0.0141757	0.017401	0.0112377	0.0163501	0.021626	0.0218254	0.0231998	0.0525951	0.0450286	0.0173143	0.0293608	0.0220975	0.0250367	0.0208887	0.0310466	0.0172026	0.0224891	0.0229147	0.0260997	0.0136505	0.022816	0.0161831	0.00628402	0.0150876	0.00855827	0.00753502	0.00612621	0.00576434	0.00716685	0.00971298	0.0140695	0.0148416	0.0104198	0.00517741	0.00643108	0.012274	0.0113604	0.0121195	0.00640552	0.00380702	0.00364353	0.00510048	0.00689134	0.0138597	0.0150545	0.00815222	0.0105166	0.0119906	0.0120427	0.0202965	0.0184779	0.0669829
qu'	0.022371	0.0210899	0.031026	0.0224914	0.012642	0.0162994	0.010619	0.014868	0.0108743	0.00606817	0.0211545	0.0178273	0.0130298	0.00611719	0.0151808	0.00573113	0.0135678	0.012859	0.0144706	0.00998483	0.00657368	0.0116978	0.020704	0.0165183	0.0152885	0.0569778	0.0500803	0.061333	0.0617148	0.0423759	0.0250921	0.031452	0.0190859	0.011469	0.0139273	0.00713192	0.00400503	0.00858482	0.00505947	0.00517608	0.00464263	0.00614457	0.00624271	0.00634245	0.0167153	0.00646867	0.0156079	0.0084323	0.018931	0.0159503	0.0117569	0.0203446	0.0328769	0.0183272	0.0222732	0.0164237
il	0.046486	0.028502	0.0240217	0.0169189	0.0105014	0.00866008	0.00791962	0.00885884	0.00855077	0.0121917	0.013515	0.00939512	0.00927243	0.00650404	0.00633141	0.00548333	0.00857406	0.0100279	0.0142168	0.0123277	0.0101994	0.0126884	0.0153029	0.0144159	0.0118835	0.0323956	0.0351506	0.0316388	0.03526	0.0170565	0.0124396	0.0215213	0.0139776	0.0127616	0.0142371	0.01436	0.00969479	0.00925299	0.00689024	0.00406642	0.00558579	0.00327912	0.00667281	0.00897444	0.016467	0.00968764	0.0089385	0.00792015	0.0225719	0.0312984	0.0406255	0.0395051	0.0493714	0.0352691	0.065187	0.0451942
est	0.039599	0.0182521	0.0119615	0.00762972	0.00630514	0.00526935	0.00562554	0.00670451	0.00779372	0.00508137	0.0110483	0.00587001	0.00745075	0.00456441	0.00542357	0.00351252	0.00377252	0.00431645	0.00522681	0.00650498	0.00672364	0.0087524	0.0175819	0.0193334	0.0254454	0.0385938	0.0311301	0.0260065	0.0193443	0.0206759	0.0247173	0.0417923	0.0340279	0.0398042	0.0505653	0.036381	0.0244473	0.0268998	0.0168897	0.0181685	0.0221699	0.031067	0.0284037	0.0287186	0.0287824	0.0102304	0.0122804	0.0105514	0.0149308	0.0144881	0.0154614	0.015435	0.0105461	0.00995619	0.0135263	0.0342594
parti	0.0248254	0.015998	0.0164921	0.0155615	0.0120533	0.0095916	0.0109145	0.00844632	0.0142674	0.0136805	0.0115221	0.00587856	0.00782673	0.00918814	0.00723542	0.00554388	0.00397134	0.00446139	0.0051532	0.00899904	0.0142786	0.0160985	0.0223585	0.0342305	0.0385525	0.0195817	0.027744	0.0278131	0.0258024	0.0405716	0.0576777	0.0494389	0.0474252	0.038027	0.0287316	0.0130544	0.0167897	0.0101887	0.0094535	0.00948071	0.0126692	0.00672061	0.00929809	0.0139267	0.017552	0.0130346	0.0135432	0.0116661	0.014426	0.00899771	0.0213939	0.0227746	0.0123611	0.0142898	0.0167903	0.0316465
pour	0.0149381	0.014205	0.0163445	0.0128145	0.00767698	0.0070334	0.0082158	0.00757101	0.00951868	0.0107026	0.0098409	0.00477544	0.00822258	0.00837981	0.0078204	0.00676013	0.00869499	0.00673775	0.00979277	0.01284	0.0165829	0.0145843	0.0162467	0.0192048	0.0301748	0.0319157	0.0539903	0.0453227	0.0590557	0.0917193	0.0776179	0.053897	0.033927	0.017404	0.0105829	0.00357882	0.00548731	0.00657275	0.00506443	0.00622786	0.00732555	0.00732176	0.00769907	0.0126575	0.00974948	0.0119483	0.0160947	0.0162449	0.0164107	0.0197968	0.0154699	0.0136836	0.0138002	0.0116607	0.0135806	0.0145139
l'	0.0249055	0.0163706	0.020554	0.0138459	0.00623168	0.0069664	0.00598374	0.00780753	0.00623863	0.0030926	0.00866838	0.00380043	0.0041173	0.00580357	0.00558657	0.00422254	0.00812855	0.00931926	0.0155024	0.0143145	0.0148344	0.0246683	0.0328151	0.0255071	0.0291179	0.0360038	0.0465536	0.0501844	0.0702087	0.0815103	0.0576546	0.0536908	0.0368638	0.0220553	0.012855	0.00411668	0.00376976	0.00444313	0.002789	0.00418361	0.00955247	0.00633117	0.00916267	0.0132347	0.0118996	0.0115518	0.0171317	0.0121734	0.0106859	0.013575	0.0131736	0.0121065	0.0133219	0.0125266	0.0134013	0.0148866
école	0.025514	0.0148153	0.0172058	0.0153738	0.013527	0.0125136	0.0121003	0.0146179	0.0128686	0.0110492	0.0180396	0.0110325	0.0101409	0.0137943	0.00849509	0.00794534	0.0115481	0.0148773	0.0199971	0.0203557	0.0211476	0.0280017	0.0215508	0.0246137	0.0263249	0.0316437	0.0420774	0.0346623	0.0430375	0.0401543	0.0343957	0.0363	0.0283695	0.0253633	0.022088	0.0155345	0.0122489	0.0109921	0.00984284	0.00993436	0.00944684	0.0053286	0.00564489	0.00652193	0.00700231	0.00496053	0.00702905	0.00700763	0.0108981	0.0118672	0.0158689	0.0138356	0.015793	0.0161048	0.01974	0.038856
il	0.0392762	0.0269076	0.0218178	0.0182697	0.013144	0.0150278	0.0103887	0.0188352	0.0161048	0.00678831	0.0122859	0.00639662	0.00547476	0.00660322	0.0060618	0.0064213	0.0112124	0.0145573	0.0186719	0.0169423	0.0157048	0.0209113	0.0151025	0.0118552	0.0159948	0.022913	0.0276936	0.0245953	0.0251099	0.0167219	0.0109137	0.0132762	0.0115103	0.0106347	0.00839004	0.00504581	0.00588103	0.00554179	0.00452293	0.00706452	0.00812839	0.00539128	0.00642631	0.00735766	0.00889068	0.00855534	0.0123475	0.0134889	0.0274105	0.0313238	0.0432615	0.0386845	0.0479219	0.0485132	0.0573869	0.0643405
n'	0.0358068	0.023406	0.0214987	0.0208053	0.0190476	0.0210259	0.0182536	0.0181294	0.0167251	0.00988466	0.0165258	0.00524416	0.00443125	0.00650001	0.00461602	0.00408987	0.00553645	0.00729285	0.00848557	0.0126944	0.0147773	0.0200045	0.0168427	0.0230116	0.0250588	0.0285154	0.0296149	0.0266746	0.0258291	0.0201891	0.0194603	0.0247881	0.0216237	0.0179975	0.016561	0.0108378	0.0117462	0.00682734	0.00601119	0.00783067	0.00896593	0.00611548	0.0110545	0.0146255	0.0189185	0.0097165	0.0169929	0.0115777	0.0184513	0.0280386	0.0298442	0.0307191	0.0254779	0.0258571	0.0339495	0.0554942
