 	a66	a87	a23	a99	a50	a31	a96	a18	a53	a25	a90	a44	a90	a79	a75	a12	a96	a18	a43	a61	a0	a24	a21	a47	a18	a31	a0	a93	a90	a25	a90	a98	a47	a36	a2	a57	a87	a23	a87	a97	</S>
je	0.0583413	0.042167	0.0437317	0.0403895	0.054645	0.0293637	0.02259	0.0310377	0.0391969	0.0222011	0.023412	0.0197869	0.0121498	0.018624	0.0150073	0.0227718	0.0146192	0.0183246	0.0150565	0.0109633	0.0176527	0.0140874	0.0133651	0.0117719	0.014223	0.0149354	0.0203352	0.0172769	0.014478	0.0193925	0.0163694	0.0168572	0.0231349	0.0198907	0.0189156	0.0261735	0.0239787	0.0229456	0.0367918	0.0399828	0.0430622
ne	0.0207326	0.0163962	0.0189229	0.0322155	0.0314274	0.0355841	0.041409	0.0541314	0.0445144	0.0224357	0.0433428	0.0373583	0.0426911	0.0499834	0.0364991	0.0312084	0.0462566	0.0327441	0.0342814	0.0211964	0.0199123	0.0180515	0.0118114	0.0202214	0.013397	0.014421	0.0110831	0.011179	0.00813287	0.0104002	0.012617	0.0095945	0.0144649	0.0168478	0.0179744	0.0135909	0.0154784	0.0162919	0.0140268	0.0145835	0.0225891
comprends	0.0264698	0.0158737	0.0103356	0.00799981	0.0130778	0.0163256	0.0196815	0.0309645	0.0233517	0.0164245	0.0383006	0.0264007	0.0617328	0.0476782	0.0752736	0.0725303	0.067912	0.0382371	0.0433682	0.0380858	0.0180132	0.0176502	0.0168644	0.0534415	0.0126294	0.0123805	0.017188	0.00438261	0.00376897	0.00591803	0.00525084	0.00537784	0.00902916	0.00894819	0.0120758	0.0157641	0.0151755	0.0198142	0.0163844	0.0196367	0.0202827
pas	0.0505402	0.0302807	0.0133384	0.00660364	0.00470435	0.0126411	0.0078631	0.00818766	0.0039374	0.00174868	0.00413811	0.00306924	0.004575	0.00595241	0.00682319	0.0126598	0.00948358	0.00525226	0.0123013	0.0140786	0.0100027	0.0140719	0.0193162	0.0119164	0.0148935	0.0361503	0.0404269	0.0524081	0.0374941	0.0372576	0.0414755	0.0584161	0.0462836	0.0390033	0.0495736	0.0495114	0.0488655	0.0404664	0.0553825	0.0450542	0.0338518
comment	0.0450401	0.0372731	0.033436	0.0252006	0.0137808	0.0155056	0.0142474	0.00796891	0.00774858	0.00838499	0.0105179	0.010634	0.015397	0.0149335	0.0177005	0.0169994	0.018183	0.0166603	0.0203485	0.0225727	0.0193469	0.0287702	0.0280264	0.0199886	0.0273058	0.0439301	0.0607844	0.0365049	0.0327457	0.0272168	0.0185902	0.0243903	0.04418	0.0250293	0.0361528	0.0396918	0.0306662	0.0260077	0.0196549	0.0211146	0.0173693
il	0.0365771	0.0211172	0.0114579	0.0068508	0.00673516	0.00447867	0.00824736	0.004347	0.00350885	0.00334875	0.00569929	0.00515765	0.0121246	0.0182551	0.042739	0.0549496	0.0501565	0.0388323	0.0579192	0.0467887	0.0279556	0.0324398	0.0303339	0.016552	0.024497	0.0261958	0.0270477	0.033589	0.0345764	0.044433	0.0296676	0.0263221	0.0563845	0.0212122	0.0332368	0.0217696	0.0246115	0.0153674	0.014456	0.0129756	0.00708581
est	0.0179195	0.0113597	0.00823252	0.00508731	0.00364734	0.0033674	0.00303406	0.00226139	0.00305068	0.00334978	0.00552396	0.00516982	0.0160981	0.0233906	0.0492771	0.0404431	0.0636145	0.0545323	0.08473	0.0697735	0.0310157	0.0379881	0.0321809	0.0531192	0.0428305	0.0344695	0.0451567	0.0320064	0.0239351	0.0261052	0.0185106	0.0174974	0.025651	0.0125673	0.018489	0.0228593	0.0162223	0.0112025	0.0108551	0.00887325	0.00460247
passé	0.0428046	0.0246051	0.0224555	0.0137317	0.0106334	0.00921202	0.00664109	0.00608067	0.00881706	0.0107957	0.0104676	0.0102012	0.0109283	0.0181478	0.0183717	0.0223224	0.0202128	0.0220992	0.0202003	0.020198	0.012302	0.0177719	0.0164074	0.0300975	0.0238266	0.0440054	0.0378357	0.0514548	0.0348785	0.0254756	0.0234254	0.0314024	0.0395678	0.0231662	0.0270561	0.0446561	0.042035	0.0348973	0.04259	0.0366994	0.0315227
à	0.0415809	0.0190202	0.0101617	0.00841804	0.0103603	0.00371574	0.00884758	0.00679707	0.00674078	0.0157919	0.0111091	0.00965125	0.00864502	0.00834798	0.0122596	0.0172691	0.0187421	0.0184076	0.0138905	0.00862962	0.0139274	0.0123258	0.0166823	0.0238081	0.013096	0.0238129	0.0191142	0.0156969	0.0154454	0.0171663	0.0145547	0.0195675	0.0363493	0.0305671	0.0474033	0.0632007	0.0545845	0.0804019	0.0539596	0.0717607	0.0981895
mon	0.0420838	0.0186702	0.00839124	0.00748144	0.00738154	0.00439779	0.00923133	0.00682131	0.00634264	0.0130368	0.0115071	0.00947424	0.0152378	0.0101302	0.0205142	0.0211355	0.0273674	0.0257263	0.0208804	0.0122548	0.02373	0.0173757	0.0262191	0.0317713	0.0171782	0.0194872	0.01839	0.0161964	0.016407	0.0158015	0.0182831	0.0223756	0.0316188	0.0323933	0.0448715	0.0530324	0.0496178	0.0743457	0.0462319	0.0589075	0.0676999
