 	a87	a79	a75	a47	a85	a75	a85	a37	a66	a90	a25	a37	a75	a56	a90	a82	a53	a93	a83	a62	a83	a75	a66	a75	a61	a62	a88	a9	a0	a62	a21	a85	a66	a11	a75	a85	a6	a66	a62	a83	a9	a99	a87	a23	a97	</S>
il	0.0557651	0.0561834	0.0465777	0.0571403	0.073625	0.0813508	0.0377191	0.0235734	0.0198439	0.0245103	0.0159155	0.0140483	0.0154389	0.0203024	0.0230863	0.0266697	0.0133563	0.0119824	0.0126659	0.0195587	0.0228814	0.0271674	0.027348	0.0226612	0.0147	0.0114225	0.0131499	0.0054214	0.00428296	0.00732215	0.00479621	0.00354022	0.00305618	0.00434495	0.00578389	0.00653497	0.00863121	0.00922298	0.00775346	0.0128556	0.0159677	0.0134934	0.0152199	0.0185794	0.0195772	0.0449724
faut	0.0217299	0.019589	0.0379723	0.0285534	0.0649746	0.0554573	0.117248	0.05292	0.0630131	0.0229188	0.0316053	0.0152876	0.0190514	0.0163879	0.022508	0.0115513	0.00918093	0.0112707	0.00989555	0.013367	0.0144801	0.0127371	0.0147021	0.0119586	0.0115617	0.0113408	0.0160282	0.0195053	0.0281824	0.0194959	0.0165723	0.0128987	0.0145045	0.0152295	0.012216	0.00964681	0.0104408	0.00950623	0.00992468	0.0109985	0.0114364	0.0161194	0.0110346	0.0102063	0.0134803	0.0113106
supplier	0.0454734	0.0288938	0.0728569	0.0655524	0.063533	0.0380746	0.0422407	0.041225	0.0359198	0.023522	0.0286863	0.017682	0.0219372	0.0224789	0.0342513	0.0171265	0.0188969	0.0165765	0.0104154	0.0137503	0.0142985	0.0121229	0.0103003	0.0111417	0.0076496	0.00814171	0.00417138	0.00449892	0.00938224	0.00418937	0.00442792	0.00454492	0.00580464	0.00696514	0.00517486	0.00769112	0.00912899	0.00887163	0.00985631	0.0132745	0.0159485	0.0226308	0.0230839	0.0304178	0.0561926	0.0309968
le	0.0178613	0.0121608	0.0106634	0.0138341	0.0164468	0.0142802	0.0259895	0.0120004	0.012538	0.00985866	0.0212484	0.0133825	0.0260235	0.0198393	0.0265501	0.0191116	0.0233223	0.0201122	0.0153331	0.0187486	0.0161134	0.0149538	0.0129565	0.0161673	0.011823	0.0105692	0.0113958	0.018376	0.0416717	0.0330666	0.0450086	0.0298729	0.0276994	0.0228297	0.0111894	0.0177013	0.0197985	0.0205088	0.0249812	0.0345227	0.0289161	0.0341159	0.0246767	0.0331917	0.0540874	0.0345018
seigneur	0.0292304	0.0198947	0.0223188	0.0273286	0.0431125	0.0613439	0.07483	0.0409186	0.0314158	0.0263498	0.0414701	0.0410806	0.0323	0.0269328	0.0204924	0.0222488	0.0201538	0.0324571	0.039508	0.0235807	0.0229024	0.022334	0.0165862	0.0168906	0.0125836	0.0168144	0.012874	0.0103694	0.0171141	0.0106404	0.0121098	0.0110648	0.0125902	0.0152262	0.0100769	0.012394	0.0153419	0.00726484	0.00812139	0.00790218	0.00743421	0.00732539	0.00835963	0.0103254	0.0134913	0.00489519
dieu	0.0699997	0.0488901	0.0350842	0.0247912	0.0309487	0.0239643	0.0197593	0.0154598	0.0156389	0.0271937	0.0355749	0.0249058	0.0308743	0.0420682	0.0332781	0.0238151	0.0216968	0.025173	0.0271503	0.0248663	0.0272372	0.0228029	0.0140865	0.0126994	0.0123481	0.0112263	0.00752463	0.00529336	0.00280464	0.00230639	0.00515782	0.00892424	0.00718109	0.00894968	0.00944439	0.0134096	0.0241574	0.0140485	0.00978242	0.0251489	0.0204372	0.0276822	0.027085	0.0284726	0.0213015	0.0293553
de	0.0549353	0.0488155	0.0367179	0.0200228	0.023024	0.0167004	0.0102655	0.00764542	0.0060625	0.00968177	0.014585	0.00564404	0.00848412	0.0182472	0.0201894	0.00962422	0.0204267	0.0220874	0.0158552	0.0205977	0.0226755	0.0249134	0.0237748	0.0258244	0.0203253	0.0204977	0.0151695	0.0160455	0.00933859	0.00778749	0.0121321	0.0189389	0.0140217	0.0133493	0.0114564	0.0116817	0.0198144	0.0191339	0.0178103	0.0325204	0.0350713	0.0380079	0.040751	0.0463	0.0519169	0.0411296
nous	0.0327583	0.0293365	0.020196	0.0126871	0.0126678	0.0103218	0.0104502	0.00923659	0.00842718	0.0133019	0.0214807	0.0171452	0.0184971	0.0261724	0.0225909	0.0106572	0.0184365	0.0260043	0.0236985	0.0290166	0.0294618	0.0322321	0.0288452	0.0301174	0.0290741	0.0290257	0.027337	0.0258079	0.0282125	0.0220948	0.0242429	0.0426947	0.0273383	0.0255439	0.0175895	0.0168017	0.0167392	0.0179343	0.0216787	0.0179551	0.014876	0.0141958	0.0150191	0.0167434	0.0261762	0.0291799
protéger	0.0297107	0.0293732	0.0236174	0.0132328	0.0100693	0.00885919	0.00673939	0.00480945	0.00437885	0.00858379	0.0110934	0.00657562	0.00852571	0.0152446	0.0150664	0.0074776	0.0128207	0.0151775	0.0125119	0.0169475	0.0177781	0.0193683	0.0209893	0.0212058	0.0181628	0.0183979	0.0173391	0.01858	0.0188914	0.0177575	0.0176343	0.0289461	0.0198439	0.0206171	0.0124462	0.0112555	0.0162883	0.0268144	0.0221991	0.0430215	0.0435218	0.0389552	0.0431998	0.0501017	0.0702223	0.0856475
</S>	0.0530882	0.0250788	0.00913469	0.0060755	0.00569149	0.00579475	0.00508176	0.00385716	0.00438103	0.00601198	0.0121186	0.00763688	0.0103496	0.0178341	0.0205231	0.0145922	0.0141373	0.013804	0.0133681	0.0191161	0.0225378	0.0290374	0.0206547	0.0201855	0.0176694	0.0159969	0.0130431	0.0119446	0.0106416	0.012132	0.0164296	0.0186125	0.0166511	0.0201341	0.013014	0.0142205	0.0212549	0.0244835	0.0203278	0.036616	0.0407158	0.0427927	0.0448896	0.0561027	0.0765068	0.0957298
