 	a66	a87	a23	a99	a50	a62	a96	a47	a62	a88	a75	a98	a79	a25	a69	a54	a98	a85	a6	a36	a26	a84	a57	a87	a23	a99	a97	</S>
il	0.051733	0.0419716	0.0342302	0.0263691	0.0245847	0.0243664	0.0214787	0.0228784	0.0334906	0.0431585	0.0420824	0.0590124	0.0497466	0.0408056	0.0202607	0.0113355	0.0155899	0.0145342	0.0258324	0.024485	0.0505408	0.0490813	0.0419474	0.0383236	0.0381913	0.048406	0.0343808	0.0711827
n'	0.0439402	0.0497332	0.0743625	0.0481423	0.0354244	0.0169046	0.0211444	0.0200716	0.0114892	0.0250139	0.0260728	0.0262337	0.0258147	0.0308039	0.0235049	0.034318	0.0310961	0.0446451	0.0334694	0.0428541	0.0374111	0.0374165	0.0304479	0.0379118	0.0455244	0.0445017	0.0628979	0.0388496
y	0.0725112	0.077463	0.0704762	0.0701087	0.0776244	0.0502518	0.0777184	0.037674	0.0236298	0.0338864	0.0125964	0.00785049	0.00831567	0.0117342	0.00737217	0.00851631	0.00926445	0.0103969	0.0090852	0.0147186	0.015602	0.0157361	0.0328414	0.0381012	0.0496899	0.035946	0.0671816	0.0537075
a	0.0656238	0.0777607	0.071891	0.0895164	0.0492336	0.0510502	0.0439339	0.0460651	0.0459532	0.0355988	0.030944	0.0268454	0.0294114	0.032726	0.0416045	0.0484423	0.0352219	0.0271993	0.0240597	0.0318191	0.0156596	0.0152593	0.013404	0.0090789	0.0130331	0.00851951	0.00870937	0.0114357
personne	0.0708671	0.0767153	0.0587939	0.0557391	0.0579133	0.0619362	0.0567827	0.0369966	0.0270663	0.0209602	0.0124406	0.0116683	0.0138023	0.0134239	0.0110647	0.0180146	0.0165356	0.0175383	0.0142009	0.0219941	0.0161707	0.0342302	0.0343201	0.0424019	0.0401621	0.0399381	0.0461582	0.0721647
pour	0.0663769	0.0632382	0.0391677	0.0421497	0.0376928	0.0383282	0.0401117	0.0312236	0.0338894	0.0311654	0.0250399	0.0184657	0.0202084	0.0219872	0.0139241	0.0267716	0.0221659	0.021625	0.0267056	0.0304063	0.0193379	0.0440526	0.0500476	0.0510668	0.0506553	0.0437921	0.0451639	0.0452402
partager	0.0566792	0.0354038	0.0328187	0.0346381	0.0287446	0.0161946	0.0167707	0.01615	0.0217492	0.0255544	0.0217397	0.016343	0.00977904	0.0143705	0.0159419	0.0446652	0.0379241	0.0314346	0.043728	0.0722458	0.0382103	0.0731652	0.083944	0.0636223	0.0486203	0.0389795	0.036584	0.0239991
la	0.116298	0.0696572	0.0462265	0.0403822	0.0339505	0.0215094	0.0202768	0.0215751	0.0259076	0.0338776	0.0239543	0.0214449	0.0217216	0.0302839	0.0172056	0.0199111	0.0219422	0.0147945	0.0288201	0.0351093	0.0202833	0.0443016	0.0546993	0.036956	0.0279123	0.0515701	0.0498489	0.0495798
nourriture	0.0586308	0.0270394	0.0177885	0.0224472	0.0200546	0.0131825	0.0104871	0.0114848	0.0185836	0.0268632	0.0144746	0.0103422	0.00720345	0.00853846	0.00435335	0.00866191	0.00768168	0.0116249	0.0282065	0.0413184	0.0493408	0.0642112	0.0801704	0.0516533	0.0784491	0.0939625	0.0976921	0.115554
</S>	0.0162875	0.00927896	0.00443668	0.00373397	0.00324734	0.00420109	0.00386887	0.00357365	0.00681033	0.0128269	0.00646911	0.00232482	0.00173589	0.00203446	0.000951305	0.00189013	0.00295744	0.00890449	0.0221938	0.0280746	0.0607822	0.0682672	0.0863974	0.0718794	0.104067	0.127822	0.146918	0.188065
