 	a66	a87	a79	a69	a58	a90	a25	a92	a56	a75	a5	a21	a93	a70	a75	a36	a27	a30	a87	a23	a87	</S>
celui	0.0807032	0.140847	0.213373	0.165173	0.0750843	0.0302722	0.0109424	0.00319353	0.00160571	0.00135846	0.00163694	0.00322595	0.00752779	0.015678	0.0216471	0.0262669	0.0255346	0.0282022	0.018474	0.0325313	0.0382199	0.058502
qui	0.0349724	0.0518781	0.0463817	0.0386202	0.0342082	0.0333732	0.0370688	0.0421089	0.0379698	0.0325781	0.0350129	0.0706598	0.0420359	0.0379049	0.0287923	0.048517	0.0514262	0.0665131	0.0563901	0.0657979	0.0742849	0.0335055
tousse	0.0450982	0.0407194	0.0160161	0.0120399	0.0155212	0.0178834	0.012985	0.0185165	0.0155778	0.00916543	0.008067	0.00587697	0.0125799	0.0166386	0.0406878	0.0446018	0.0710036	0.058249	0.148385	0.0823049	0.112974	0.195108
dans	0.0683834	0.0485037	0.0155818	0.0170243	0.0150001	0.00965132	0.0187369	0.0354417	0.0389877	0.0450428	0.0410364	0.0267045	0.0431261	0.040295	0.042807	0.0398875	0.068352	0.0552306	0.11051	0.0677934	0.0810223	0.0708815
la	0.162383	0.0883559	0.0145408	0.0064464	0.00762048	0.0145392	0.0374008	0.0409233	0.0348418	0.0834693	0.0413082	0.0193492	0.0216065	0.0228507	0.0377614	0.0350621	0.0484921	0.0399417	0.0590391	0.0515326	0.0764569	0.0560781
maison-là	0.0564118	0.0121009	0.00187647	0.00122013	0.0010828	0.00176398	0.011586	0.019526	0.0195046	0.0516759	0.0394893	0.0335132	0.057812	0.0646917	0.0745516	0.0949192	0.102766	0.0756152	0.0912209	0.0834908	0.0667668	0.0384145
c'	0.0493126	0.0778497	0.035355	0.0264069	0.0248159	0.0201392	0.0131408	0.00518278	0.00217684	0.00225544	0.00250032	0.00302638	0.00695902	0.0194818	0.0404878	0.0416596	0.0577395	0.0629676	0.116726	0.0778813	0.101707	0.212228
est	0.0185086	0.0140383	0.00728813	0.00640883	0.00672429	0.0118278	0.0233441	0.0199846	0.00933245	0.0120635	0.00722078	0.00641632	0.0231812	0.0683652	0.12177	0.117967	0.112945	0.0923164	0.0985725	0.0845769	0.0919842	0.0451633
qui	0.0518948	0.0497631	0.0254415	0.0138639	0.0203492	0.0305358	0.0280291	0.0166797	0.0106318	0.0376837	0.0242062	0.00851017	0.0208032	0.0376822	0.0542561	0.0593348	0.084573	0.0771755	0.109369	0.0607765	0.0883152	0.090126
</S>	0.0397234	0.0214535	0.00565554	0.00375212	0.00394138	0.00611016	0.0217841	0.0149887	0.00924403	0.0298197	0.0282214	0.0271407	0.0294433	0.0393301	0.0482641	0.0494132	0.0869703	0.087413	0.106907	0.108556	0.120262	0.111607
