 	a66	a87	a10	a97	a79	a98	a85	a6	a98	a85	a37	a21	a12	a43	a75	a85	a0	a75	a85	a5	a43	a47	a62	a47	a88	a0	a31	a18	a62	a12	a88	a71	a9	a24	a75	a6	a36	a98	a47	a6	a12	a75	a47	a0	a36	a6	a36	a7	a44	a4	a44	a54	a36	a11	a27	a82	a97	a99	a97	a3	a10	a99	a87	</S>
de	0.0179065	0.0326901	0.0267621	0.0207476	0.0253801	0.0243395	0.0337824	0.063878	0.0268948	0.0451503	0.0346342	0.0172681	0.0161827	0.0264524	0.0153579	0.0295654	0.027482	0.0255448	0.0265554	0.0197946	0.026604	0.0220118	0.0153396	0.0193209	0.0127523	0.0218176	0.0153858	0.0149829	0.00812976	0.00622036	0.00688702	0.00418607	0.00411465	0.00473996	0.00240312	0.00275071	0.00373528	0.00322182	0.00290479	0.00224959	0.00302921	0.00277172	0.00237249	0.00399957	0.00353479	0.00407855	0.00590042	0.00816455	0.00563422	0.0121268	0.01192	0.0119353	0.0121079	0.0196154	0.0154636	0.0119774	0.0151091	0.014599	0.0109329	0.011434	0.0134344	0.0117487	0.0111394	0.0208437
petits	0.00518191	0.00492345	0.0044405	0.00391879	0.003799	0.00584751	0.0264556	0.0904606	0.0666091	0.105138	0.117482	0.0628146	0.0413905	0.0324759	0.0202074	0.0207196	0.0166478	0.0140078	0.0157007	0.0083697	0.00751169	0.00950326	0.0127141	0.0124837	0.0105629	0.0129584	0.00974808	0.00844674	0.00646759	0.0180675	0.0111108	0.00580693	0.00683563	0.00958387	0.00796954	0.0122019	0.00734036	0.00538125	0.00346888	0.0053568	0.0024639	0.00267212	0.00425365	0.00522322	0.00540051	0.00371344	0.00483561	0.0037123	0.00285008	0.00347747	0.00388857	0.00473858	0.00448291	0.00426626	0.00883925	0.00776645	0.01574	0.00739697	0.0125936	0.00979789	0.0113807	0.00768111	0.00838046	0.00433418
enfants	0.00586843	0.00342621	0.00341234	0.00622112	0.0064202	0.00997617	0.0289014	0.0578332	0.0429584	0.0624057	0.0715412	0.0896752	0.0650047	0.0249601	0.0314527	0.0145062	0.00957148	0.0110674	0.010004	0.0145314	0.00974428	0.0189879	0.0202154	0.0288334	0.0327313	0.0286448	0.0221109	0.0146974	0.0154822	0.0193804	0.0230591	0.0129313	0.00885956	0.0105825	0.00518326	0.00810377	0.0127201	0.01195	0.0123101	0.0104483	0.00757647	0.00915558	0.00575105	0.00800514	0.00614544	0.00317277	0.00421806	0.00218512	0.00102673	0.00165582	0.00149807	0.00284741	0.0023716	0.002392	0.00353256	0.00375801	0.00660514	0.00344356	0.00405683	0.00398327	0.00516974	0.00376391	0.00600186	0.00497038
ont	0.0163491	0.00607141	0.00563542	0.00858677	0.00825828	0.0105569	0.0192168	0.0262938	0.0185887	0.035353	0.0266198	0.0147677	0.00904881	0.0225717	0.0150992	0.0176112	0.0180919	0.0151297	0.0183046	0.0185684	0.0252693	0.0315023	0.0222123	0.0397452	0.0672362	0.0572157	0.0467053	0.0176695	0.018978	0.0209645	0.017649	0.014562	0.00823766	0.0107755	0.0032623	0.00209885	0.00456565	0.00597295	0.00668804	0.00709346	0.00808393	0.00864862	0.0107583	0.00817373	0.00636234	0.00474158	0.00597319	0.00524881	0.00516173	0.00575834	0.00673149	0.00569759	0.0107257	0.00658711	0.00832094	0.0107141	0.00912838	0.016444	0.0105232	0.02857	0.0126976	0.019924	0.0143843	0.0115141
désacralisé	0.00919582	0.00478	0.00391697	0.00313558	0.00240551	0.00296829	0.00352446	0.00368782	0.00329832	0.00730791	0.00407154	0.00763723	0.00905712	0.0259476	0.022311	0.0156965	0.019413	0.0200409	0.0276953	0.0176243	0.0239828	0.0255869	0.0299606	0.0348072	0.0378539	0.033985	0.0554243	0.021947	0.0523356	0.0380142	0.0425713	0.0323814	0.0208546	0.0169583	0.0207123	0.0145249	0.0120994	0.0165631	0.0181983	0.0227551	0.0211405	0.0171267	0.0189685	0.0122447	0.0110531	0.00780271	0.00879998	0.00687495	0.00402018	0.00526993	0.00362531	0.0078979	0.00456521	0.00562024	0.00515312	0.00607624	0.00378409	0.00411322	0.00678722	0.0083082	0.0119739	0.016442	0.00556404	0.0115563
le	0.0208071	0.020434	0.0162938	0.0149031	0.0115722	0.00763861	0.00437695	0.00772975	0.00950371	0.00939457	0.00809534	0.00803744	0.00751632	0.00763149	0.00692488	0.00856486	0.00702905	0.00876336	0.00855865	0.0117039	0.0155281	0.0188305	0.0188856	0.0207517	0.0316318	0.0220599	0.034327	0.0180784	0.0351066	0.0373454	0.0505733	0.0309842	0.0303633	0.0285393	0.0270173	0.0194962	0.0287792	0.0227551	0.0164309	0.0160368	0.0145634	0.00825912	0.00866907	0.0078185	0.00557397	0.00564561	0.00839387	0.0080491	0.00724298	0.00783373	0.00727853	0.0111293	0.0096691	0.00979286	0.0150105	0.0139782	0.0129256	0.0104156	0.0191812	0.0164908	0.0194073	0.0135188	0.0123138	0.0178395
kyebé-kyebé	0.00952427	0.00575846	0.00642652	0.00561851	0.0064252	0.00740246	0.0067554	0.0026245	0.00619309	0.00757813	0.00858608	0.0141397	0.0126052	0.00414489	0.0122231	0.00608395	0.00447711	0.00664135	0.0067124	0.00408035	0.00731116	0.00964661	0.0101976	0.0122082	0.0181287	0.0176168	0.0246138	0.0160755	0.0127311	0.0171397	0.0270279	0.0154863	0.0230062	0.0361799	0.0280921	0.0170126	0.0192304	0.0279267	0.0170405	0.0132837	0.0221553	0.0187807	0.0148395	0.019951	0.0140077	0.0119314	0.013831	0.0112818	0.0151307	0.0152896	0.0160034	0.0215709	0.0218628	0.0232725	0.0303582	0.023571	0.0195258	0.023632	0.0210109	0.0297694	0.0221698	0.0312332	0.0207591	0.0241063
en	0.0111722	0.00649745	0.00261768	0.00130161	0.00116579	0.00114817	0.00114828	0.000665863	0.000936209	0.00179115	0.00199673	0.00414719	0.00267561	0.00305454	0.00720826	0.00765514	0.0113309	0.0128985	0.010217	0.0120616	0.0222426	0.0184513	0.0120504	0.00973041	0.0231317	0.0301469	0.0355001	0.0294928	0.0205577	0.0339819	0.0348896	0.0251878	0.0214072	0.0424369	0.0170607	0.0116013	0.0124594	0.0108964	0.00922902	0.0113309	0.0130965	0.01062	0.00877096	0.00911028	0.00744457	0.00539499	0.0089738	0.00730813	0.00626105	0.00911652	0.0116749	0.0104015	0.0172863	0.0159614	0.0247606	0.0249	0.0252988	0.0396557	0.0251129	0.0448423	0.0291483	0.0471128	0.0320006	0.032272
s'	0.0101008	0.00976677	0.011192	0.00978742	0.00827259	0.00751155	0.00391199	0.00141825	0.00332097	0.00279125	0.0027689	0.00593799	0.00658519	0.00754291	0.0215766	0.00827815	0.00971374	0.0146094	0.0180284	0.00807759	0.0173001	0.0285423	0.0209675	0.0193765	0.0308633	0.0310226	0.044862	0.035538	0.0291978	0.031725	0.0433843	0.0270844	0.0187198	0.0200989	0.0132484	0.00803936	0.014416	0.0178682	0.0149503	0.0183846	0.024907	0.0171992	0.0269741	0.0205587	0.0180949	0.0127222	0.0194924	0.0148949	0.0101195	0.00931536	0.00692234	0.0104886	0.0131652	0.00756981	0.0114178	0.0115177	0.00708825	0.00763672	0.00796518	0.0156079	0.0158349	0.0191514	0.0156878	0.0188866
amusant	0.0109094	0.00535857	0.00370192	0.00235283	0.00145013	0.00148809	0.00139278	0.000473336	0.00124203	0.00209201	0.00267692	0.00622534	0.00407425	0.00486791	0.0135618	0.0151281	0.0184038	0.0200393	0.0191534	0.0179597	0.0296097	0.0284134	0.0199559	0.015279	0.0310041	0.0313426	0.0346553	0.0326688	0.0178078	0.026392	0.0290827	0.0263424	0.0118379	0.0166866	0.0101235	0.00636261	0.0123204	0.0108903	0.00878159	0.0123541	0.0157935	0.0111259	0.0168487	0.0136006	0.00991806	0.00691004	0.0130656	0.00967701	0.00995512	0.0136116	0.010548	0.0159285	0.0201185	0.0129511	0.0152017	0.0199468	0.0166531	0.0156999	0.0180504	0.0349662	0.029956	0.0375998	0.0347342	0.0326773
