 	a66	a87	a23	a44	a54	a92	a37	a34	a62	a47	a62	a0	a75	a85	a92	a85	a5	a23	a75	a5	a36	a43	a21	a75	a6	a36	a75	a47	a36	a2	a30	a87	a23	a82	</S>
l'	0.0357772	0.0698682	0.0547587	0.0446656	0.0847304	0.0630185	0.0635988	0.0419219	0.0296494	0.0236047	0.018122	0.0167607	0.0167305	0.0144274	0.0156867	0.0157392	0.0150904	0.0174991	0.0338225	0.0289083	0.0330614	0.025354	0.0194629	0.0108822	0.021163	0.0130037	0.0148235	0.0332692	0.0142425	0.0154064	0.00922211	0.0106569	0.0123251	0.0164864	0.0462605
en	0.00614944	0.00895565	0.0154629	0.0199686	0.0390386	0.124053	0.142861	0.137758	0.0672716	0.0416421	0.0309697	0.0224606	0.032898	0.0275623	0.0349945	0.0262023	0.037823	0.0629839	0.0239447	0.026167	0.0131072	0.0155497	0.00462248	0.00170895	0.00199597	0.00217445	0.00141688	0.00697708	0.00403302	0.0038115	0.00207383	0.00128614	0.00268005	0.00607646	0.00331965
fant	0.0127531	0.0140493	0.0182252	0.0395907	0.0399459	0.0568497	0.0273623	0.0435245	0.0497595	0.0533647	0.0387686	0.0321938	0.0655864	0.0715817	0.0506663	0.0572125	0.0801889	0.0472514	0.0595264	0.0409664	0.0152196	0.0155506	0.0106694	0.00383902	0.00310848	0.0054632	0.00291386	0.00579533	0.00453714	0.00516208	0.00376325	0.00339862	0.00716983	0.0121138	0.00192855
est	0.0245477	0.0138077	0.0117961	0.00739744	0.00553111	0.00613845	0.00533422	0.00617745	0.0100663	0.0126641	0.0152957	0.025285	0.0191537	0.035502	0.0439664	0.0381893	0.0524254	0.0684146	0.0304142	0.0421376	0.0304503	0.0256809	0.0388352	0.0429558	0.0185234	0.0336287	0.0252293	0.0294357	0.0278147	0.0377909	0.0240893	0.0457658	0.0559564	0.0388098	0.0507895
ellé	0.0203021	0.019638	0.0281444	0.0267829	0.0288386	0.0260734	0.0153734	0.0112565	0.0229029	0.0293305	0.0402353	0.0365964	0.0251589	0.0380239	0.0508917	0.0605877	0.0507802	0.0722512	0.0385504	0.0480982	0.0476062	0.049007	0.0321112	0.0170037	0.0138501	0.0114911	0.0144564	0.0263869	0.017702	0.0152053	0.0107065	0.0124619	0.0182331	0.0115928	0.0123691
chercher	0.0232089	0.0154066	0.0128379	0.0132091	0.0139128	0.0119563	0.0154657	0.0302544	0.040757	0.0298817	0.0201666	0.0191921	0.0115748	0.0161084	0.0104693	0.0117025	0.0133005	0.0107082	0.0191716	0.00851488	0.0300994	0.020008	0.0202046	0.0301203	0.0378885	0.0563235	0.0686283	0.0523666	0.0436515	0.0535269	0.0411736	0.068426	0.0553698	0.0310636	0.04335
l'	0.033555	0.0315929	0.0285359	0.0265791	0.0225714	0.0229208	0.0224813	0.0289291	0.0400046	0.0334377	0.0337152	0.0330687	0.0346528	0.0373315	0.036836	0.0285897	0.0335403	0.0371562	0.051266	0.0324614	0.0298935	0.0300226	0.0237699	0.0179742	0.0264932	0.0200432	0.0273565	0.024458	0.0235142	0.0258789	0.0270824	0.0202251	0.0157854	0.0164998	0.0217776
embauche	0.0169373	0.00996271	0.0117897	0.00949083	0.0130457	0.0113854	0.0113111	0.0133151	0.0291117	0.0243702	0.028289	0.0300182	0.0227262	0.0396902	0.03588	0.0442639	0.0525998	0.0479808	0.0538338	0.0343378	0.0304521	0.0294315	0.0233129	0.0269853	0.031333	0.0315048	0.0417143	0.0300732	0.0432719	0.0302532	0.032335	0.0322646	0.0317793	0.0210499	0.0238995
avec	0.0275131	0.029484	0.0282736	0.0292732	0.02315	0.0165598	0.0132213	0.0228665	0.0376978	0.0246719	0.0184701	0.0158672	0.0145422	0.0244226	0.0149575	0.0160521	0.0128887	0.0110802	0.0129459	0.0105569	0.0221965	0.0197515	0.0233704	0.0346628	0.0504411	0.0463004	0.0519592	0.0511461	0.0510737	0.0399894	0.0399426	0.044242	0.0386374	0.0292568	0.0525354
la	0.0351852	0.0380912	0.0291566	0.0302311	0.0191178	0.0177055	0.0142481	0.0273459	0.0378789	0.0316042	0.0327256	0.0247273	0.0339757	0.036457	0.0284086	0.0272526	0.0264684	0.0288672	0.0332331	0.0287413	0.0303805	0.0284539	0.0324943	0.0345518	0.0285294	0.0248566	0.0275796	0.0260166	0.0164508	0.0241281	0.0204288	0.025471	0.0188268	0.0300009	0.0504097
bénédiction	0.0255018	0.0279972	0.0196024	0.0126378	0.0109223	0.0103133	0.0118375	0.0178462	0.0288204	0.0275108	0.0286614	0.0273227	0.0260225	0.0274446	0.0260643	0.0195389	0.0212893	0.0246714	0.0289189	0.0240637	0.0342781	0.0298138	0.0245296	0.0235054	0.0436541	0.0338993	0.052872	0.0422306	0.0324141	0.0494427	0.0304508	0.0311984	0.026298	0.0320342	0.0663916
