 	a66	a87	a23	a87	a97	a99	a50	a24	a0	a61	a75	a96	a93	a34	a70	a83	a66	a93	a13	a38	a56	a75	a92	a56	a75	a79	a44	a93	a98	a79	a7	a84	a57	a87	a23	a87	a23	a87	a23	</S>
nous	0.0234291	0.036298	0.0407167	0.0366888	0.0312057	0.0271152	0.0248236	0.0147257	0.016147	0.0127825	0.0108671	0.00791208	0.00514119	0.00584258	0.00551698	0.00488799	0.00492017	0.00696708	0.007966	0.00714734	0.00758491	0.0204995	0.00757453	0.0107164	0.0312427	0.018706	0.0152492	0.0220047	0.0406773	0.0683986	0.0603142	0.0628566	0.0639278	0.0405181	0.0434827	0.0227138	0.0314498	0.026949	0.019164	0.0548693
avons	0.0332412	0.0189547	0.0327343	0.0314886	0.035413	0.0379769	0.0374536	0.0336974	0.0323798	0.0446218	0.0359066	0.0222184	0.0157608	0.0163511	0.0257922	0.014431	0.0128176	0.0147828	0.0320347	0.035305	0.0484617	0.0213471	0.0143956	0.0160364	0.0132883	0.0104331	0.0121927	0.0177162	0.0169	0.0250667	0.0311933	0.022804	0.0240887	0.0234289	0.023781	0.0192089	0.0254395	0.0270968	0.0250643	0.0186954
tué	0.00832596	0.00581455	0.00562693	0.00550204	0.00510503	0.00634741	0.00797464	0.00712699	0.00940344	0.0133084	0.0147882	0.0146586	0.0153266	0.0211065	0.0207402	0.0321478	0.0277933	0.0306032	0.0387394	0.042092	0.0627478	0.0164074	0.0256171	0.0176567	0.0295359	0.0223561	0.0233093	0.0362079	0.0481229	0.0626422	0.0484846	0.0367765	0.0454554	0.0378042	0.0287128	0.0174112	0.0279386	0.023825	0.0371868	0.0192703
un	0.018172	0.01867	0.0113742	0.0124039	0.0177971	0.00868579	0.0202882	0.0176081	0.0232298	0.022047	0.0261255	0.0241642	0.0276077	0.0200645	0.0363353	0.0422162	0.0366518	0.0601007	0.0848254	0.0501234	0.0523623	0.0585819	0.0478699	0.0738865	0.0245942	0.0372315	0.0348624	0.0257333	0.0151971	0.0122146	0.00600823	0.0048593	0.00497573	0.00660017	0.00186406	0.0030034	0.00219475	0.00285486	0.00212013	0.00449465
serpent	0.0179258	0.0182521	0.0144835	0.0109405	0.0144888	0.00760174	0.00739723	0.00789538	0.00972745	0.00931666	0.00999106	0.00858398	0.015582	0.0165515	0.0253508	0.0358265	0.0347951	0.0875389	0.0530614	0.035683	0.0446276	0.0327218	0.0492138	0.0557621	0.0187033	0.0317127	0.0419443	0.0354547	0.0262478	0.0234106	0.0279989	0.0257269	0.0233206	0.0257656	0.011769	0.02253	0.015454	0.0188976	0.0106402	0.0171049
à	0.0269718	0.0282716	0.0221381	0.0199594	0.0379272	0.0195895	0.0246612	0.014943	0.0146705	0.0169584	0.015228	0.0195057	0.0165312	0.0158557	0.0186614	0.0224889	0.0132993	0.0215077	0.0284021	0.018423	0.0245389	0.0394497	0.0156489	0.0137583	0.0211894	0.0117765	0.0146003	0.0241038	0.0275267	0.0330914	0.0374928	0.0356305	0.0417511	0.0327889	0.0337927	0.0456772	0.0382381	0.0334743	0.0272843	0.0321928
deux	0.0552989	0.0570421	0.0391334	0.0337257	0.0360304	0.0287275	0.0311916	0.0251422	0.0231135	0.028167	0.0159725	0.0145794	0.00999823	0.00680782	0.00740222	0.0081403	0.00457443	0.00722835	0.00891117	0.00798245	0.0114119	0.0153672	0.0107678	0.0101879	0.0129477	0.0106156	0.0108699	0.0153607	0.0206167	0.0353956	0.0462547	0.0486015	0.0462888	0.0264201	0.0389384	0.0461408	0.0420702	0.0338827	0.0300943	0.0385984
têtes	0.0355524	0.0420073	0.0369878	0.0345794	0.0384943	0.0282265	0.0295856	0.0174799	0.0157002	0.0134169	0.00873378	0.00445436	0.0030697	0.00273039	0.00194353	0.00379276	0.00243644	0.00356122	0.00678763	0.00724427	0.010846	0.0234141	0.0315573	0.0322809	0.0349451	0.047265	0.0379901	0.0335913	0.042285	0.0364096	0.0399056	0.0440357	0.0423161	0.0321714	0.0228393	0.0423499	0.0312014	0.0358251	0.0230531	0.0189336
dans	0.0682367	0.0570209	0.032983	0.030043	0.0284608	0.023066	0.0223665	0.0105064	0.00946193	0.0102599	0.00709325	0.00465432	0.00359198	0.00315623	0.00305986	0.00379138	0.00222489	0.00252574	0.00512298	0.00772475	0.0188123	0.0265521	0.015601	0.0147572	0.022419	0.0166527	0.0148954	0.0171448	0.0198978	0.025389	0.0320771	0.0420345	0.0346119	0.0354095	0.0481024	0.0580778	0.0595995	0.0500446	0.057438	0.0551326
le	0.0298052	0.0253897	0.0266854	0.0203848	0.0116125	0.00641646	0.00536218	0.00229508	0.00239582	0.00321443	0.00295783	0.00201415	0.00174379	0.00176908	0.00194659	0.00229135	0.00281487	0.003047	0.00604027	0.0059197	0.0122157	0.0208051	0.0106388	0.0125364	0.0199371	0.0179234	0.0170402	0.0168759	0.0269131	0.0290848	0.0417633	0.0551857	0.0584173	0.061526	0.0484415	0.0908661	0.0643888	0.0715633	0.0793418	0.0804295
