 	a66	a87	a23	a99	a83	a5	a79	a98	a47	a85	a6	a5	a36	a43	a75	a5	a23	a27	a40	a47	a36	a0	a75	a92	a12	a96	a93	a34	a92	a5	a12	a21	a12	a0	a38	a9	a10	a87	a23	a99	a27	</S>
judas	0.0251101	0.0549805	0.0246006	0.0328824	0.0370861	0.0488686	0.0774948	0.108291	0.138115	0.105484	0.0270171	0.0119299	0.0154329	0.00771595	0.0028721	0.00827844	0.00427886	0.0053693	0.00639102	0.00622858	0.00748141	0.0102149	0.0142368	0.0115508	0.00688382	0.00980756	0.0106633	0.012524	0.0174491	0.00626029	0.00748987	0.00486945	0.00598498	0.0087793	0.0108396	0.0135518	0.00791723	0.012952	0.0108054	0.0158433	0.00943687	0.0360309
et	0.00886517	0.00897925	0.013074	0.0230657	0.0109399	0.021488	0.0405788	0.0916063	0.0458709	0.0427993	0.0363291	0.04987	0.0566915	0.0442117	0.0663534	0.0417065	0.0553916	0.0465326	0.048262	0.0259365	0.0242998	0.0114004	0.00663516	0.00559611	0.00560268	0.0057798	0.0042888	0.00395781	0.00727616	0.00838869	0.0105066	0.00623255	0.00961002	0.0116393	0.010717	0.00928882	0.0134784	0.0151507	0.0103096	0.0133029	0.0162486	0.0117379
les	0.0381699	0.0151022	0.0234157	0.0314103	0.0201875	0.0328613	0.0406615	0.0236082	0.0256555	0.0326019	0.0363259	0.0645382	0.0631038	0.0710805	0.0479438	0.06448	0.0452974	0.0465906	0.0318862	0.0415271	0.0250878	0.0185441	0.0243916	0.0143729	0.00841601	0.00838547	0.00578834	0.00288571	0.00316908	0.00331662	0.00202719	0.00219682	0.0047568	0.0051536	0.0042195	0.00601316	0.00530698	0.00857343	0.0109877	0.010727	0.0140871	0.0151456
juifs	0.0185777	0.0123298	0.0076957	0.00792233	0.0105037	0.0141335	0.0181988	0.0135948	0.016761	0.0105995	0.0164102	0.0168661	0.0148048	0.0191648	0.0567037	0.0270061	0.053962	0.0513279	0.0577291	0.0275438	0.040158	0.0565477	0.0599074	0.0342875	0.057034	0.0317073	0.0223599	0.0132747	0.0106923	0.0124989	0.00769095	0.0215357	0.0121101	0.0106046	0.0174442	0.0231056	0.0181737	0.0227073	0.0183927	0.00967595	0.0105074	0.0177489
s'	0.0380301	0.0118243	0.0089073	0.0066136	0.0118064	0.0164207	0.0106128	0.0122638	0.0260494	0.019426	0.0460497	0.0990332	0.0578239	0.0586295	0.0355295	0.102982	0.0497685	0.0571117	0.0373742	0.0245857	0.027169	0.022998	0.0204369	0.022202	0.0158951	0.0173229	0.0175393	0.0170306	0.0106188	0.0143629	0.00609895	0.00856336	0.0092369	0.00386484	0.00584558	0.00693902	0.00489953	0.00483349	0.00858984	0.00653936	0.00667178	0.0114993
étaient	0.0119308	0.00657545	0.00679746	0.00594861	0.0040249	0.00705185	0.00772795	0.00931726	0.0107298	0.0156701	0.0189039	0.0711995	0.039976	0.0499453	0.0772677	0.067041	0.0886525	0.088359	0.123846	0.0400946	0.0517619	0.0254832	0.0269483	0.0252772	0.0215061	0.0171991	0.0110436	0.00550779	0.00343586	0.00545935	0.00404298	0.00457408	0.00734946	0.00425336	0.00603932	0.00601382	0.00460464	0.00275292	0.00394426	0.00393898	0.00302718	0.00477661
accordés	0.0147059	0.00779138	0.0170912	0.0124402	0.00962072	0.0166366	0.0137973	0.0243987	0.0198152	0.0213115	0.0221117	0.0559314	0.051036	0.0406442	0.037008	0.0646121	0.0533812	0.0467619	0.0444422	0.0262803	0.0278511	0.0204477	0.0142595	0.0181767	0.0132186	0.0149826	0.0237691	0.0111532	0.0144972	0.0108	0.0137117	0.0124683	0.0146913	0.0132831	0.014098	0.0218531	0.0316417	0.0285113	0.0270261	0.0214494	0.01761	0.0146827
pour	0.0334054	0.0209446	0.0141447	0.00840281	0.011675	0.0123391	0.0244621	0.0227707	0.0183614	0.0131564	0.0131754	0.0165374	0.0191491	0.0166269	0.00741943	0.0209573	0.0210346	0.0287159	0.0181813	0.0212942	0.0264754	0.0211382	0.0142479	0.0189088	0.0106108	0.014293	0.0174138	0.0115081	0.0199002	0.024718	0.0170847	0.0139665	0.0134775	0.0231052	0.0235358	0.0326665	0.078735	0.0604307	0.0635377	0.0471368	0.0481522	0.0362035
tuer	0.0228302	0.0176032	0.0208181	0.0114427	0.0143552	0.018741	0.0170227	0.0120217	0.0140139	0.00838195	0.0177464	0.024453	0.0298699	0.0285579	0.0203928	0.0251393	0.0261327	0.0316559	0.0279842	0.0285239	0.0320974	0.0209909	0.0190735	0.016953	0.0150904	0.0170143	0.0184465	0.0142786	0.0207093	0.024319	0.0192415	0.0176975	0.0118842	0.0159151	0.0218875	0.0241411	0.0547761	0.05437	0.0571092	0.0464091	0.0415543	0.0183552
jésus	0.0252245	0.0195876	0.0161549	0.00852217	0.00963571	0.0127861	0.0114502	0.00632092	0.0069595	0.0037601	0.010243	0.0166192	0.0169417	0.0213079	0.0223888	0.0213097	0.0234398	0.0313744	0.0263383	0.0329094	0.0303584	0.0239952	0.0203119	0.0237989	0.0220379	0.0236248	0.0218248	0.021888	0.0204369	0.0334267	0.0251574	0.0208864	0.0169853	0.0210718	0.0244028	0.0229001	0.0409497	0.0390907	0.0538226	0.0456416	0.0418199	0.0622941
</S>	0.0210597	0.015549	0.0146267	0.00725503	0.00902208	0.0121026	0.00893088	0.0055856	0.00642147	0.00452262	0.0135292	0.0192171	0.0197198	0.0223065	0.0207092	0.0269805	0.0252475	0.0279036	0.026296	0.0291853	0.0281099	0.0226545	0.0158941	0.020221	0.0164206	0.0210888	0.020742	0.021123	0.0178274	0.0316162	0.0270825	0.0225203	0.0208767	0.0259891	0.0282421	0.025805	0.0437183	0.0466162	0.0513265	0.0456779	0.0475152	0.0627623
