 	a85	a66	a87	a97	a3	a97	a62	a21	a92	a98	a85	a92	a6	a7	a26	a82	a3	a83	a75	a5	a12	a37	a93	a70	a66	a93	a25	a79	a44	a98	a92	a37	a96	a66	a62	a12	a18	a27	a82	a3	a99	a38	a30	</S>
prends	0.0360104	0.0414779	0.0133016	0.00910608	0.00947074	0.0126419	0.012215	0.0256624	0.0292666	0.0693657	0.0978862	0.127782	0.0643842	0.0199641	0.0348725	0.0248222	0.0178258	0.0110162	0.00945077	0.00677166	0.00713781	0.00795515	0.00864465	0.0091419	0.0119412	0.012208	0.0153799	0.023751	0.029728	0.0230242	0.0293148	0.015617	0.00776228	0.00533185	0.00620435	0.00520634	0.00636886	0.00569678	0.010579	0.00845494	0.00963154	0.0101097	0.0141365	0.0433798
soin	0.00966243	0.0103347	0.00743381	0.0080426	0.0135776	0.0196411	0.0336103	0.0355307	0.0519091	0.071204	0.0682396	0.0623844	0.0872443	0.0912198	0.0290628	0.0238925	0.0187557	0.00739731	0.0128559	0.0139389	0.0152086	0.0143732	0.015448	0.0259325	0.0125329	0.017266	0.0120388	0.0159133	0.0149199	0.0114516	0.0144682	0.00972744	0.0119675	0.0121599	0.0147018	0.0127079	0.0109114	0.0123217	0.0103789	0.0111449	0.0134995	0.00971876	0.00990942	0.0153601
de	0.0431764	0.0318596	0.0215245	0.0185144	0.0133852	0.0183242	0.0281172	0.0262075	0.0286894	0.0238965	0.0282308	0.0337284	0.0635401	0.0500745	0.0444357	0.0227571	0.024076	0.0241733	0.0292199	0.0415346	0.045523	0.0323384	0.0217787	0.0273193	0.0157304	0.0127766	0.0148861	0.0122341	0.00986844	0.00870085	0.00549137	0.00674839	0.00407717	0.00266894	0.00333138	0.00466047	0.00638451	0.00780819	0.00964952	0.0172126	0.0260817	0.0111945	0.0401563	0.037914
l'	0.0183754	0.0237774	0.0145733	0.00731984	0.00627308	0.00858671	0.0149519	0.013621	0.0141852	0.00993241	0.0131442	0.0095207	0.0147571	0.0135911	0.00927329	0.0171597	0.0198883	0.020356	0.0223085	0.0222223	0.0306939	0.0314442	0.028663	0.0278464	0.0192052	0.0332729	0.0331028	0.0206312	0.0233976	0.0546121	0.0404547	0.0327939	0.0227834	0.0147182	0.020221	0.0238915	0.0330418	0.0353843	0.0389026	0.0363129	0.0292811	0.0277399	0.0274763	0.0203119
enfant	0.0196291	0.0184996	0.0221441	0.0201176	0.017779	0.0149381	0.0100088	0.0267434	0.0211634	0.00930475	0.0248413	0.0172306	0.021602	0.0258571	0.0193546	0.0349494	0.0303246	0.0476852	0.0412182	0.0385542	0.0541057	0.0339588	0.0288514	0.0331243	0.0371112	0.0575905	0.0398217	0.0272168	0.0246249	0.0183085	0.0109987	0.0171544	0.0118519	0.00793477	0.00910303	0.00879234	0.0104566	0.0101546	0.0127317	0.0147191	0.0114075	0.012059	0.0126668	0.0133106
je	0.0686271	0.03571	0.0154511	0.00791707	0.00872031	0.0108732	0.0101548	0.0121392	0.0100533	0.0217963	0.0178334	0.0265939	0.0224846	0.0279567	0.0318566	0.0333129	0.014842	0.0193035	0.0243423	0.0406221	0.0412746	0.0497322	0.0439445	0.0431373	0.0340244	0.0220731	0.0143188	0.00649682	0.00495099	0.0118294	0.00893528	0.0135094	0.0109	0.014634	0.0147442	0.0192425	0.0161776	0.0187723	0.019157	0.0316795	0.0342694	0.0203025	0.0245585	0.0207454
vais	0.0393027	0.0262558	0.0168545	0.0108492	0.0078072	0.00978648	0.0109538	0.0042423	0.00546846	0.0107821	0.00991993	0.0126722	0.0101773	0.00972709	0.0132993	0.0137186	0.00836795	0.00809506	0.0172897	0.0355051	0.0332886	0.0451611	0.0567039	0.0666982	0.0531632	0.0407114	0.0299812	0.016641	0.0125311	0.0187239	0.0157951	0.0197483	0.0133456	0.0124363	0.0167833	0.0197646	0.0224384	0.022831	0.0220102	0.034747	0.0353655	0.0304231	0.0405746	0.0390583
puiser	0.0403747	0.0236523	0.0175348	0.0118179	0.0078441	0.0102773	0.0155658	0.00632899	0.0111927	0.0180847	0.0168961	0.0153517	0.00980422	0.00789545	0.0109357	0.00820054	0.00660255	0.00540381	0.0105733	0.0176932	0.0153715	0.0262513	0.0325423	0.0352669	0.0271242	0.0320617	0.0227746	0.0188361	0.0186567	0.0241684	0.0217777	0.0228108	0.0158744	0.0239485	0.0181676	0.0163727	0.0292045	0.0211616	0.0294147	0.0344356	0.0421342	0.0549366	0.0635954	0.081082
de	0.02888	0.0182879	0.00809098	0.00298372	0.00287862	0.00287193	0.00298061	0.00270244	0.00283612	0.00567311	0.00764726	0.00989559	0.00701527	0.00792271	0.00825675	0.00827341	0.00611733	0.00448692	0.0083442	0.0123876	0.010442	0.0116965	0.0157059	0.0195213	0.0155617	0.019843	0.0182531	0.0113463	0.0135619	0.0177571	0.0211642	0.0267748	0.0257019	0.0292882	0.0394928	0.0425678	0.0465844	0.0550721	0.0526689	0.0644694	0.0670337	0.0639594	0.0694239	0.0835772
l'	0.0344489	0.0204142	0.00772779	0.00267466	0.00194602	0.00221264	0.00247905	0.0019582	0.00185976	0.0034188	0.00366392	0.0050915	0.00504891	0.00541408	0.00589371	0.006686	0.00547935	0.00424603	0.00760584	0.014018	0.0125522	0.0181557	0.0259441	0.0226096	0.0201142	0.0244786	0.0199101	0.013549	0.0155938	0.0204939	0.0201139	0.0289707	0.0312656	0.0307071	0.0378072	0.0407456	0.0484161	0.0574433	0.0513684	0.0694671	0.0716189	0.0591963	0.065208	0.0519829
eau	0.0628508	0.0375851	0.0205108	0.0116156	0.00994484	0.0128374	0.00684579	0.0101435	0.00760313	0.00558622	0.0158461	0.0104026	0.015307	0.0166903	0.0221247	0.0225117	0.0126779	0.0155885	0.0248586	0.0310868	0.0230114	0.0213818	0.0336887	0.0466814	0.0364986	0.0472946	0.0313063	0.0205041	0.0154248	0.0134198	0.00924617	0.015776	0.0128781	0.0149157	0.0140413	0.0185672	0.0243241	0.0197848	0.0271781	0.0313567	0.0343952	0.0337921	0.0506759	0.0312396
</S>	0.0695173	0.0435842	0.011867	0.00383499	0.00245908	0.00311593	0.00371564	0.00291152	0.00246581	0.00562437	0.00500025	0.00407733	0.0030537	0.00293247	0.0036511	0.004875	0.00541239	0.00579203	0.00837848	0.0139099	0.0161107	0.0239445	0.0280929	0.0271929	0.0253514	0.0318181	0.0264935	0.0117973	0.010192	0.016259	0.0162142	0.0270566	0.0251093	0.0288364	0.0368754	0.03825	0.0448175	0.0491948	0.0432683	0.0689833	0.0706275	0.0479416	0.0548077	0.0245869
