 	a66	a10	a87	a79	a58	a40	a98	a47	a98	a79	a90	a69	a4	a90	a69	a94	a62	a83	a71	a9	a53	a44	a62	a88	a24	a9	a53	a4	a57	a4	a13	a57	a3	a87	a23	a99	a97	</S>
la	0.0420111	0.0859087	0.112754	0.0665646	0.100422	0.0742335	0.0468771	0.0292364	0.0165871	0.00848782	0.00764347	0.00497727	0.00833044	0.00795911	0.0116411	0.0126619	0.0120614	0.0152803	0.00959573	0.00742388	0.0124315	0.0139762	0.0103207	0.0129379	0.00775155	0.0189866	0.0204916	0.0340149	0.0250144	0.0262901	0.0248835	0.0211369	0.0132675	0.01336	0.0169905	0.017057	0.0106312	0.0198012
tenue	0.00074505	0.00331153	0.00858581	0.0129587	0.0488982	0.0645025	0.112378	0.127506	0.0770998	0.0995627	0.106934	0.105465	0.0847091	0.0465089	0.0205466	0.0110122	0.00972545	0.0127438	0.00869758	0.00828827	0.00297852	0.00393151	0.00420218	0.00346422	0.00175956	0.00222482	0.00104816	0.00108132	0.000822534	0.000414773	0.00107696	0.000552616	0.000800491	0.000852918	0.00184792	0.0013981	0.000958653	0.0004046
qu'	0.014537	0.0333039	0.0257244	0.0336067	0.0503054	0.0910731	0.0833067	0.158524	0.0388649	0.0210743	0.0477777	0.0614463	0.0333537	0.0334834	0.0397649	0.0165741	0.0128062	0.014577	0.014935	0.00906821	0.0194632	0.0141385	0.0137964	0.0080416	0.00231403	0.00320467	0.00646301	0.0051956	0.00508768	0.00672776	0.00545567	0.00647343	0.0104344	0.00965367	0.0166035	0.00923646	0.019468	0.00413547
elle	0.0627304	0.0431854	0.0332774	0.0357517	0.0223672	0.0266345	0.0173676	0.046779	0.0249849	0.0190377	0.0269903	0.0209075	0.0142156	0.0132629	0.00887003	0.00908729	0.00611211	0.00668156	0.00539114	0.0107914	0.00845909	0.00905298	0.00755519	0.00824129	0.0119755	0.0124304	0.00838821	0.00841041	0.0143081	0.0171905	0.0169819	0.0285039	0.0165286	0.0265466	0.0464221	0.0613784	0.089039	0.154162
a	0.0950645	0.0621559	0.0237057	0.0199044	0.00587117	0.00632834	0.00454489	0.00387949	0.00682844	0.00427836	0.0105154	0.0239663	0.0215265	0.0285947	0.0555067	0.0790882	0.065247	0.0339631	0.0469184	0.0390501	0.0516806	0.045754	0.0356807	0.0315686	0.0170268	0.0171267	0.00929749	0.00763784	0.00721719	0.00656321	0.00637324	0.0079581	0.00681915	0.0104967	0.0108935	0.00831494	0.025481	0.0571726
choisie	0.0389962	0.0280909	0.0170819	0.021205	0.00860375	0.0093074	0.00627733	0.0107094	0.0088521	0.00597803	0.0160839	0.0191014	0.0153398	0.0150128	0.0323287	0.0359276	0.0360176	0.0314444	0.0275442	0.0203783	0.0219308	0.0212881	0.0128632	0.0147874	0.010441	0.0158736	0.0113104	0.0185843	0.010199	0.0297925	0.0302988	0.0376834	0.0442172	0.0442337	0.0386942	0.0411582	0.0674594	0.124904
pour	0.0565338	0.0532965	0.0358533	0.0548941	0.0305601	0.0305432	0.0315317	0.0300296	0.0255329	0.0183333	0.0236912	0.0197308	0.0202292	0.0200426	0.0221619	0.0194027	0.0201718	0.0248218	0.0302478	0.0336522	0.0495849	0.0397718	0.0228512	0.0170729	0.00698156	0.0088034	0.00853129	0.00782694	0.00446603	0.00937478	0.0104726	0.0086374	0.0169003	0.0221588	0.0270099	0.0341581	0.0459592	0.0581783
le	0.0600075	0.0582305	0.0457898	0.0342139	0.0201299	0.0199466	0.017915	0.00811925	0.00611861	0.00353563	0.00467724	0.00433103	0.00526046	0.010278	0.0190807	0.0240943	0.0295997	0.0447009	0.0337657	0.0180378	0.0382808	0.0301668	0.0196838	0.014738	0.00922799	0.0201541	0.0110418	0.0205195	0.00737654	0.0255928	0.0275291	0.0286291	0.0403328	0.0417899	0.0396882	0.0333787	0.0456472	0.0783905
deuil	0.0301313	0.0269527	0.0222063	0.0205836	0.0189472	0.0195095	0.0198747	0.0166703	0.0222134	0.0194133	0.0184275	0.015175	0.0279135	0.0286708	0.024806	0.0200249	0.0163104	0.0281806	0.0166931	0.02863	0.0359525	0.0187854	0.0160644	0.0176378	0.00667037	0.0105495	0.0112065	0.0138348	0.00877531	0.0241949	0.0447248	0.0256398	0.0543875	0.0519493	0.0496971	0.0415834	0.0500139	0.0769987
est	0.0658383	0.0504212	0.0436081	0.0288467	0.0187054	0.0187336	0.0126889	0.00815822	0.00938032	0.00728267	0.0155765	0.0150594	0.0175115	0.0179164	0.0220213	0.0171066	0.018259	0.0273891	0.0253012	0.0205308	0.0329196	0.0171369	0.0230905	0.0264124	0.0189793	0.0203369	0.0190486	0.0145776	0.0144156	0.0156457	0.0274741	0.0239128	0.0326581	0.0418831	0.0389599	0.0348216	0.0615825	0.0758097
de	0.0485051	0.0534034	0.0473241	0.0270635	0.03188	0.0376307	0.0328009	0.0352889	0.034668	0.0309665	0.0256673	0.0258543	0.026937	0.0230981	0.0233865	0.0178921	0.0154186	0.0196115	0.018181	0.035198	0.0315665	0.0168462	0.0136055	0.013589	0.00592505	0.0069847	0.00831911	0.00823329	0.0071809	0.00936581	0.0187318	0.0107474	0.0259439	0.0272854	0.0333953	0.0275973	0.0382694	0.085638
couleur	0.0547727	0.0466915	0.0258017	0.017043	0.0148272	0.0147555	0.0106676	0.0113472	0.0112645	0.00509885	0.00419193	0.00390783	0.00395438	0.00584617	0.00853863	0.00799543	0.00855607	0.00840839	0.00695997	0.0055778	0.00766999	0.00778739	0.00490314	0.00648317	0.00553771	0.00953129	0.00930167	0.0142307	0.0134221	0.0265138	0.0613206	0.0393057	0.067276	0.0640182	0.0778426	0.0622699	0.0618194	0.18456
noire	0.0576347	0.0622841	0.0485352	0.0393998	0.040303	0.0444886	0.0413161	0.0426894	0.0438563	0.0351875	0.0432857	0.0408123	0.0392558	0.0399651	0.0355331	0.0222049	0.0225036	0.0212219	0.0205752	0.0207976	0.0286333	0.0107043	0.0114773	0.0126406	0.00564172	0.00640469	0.00435771	0.00802985	0.00505332	0.00732098	0.00901623	0.00858284	0.0117845	0.0133496	0.0186761	0.016464	0.0247153	0.035298
foncée	0.0586386	0.0497166	0.0470007	0.0397524	0.0350788	0.0247858	0.0118429	0.00606581	0.00497797	0.00306842	0.00628513	0.00501094	0.00625254	0.00706769	0.0140305	0.00996831	0.0122414	0.0174524	0.0148466	0.00802473	0.00719321	0.00587674	0.00945559	0.0161939	0.00943253	0.00945358	0.00970306	0.0109029	0.014173	0.0232828	0.0342526	0.0401369	0.0546412	0.0545782	0.0783152	0.0572918	0.0837989	0.0992098
</S>	0.0961328	0.0546542	0.0366759	0.0368756	0.0250445	0.0223176	0.0186282	0.0108854	0.0107086	0.00711702	0.00992162	0.00971495	0.00958096	0.0124053	0.0209402	0.0180075	0.0213638	0.0305677	0.0259195	0.0185055	0.0157274	0.0145939	0.0113357	0.0118521	0.00654732	0.00749264	0.00663979	0.00801836	0.0100958	0.0178511	0.0224205	0.021542	0.0416414	0.0411768	0.050962	0.0343678	0.0626032	0.119165
