 	a66	a87	a23	a4	a57	a4	a90	a69	a90	a98	a47	a36	a2	a26	a53	a93	a70	a94	a31	a88	a24	a62	a21	a6	a36	a2	a57	a87	a23	a87	</S>
le	0.0213871	0.0331663	0.0319808	0.0479111	0.0602452	0.0647149	0.0400495	0.0690265	0.0594412	0.048716	0.0429703	0.0447646	0.0272865	0.0251733	0.015997	0.0125246	0.0125421	0.0141925	0.0109944	0.012422	0.0179834	0.0299809	0.0330544	0.0280713	0.0368802	0.022428	0.0167424	0.0211984	0.0233999	0.0236703	0.0510848
forgeron	0.00537837	0.0159612	0.0181001	0.0242714	0.0149681	0.023567	0.0154869	0.031307	0.0487696	0.0499466	0.13559	0.119169	0.0889137	0.120239	0.0999565	0.10118	0.0389993	0.0120397	0.00889695	0.00613815	0.00531232	0.0048857	0.00256311	0.00105876	0.00175279	0.00124927	0.000379709	0.000482346	0.000855928	0.00205408	0.000527312
est	0.0283311	0.0287803	0.0179603	0.0201396	0.0220299	0.0268591	0.0384506	0.0170133	0.0390666	0.0583603	0.0578978	0.0505449	0.110479	0.0930327	0.0573261	0.0715898	0.0503602	0.0445909	0.0364483	0.0402727	0.0150053	0.0089998	0.0121119	0.00285638	0.0101237	0.0163695	0.00622369	0.00421185	0.00689176	0.00656341	0.00110863
en	0.014929	0.00698558	0.00536607	0.00382414	0.00433152	0.00620552	0.00574955	0.00812481	0.0153521	0.0180909	0.0654602	0.0641826	0.0893909	0.116417	0.0926636	0.0684833	0.0401002	0.0398441	0.0438097	0.0495584	0.0193352	0.025328	0.0323101	0.0324217	0.0243241	0.0192995	0.0155283	0.0152804	0.0133811	0.0112416	0.0326807
train	0.0210269	0.0207136	0.0305455	0.0314453	0.0387473	0.0269081	0.0255641	0.0148932	0.0153531	0.0102199	0.0197428	0.0325498	0.0437113	0.0727074	0.0674819	0.136161	0.0724173	0.090478	0.0444029	0.0505696	0.0109006	0.0141111	0.0174316	0.0166603	0.0164323	0.008854	0.00666643	0.0113299	0.0107513	0.00740093	0.0138225
de	0.0129009	0.0069061	0.00373337	0.00683744	0.0132338	0.0177343	0.0214543	0.0378126	0.0214218	0.0483645	0.0752462	0.0583329	0.0249069	0.024505	0.0205739	0.00624307	0.0126889	0.0128727	0.0205638	0.0147387	0.0366355	0.0303919	0.0360488	0.0406078	0.0410592	0.0575225	0.0499561	0.0623197	0.0617313	0.0620406	0.0606155
fabriquer	0.0297192	0.0259059	0.0220173	0.0304967	0.0452368	0.0459584	0.0372661	0.0675188	0.0450063	0.0414852	0.0651704	0.0732292	0.0573253	0.0548718	0.0519232	0.0504425	0.0401815	0.0240408	0.0278274	0.0164288	0.0247749	0.0177222	0.0106045	0.0166606	0.0106648	0.0126258	0.00811015	0.0117746	0.013937	0.0107034	0.0103704
la	0.0357245	0.0251798	0.0198952	0.0207983	0.0304279	0.030404	0.0237929	0.0449334	0.024047	0.0292879	0.0224799	0.0313942	0.0535335	0.0539441	0.0609672	0.0336147	0.0309975	0.0149421	0.0217384	0.0221941	0.0325301	0.035716	0.0341304	0.0537951	0.0598724	0.0338688	0.020213	0.0302372	0.0242619	0.0172568	0.0278218
pointe	0.0352157	0.0228349	0.0149381	0.0180769	0.0302227	0.0363565	0.0426115	0.0211817	0.0116993	0.0124839	0.0167166	0.0159836	0.024451	0.0208096	0.0188764	0.017875	0.025467	0.0209101	0.0326956	0.0208634	0.0401741	0.0397602	0.0478587	0.0423054	0.0622773	0.0779161	0.0483075	0.0564751	0.0575476	0.0519099	0.0151984
du	0.0323873	0.0337763	0.0237043	0.0295558	0.0397963	0.0384472	0.0420588	0.067864	0.0565009	0.0677614	0.0357361	0.030527	0.0340308	0.030715	0.029195	0.0343448	0.0319552	0.0189542	0.0207896	0.00734496	0.0101325	0.00759309	0.0180803	0.0192559	0.0190528	0.0247146	0.0328513	0.0359138	0.0384052	0.0395236	0.0490321
fer	0.0249484	0.0463108	0.0482237	0.0604056	0.0669312	0.0652538	0.0569955	0.0493945	0.0815434	0.0721442	0.0275019	0.025563	0.035608	0.0465895	0.0335102	0.0608398	0.0420484	0.0339971	0.0211704	0.0152095	0.00483593	0.00598078	0.00597346	0.00502071	0.00623324	0.0049261	0.00310648	0.00820964	0.010245	0.0137195	0.0175602
de	0.00874173	0.0143955	0.0155096	0.024004	0.0275856	0.0271223	0.0385753	0.1057	0.129616	0.134175	0.03743	0.0419238	0.067524	0.0539844	0.0373897	0.0352163	0.0306993	0.023095	0.0243768	0.0203321	0.0165779	0.0136433	0.0128443	0.00590038	0.0072143	0.00519346	0.00397472	0.00589284	0.00682512	0.00956334	0.0149747
la	0.0217608	0.0283605	0.0288816	0.0460066	0.0481338	0.0422099	0.0388055	0.0435626	0.0448061	0.0792382	0.0264266	0.0225093	0.0444594	0.0333264	0.0238503	0.0249738	0.0289626	0.0361589	0.0208962	0.0133505	0.0149491	0.0201124	0.0270358	0.0223065	0.030482	0.0194665	0.0167435	0.023427	0.0225708	0.0276842	0.0785426
houe	0.0231105	0.0301727	0.034354	0.0446144	0.0436681	0.0400867	0.0332847	0.0319129	0.0422927	0.0690199	0.0389037	0.0403416	0.0540187	0.0453791	0.039107	0.058786	0.0509249	0.0413339	0.0273893	0.02317	0.012463	0.0113111	0.0137213	0.0130469	0.0164993	0.012969	0.0112388	0.0235634	0.0207274	0.0248864	0.0277028
</S>	0.0180482	0.013954	0.00937479	0.0149072	0.0182407	0.0176281	0.0200234	0.0369263	0.0417495	0.101466	0.0376852	0.0310649	0.0507944	0.0415352	0.0316717	0.0298471	0.0387967	0.0549678	0.0436362	0.0276393	0.0188958	0.0240238	0.026826	0.0235847	0.0296636	0.0266793	0.0238358	0.0270354	0.0288715	0.0310224	0.0596048
