 	a66	a87	a23	a40	a47	a36	a85	a92	a85	a6	a37	a26	a94	a4	a57	a53	a44	a75	a79	a44	a58	a57	a82	a97	a87	a23	a87	</S>
il	0.0313041	0.0387621	0.0520613	0.0561946	0.0749257	0.0821584	0.0910638	0.111357	0.0562443	0.0495922	0.0514292	0.0271054	0.0146278	0.0119785	0.00832227	0.00536617	0.00434615	0.00541511	0.00584768	0.0113123	0.0240925	0.0373992	0.0221444	0.0132803	0.0169741	0.0250015	0.0311805	0.0405132
y	0.0394732	0.0357253	0.0355382	0.0289054	0.0338943	0.0242078	0.043326	0.0316611	0.0362436	0.039015	0.0432949	0.0264094	0.017606	0.0215173	0.0542926	0.0279546	0.0361222	0.0521914	0.0753376	0.0906878	0.0370241	0.0401298	0.0309325	0.0233924	0.018207	0.0171946	0.0169686	0.0227471
a	0.0490568	0.0390263	0.0373004	0.0217789	0.0409597	0.0262733	0.0138429	0.0123725	0.0105047	0.0105239	0.0144679	0.0144881	0.00829066	0.00441846	0.0115554	0.00587229	0.0113292	0.0217107	0.0274385	0.0367906	0.0534685	0.0508985	0.076942	0.0657079	0.0839552	0.0981658	0.0760153	0.0768458
un	0.0566502	0.0859123	0.039594	0.0337992	0.014729	0.0105164	0.0144268	0.0176491	0.0463721	0.0280958	0.0249377	0.0182408	0.0237365	0.0278042	0.012687	0.0241062	0.0215083	0.0185707	0.0420807	0.0438454	0.0578795	0.0385206	0.0484109	0.0572649	0.0481719	0.0368677	0.0429243	0.0646976
deuil	0.0633015	0.0393047	0.0308406	0.0786448	0.0458521	0.0662408	0.061474	0.0470375	0.0454278	0.103981	0.0479951	0.0632123	0.0446414	0.0330113	0.0438001	0.0222101	0.0111267	0.0125012	0.0146392	0.00829835	0.0113037	0.00890284	0.0142597	0.0168399	0.0131602	0.0145067	0.015398	0.0220884
chez	0.0930386	0.0584368	0.100516	0.0970559	0.043225	0.0523429	0.0231938	0.0299386	0.0349932	0.0416491	0.0396498	0.0178858	0.0122878	0.0187838	0.0153346	0.0128805	0.0188531	0.0212986	0.0309349	0.0268388	0.0222794	0.0197804	0.0261037	0.0336469	0.0199758	0.0246019	0.020444	0.0440305
le	0.0895693	0.0838562	0.0972313	0.0611647	0.0234593	0.0251141	0.0167168	0.0175314	0.0114998	0.0124877	0.0180949	0.0139729	0.0069149	0.0140071	0.0141101	0.0162541	0.0193916	0.0201915	0.040413	0.0277084	0.0399394	0.0363616	0.038274	0.0425617	0.0342647	0.0528248	0.0480727	0.0780123
chef	0.126873	0.0777787	0.0643696	0.0302295	0.014483	0.0166384	0.00555161	0.00759492	0.0172483	0.016883	0.0120597	0.0156171	0.00441192	0.00700297	0.0112578	0.00796392	0.0107747	0.0124029	0.0223459	0.0216065	0.0516584	0.0536463	0.0555053	0.0722237	0.0571554	0.0772	0.0665181	0.0629995
du	0.148837	0.129018	0.113217	0.0460256	0.0158338	0.0166418	0.00799199	0.0117118	0.0171376	0.0147302	0.00782757	0.0117446	0.00393345	0.00740276	0.00907755	0.00656618	0.0118602	0.0124951	0.0264575	0.0251513	0.0320909	0.0269873	0.0356229	0.048436	0.0344984	0.0418748	0.0399453	0.0968836
village	0.076549	0.0541302	0.0485925	0.027686	0.014451	0.0131206	0.0120724	0.0128439	0.0254852	0.0446755	0.0306893	0.0362909	0.00269963	0.00393821	0.0153107	0.00531639	0.00922893	0.00830617	0.0209048	0.017239	0.0525813	0.0474604	0.0428521	0.04148	0.0464085	0.0921414	0.0717756	0.125771
</S>	0.0803117	0.0589984	0.0620437	0.0214524	0.0139556	0.013073	0.00764702	0.0107478	0.00891708	0.00535251	0.00766036	0.00678968	0.00140572	0.00298348	0.00284426	0.00281075	0.00495495	0.00434315	0.0112908	0.0127912	0.0329901	0.0470016	0.0461679	0.0455694	0.0449374	0.0645988	0.0736086	0.304753
