 	a66	a97	a40	a6	a36	a75	a25	a85	a5	a37	a85	a47	a36	a61	a75	a85	a6	a0	a11	a88	a71	a9	a97	a10	a82	</S>
les	0.0622799	0.0776082	0.105827	0.0820539	0.0615058	0.0548036	0.0602335	0.0442646	0.0216841	0.0151127	0.018167	0.0101791	0.0133599	0.0193849	0.0148054	0.0102984	0.0179836	0.0413594	0.046318	0.0365581	0.0264935	0.027975	0.0287631	0.0287003	0.0217751	0.0525057
pêcheurs	0.00527848	0.0103814	0.0110964	0.0162047	0.0185174	0.0377375	0.0849413	0.192978	0.178687	0.181293	0.101538	0.06391	0.0471277	0.00699172	0.00630823	0.00444194	0.00231559	0.00685321	0.00379504	0.00436826	0.00150667	0.00190686	0.00213561	0.00222406	0.00398251	0.00347934
sont	0.141263	0.137892	0.0309219	0.0297186	0.0355709	0.0444294	0.0409174	0.0318408	0.0280272	0.023209	0.021032	0.0216135	0.0156642	0.0162592	0.0170309	0.0169937	0.0143134	0.0161192	0.0205456	0.025456	0.0377426	0.0423943	0.0761522	0.0392635	0.0474718	0.0281576
en	0.0323988	0.0296319	0.0215338	0.0202875	0.0250144	0.0134283	0.0120726	0.0144007	0.0218291	0.0235696	0.0226012	0.0666131	0.0712299	0.0663304	0.0884715	0.0353146	0.0616264	0.034719	0.0361052	0.0356158	0.037811	0.0421211	0.037941	0.0480637	0.0525985	0.0486708
train	0.0501536	0.0457161	0.0195799	0.016566	0.0208845	0.00993538	0.012514	0.014482	0.0181816	0.0287026	0.0394029	0.0842116	0.0950452	0.0609067	0.0716335	0.0423065	0.035564	0.053708	0.0334165	0.0299551	0.0326192	0.0782052	0.0439882	0.0223563	0.0256753	0.0142903
d'	0.103022	0.0984851	0.0804318	0.0615654	0.0353328	0.0227544	0.038929	0.0314389	0.0228084	0.0153836	0.0120039	0.00911759	0.0108947	0.0127021	0.0105569	0.00852874	0.00716988	0.00937109	0.00551947	0.0106511	0.0146513	0.0229253	0.0596069	0.0612903	0.0841569	0.150702
attraper	0.0453555	0.0497687	0.0186034	0.0321884	0.0364277	0.0470273	0.0865871	0.0817609	0.0975441	0.0720282	0.052276	0.0345756	0.0348717	0.0229801	0.0181739	0.0102282	0.00988788	0.0172797	0.0177145	0.0213133	0.0207427	0.0301661	0.0362312	0.0332209	0.0326235	0.0404234
les	0.107206	0.105128	0.0438563	0.0332701	0.0238491	0.0248236	0.0209159	0.0147694	0.0157931	0.0162205	0.017418	0.0224089	0.021129	0.018341	0.0276338	0.0289388	0.0145734	0.0242625	0.0183503	0.0324495	0.0350115	0.0631757	0.071754	0.0511694	0.0692038	0.0783476
poissons	0.0732532	0.0450573	0.0177911	0.00921505	0.00614198	0.00369775	0.00571532	0.00857457	0.0113258	0.0111837	0.0131471	0.0248292	0.020748	0.0236504	0.0328668	0.0483958	0.0484016	0.0543369	0.048262	0.0547877	0.0628639	0.0998887	0.0883684	0.0644753	0.070361	0.0526615
</S>	0.074323	0.0328467	0.0105924	0.00765828	0.00443822	0.00315888	0.0037942	0.00578359	0.00826034	0.00808082	0.014179	0.0311442	0.0340249	0.0479735	0.0252626	0.0320849	0.0364213	0.0536847	0.0380152	0.0419695	0.0667462	0.116727	0.101662	0.0675987	0.0784227	0.0551473
