 	a15	a87	a10	a50	a9	a40	a90	a92	a85	a18	a11	a62	a66	a61	a21	a66	a75	a44	a82	a38	a99	a98	a56	a11	a21	a96	a11	a83	a99	a9	a87	a10	a87	a23	a99	a87	</S>
il	0.0550268	0.0293772	0.0264049	0.0658287	0.03376	0.0389544	0.0365838	0.0259896	0.0310862	0.0252218	0.0208758	0.0235667	0.0141515	0.0183075	0.0177157	0.021509	0.0163554	0.0140061	0.023921	0.0177907	0.0169454	0.0143104	0.0148435	0.0191949	0.0225909	0.0255134	0.0368777	0.0342346	0.0252477	0.0270901	0.0181895	0.0168624	0.0268115	0.0193719	0.0414524	0.0274524	0.0565782
est	0.00898435	0.0112381	0.0161387	0.0167212	0.0180622	0.033717	0.0291222	0.0388092	0.0276528	0.0234281	0.0217858	0.0196554	0.0324571	0.0462448	0.0371154	0.0613724	0.0471626	0.0547162	0.0383518	0.0357696	0.0352448	0.0368484	0.0316113	0.0214767	0.0274947	0.0205554	0.0130764	0.0169122	0.0140697	0.0173398	0.0212871	0.0205088	0.0203828	0.0226178	0.019046	0.0192423	0.023781
bon	0.00651143	0.0070332	0.00641226	0.00418719	0.00569713	0.0062879	0.0102685	0.0160452	0.0167241	0.0285501	0.0207341	0.0181457	0.039288	0.0482675	0.0487102	0.0682258	0.0748706	0.0557191	0.0402447	0.0345364	0.0214322	0.0299916	0.0264727	0.0212888	0.0186982	0.0166338	0.0173181	0.0167349	0.0231506	0.0181137	0.0316841	0.040132	0.0347458	0.0398716	0.0294839	0.0362183	0.0215705
pour	0.0339294	0.0184525	0.0149186	0.00795574	0.0106642	0.0111406	0.00921729	0.0102937	0.0097543	0.0142334	0.0154146	0.0188687	0.0450057	0.0518956	0.0602023	0.0621796	0.058004	0.063655	0.0563977	0.0481518	0.0299511	0.027457	0.0297629	0.0209257	0.0225122	0.029849	0.021023	0.0341592	0.0263654	0.018088	0.0182761	0.0219982	0.0239187	0.0143909	0.0149929	0.00927434	0.0167209
une	0.0546057	0.040532	0.0216399	0.0133845	0.0101111	0.00847528	0.0100521	0.00616083	0.0119121	0.0105095	0.00728646	0.00705285	0.0100861	0.0117155	0.0136508	0.0139087	0.0108892	0.00998923	0.014573	0.0176862	0.0186453	0.0205785	0.0219738	0.0258787	0.0262462	0.0359205	0.047116	0.0354429	0.0383339	0.0435399	0.0494589	0.0535807	0.0566124	0.0521638	0.0557104	0.0564486	0.0581281
famille	0.114412	0.0939714	0.0668295	0.03987	0.0298123	0.0327804	0.0234353	0.011433	0.0154546	0.0226708	0.0257594	0.0330048	0.0320255	0.0395582	0.0326599	0.0179125	0.0124433	0.0110672	0.0122412	0.00969753	0.00770885	0.00996247	0.0105898	0.0168551	0.012715	0.0102419	0.0147882	0.0124818	0.0208489	0.031214	0.0228505	0.0294969	0.0213976	0.0281059	0.024067	0.0268643	0.0227729
d'	0.074859	0.062692	0.0671383	0.0486873	0.0379437	0.0275959	0.0190298	0.0097511	0.0115141	0.00461138	0.00252566	0.00315388	0.00413383	0.00839529	0.00880767	0.0112802	0.00789865	0.00691756	0.010537	0.00585716	0.00538905	0.00566313	0.00723196	0.0113641	0.00906078	0.00563057	0.014514	0.0097474	0.0137252	0.0266437	0.032601	0.0443098	0.0489692	0.0663375	0.0636578	0.0956168	0.106209
avoir	0.0502254	0.0487512	0.0425294	0.0382583	0.0315129	0.0227986	0.0182133	0.0195781	0.0145709	0.013074	0.00814396	0.0103717	0.0104853	0.015985	0.0126743	0.0117035	0.00943028	0.00799702	0.013597	0.00734876	0.00546058	0.00474595	0.00617808	0.0108688	0.0207957	0.0409875	0.0402465	0.0278463	0.0300344	0.0322723	0.0365882	0.042408	0.0512787	0.043985	0.0637481	0.0620273	0.0732799
planté	0.0288905	0.0219378	0.0180098	0.0129914	0.0117928	0.00514007	0.00485684	0.00287413	0.00328876	0.00178422	0.00125699	0.00127225	0.00420992	0.00678025	0.0103391	0.0122486	0.0103441	0.00881701	0.0119599	0.00845028	0.00525607	0.00656651	0.0076822	0.010877	0.0188247	0.0267352	0.0390847	0.0315912	0.0371455	0.0498851	0.0630146	0.073104	0.0725993	0.0701125	0.0802005	0.0920829	0.127993
le	0.0368748	0.0210717	0.0133342	0.00864812	0.00675672	0.00405782	0.00512874	0.00332777	0.00446525	0.00299789	0.00215427	0.00302585	0.00820605	0.0098839	0.0146441	0.0150219	0.0151336	0.0160359	0.0204384	0.018722	0.0178978	0.0246945	0.0258053	0.0284052	0.0419988	0.0403283	0.0398947	0.0318698	0.0448482	0.0474092	0.049846	0.075366	0.0543691	0.0498616	0.0548332	0.0654353	0.077208
dzakumba	0.0364786	0.0128453	0.0103912	0.00627091	0.00314352	0.00292567	0.00196858	0.000947661	0.00125095	0.00155928	0.00188394	0.00167215	0.00489003	0.0053661	0.00808717	0.00970271	0.00816974	0.00819741	0.0123868	0.0105618	0.00984217	0.0169312	0.0199436	0.0290153	0.0456284	0.0407888	0.0393585	0.0241144	0.0332801	0.0632743	0.0821542	0.0988896	0.0773242	0.0815012	0.0550508	0.089003	0.0452006
dans	0.0257751	0.0108284	0.0121474	0.0131472	0.00623763	0.00645051	0.00424154	0.0023412	0.00227912	0.00238399	0.00227298	0.00258749	0.00649241	0.00822977	0.0106942	0.0126355	0.015391	0.0116538	0.0163673	0.0147583	0.0151646	0.022549	0.0205424	0.0292187	0.038542	0.0316389	0.0326369	0.0239269	0.0337205	0.0481628	0.0536456	0.0658441	0.0656665	0.0806551	0.0881437	0.0902457	0.0727817
la	0.023436	0.0166824	0.0168215	0.0135165	0.0128661	0.0111777	0.00853873	0.00402088	0.00396744	0.00287045	0.00211297	0.00287933	0.00756495	0.0114704	0.0193523	0.0273794	0.0273036	0.0218432	0.0401815	0.0329644	0.0496292	0.0491125	0.0406953	0.0319461	0.0331371	0.0386529	0.037682	0.0369881	0.0426737	0.0446571	0.03749	0.0441001	0.0411066	0.0318881	0.0473198	0.0365213	0.0494503
parcelle	0.016481	0.0106219	0.0108567	0.00694643	0.00416502	0.00412753	0.00232415	0.00156811	0.00235305	0.00412923	0.00389737	0.00500627	0.00611041	0.00703878	0.0112448	0.0150831	0.0116212	0.00898444	0.0125067	0.011098	0.0103075	0.0148895	0.0170089	0.030857	0.0425327	0.0588989	0.0586079	0.063299	0.0682092	0.0721986	0.0574391	0.0629896	0.0643691	0.0452481	0.076231	0.0472412	0.0535084
</S>	0.0617539	0.0327376	0.0313476	0.0262679	0.013022	0.0131252	0.00678731	0.0047108	0.00538915	0.00531016	0.00543428	0.00597268	0.00506934	0.00497937	0.00779881	0.00867466	0.00697128	0.00736924	0.0132746	0.00966115	0.0153885	0.0189773	0.0224185	0.0229575	0.0296953	0.02665	0.0248585	0.0280518	0.0322615	0.0445007	0.0405642	0.0556908	0.0531434	0.0608648	0.0705451	0.0816401	0.0961349
