 	a66	a87	a23	a87	a23	a5	a61	a75	a92	a75	a47	a21	a5	a75	a85	a6	a98	a47	a37	a85	a47	a98	a47	a37	a85	a47	a36	a2	a57	a87	a23	a40	a36	a61	a88	a50	a88	a75	a6	a36	a54	a6	a5	a12	a18	a54	a36	a2	a57	a87	a23	a87	</S>
de	0.0422684	0.0445244	0.0373236	0.0324322	0.0360487	0.0401205	0.0338182	0.0470582	0.0602933	0.0491022	0.0227469	0.00746893	0.00591632	0.00644355	0.0081188	0.00545169	0.0125688	0.0300017	0.0144329	0.0109711	0.0153914	0.01605	0.0301594	0.0252861	0.017222	0.0287406	0.0311215	0.0172076	0.0141773	0.0132253	0.0192837	0.00892181	0.0227813	0.0111708	0.0101304	0.009326	0.012179	0.0117363	0.00847246	0.00559161	0.00488163	0.00513688	0.00753985	0.00747859	0.00895449	0.0106632	0.00655947	0.00476801	0.00879477	0.00927727	0.0134833	0.0124259	0.0247514
la	0.00603988	0.00421645	0.00502136	0.00461089	0.00610485	0.00877924	0.00872233	0.0115333	0.0149653	0.0261459	0.0354633	0.0520519	0.0431855	0.0669308	0.0810799	0.0539814	0.0574518	0.062264	0.0730688	0.0632035	0.0412281	0.0165188	0.0199203	0.0194812	0.0156765	0.018578	0.0273875	0.0194121	0.00363556	0.00426519	0.00181724	0.00133687	0.00162077	0.00132665	0.00235028	0.00207449	0.00377296	0.00356371	0.00280905	0.00366033	0.00320572	0.00550172	0.00881425	0.00732214	0.00652585	0.00553169	0.00777612	0.00722758	0.0063125	0.0116886	0.0135576	0.0104859	0.0107944
manière	0.0033961	0.00294249	0.00186501	0.00211028	0.00222868	0.0053528	0.0056338	0.00955196	0.014826	0.017664	0.0173982	0.012564	0.00983033	0.028908	0.0409245	0.0203292	0.048027	0.0691355	0.0776299	0.0709064	0.112449	0.0708236	0.0456846	0.0470124	0.0348815	0.0150155	0.0125389	0.0382158	0.0175158	0.0205762	0.0194068	0.0106482	0.00755155	0.0118406	0.0055256	0.00460039	0.00588873	0.0041685	0.00216995	0.00115436	0.00211027	0.00154034	0.00190687	0.00314578	0.00141841	0.00255794	0.0045392	0.00626456	0.00601901	0.00494211	0.00571781	0.00713855	0.00380738
dont	0.0183755	0.00906496	0.00438073	0.00269431	0.00202923	0.00327952	0.0020774	0.00300453	0.00256534	0.00838523	0.0105795	0.0203904	0.0138009	0.022769	0.0182311	0.0253918	0.0512599	0.0279058	0.0695663	0.0421773	0.0700818	0.0239991	0.0531277	0.0391755	0.0543866	0.0322997	0.0199816	0.0445447	0.0256636	0.0334111	0.00987669	0.0210521	0.0164058	0.0204497	0.0197573	0.0104745	0.0133129	0.0113867	0.00501541	0.00884394	0.00602044	0.00831069	0.00727043	0.00242182	0.00273626	0.00286488	0.00324635	0.00416476	0.00518386	0.0084233	0.0209794	0.0185369	0.018666
ils	0.0400154	0.0155084	0.00622959	0.00321982	0.00243342	0.00165025	0.00134067	0.0016275	0.00109335	0.00402458	0.00172862	0.00608668	0.00415589	0.00855445	0.0143409	0.0131776	0.0254924	0.0265827	0.050645	0.0551812	0.0686899	0.0371202	0.0299198	0.0299813	0.0690064	0.0260742	0.0266454	0.0185807	0.0208852	0.0263742	0.0108389	0.0173998	0.0158743	0.0237618	0.025796	0.0292834	0.04186	0.0397801	0.0204681	0.0207272	0.0138345	0.0121952	0.00834992	0.0034467	0.0044988	0.00393127	0.00393727	0.00449371	0.00603316	0.00633393	0.0122789	0.0189341	0.0195772
ont	0.0336798	0.0235392	0.0154984	0.00716793	0.00343042	0.00223481	0.00188145	0.00157566	0.0011162	0.00473557	0.00315802	0.0117652	0.011969	0.017	0.0236661	0.0331697	0.0368895	0.0466928	0.0537869	0.0729799	0.0867582	0.0503229	0.039594	0.0325848	0.0595533	0.0393205	0.0334007	0.0161319	0.011282	0.00777142	0.00657323	0.00311259	0.00331874	0.00284	0.00633597	0.0092888	0.0120311	0.0108075	0.00856662	0.00929458	0.00749623	0.0131682	0.0118503	0.00772214	0.00935081	0.00815248	0.00621762	0.0121812	0.00585346	0.0127569	0.0171157	0.0133234	0.0199862
ensorcelé	0.0275023	0.0183853	0.0139983	0.00664061	0.0061293	0.00400989	0.00329739	0.00414533	0.00214007	0.00576223	0.00742723	0.0144903	0.0179933	0.0191338	0.0191711	0.0409809	0.0384675	0.0475045	0.043335	0.0398217	0.0341088	0.0240206	0.0237309	0.0198997	0.0283378	0.0256948	0.0169987	0.033462	0.017941	0.0148744	0.0024196	0.00545568	0.00237947	0.00459095	0.00720688	0.00540046	0.00856023	0.0085359	0.0118453	0.0203787	0.0223015	0.028136	0.0160422	0.0148773	0.0121256	0.0148886	0.016289	0.0217451	0.0276424	0.0315478	0.0340408	0.0277969	0.0363888
mon	0.0544266	0.0358908	0.0198359	0.00941729	0.00741732	0.00551351	0.00400155	0.00610992	0.00224753	0.00733796	0.00479982	0.0154087	0.0150682	0.0201631	0.0297804	0.0371877	0.0476141	0.0410172	0.0705779	0.052781	0.042115	0.0274753	0.0336814	0.0313595	0.03464	0.0278909	0.0224145	0.0141534	0.00771173	0.00658478	0.00199512	0.00387041	0.00190616	0.00216207	0.00293814	0.00287508	0.00415663	0.00430181	0.00864677	0.0117168	0.0147842	0.0120494	0.00882187	0.0137253	0.00965358	0.0133042	0.0131746	0.0171257	0.0226925	0.019946	0.0263337	0.0291231	0.0200737
fils	0.0282046	0.0411135	0.0185147	0.0137628	0.0105955	0.00689577	0.00689884	0.00568521	0.00385427	0.0112859	0.00303432	0.0126969	0.0147239	0.0156034	0.0248241	0.0303534	0.0544914	0.0348093	0.0647873	0.0499705	0.0535505	0.0358491	0.0336074	0.0452622	0.0355295	0.046505	0.0389033	0.0177384	0.0101023	0.0100741	0.0056134	0.00627213	0.00390244	0.00368597	0.0030745	0.00187895	0.00346311	0.00333168	0.00501797	0.00690048	0.00724901	0.00627501	0.00508321	0.00560719	0.00651247	0.0083065	0.00991631	0.00893243	0.0163785	0.0135498	0.0185222	0.032484	0.0388155
ils	0.0366193	0.0621954	0.0208109	0.0243468	0.024441	0.00684937	0.0115255	0.00644029	0.00296945	0.0066347	0.00147593	0.00704613	0.00518007	0.00493823	0.0145788	0.0128287	0.0208249	0.0135919	0.039842	0.0255162	0.0411034	0.0262739	0.038118	0.0395146	0.03057	0.041989	0.0284928	0.0198862	0.00772091	0.00761222	0.00655631	0.00668444	0.00571979	0.00581192	0.00605781	0.00374612	0.00623465	0.00579517	0.0101179	0.0127137	0.0119315	0.00902164	0.00568216	0.0072974	0.00833648	0.013714	0.0178285	0.0195347	0.031271	0.0220364	0.0305064	0.0663822	0.0570831
