 	a66	a87	a23	a83	a54	a6	a5	a61	a75	a15	a7	a44	a43	a75	a56	a75	a85	a6	a0	a75	a5	a61	a62	a83	a66	a9	a87	a23	a10	a83	a38	a62	a12	a62	a75	a5	a37	a5	a18	a71	a82	a87	a23	a87	</S>
j'	0.0328348	0.0584299	0.0394038	0.0311325	0.0306406	0.0391079	0.0251863	0.0197278	0.0304295	0.0457241	0.0370699	0.021765	0.00973837	0.0171804	0.0117175	0.0119614	0.0121359	0.0158566	0.0162035	0.0131514	0.0130608	0.0192492	0.0150023	0.0222166	0.0192244	0.0257279	0.0212962	0.0250998	0.0125452	0.0124829	0.0124386	0.0113504	0.0139174	0.0131977	0.0137477	0.0228296	0.0180997	0.0208372	0.0266558	0.0216187	0.0183189	0.0198214	0.0181256	0.0203758	0.0433628
aime	0.0198182	0.0128235	0.0232857	0.0278999	0.0811322	0.0793734	0.0590566	0.0306744	0.0337245	0.0309744	0.0253874	0.0244981	0.0181337	0.0185552	0.0204197	0.0221717	0.0265135	0.0331585	0.0227492	0.0193253	0.0168445	0.0131047	0.0109362	0.0177069	0.0142799	0.0114774	0.0137311	0.0150134	0.00662048	0.00535817	0.0129019	0.00944823	0.0148577	0.0149352	0.0205215	0.0212635	0.0156934	0.0145453	0.0103184	0.019002	0.0134924	0.0157197	0.017494	0.021965	0.0230938
manger	0.0551764	0.034205	0.0381964	0.0331809	0.0438681	0.0394641	0.0205625	0.00982299	0.014674	0.0205221	0.0176232	0.0230814	0.0176911	0.0270838	0.0184426	0.0214719	0.0249749	0.0321912	0.023669	0.0379182	0.0331358	0.0220773	0.029568	0.0252063	0.025192	0.0219991	0.0250307	0.0180332	0.0119321	0.00993219	0.0105332	0.00986551	0.00746381	0.00550424	0.0074494	0.00862949	0.00713837	0.00804429	0.0111957	0.00980956	0.0093903	0.0208609	0.0187656	0.0482619	0.0411612
les	0.034507	0.0129697	0.00850613	0.00454401	0.00279505	0.00225326	0.0025846	0.00201251	0.00473454	0.00796148	0.00762982	0.00950182	0.0125203	0.0223708	0.0168003	0.0200304	0.0284091	0.0458617	0.0449879	0.0471691	0.0381468	0.0341967	0.0196728	0.0277484	0.0243373	0.0309261	0.02166	0.023651	0.0271268	0.0219622	0.0202984	0.020292	0.018079	0.0204283	0.0216459	0.0320548	0.0198945	0.0263611	0.0411901	0.0276783	0.0215059	0.0373143	0.0333793	0.0369501	0.0153504
légumes	0.0385546	0.0149007	0.0133743	0.00723916	0.00415554	0.00511878	0.00483381	0.00731542	0.0238348	0.0269204	0.0341611	0.0355798	0.0343106	0.0441759	0.0243582	0.0327545	0.0315454	0.027624	0.0213027	0.0258243	0.0272232	0.0274078	0.0196187	0.0188791	0.0193729	0.027027	0.0240803	0.0210957	0.0271221	0.0267021	0.0191235	0.026358	0.0215013	0.0259599	0.0176097	0.0203065	0.0164372	0.0171996	0.0176792	0.0176075	0.0189768	0.0240155	0.0171404	0.023024	0.0206484
tsanyii	0.0814808	0.041786	0.0322837	0.0126013	0.00797136	0.00570638	0.00617683	0.00677359	0.017162	0.0195963	0.0256144	0.0466557	0.0444182	0.0675073	0.0291062	0.0329068	0.0277355	0.029969	0.017891	0.0284056	0.0159312	0.0161537	0.0184288	0.015167	0.0168451	0.029139	0.0222551	0.0167642	0.0239746	0.0121136	0.00975105	0.00851505	0.00882669	0.0148011	0.0114279	0.025869	0.0173687	0.0182002	0.0162971	0.017221	0.0180672	0.0195239	0.0159887	0.0173109	0.0123114
car	0.103797	0.0468458	0.0188121	0.0082359	0.00621648	0.00457127	0.00865015	0.00582311	0.00951887	0.0139057	0.0129403	0.0121385	0.0118597	0.0197224	0.018587	0.0206745	0.0200122	0.0249671	0.0147078	0.0220506	0.0146076	0.0121576	0.0197489	0.020958	0.0193535	0.0294299	0.0273197	0.0260217	0.0292559	0.0166114	0.0154021	0.00793995	0.00637306	0.00985795	0.00909485	0.0134959	0.00963565	0.0140435	0.0163264	0.0309152	0.0291677	0.0568908	0.0538858	0.0765645	0.0309053
ils	0.0329957	0.0253878	0.0228516	0.0170953	0.0160047	0.016585	0.0226337	0.0284473	0.0334474	0.0357948	0.0325549	0.0257434	0.0182365	0.0220706	0.022223	0.0194508	0.0177859	0.0168992	0.0107597	0.0088168	0.00680146	0.00723759	0.00857404	0.00706855	0.00743753	0.0112534	0.0137644	0.0100882	0.013459	0.0188353	0.0118772	0.0201124	0.0142344	0.0139816	0.013038	0.0253517	0.0225946	0.0233839	0.0312171	0.0551413	0.0489742	0.0497892	0.0395167	0.0499535	0.0305308
sont	0.0209382	0.0152935	0.0126048	0.00622253	0.00501834	0.00501446	0.00517555	0.00820365	0.0130933	0.0184855	0.0311066	0.0348085	0.0334393	0.0372411	0.0449441	0.0320576	0.0250422	0.0227237	0.0171859	0.0194505	0.0178357	0.0188284	0.0183678	0.0231703	0.0202831	0.0211755	0.0218026	0.0194366	0.0239312	0.022048	0.0178274	0.0228872	0.015015	0.0186779	0.0130997	0.0158809	0.0155017	0.0173919	0.0235272	0.0422926	0.0427089	0.0440678	0.0328642	0.0392984	0.0240307
acides	0.0227554	0.00980648	0.00536969	0.00390668	0.00271313	0.00395407	0.00420044	0.00497419	0.0100339	0.0154644	0.0186092	0.017766	0.0262607	0.0264947	0.0439196	0.0460561	0.0354057	0.0257107	0.0252339	0.0274465	0.0304431	0.0363708	0.0299512	0.0404626	0.0370909	0.0381149	0.0392123	0.0390918	0.0396135	0.0303343	0.0240957	0.0256016	0.0214449	0.0168755	0.0135647	0.0107645	0.0119765	0.0114361	0.0103037	0.01355	0.0173793	0.0229359	0.0192101	0.0198598	0.0242347
</S>	0.0203865	0.00814678	0.00433368	0.00273515	0.00179868	0.00360844	0.00494583	0.00475003	0.0116316	0.0175553	0.0182119	0.0114	0.0105511	0.0115345	0.0143264	0.0183426	0.0186906	0.021679	0.0141958	0.013527	0.00863036	0.0118369	0.0112457	0.0110136	0.0103104	0.0142131	0.0122943	0.0143215	0.018661	0.0233914	0.0162054	0.0297229	0.0327523	0.046298	0.0400819	0.0250909	0.0342372	0.0316837	0.0339439	0.0575683	0.0620561	0.0741442	0.0572261	0.0481236	0.0425964
