 	a66	a87	a23	a58	a4	a70	a31	a75	a98	a85	a6	a36	a37	a94	a70	a4	a53	a93	a62	a0	a31	a0	a75	a92	a5	a37	a75	a85	a6	a36	a2	a57	a87	</S>
l'	0.0374297	0.10963	0.107948	0.118162	0.0785556	0.051764	0.0249946	0.0231729	0.0138307	0.0111218	0.0102966	0.0101871	0.00933899	0.00887883	0.0113853	0.0131367	0.0168828	0.00986829	0.00882121	0.0084085	0.00628455	0.00945358	0.0243038	0.0336239	0.029905	0.0238482	0.0263169	0.0236757	0.0167841	0.0280199	0.0107859	0.0194386	0.0194838	0.044262
abondance	0.00582264	0.00945697	0.0130182	0.0128222	0.0146088	0.0225242	0.044981	0.0561609	0.0634401	0.0548372	0.040025	0.0462036	0.0461094	0.0573559	0.0463878	0.0353051	0.0422912	0.0683579	0.0272724	0.0228666	0.017452	0.0281281	0.0359706	0.0362273	0.0218191	0.0389468	0.0255595	0.0131918	0.00921209	0.0127927	0.00513725	0.00750982	0.0114927	0.0067131
de	0.0614154	0.0295344	0.0282329	0.0227273	0.0297087	0.0433869	0.0618909	0.0804252	0.0882025	0.0558304	0.0341346	0.0313683	0.0298378	0.0193757	0.0107894	0.0130757	0.0135698	0.0168742	0.0147764	0.0102464	0.00586323	0.00847712	0.0212784	0.0228701	0.0246232	0.0202976	0.0138321	0.0189204	0.0212456	0.0375977	0.0255971	0.0378578	0.0319063	0.0142306
nourriture	0.0697393	0.0300344	0.0288322	0.0206762	0.0228072	0.0247097	0.028111	0.027384	0.020419	0.0187411	0.0245225	0.0227748	0.0204879	0.0175731	0.0186212	0.0161934	0.0213003	0.0176233	0.0164765	0.0150001	0.00808352	0.0105114	0.0321521	0.0173419	0.0148356	0.0161392	0.0143455	0.0704126	0.0397938	0.0658226	0.0857324	0.0674193	0.0474124	0.0279707
m'	0.132469	0.0728128	0.0673301	0.0365853	0.0237333	0.0302849	0.0267147	0.0220635	0.0147676	0.00986353	0.0116191	0.00958773	0.0079242	0.00552299	0.00582624	0.0112171	0.0202576	0.0263541	0.0244335	0.0225415	0.00465875	0.00681597	0.0120455	0.0280778	0.0334387	0.0471828	0.0380203	0.0365233	0.0293797	0.0493667	0.0127188	0.0347254	0.0357921	0.0493452
a	0.0395336	0.0569945	0.0647053	0.0476256	0.0493833	0.0303682	0.0140986	0.0149824	0.0195514	0.0242718	0.0364488	0.040427	0.0304162	0.0324098	0.0212194	0.0405758	0.0426036	0.0405925	0.0244251	0.0214302	0.0100334	0.0109473	0.0208323	0.0234604	0.0257211	0.0268967	0.0207947	0.0205965	0.0238086	0.0249479	0.0196774	0.0269379	0.0234054	0.0298776
sauvé	0.0330492	0.0299829	0.0362708	0.0279776	0.0267212	0.0168642	0.014418	0.0193564	0.036387	0.0437881	0.0471442	0.0504278	0.0441723	0.0369913	0.0340165	0.0349089	0.0289129	0.0305875	0.0258456	0.0195476	0.00951504	0.00946817	0.0125427	0.0203623	0.0228436	0.027159	0.0243094	0.0227971	0.0322266	0.024639	0.0265666	0.0326276	0.033089	0.0644841
de	0.0355986	0.0365928	0.0407173	0.0336269	0.0344254	0.0173069	0.00967797	0.0105522	0.0170425	0.0220754	0.0218906	0.0253299	0.0184799	0.0177564	0.0227527	0.0214629	0.0263172	0.0299049	0.0225024	0.0160106	0.00966363	0.0125128	0.0215661	0.0349312	0.0403701	0.0310394	0.0310693	0.0336852	0.0466072	0.0441465	0.0488567	0.0536974	0.045635	0.066196
la	0.0310364	0.0244822	0.0229316	0.0232722	0.0218735	0.0178233	0.0130775	0.0109574	0.0127431	0.0158887	0.0105954	0.0119621	0.0146874	0.0130775	0.0142694	0.0158969	0.0176503	0.00973581	0.0103615	0.00741181	0.00686051	0.0088396	0.0108756	0.0186989	0.0344728	0.0411624	0.0509417	0.065119	0.0689728	0.0741727	0.0795226	0.0922849	0.0695137	0.0588286
disette	0.0342461	0.0347245	0.0343505	0.0302604	0.0295671	0.0231763	0.0177696	0.0158857	0.0183372	0.0255228	0.0258744	0.0308324	0.0229141	0.0208638	0.0142362	0.014133	0.0177719	0.0110146	0.00932132	0.0071119	0.00508469	0.0047928	0.0122606	0.0204009	0.0290561	0.0336343	0.0456208	0.0482609	0.0663874	0.0484216	0.0635254	0.0639746	0.0804153	0.040251
</S>	0.0348516	0.0432578	0.0478787	0.0527992	0.0584233	0.0437012	0.0307106	0.0203168	0.0174802	0.0184465	0.0163387	0.0189481	0.0154285	0.0152436	0.0135058	0.0143808	0.0174117	0.0105018	0.00967441	0.00806099	0.00595512	0.00971765	0.0156504	0.0217818	0.0281524	0.0348839	0.0436375	0.0428664	0.0522923	0.03726	0.0552995	0.0477831	0.0516051	0.0457545
