 	a66	a10	a97	a83	a99	a93	a90	a56	a75	a12	a47	a21	a12	a31	a21	a5	a18	a75	a85	a47	a36	a2	a57	a10	a97	a23	a97	a87	</S>
les	0.0715657	0.0888644	0.0864611	0.0294606	0.0291542	0.0165346	0.0156484	0.0178204	0.024419	0.0211891	0.0110124	0.00915948	0.0150808	0.0150231	0.0264015	0.0272357	0.024624	0.0377455	0.0246158	0.035754	0.0309427	0.0348669	0.0282434	0.0202413	0.0628886	0.0327112	0.0493062	0.0338564	0.0791738
fleurs	0.0187506	0.0261524	0.0321856	0.0522925	0.0745334	0.0638987	0.0961648	0.100471	0.117084	0.120708	0.068153	0.0605063	0.0342915	0.0201007	0.0130012	0.0178298	0.00843406	0.00963741	0.00979691	0.00358696	0.00266299	0.00573438	0.00150651	0.0016623	0.00928158	0.00338657	0.00416083	0.0230622	0.000963884
de	0.159196	0.118705	0.0723351	0.0367811	0.0372895	0.0342581	0.0419314	0.0209965	0.0245164	0.0325578	0.0158944	0.0153867	0.0120203	0.01363	0.0144238	0.027271	0.0158808	0.0287467	0.0235613	0.0326104	0.0193317	0.0291441	0.0171785	0.03367	0.0246661	0.0357596	0.0145416	0.0427088	0.00500747
l'	0.0701525	0.0552694	0.0382437	0.0268421	0.0233836	0.021655	0.0270304	0.0430158	0.0385478	0.0390791	0.0371577	0.0397721	0.0443564	0.0527626	0.0326265	0.0385438	0.0215396	0.0244092	0.0244232	0.0250945	0.0340754	0.027009	0.0288374	0.0216883	0.0186797	0.025656	0.0260149	0.0270545	0.0670799
arbre	0.0415965	0.028082	0.0309735	0.0232029	0.0243147	0.0275511	0.0289603	0.034664	0.0433679	0.0625406	0.0877918	0.122502	0.0964064	0.088264	0.0468218	0.0454132	0.0150575	0.0124976	0.00993518	0.014372	0.0109678	0.0174274	0.0132531	0.0110261	0.0166363	0.0119446	0.012756	0.0129217	0.00875208
okaa	0.0204149	0.0154651	0.0174618	0.00883388	0.0128524	0.0152914	0.0226689	0.0183546	0.0244658	0.0252093	0.030213	0.0678242	0.0952848	0.0779195	0.0750358	0.0566023	0.0585601	0.0362075	0.0376423	0.0288212	0.0360525	0.0334632	0.043653	0.035371	0.0380435	0.0189328	0.0252616	0.00984388	0.01425
annoncent	0.021235	0.0232506	0.0167902	0.0116725	0.0110055	0.0214426	0.0301807	0.0304551	0.0393769	0.0518653	0.059559	0.0794199	0.0826007	0.0852388	0.0425363	0.0349669	0.0298947	0.0282117	0.0334331	0.0269697	0.0244089	0.0292847	0.0336024	0.0353503	0.0361698	0.0196557	0.0292144	0.0144797	0.017729
la	0.0251852	0.0236589	0.0128651	0.00656026	0.00643111	0.0104968	0.017907	0.015555	0.0298074	0.0318495	0.0420642	0.0505671	0.0646544	0.0562565	0.0431379	0.0403197	0.0384316	0.0387955	0.0374196	0.0323624	0.0363053	0.0471216	0.0532151	0.0470783	0.0604735	0.0285686	0.0394051	0.0248748	0.0386326
grande	0.0151442	0.0120748	0.00823795	0.00322173	0.00321563	0.00449214	0.00826049	0.0133488	0.0299874	0.0412202	0.0557846	0.052592	0.0597403	0.0549158	0.0383559	0.0322067	0.0308311	0.0380136	0.0345654	0.0293966	0.0419855	0.0662183	0.0507212	0.0571234	0.071962	0.0416356	0.0495089	0.0345189	0.0207208
saison	0.0412201	0.0360976	0.0238245	0.00820449	0.00805507	0.0111383	0.0155434	0.0223125	0.0340245	0.0265674	0.0313298	0.028734	0.0368689	0.0318503	0.029812	0.0314602	0.0311451	0.0378314	0.0370892	0.0281178	0.0412852	0.0593247	0.0534661	0.0476207	0.0742934	0.0348237	0.0530359	0.0309489	0.0539752
des	0.0718402	0.0516777	0.0384485	0.0117598	0.00931443	0.0169312	0.0183444	0.0152379	0.0226498	0.0205045	0.0269094	0.0320949	0.0323949	0.0396435	0.0472611	0.0521707	0.0453021	0.0305659	0.0314874	0.0398673	0.0324499	0.0391391	0.0477276	0.0395999	0.0388942	0.0373522	0.0314013	0.0244954	0.0545346
pluies	0.0403699	0.0228009	0.0196395	0.00938058	0.00730328	0.00891121	0.00919995	0.00970379	0.0208022	0.0317289	0.0452072	0.0652456	0.0826707	0.0957977	0.0598452	0.0550506	0.0354373	0.0303148	0.023657	0.028521	0.0279857	0.0375655	0.0366332	0.0316099	0.037595	0.0312829	0.029714	0.0234839	0.0425424
</S>	0.058566	0.0456043	0.0536265	0.017903	0.0120639	0.0178168	0.01621	0.0211616	0.0284153	0.0280121	0.0448984	0.048897	0.0428101	0.0388182	0.0377901	0.0471765	0.0337835	0.0289842	0.0250945	0.0297502	0.0217801	0.0317771	0.0351618	0.0297039	0.0370523	0.0410369	0.0413343	0.0379452	0.0468263
