 	a87	a23	a87	a23	a87	a99	a83	a54	a6	a85	a47	a79	a20	a44	a53	a93	a96	a61	a75	a43	a0	a61	a21	a61	a21	a85	a36	a26	a57	a87	a23	a87	</S>
cet	0.0332625	0.0370196	0.0268971	0.0261077	0.010584	0.0294961	0.0304455	0.0964787	0.104922	0.191882	0.0338878	0.0402151	0.0156881	0.0136524	0.0228309	0.0157759	0.0150629	0.0124459	0.0114054	0.0124201	0.0193464	0.0144166	0.00980367	0.0136646	0.0150929	0.0176513	0.0126468	0.0144729	0.0146181	0.0164387	0.0193927	0.0145116	0.0374632
enfant	0.00189546	0.00375501	0.0031962	0.00830189	0.0212	0.0351503	0.0988889	0.20197	0.164624	0.107999	0.0891541	0.0783189	0.031438	0.0288221	0.0343759	0.0253278	0.0164929	0.0113739	0.00649609	0.00910577	0.0101187	0.00384652	0.00168102	0.00117688	0.000695437	0.000660149	0.000376057	0.000493173	0.000327145	0.000321048	0.000522788	0.00148698	0.00040765
a	0.0533001	0.0264128	0.0372953	0.0271152	0.0194148	0.0227983	0.0263568	0.0311721	0.0317155	0.0418151	0.0437419	0.0259217	0.0229755	0.0543571	0.0920357	0.0429916	0.0517638	0.0169204	0.0111849	0.00548671	0.00603207	0.00631594	0.00709343	0.0131194	0.0134755	0.013769	0.0223847	0.0331502	0.0379445	0.0438328	0.0466721	0.0437512	0.0276839
tué	0.0242934	0.0144194	0.0167754	0.00943319	0.00716326	0.00530367	0.00657632	0.00673567	0.00725056	0.0079016	0.017219	0.0337484	0.085888	0.0608534	0.0758137	0.0571983	0.0712289	0.0430593	0.0441822	0.0470953	0.0524378	0.0406283	0.0364352	0.0271983	0.0243989	0.023433	0.0189386	0.0256669	0.0200531	0.0214448	0.0163213	0.020713	0.0301918
un	0.0332812	0.026868	0.0300756	0.0332252	0.0263521	0.0224557	0.0166784	0.0109787	0.0053669	0.00332607	0.00220424	0.00773537	0.0123796	0.00647309	0.0115103	0.0215642	0.0617633	0.0694882	0.0871628	0.127855	0.125165	0.0527351	0.039042	0.0239686	0.0299383	0.0232776	0.0200873	0.0175613	0.0102476	0.010898	0.00913698	0.00928367	0.011914
oiseau	0.0316006	0.0229323	0.027446	0.0344726	0.0364785	0.0395416	0.0337637	0.0343002	0.0170052	0.0117121	0.00551993	0.00935518	0.00996018	0.00473594	0.0108295	0.0178311	0.0625676	0.0583021	0.0583067	0.0728077	0.0911658	0.0436039	0.0465123	0.029484	0.0346424	0.0286885	0.0327749	0.0189323	0.0161207	0.0178596	0.0204863	0.00978953	0.0104712
à	0.0984372	0.0519017	0.0586148	0.051104	0.0227536	0.0313645	0.0196339	0.0288415	0.0104305	0.0104935	0.00426022	0.00313186	0.00642119	0.00641923	0.00240127	0.00282259	0.00320434	0.00249426	0.00453602	0.00476638	0.00981229	0.0139507	0.0249707	0.0334954	0.0531502	0.0497288	0.0748278	0.0372398	0.0504172	0.0720541	0.0679969	0.0310793	0.0572443
l'	0.0705666	0.045458	0.0451461	0.0373541	0.0215601	0.0244467	0.0228428	0.0179953	0.00934402	0.0102143	0.00980381	0.0120388	0.0145828	0.00957769	0.0137427	0.00872753	0.0213583	0.0142111	0.0143248	0.0130407	0.0183123	0.0222412	0.0343359	0.0308818	0.0437776	0.0444576	0.0613787	0.0559071	0.0569211	0.0438908	0.0560883	0.0514272	0.0440441
aide	0.0347217	0.0349081	0.030026	0.0340996	0.0249166	0.0317833	0.0348176	0.0391238	0.020388	0.0195863	0.011685	0.012879	0.0104617	0.00734891	0.00715356	0.00422582	0.0124406	0.0124385	0.015702	0.0246677	0.0296048	0.031775	0.0294679	0.0253082	0.0351135	0.0492416	0.074198	0.0538134	0.0557374	0.0458949	0.0648993	0.0471795	0.0343928
d'	0.0415119	0.027059	0.021883	0.0233956	0.00874206	0.0158441	0.0121228	0.0287137	0.0174811	0.0301069	0.00778391	0.0191881	0.0144483	0.00733585	0.00911769	0.00681083	0.00540505	0.00563753	0.00476144	0.00479823	0.0134027	0.0175253	0.025352	0.0369139	0.0338165	0.0545406	0.0673846	0.0512026	0.080043	0.0947868	0.0876491	0.07156	0.0536759
un	0.0687791	0.0523771	0.0422388	0.0490886	0.0166514	0.0234352	0.0202622	0.017331	0.00772162	0.0138869	0.0158012	0.0364037	0.0314391	0.0144047	0.0396016	0.0308694	0.023312	0.0162259	0.0153945	0.0140062	0.0234754	0.0222153	0.0228104	0.0274284	0.0295338	0.037427	0.0442158	0.0285942	0.0482222	0.0494256	0.0390044	0.0462678	0.0321496
arc	0.0338882	0.0245865	0.0210016	0.0283867	0.0143338	0.0181777	0.0180345	0.0186513	0.00812154	0.0131992	0.00917436	0.0338802	0.0599347	0.0381826	0.0598688	0.0397323	0.087994	0.0421904	0.0393544	0.0499835	0.0624844	0.0207079	0.0194794	0.0178703	0.0214427	0.0197367	0.028562	0.0162063	0.0276865	0.0243841	0.0323343	0.0254278	0.0250012
</S>	0.0539843	0.0354222	0.0358879	0.0319801	0.0171465	0.0188647	0.0318146	0.0284966	0.0213326	0.029791	0.0105426	0.0264452	0.0361453	0.022785	0.0136634	0.00827299	0.0198261	0.0133269	0.0161986	0.0317596	0.071743	0.0497811	0.0525823	0.0235832	0.0274808	0.0231726	0.0245607	0.0182621	0.0294694	0.0389296	0.0359517	0.0303473	0.0704498
