 	a87	a10	a97	a3	a99	a62	a47	a62	a21	a47	a12	a31	a24	a21	a47	a21	a24	a75	a85	a79	a37	a85	a79	a98	a6	a0	a88	a71	a9	a3	a97	a40	a75	a37	a61	a62	a88	a93	a4	a57	a3	a97	a87	a97	a3	a97	</S>
la	0.0350759	0.0301397	0.047818	0.0214461	0.0199301	0.0217028	0.0342771	0.0483718	0.0534905	0.0452799	0.0480617	0.051278	0.0166138	0.0199301	0.0160441	0.00932456	0.00492273	0.00739247	0.00665434	0.00692676	0.00807286	0.00868329	0.010869	0.0111221	0.0135529	0.00961614	0.0256488	0.0219255	0.028232	0.0340447	0.0382226	0.0190324	0.0186801	0.0169567	0.0154364	0.0181695	0.0184919	0.0157366	0.0157304	0.0103952	0.011151	0.0152267	0.0158867	0.0105682	0.013168	0.0128064	0.0178936
manière	0.00134784	0.00405057	0.00303979	0.00260222	0.005012	0.00488934	0.0105283	0.0117159	0.0112543	0.0167656	0.0333116	0.0243156	0.0476556	0.0376835	0.0329123	0.117237	0.106959	0.158478	0.0492867	0.120473	0.0470434	0.0767238	0.0392754	0.0110379	0.00294382	0.00336671	0.00118308	0.00168395	0.00208694	0.00173481	0.00133597	0.00124289	0.000693167	0.000966407	0.000891384	0.00074806	0.000991803	0.00136243	0.000758659	0.000445831	0.00103409	0.000395239	0.000409269	0.000427078	0.000484693	0.000590813	0.000625114
dont	0.0452709	0.0439021	0.0294802	0.0262444	0.0164689	0.0219029	0.0289803	0.0187884	0.0190698	0.0176506	0.026993	0.0360592	0.0384297	0.0514826	0.0585008	0.0433216	0.110777	0.0821172	0.0575658	0.0413788	0.0264017	0.0186696	0.0129082	0.0122507	0.00715473	0.0144242	0.00826428	0.0111247	0.0054165	0.00384551	0.0026334	0.00317914	0.00274269	0.00272725	0.00131327	0.0031764	0.00277091	0.00298928	0.00356382	0.00416696	0.00516227	0.00587267	0.0031573	0.00391673	0.00393783	0.00884069	0.00500522
il	0.0189409	0.0174618	0.011604	0.0116026	0.00684555	0.00764684	0.00925694	0.0129898	0.0126945	0.0275227	0.0131447	0.0119417	0.00862914	0.0110438	0.00899863	0.010769	0.0289307	0.0193118	0.015792	0.0297321	0.0221811	0.0201747	0.016735	0.0248071	0.0290176	0.0456163	0.0103414	0.0278731	0.0116777	0.0203333	0.0185948	0.027577	0.0173174	0.022095	0.0145931	0.0252507	0.0209186	0.0344573	0.0230979	0.0391758	0.0467569	0.031647	0.0182698	0.0465412	0.0281673	0.0524376	0.00948608
regarde	0.0426691	0.0331856	0.0181796	0.0104836	0.0143476	0.00837545	0.0123863	0.00746856	0.00636138	0.00736581	0.0103353	0.00989987	0.00901302	0.0104974	0.00656495	0.0114131	0.0110975	0.0192622	0.0354026	0.0340147	0.0528421	0.0653862	0.0226197	0.0693066	0.0743084	0.117731	0.03605	0.0344546	0.0222567	0.0171132	0.0142081	0.0116794	0.00609572	0.00494844	0.00395785	0.00616558	0.00557501	0.00689514	0.00674281	0.00705968	0.00892175	0.00797939	0.00933648	0.0218445	0.0105715	0.0251622	0.0124646
ma	0.0404034	0.0237739	0.0306945	0.0256151	0.0268925	0.0197244	0.0258328	0.0165455	0.0217966	0.015178	0.0221856	0.0238258	0.0198204	0.0264075	0.0208142	0.020416	0.0115726	0.0222014	0.0261566	0.0172855	0.0327962	0.0323116	0.0217727	0.0334695	0.0375466	0.0421742	0.0540067	0.0522498	0.0391436	0.0277224	0.0313003	0.0173374	0.0117096	0.00941458	0.00650508	0.00604043	0.0061459	0.0050296	0.00559717	0.00467171	0.00470556	0.00442704	0.00499037	0.00876131	0.00757282	0.0166738	0.0187816
femme	0.0191021	0.0113736	0.0125925	0.0179194	0.0135107	0.0195899	0.0193878	0.0153249	0.0234858	0.0302605	0.0222358	0.0301621	0.0232518	0.0335841	0.0230216	0.0315016	0.0115054	0.0176999	0.0196661	0.01572	0.0210982	0.0194981	0.018837	0.017562	0.0294649	0.0269904	0.0255981	0.04083	0.0396039	0.0315837	0.0359617	0.0246369	0.022755	0.0225862	0.0131258	0.0134259	0.0158143	0.00807438	0.0108462	0.0103626	0.0207302	0.0132183	0.0120621	0.017969	0.0185496	0.0191386	0.0387815
montre	0.0186197	0.00792674	0.0102307	0.0153079	0.00830919	0.00855606	0.00772162	0.00661855	0.00590828	0.00645902	0.00399688	0.00426755	0.00569982	0.00488755	0.00625847	0.00278883	0.00553114	0.00439841	0.00947968	0.0072642	0.00866865	0.00335071	0.00412163	0.00470216	0.00323047	0.00315017	0.00527565	0.00778525	0.00668812	0.00982283	0.0137962	0.0119397	0.0153607	0.0203216	0.0248004	0.0347351	0.0415535	0.0543844	0.0297885	0.0516157	0.0523171	0.0726245	0.0716098	0.0606829	0.0749763	0.0691403	0.0933273
qu'	0.0255261	0.0142946	0.0153251	0.0108481	0.0067684	0.00662926	0.00744041	0.00731521	0.00707104	0.00435584	0.00466393	0.00599326	0.00667715	0.00893851	0.012631	0.00638886	0.0105824	0.0108844	0.0149204	0.0123595	0.0160419	0.00777128	0.0125963	0.00925235	0.00853328	0.00809524	0.0171773	0.0182704	0.0164254	0.0199152	0.0268777	0.0134774	0.011327	0.0128828	0.0198147	0.0235778	0.0293839	0.0366424	0.0401336	0.0470181	0.044843	0.0594506	0.0483915	0.0590735	0.052357	0.0906842	0.0503726
il	0.0279564	0.0193094	0.0238058	0.0138994	0.0100356	0.0119109	0.0131472	0.0108301	0.0116183	0.00697484	0.00825908	0.0170469	0.0117345	0.0193877	0.0354168	0.0223859	0.0347382	0.0299443	0.0313144	0.0291664	0.0464927	0.0280674	0.0326538	0.0244623	0.0224312	0.024754	0.0294536	0.0293049	0.0262955	0.0209963	0.0184685	0.0114376	0.00947006	0.00913631	0.010218	0.00908945	0.0105391	0.0106499	0.0247171	0.0190235	0.0237167	0.0207847	0.0154641	0.0308443	0.0232892	0.0572179	0.0221403
a	0.0292476	0.0141184	0.0110834	0.0136126	0.00748715	0.00615519	0.00624527	0.00678326	0.00697944	0.00450047	0.00799878	0.0192184	0.0112783	0.020138	0.0204761	0.0204354	0.0223375	0.0162203	0.019272	0.0179152	0.0233456	0.020136	0.0158778	0.0165158	0.0170594	0.0163157	0.0280034	0.0219518	0.0260203	0.020859	0.0195813	0.00910883	0.00837034	0.00956984	0.0110502	0.0112009	0.0147921	0.0175206	0.0439425	0.0291165	0.0366016	0.0414943	0.029351	0.0447812	0.0434301	0.0765452	0.0659558
un	0.0305196	0.0213778	0.0129291	0.0149837	0.0111846	0.00892708	0.00958715	0.0132106	0.0134734	0.00910917	0.0143024	0.0172375	0.0187697	0.0159383	0.0190756	0.0147611	0.0145467	0.0109955	0.0177196	0.0158016	0.0205779	0.0217004	0.0190654	0.0236175	0.022832	0.0252791	0.0432786	0.0313209	0.0344598	0.0298257	0.0234738	0.0160898	0.0115209	0.0164689	0.0211175	0.0218881	0.0238881	0.0218458	0.0294538	0.0234534	0.0217914	0.0243074	0.0230665	0.0313166	0.0272168	0.0518671	0.0348266
problème	0.0251055	0.0213511	0.0164381	0.0165291	0.0144105	0.0146795	0.016984	0.0182972	0.0229532	0.0169395	0.0231924	0.0228098	0.0277458	0.0200076	0.0245709	0.0189936	0.0187479	0.0160369	0.0221657	0.0202806	0.0225214	0.022971	0.0237388	0.0270004	0.0265816	0.0261358	0.0265451	0.0263217	0.0215439	0.0188725	0.0167552	0.0145988	0.0135686	0.0195472	0.0228606	0.0242216	0.0241274	0.0176039	0.0196642	0.021385	0.0160747	0.0206452	0.0184512	0.0235719	0.0180463	0.030759	0.0376481
</S>	0.0256761	0.0180434	0.0168555	0.013207	0.0122945	0.0108996	0.0128861	0.0132661	0.0134193	0.00978142	0.00988253	0.00932929	0.00637696	0.00681153	0.00886323	0.00700326	0.00530723	0.00801476	0.00725042	0.00631542	0.00618339	0.00588433	0.00609524	0.0089138	0.0115877	0.013916	0.0246832	0.0216494	0.021957	0.0238744	0.0225688	0.0245565	0.0310786	0.0328199	0.0319131	0.0353912	0.0386479	0.039038	0.0410579	0.03118	0.0329469	0.0441291	0.041554	0.0380262	0.0361015	0.0414896	0.0712728
