 	a30	a10	a87	a10	a87	a10	a38	a18	a38	a54	a47	a6	a11	a75	a66	a11	a90	a9	a38	a75	a61	a75	a25	a79	a37	a83	a12	a18	a25	a87	a23	a99	a62	a21	a85	a44	a38	a11	a70	a13	a38	a11	a93	a13	a34	a66	a24	a62	a75	a25	a92	a75	a85	a5	a62	a83	a9	a38	a54	a36	a57	a87	a23	a87	</S>
cette	0.0164183	0.010694	0.0119224	0.011927	0.0209004	0.0162759	0.0245357	0.0209667	0.0140152	0.0131419	0.00884638	0.0116153	0.0101863	0.00906178	0.00789221	0.00675391	0.0140378	0.00875404	0.0118312	0.0158827	0.0164207	0.00935264	0.0134845	0.018143	0.0188938	0.0194524	0.0230106	0.0221121	0.025717	0.034422	0.0245138	0.0245976	0.0236871	0.0178778	0.0176725	0.0201801	0.0380619	0.0421838	0.0357212	0.0423816	0.042384	0.0253243	0.0194899	0.0179051	0.0101079	0.0127246	0.0113983	0.0137281	0.00524306	0.00825059	0.0051473	0.00427974	0.00378482	0.0031223	0.003067	0.00275611	0.00201234	0.00314794	0.00252973	0.00260464	0.00517533	0.00594683	0.00768232	0.00958135	0.0190608
robe	0.0021726	0.00476542	0.00407194	0.00955998	0.0183066	0.0306921	0.0641168	0.135784	0.102365	0.111409	0.0888983	0.0663829	0.0152923	0.02824	0.0176728	0.0257571	0.0426862	0.0354983	0.0165344	0.0133519	0.0124953	0.0278693	0.0230023	0.0136761	0.00907582	0.00870487	0.00373054	0.00530001	0.00485821	0.00295386	0.00340111	0.00980863	0.00548531	0.00362267	0.00212149	0.00228256	0.0017467	0.00129421	0.000865783	0.001626	0.00282197	0.00172531	0.00156756	0.00122999	0.00146063	0.000779585	0.000997243	0.00103636	0.00122961	0.0012084	0.000692004	0.00100766	0.00040169	0.000359105	0.000250959	0.000310389	0.000201155	0.000867216	0.000395384	0.000269278	0.000593629	0.00049677	0.000498622	0.00082495	0.0012963
de	0.0175149	0.030238	0.0189883	0.0265022	0.0223476	0.0265609	0.0205659	0.0265495	0.0194814	0.026932	0.024574	0.0128034	0.00939141	0.00991462	0.0111129	0.0105571	0.0104226	0.01806	0.0293764	0.0267055	0.0172607	0.0208436	0.0230769	0.0114255	0.0169676	0.0299415	0.0201725	0.0276241	0.0177948	0.0174063	0.0244771	0.0169148	0.0150908	0.0198	0.0171938	0.0292246	0.0132775	0.0129323	0.0113468	0.0120611	0.0171579	0.0279402	0.02608	0.0105792	0.0112576	0.00962605	0.0047859	0.00276082	0.00356983	0.00681897	0.00590809	0.00642877	0.00630944	0.00305128	0.00312571	0.00335476	0.0026827	0.00560592	0.00390513	0.00628121	0.0126981	0.0111171	0.0121146	0.0160736	0.00733606
raphia	0.0201848	0.0187903	0.0169186	0.0188126	0.0161894	0.0193861	0.0189169	0.0258435	0.00991157	0.016867	0.0204837	0.0257653	0.0261206	0.0223594	0.0302056	0.02423	0.0278683	0.0236956	0.0254102	0.0166226	0.019002	0.0150067	0.0114354	0.0143014	0.0178163	0.0179093	0.0114679	0.013505	0.00927936	0.0040279	0.00523293	0.00705601	0.0124925	0.0168719	0.0275231	0.0095361	0.0115446	0.0145002	0.00883186	0.0175597	0.0219368	0.0392116	0.0408104	0.0266189	0.0237411	0.0237541	0.0169587	0.0176917	0.0144859	0.0134732	0.0107161	0.00687433	0.00490804	0.00469489	0.00292912	0.0036528	0.0023336	0.00276305	0.00411751	0.00595655	0.00344498	0.00470386	0.00364223	0.004961	0.00613752
est	0.0211629	0.0143949	0.00762242	0.00601414	0.00480062	0.00489425	0.00601841	0.00644927	0.00690035	0.00913011	0.0115411	0.0117368	0.0156721	0.0123965	0.0119032	0.0125174	0.0130053	0.0112199	0.0164758	0.0128038	0.018561	0.0178477	0.0182742	0.0228597	0.0289984	0.024765	0.0305371	0.0325294	0.0256105	0.0215212	0.0183992	0.0265951	0.028423	0.0296012	0.0293958	0.0308087	0.0239565	0.0277414	0.0202129	0.0215131	0.017108	0.0149216	0.0144357	0.0124772	0.0110617	0.014485	0.0159619	0.0190297	0.0134898	0.0170049	0.0140184	0.0126736	0.0124535	0.0106834	0.00660202	0.00567389	0.00401886	0.00276734	0.00606724	0.00576143	0.00564413	0.00839615	0.00671407	0.00939785	0.0243424
très	0.0240323	0.0143379	0.00887387	0.00996437	0.00837886	0.00571854	0.00550882	0.00281058	0.00234232	0.00275264	0.00560581	0.00687159	0.00965341	0.00822316	0.0104068	0.0119677	0.0111778	0.0114719	0.0172911	0.0121088	0.0155426	0.0197853	0.0168859	0.0189866	0.0240183	0.0236845	0.0197484	0.035579	0.0246949	0.0187799	0.0207398	0.02016	0.0268113	0.0269086	0.0326235	0.0217749	0.0135917	0.0124162	0.0121978	0.0125254	0.017062	0.0224099	0.0257027	0.0252638	0.0224677	0.0192283	0.02143	0.0164851	0.0189552	0.0229209	0.0171333	0.0202256	0.0151806	0.0203518	0.013158	0.0147033	0.00827596	0.00823052	0.00770239	0.00754997	0.00968089	0.00867163	0.00930332	0.0107235	0.0102306
ample	0.0180478	0.00854049	0.00360163	0.00475941	0.00532947	0.00467708	0.00937615	0.00763199	0.00645266	0.0097335	0.0118047	0.0153602	0.0272169	0.0247828	0.0392197	0.0204214	0.0251983	0.022748	0.023468	0.0151267	0.0116742	0.0203098	0.0132956	0.0158594	0.0315525	0.0274963	0.0253702	0.0353918	0.0181405	0.0150408	0.0229333	0.0196671	0.0356589	0.0231749	0.0393529	0.0316268	0.0132511	0.00866667	0.00900688	0.0119078	0.00912035	0.02789	0.0431022	0.0237556	0.0196156	0.0155234	0.0124121	0.0102253	0.00783881	0.0112964	0.00864697	0.00785534	0.00965087	0.00530101	0.00294537	0.00457741	0.00392659	0.00636876	0.00217318	0.00592923	0.00555209	0.00517023	0.00612836	0.00907195	0.0030484
c'	0.0180386	0.011833	0.00338886	0.00477517	0.004188	0.00635716	0.00409	0.0037021	0.00452254	0.00205819	0.00207583	0.00271325	0.00327351	0.00187411	0.00575241	0.00662008	0.0157961	0.0113777	0.0208723	0.021202	0.0217763	0.0292438	0.0324202	0.0421933	0.040981	0.0397571	0.028674	0.0527769	0.0308361	0.0255744	0.0375805	0.0394816	0.0313792	0.0193721	0.0258837	0.0178369	0.0137668	0.0128662	0.00841267	0.016982	0.00875426	0.0122689	0.0118461	0.00866006	0.00713181	0.00779099	0.00521777	0.0046882	0.00442329	0.00674342	0.00872048	0.00914213	0.011401	0.0193215	0.0138559	0.0182035	0.0187347	0.017225	0.0128567	0.0170331	0.0110698	0.0105427	0.0122447	0.0121443	0.00767427
est	0.028147	0.0216941	0.0128515	0.0107135	0.00586189	0.00683933	0.00467638	0.00378604	0.00365636	0.00246276	0.00276171	0.00303545	0.00320178	0.00350201	0.00412693	0.00578032	0.0103467	0.00769398	0.0289905	0.035191	0.030392	0.034878	0.0373472	0.0277124	0.0347844	0.031127	0.0325775	0.042628	0.0312619	0.0321819	0.040833	0.0441689	0.0364274	0.0347084	0.0277946	0.0306229	0.0240933	0.0212078	0.0169424	0.0204521	0.0205376	0.0190361	0.0111539	0.00670778	0.00427644	0.00636056	0.00411952	0.0029359	0.00366636	0.00377901	0.00426926	0.00386235	0.00376149	0.00435686	0.00253106	0.00273295	0.0024073	0.00286528	0.0045935	0.00494702	0.00708477	0.00757807	0.00727426	0.00952119	0.012181
pourquoi	0.0295969	0.0267648	0.0190541	0.0234183	0.0156869	0.014639	0.0120427	0.00970367	0.00919225	0.0068936	0.0114501	0.00989125	0.011804	0.0114358	0.0123498	0.0143864	0.017635	0.0178818	0.0221906	0.0161268	0.017319	0.0219491	0.0206414	0.0256245	0.0304261	0.026293	0.0220544	0.026081	0.0197425	0.0186904	0.0195534	0.0247643	0.0229363	0.0217539	0.0240963	0.0168493	0.0157459	0.0136197	0.0110429	0.0111021	0.012167	0.0150102	0.0125509	0.0102006	0.0102157	0.0111289	0.0108426	0.00893815	0.0127789	0.0148476	0.0122348	0.012411	0.00824932	0.0122954	0.00626931	0.00813786	0.00622752	0.00813276	0.00982937	0.00915462	0.0131325	0.0114438	0.0108657	0.0162583	0.0142476
