 	a10	a87	a23	a87	a23	a87	a10	a87	a23	a54	a36	a7	a84	a54	a6	a61	a75	a6	a37	a75	a92	a25	a98	a92	a47	a93	a62	a34	a21	a47	a75	a85	a92	a93	a13	a9	a53	a93	a70	a75	a25	a90	a4	a93	a13	a93	a13	a9	a10	a82	a10	a87	a10	a87	a23	a87	</S>
le	0.0133148	0.0107482	0.0119122	0.00983615	0.0106069	0.0107226	0.0127256	0.0138385	0.015138	0.035218	0.0314371	0.0385301	0.0548102	0.054465	0.0497202	0.0246025	0.0159577	0.00858275	0.0136077	0.014906	0.0127926	0.0185868	0.0333082	0.0368252	0.0222527	0.0330356	0.0382228	0.0220475	0.0233471	0.0137365	0.00961738	0.00879424	0.0114931	0.0103861	0.0104025	0.00768422	0.00855947	0.0141224	0.0124785	0.0151565	0.0144696	0.00965297	0.0138721	0.00727082	0.0109704	0.00885583	0.0133373	0.00956943	0.0119528	0.011083	0.00790193	0.00926689	0.00798807	0.0141862	0.00847684	0.00738083	0.0202353
père	0.00174545	0.00440388	0.00579513	0.00569272	0.00310801	0.00288337	0.00425904	0.00592206	0.00596398	0.0223374	0.032416	0.065806	0.0955899	0.0871041	0.0682416	0.0848417	0.12759	0.0419272	0.0273816	0.0316132	0.00737167	0.00888299	0.00163817	0.0039519	0.00351627	0.00708086	0.00558667	0.0171188	0.017777	0.0250956	0.0201786	0.0105925	0.0137289	0.0143811	0.0237835	0.023621	0.00892709	0.0105046	0.0136558	0.0101276	0.0071871	0.00549894	0.00404122	0.0025703	0.00147087	0.000681249	0.000747052	0.000572351	0.000631647	0.000318889	0.000347658	0.00041797	0.000466177	0.000718383	0.000416124	0.000616132	0.00115556
a	0.0098824	0.00628197	0.00982197	0.00957882	0.0098484	0.0149212	0.0163715	0.0218047	0.0248683	0.0194242	0.0167446	0.0225563	0.0366641	0.0401277	0.0911777	0.0874186	0.052571	0.119615	0.0851259	0.0453485	0.0158401	0.0201759	0.00616973	0.00618077	0.00689133	0.0117061	0.00521851	0.0109585	0.0204858	0.021942	0.0114582	0.0189102	0.016664	0.0041755	0.00943572	0.00643791	0.00862288	0.00891791	0.00634172	0.00457769	0.00306359	0.00396374	0.00479754	0.00143647	0.00227816	0.00175621	0.00246237	0.00145734	0.00166889	0.00176435	0.00149224	0.00109971	0.00175134	0.00174439	0.00294333	0.00372651	0.00133064
blâmé	0.00800553	0.00525396	0.00357413	0.00452491	0.00295245	0.0039007	0.00419493	0.0053641	0.003196	0.00713503	0.015701	0.0428871	0.0324627	0.037482	0.0194704	0.0197211	0.0396912	0.0440304	0.0677508	0.0341925	0.050579	0.0437906	0.0205809	0.020135	0.0176222	0.0261626	0.0176961	0.0168338	0.0179293	0.0164645	0.020012	0.0179828	0.0203277	0.0297679	0.0426001	0.028645	0.0174302	0.0144502	0.0249606	0.0160696	0.017891	0.0210724	0.0194001	0.00791673	0.00331631	0.00252428	0.00535435	0.00231585	0.0031064	0.00381609	0.00536671	0.00426928	0.0039985	0.00384354	0.00440067	0.00414381	0.00573315
sa	0.0135024	0.00785487	0.00889499	0.00610759	0.00759325	0.00732348	0.00662753	0.00715117	0.00532729	0.005558	0.00599739	0.0127453	0.01365	0.0126291	0.0234352	0.029677	0.0520108	0.120373	0.108356	0.0582505	0.038891	0.0414787	0.0357069	0.0269537	0.0149234	0.0179694	0.0253003	0.0245164	0.0278724	0.022949	0.0265219	0.021873	0.0204875	0.0140614	0.0148113	0.00642428	0.0134413	0.00837837	0.0103952	0.0129971	0.00723785	0.0149195	0.00602286	0.00189206	0.000871346	0.000801283	0.00195212	0.000823712	0.00123884	0.00186491	0.00292687	0.00283801	0.00329432	0.00250543	0.00351986	0.00337022	0.00490261
fille	0.00729583	0.00205217	0.0017803	0.00218599	0.00194575	0.00260292	0.00241844	0.00348868	0.00235151	0.00272449	0.00350372	0.00484971	0.00464572	0.00525321	0.00805395	0.010499	0.0302634	0.0580854	0.0487629	0.0249725	0.0307922	0.023405	0.0346118	0.0282179	0.0360429	0.0634665	0.0609306	0.0750441	0.0717989	0.0693247	0.0543648	0.0435819	0.027236	0.0254784	0.0209442	0.0117696	0.0180397	0.00947427	0.00961183	0.00599082	0.00609172	0.00861421	0.00844053	0.00200732	0.00237313	0.00161921	0.00139299	0.000886925	0.00119084	0.00116267	0.0014301	0.00155036	0.0016561	0.00204652	0.00498366	0.00367722	0.00301479
qui	0.00860365	0.00416404	0.00270986	0.00225684	0.0022069	0.00290254	0.00329544	0.00603274	0.00654763	0.00296352	0.00206225	0.00225836	0.00187256	0.00196728	0.00448206	0.00946127	0.0184203	0.0291296	0.0373144	0.0128426	0.0299218	0.0341984	0.0293268	0.0527724	0.0446525	0.0566571	0.0582468	0.0636944	0.0712445	0.0569122	0.0555243	0.040265	0.0317522	0.025258	0.01824	0.00976215	0.0256438	0.0135792	0.0100349	0.00633666	0.00453008	0.00756729	0.00746613	0.0024145	0.00413477	0.00319917	0.00404723	0.00278663	0.00434483	0.00560613	0.00846394	0.00877031	0.00885324	0.00882668	0.0093723	0.00685687	0.00724297
a	0.0180438	0.010512	0.00663901	0.0062692	0.00625637	0.00538969	0.00476717	0.0063528	0.0059199	0.0058929	0.0040914	0.00427384	0.00325361	0.00294497	0.00355608	0.00490105	0.00612464	0.00695197	0.0115905	0.00982456	0.0154031	0.0124456	0.011375	0.0312252	0.0146678	0.0388922	0.0568324	0.0393591	0.0609799	0.0525955	0.0445414	0.0299937	0.0342207	0.027908	0.0156347	0.0115885	0.0377435	0.0218116	0.0176103	0.0136337	0.0096152	0.0140967	0.022431	0.00554775	0.00636716	0.00886281	0.00966407	0.00531843	0.0126849	0.0156935	0.0280141	0.0287618	0.0244089	0.0200491	0.026584	0.0219839	0.0178991
porté	0.0156835	0.0112192	0.00525408	0.00577918	0.00570756	0.00365089	0.00468939	0.00419817	0.00387359	0.00166672	0.00123665	0.00100292	0.000740081	0.000862001	0.000987882	0.00192088	0.00699545	0.00535548	0.00821917	0.00467329	0.0134597	0.0117722	0.0119973	0.025308	0.00986149	0.0406504	0.0551097	0.039122	0.0537699	0.0517251	0.0452569	0.0312411	0.0262188	0.0449837	0.0191037	0.02243	0.0446039	0.0205741	0.0144337	0.0127073	0.00798182	0.0108763	0.0145651	0.0054399	0.00744324	0.0110647	0.00986513	0.00667199	0.0173078	0.0114996	0.0278174	0.0233266	0.0319492	0.0407501	0.0311394	0.0246917	0.0295649
une	0.0215268	0.0134228	0.00876412	0.0106087	0.00906674	0.00746345	0.0107419	0.0107278	0.0105981	0.00488964	0.00267637	0.00224751	0.00157023	0.00139635	0.00296305	0.0045033	0.00950302	0.0162198	0.0180777	0.00781672	0.0137867	0.0169237	0.0216234	0.0230559	0.0154846	0.0264301	0.0307663	0.0239638	0.0258405	0.027651	0.024877	0.0188713	0.0159551	0.0267558	0.0127389	0.0138452	0.0228934	0.0172164	0.0141483	0.0136565	0.00874156	0.0105727	0.0172125	0.004265	0.0060214	0.00910556	0.0108213	0.00972018	0.0209445	0.0152671	0.0367597	0.0285947	0.0508864	0.0556806	0.0434356	0.0382312	0.0524722
