 	a66	a87	a23	a99	a50	a31	a88	a62	a96	a93	a4	a94	a75	a92	a36	a75	a85	a47	a36	a54	a47	a7	a37	a56	a44	a18	a62	a56	a34	a56	a15	a20	a44	a54	a5	a56	a34	a79	a44	a4	a70	a71	a38	a70	a83	a71	a9	a3	a97	a87	a97	a87	a97	a87	a97	a23	a99	a97	</S>
je	0.0252289	0.0352541	0.0134663	0.0100832	0.00737643	0.00652316	0.0153534	0.0252111	0.024278	0.0208893	0.0185993	0.017797	0.0241359	0.0215024	0.0193735	0.0155037	0.0170135	0.0169519	0.0177854	0.0123169	0.0151334	0.0161109	0.0212296	0.0207753	0.024075	0.0342006	0.0277878	0.0150049	0.0308638	0.0200207	0.0238187	0.0177281	0.0164472	0.016325	0.0275709	0.0186979	0.0251148	0.0404733	0.0257359	0.0318938	0.0187931	0.0145341	0.00688785	0.0104137	0.00323662	0.00670386	0.00595165	0.00813353	0.00719547	0.00887766	0.0105095	0.0107259	0.00953579	0.007068	0.00647049	0.00608687	0.00887847	0.00617593	0.0101702
l'	0.0236265	0.0101966	0.0149209	0.00856875	0.0152464	0.0286131	0.0244198	0.022456	0.0459786	0.0261762	0.0265114	0.0215346	0.0244509	0.0405699	0.0369121	0.0256807	0.0332696	0.0305679	0.0387562	0.0272173	0.029729	0.0234934	0.0175937	0.0167198	0.0107783	0.00775864	0.0192042	0.0118806	0.018337	0.0135917	0.017614	0.00786059	0.0100482	0.0106696	0.0106852	0.00823834	0.00984906	0.00484658	0.00765477	0.0123299	0.00612818	0.00727844	0.00793192	0.0104433	0.0111023	0.0107125	0.0083102	0.00702027	0.00887674	0.00833934	0.00912661	0.00890644	0.0109367	0.0121922	0.0124245	0.0125363	0.0119357	0.01907	0.0221726
ai	0.0251637	0.00502261	0.00558357	0.00385351	0.00352523	0.00580535	0.00376514	0.00382573	0.00486396	0.00567952	0.0101003	0.0094946	0.0133692	0.0240785	0.0220961	0.0223455	0.040668	0.0399976	0.0326301	0.0279938	0.0188918	0.0168362	0.0211001	0.0376099	0.0120152	0.0194845	0.0491908	0.0663001	0.0595206	0.016621	0.0183368	0.010769	0.0115059	0.00816387	0.0136328	0.0118939	0.00773433	0.00327687	0.00473243	0.0045952	0.0054628	0.0106896	0.00734232	0.012476	0.0108017	0.0113588	0.00573565	0.00832711	0.00528361	0.00486046	0.00573897	0.00632812	0.0133112	0.0119113	0.0158106	0.0267604	0.0184097	0.0447237	0.0525947
perdu	0.027122	0.0186296	0.0103556	0.0141713	0.00922523	0.00426097	0.0031142	0.00280229	0.00335676	0.00342927	0.00300592	0.0063063	0.00829727	0.00456733	0.00587896	0.0102345	0.00806983	0.0123246	0.0104323	0.01341	0.0104146	0.0127947	0.0170436	0.0088521	0.00831462	0.00906497	0.0260146	0.00944529	0.0296272	0.0130246	0.0281581	0.0281357	0.0300901	0.0236323	0.0247987	0.0202091	0.0539812	0.0506011	0.0623712	0.0430797	0.0400835	0.0419839	0.0245352	0.0229451	0.0112657	0.0154793	0.0176051	0.0168868	0.02046	0.016325	0.0130067	0.0162219	0.00706023	0.0113463	0.00728188	0.00568043	0.00785661	0.00658659	0.00874188
de	0.0420765	0.0341311	0.030219	0.0318859	0.0212405	0.0146966	0.0104041	0.00764564	0.00519229	0.0036503	0.0038246	0.00772501	0.00405486	0.00421419	0.00650184	0.00994624	0.0143997	0.0229864	0.0351282	0.0175954	0.0490466	0.0376244	0.0272969	0.0274236	0.0261627	0.0273887	0.0308831	0.0204442	0.0224244	0.0123811	0.0419369	0.0263398	0.0453636	0.0232227	0.0176778	0.0279845	0.0230229	0.013397	0.0123953	0.00810103	0.00616437	0.0142448	0.0103509	0.0123316	0.00776544	0.0111351	0.00781014	0.00501404	0.00787865	0.0039264	0.00435653	0.00702913	0.0046558	0.0056047	0.0067897	0.00766472	0.00789147	0.0113169	0.0100339
vue	0.0170414	0.0162334	0.0112952	0.0117269	0.0119259	0.0118359	0.0127959	0.011467	0.00775644	0.00780348	0.00881373	0.0128597	0.011516	0.012297	0.0137297	0.0196021	0.0168365	0.0355746	0.0381989	0.0279902	0.0641358	0.0602758	0.0440659	0.0550893	0.043099	0.054726	0.0492607	0.0483345	0.0253269	0.0155976	0.022426	0.026718	0.0285456	0.0186287	0.011359	0.021203	0.0133742	0.0104789	0.0106689	0.00474166	0.00181374	0.00241454	0.00310783	0.00367014	0.0023808	0.00381148	0.00296424	0.00287885	0.00312919	0.00236322	0.00199762	0.00403428	0.00268185	0.00193158	0.00247067	0.00360687	0.00307926	0.00445535	0.00185304
quand	0.0175843	0.00925034	0.00729977	0.0051099	0.0055814	0.00718769	0.0068512	0.00620741	0.00608604	0.00605088	0.00947945	0.0104979	0.00996976	0.010976	0.0140977	0.0176753	0.0271519	0.0651773	0.0407603	0.0337841	0.0558913	0.0380934	0.0372736	0.0390505	0.019112	0.0225498	0.0367583	0.0256206	0.026454	0.023806	0.0247907	0.0230064	0.0179182	0.0145525	0.00751238	0.0221906	0.0120014	0.0137374	0.0154233	0.0138312	0.00778117	0.0102603	0.0100409	0.010185	0.00465968	0.0101691	0.0118919	0.0108147	0.00953065	0.00850645	0.00749247	0.0121905	0.0119199	0.010102	0.0104809	0.0129257	0.0117515	0.0135353	0.00940938
il	0.0232069	0.0140298	0.00833065	0.00705726	0.00709594	0.00672787	0.00299512	0.00314745	0.00228393	0.00187238	0.00343414	0.00366925	0.00433534	0.0055763	0.0050725	0.00956906	0.0100461	0.0259342	0.0138409	0.0166886	0.0205488	0.0244632	0.0257189	0.028411	0.0182297	0.0235446	0.0437449	0.0214564	0.0326467	0.0270192	0.0238748	0.029559	0.0218524	0.026614	0.019656	0.0402082	0.0314995	0.0437215	0.0426702	0.0762445	0.022259	0.023067	0.0114836	0.0132826	0.00374315	0.00887226	0.00694128	0.0069637	0.0095139	0.00516511	0.00624209	0.0123962	0.00838933	0.0100642	0.00961142	0.0132306	0.00962305	0.0134189	0.0091355
a	0.0326509	0.0206484	0.0176147	0.0108912	0.0109897	0.00631004	0.00187056	0.00149765	0.000932595	0.00106053	0.00173372	0.00185782	0.0043448	0.00409899	0.00281606	0.00643473	0.00414939	0.00765975	0.00641641	0.00772139	0.00776717	0.0132766	0.0153378	0.0160273	0.0107341	0.00988209	0.0236227	0.00969905	0.0138116	0.0112076	0.0141116	0.0144983	0.0101158	0.0163778	0.0179585	0.0250889	0.0342491	0.067697	0.0598072	0.109701	0.0325069	0.0405105	0.0214108	0.0252922	0.00412919	0.0151331	0.00788363	0.011358	0.0113319	0.00703874	0.00948714	0.0170943	0.0157554	0.017148	0.0147765	0.0217636	0.0212839	0.0266904	0.0267361
amorcé	0.0173122	0.00870958	0.0103598	0.00811598	0.00660622	0.00502132	0.00202669	0.0016646	0.00156411	0.00155705	0.00191365	0.00229883	0.0081059	0.00336648	0.00629514	0.00818201	0.00420007	0.00718104	0.00822548	0.00788752	0.00606481	0.00918624	0.012326	0.01192	0.00909258	0.00767925	0.0245292	0.00960268	0.00942522	0.00883971	0.010148	0.0147166	0.00855564	0.0142521	0.016689	0.0288466	0.043863	0.0642636	0.0694637	0.0482974	0.0367639	0.0711987	0.0332343	0.0368205	0.00892395	0.0237354	0.0142735	0.0189222	0.0214828	0.0122383	0.0146806	0.025442	0.0155674	0.0235965	0.009583	0.0160472	0.0216388	0.017203	0.030293
