 	a23	a97	a87	a99	a62	a5	a37	a61	a31	a88	a9	a38	a75	a6	a37	a92	a37	a96	a75	a5	a96	a18	a61	a31	a96	a62	a0	a21	a12	a88	a62	a88	a71	a10	a87	a10	a50	a75	a96	a62	a21	a85	a37	a61	a83	a75	a47	a44	a2	a53	a90	a69	a7	a84	a87	a23	a87	</S>
le	0.0224082	0.0234112	0.011772	0.0118255	0.0110249	0.00748583	0.0113338	0.0118055	0.0163557	0.0104039	0.0211317	0.0129688	0.0276717	0.0195938	0.00711492	0.00833598	0.00576219	0.00778211	0.00903858	0.0107323	0.015213	0.0213777	0.0191637	0.0245607	0.0244741	0.0239687	0.0195476	0.0257894	0.0204202	0.0198128	0.0342319	0.0128231	0.0203783	0.0153699	0.0130805	0.0151952	0.00837515	0.019715	0.01095	0.0186546	0.031126	0.0159134	0.0163358	0.0135909	0.0206499	0.0220018	0.0217732	0.0244924	0.0305695	0.0120866	0.0197119	0.0202856	0.0139706	0.0231597	0.0152501	0.0179798	0.0156038	0.0144389
repas	0.00285541	0.00474672	0.0126581	0.00827223	0.0166265	0.0280899	0.0119825	0.0290694	0.0273853	0.0361509	0.0628286	0.0352771	0.0614369	0.0898807	0.0509565	0.0678086	0.0801828	0.0899233	0.059482	0.0242013	0.017531	0.00979046	0.00867438	0.005967	0.00248672	0.00686913	0.00978712	0.0121318	0.0103578	0.00813506	0.0132798	0.0142443	0.0112018	0.0106473	0.0114622	0.0137618	0.00861583	0.00836486	0.00234126	0.0026209	0.000636073	0.000472158	0.000766567	0.00061958	0.000324394	0.000555894	0.000414395	0.000360083	0.000318784	0.00106625	0.000344818	0.00034728	0.000650746	0.000514868	0.000528172	0.00109499	0.00221953	0.000680039
que	0.0414539	0.0223106	0.0196485	0.0249249	0.0241594	0.0279222	0.0264225	0.0278338	0.0323	0.0254306	0.0203446	0.0195565	0.031356	0.0293622	0.0312815	0.0338073	0.0377928	0.0418695	0.0377636	0.0434046	0.0473259	0.0314174	0.022355	0.0251266	0.0181372	0.023126	0.021961	0.0238488	0.0273662	0.016081	0.0255988	0.01615	0.0136145	0.010606	0.00583584	0.00695898	0.00375865	0.0048082	0.00608727	0.0032212	0.00176872	0.00297162	0.00231121	0.00354601	0.00153316	0.00153415	0.00195009	0.00232058	0.00123257	0.00443979	0.00189182	0.00211	0.00517003	0.00319763	0.00289883	0.00260134	0.00416839	0.00202472
tu	0.0372018	0.0252502	0.0138238	0.00992653	0.00780273	0.00899761	0.0134492	0.00846494	0.013736	0.0167332	0.0147306	0.0158187	0.0124509	0.0112604	0.0225709	0.0166866	0.0165897	0.0163725	0.0162196	0.0188004	0.018941	0.0178262	0.0163023	0.0346783	0.0274445	0.0287329	0.0184706	0.0212083	0.0185696	0.0221539	0.0202765	0.0187075	0.0165107	0.0151238	0.0138137	0.0215852	0.0176567	0.0276613	0.0166946	0.0208729	0.0157881	0.0183222	0.0373079	0.0114726	0.0242699	0.0148489	0.0164243	0.00987591	0.0059873	0.00553138	0.00836752	0.00594172	0.00988115	0.00837572	0.0233297	0.0160871	0.0176206	0.0204509
m'	0.0326141	0.0238265	0.0150289	0.0135599	0.0125524	0.0100933	0.0125813	0.00579968	0.00717058	0.00666723	0.0053429	0.00451711	0.00355197	0.00338884	0.0119884	0.0144039	0.0155575	0.0199617	0.0210119	0.0206746	0.0181069	0.0164728	0.017309	0.0308538	0.0234505	0.0286072	0.016258	0.0182672	0.0184268	0.0216328	0.0202532	0.02183	0.0187325	0.0201565	0.0218321	0.0341556	0.0285083	0.0389515	0.0303599	0.0312893	0.0239419	0.0159807	0.0316228	0.0146789	0.0234623	0.019497	0.0229915	0.0102615	0.00548531	0.00462241	0.00772531	0.00719171	0.0117547	0.0127054	0.0141166	0.0119467	0.00746578	0.0188028
as	0.016041	0.00651649	0.00561567	0.00787347	0.00718528	0.00756492	0.00812274	0.00896106	0.00782231	0.00534558	0.00509669	0.00646745	0.00586934	0.00700018	0.0153182	0.0115142	0.012426	0.0113207	0.0144143	0.0154576	0.0135099	0.0181812	0.0111714	0.0267469	0.02098	0.015177	0.0103684	0.00606522	0.00762298	0.00564087	0.00506959	0.00804025	0.00817459	0.00624092	0.00871056	0.0102211	0.0093092	0.00975617	0.0167328	0.0230532	0.0241334	0.0341116	0.040073	0.0317501	0.0280948	0.0354118	0.0345706	0.0354717	0.0229895	0.0133889	0.0323683	0.0225594	0.0349898	0.0327472	0.0610986	0.0238868	0.0235114	0.0421378
donné	0.00792628	0.00520925	0.00396271	0.00364948	0.00439696	0.00530948	0.00546795	0.00777832	0.00687721	0.00471579	0.00718302	0.00896008	0.0110866	0.0105031	0.0195274	0.0125601	0.0147824	0.0111958	0.0150861	0.0180577	0.0128369	0.0193753	0.0106318	0.0305691	0.0148343	0.0164784	0.00922948	0.00655216	0.00625906	0.00658022	0.00507103	0.00532897	0.00649156	0.00449471	0.00388894	0.00308599	0.00273005	0.00299415	0.00674223	0.00798993	0.0138161	0.0295832	0.038053	0.0222928	0.0141443	0.0476269	0.0303911	0.0392221	0.042781	0.0302806	0.0676682	0.0346056	0.0369204	0.0290955	0.0360818	0.0250936	0.0471301	0.0488137
est	0.00747819	0.00483454	0.00389512	0.00367912	0.00487336	0.00380121	0.00409915	0.00551445	0.00409477	0.00502069	0.00351301	0.00732316	0.0064242	0.00688804	0.0146606	0.0122387	0.012645	0.0109644	0.0137215	0.0194413	0.0148573	0.0176696	0.00964259	0.0189414	0.0113461	0.0114483	0.00664314	0.00568445	0.00620857	0.00576316	0.00336438	0.00541748	0.00624488	0.00362187	0.00469078	0.00364677	0.00460861	0.00280497	0.00891412	0.00898597	0.0127461	0.0178585	0.0218477	0.0190635	0.0135511	0.0219025	0.0232635	0.0238254	0.0327518	0.0298419	0.069647	0.0621088	0.0530038	0.052068	0.0620837	0.0343132	0.0741388	0.0603699
pourri	0.00942193	0.00764215	0.00656631	0.00724792	0.00880365	0.00783493	0.00779643	0.00690376	0.00527953	0.00650135	0.00340112	0.00656257	0.00632848	0.00827068	0.015624	0.0175763	0.0222054	0.0253545	0.0293644	0.0335288	0.0322762	0.0276459	0.0182956	0.0231563	0.0216935	0.0185061	0.0158543	0.00947094	0.0141547	0.00924981	0.00785373	0.00899033	0.00979475	0.00860266	0.00737117	0.00600124	0.00680384	0.00628165	0.00809577	0.00832367	0.0105133	0.0108358	0.0085111	0.0103286	0.00865639	0.0089877	0.0134884	0.0130504	0.0188525	0.016179	0.0290616	0.0354216	0.0372815	0.0474824	0.0787771	0.029155	0.0402052	0.0725762
car	0.0162459	0.013492	0.00627542	0.0039646	0.00283057	0.00253719	0.00337332	0.00287567	0.00332781	0.00497299	0.00490472	0.00647916	0.00532182	0.00951871	0.0178615	0.0234421	0.0215187	0.0286914	0.0313079	0.0368647	0.0475527	0.0485835	0.0388931	0.0390425	0.034258	0.0373654	0.0306475	0.028641	0.0362729	0.0231497	0.026956	0.0212208	0.0258427	0.0181882	0.0143379	0.0114192	0.0147144	0.0133387	0.0138724	0.0139653	0.0134107	0.00701485	0.00681484	0.00506835	0.007542	0.00913733	0.0121599	0.0156884	0.0126126	0.0105704	0.0147693	0.0133671	0.0177946	0.0170236	0.0116814	0.0115698	0.0189147	0.0107922
