 	a10	a87	a23	a50	a62	a34	a75	a85	a73	a37	a56	a96	a70	a83	a9	a38	a13	a99	a38	a70	a44	a98	a47	a7	a84	a40	a85	a5	a18	a62	a88	a61	a47	a34	a98	a44	a57	a4	a70	a83	a13	a99	a97	a87	a23	a87	</S>
le	0.0680489	0.0552217	0.0389535	0.0376872	0.0528197	0.0537881	0.0328809	0.13132	0.0312665	0.0242205	0.0192416	0.0116396	0.0110126	0.00678458	0.00832561	0.0106834	0.00826445	0.00730334	0.0100566	0.0106384	0.011795	0.0119131	0.0124397	0.0139612	0.0111137	0.00957319	0.0109633	0.00831885	0.00650891	0.00808639	0.00674777	0.0126883	0.0120104	0.0139795	0.0142648	0.0198145	0.01147	0.0115654	0.0110849	0.0187823	0.0234764	0.0274163	0.0167288	0.0161973	0.0161388	0.0114685	0.021336
lingala	0.00199114	0.00793778	0.0174676	0.0147259	0.0452341	0.0745134	0.100111	0.0791484	0.0416431	0.0403752	0.0315378	0.0273197	0.0248867	0.0458508	0.0501678	0.0537759	0.0470239	0.0415122	0.0244901	0.0286113	0.0207586	0.0251697	0.0313958	0.0240007	0.0196192	0.00901711	0.00722821	0.0110959	0.00517046	0.00612406	0.00398098	0.00445124	0.00212315	0.00314504	0.00374536	0.00513067	0.00418446	0.00242492	0.00161227	0.00289819	0.00126786	0.000471572	0.00120477	0.000828097	0.000851723	0.00131119	0.00246513
et	0.0295126	0.0256411	0.0170239	0.0113555	0.0159459	0.0215922	0.0299751	0.0198685	0.0236812	0.0165583	0.0164579	0.0157924	0.0184597	0.0201243	0.0253115	0.0425003	0.0322273	0.0390988	0.0294872	0.0310573	0.025756	0.036144	0.0483323	0.0663091	0.0600932	0.0609405	0.052201	0.0305917	0.0141378	0.00896606	0.00638101	0.010716	0.0113648	0.0072996	0.00515423	0.00487904	0.00261231	0.00269365	0.00303103	0.00469253	0.00499999	0.0111253	0.00301508	0.00726086	0.00687014	0.00778704	0.0149745
le	0.0212147	0.0236446	0.0193347	0.0205283	0.0403915	0.0267863	0.0313605	0.0155752	0.020366	0.0231103	0.0451843	0.0395857	0.0301495	0.0578032	0.0291085	0.0416872	0.0324978	0.0356698	0.0381754	0.0274754	0.0373684	0.0368109	0.0226587	0.0206967	0.0137312	0.00967773	0.0106446	0.0114892	0.012796	0.0137078	0.0141005	0.0130529	0.0143685	0.00952438	0.00389639	0.00641616	0.00345902	0.00465686	0.00631748	0.0134253	0.0143591	0.0156947	0.00737043	0.0163813	0.0170037	0.0221076	0.00863537
munukutuba	0.0114465	0.0110676	0.014184	0.0126067	0.0220907	0.0124864	0.019561	0.0224632	0.0257566	0.0314625	0.0451983	0.0345929	0.0535931	0.0505233	0.0302641	0.0438981	0.0467573	0.0245579	0.0723255	0.0401389	0.0369641	0.0370402	0.0382359	0.0264146	0.0246171	0.0258217	0.0225018	0.0168844	0.0204125	0.0203916	0.019055	0.0182184	0.0181319	0.0104387	0.00913356	0.00502238	0.00263889	0.00210002	0.00164985	0.00189744	0.00187808	0.00421047	0.00168868	0.00222811	0.00197255	0.00259076	0.00288642
sont	0.0205724	0.0101005	0.0119227	0.00713332	0.00974424	0.00734028	0.00648743	0.00729838	0.0140183	0.0169249	0.0332141	0.0333774	0.0533882	0.04593	0.0418338	0.0427154	0.0321224	0.0292391	0.0438525	0.028567	0.0253599	0.0318961	0.0263513	0.018188	0.0207883	0.0221215	0.0199459	0.0114466	0.0141058	0.0177177	0.00949125	0.0178958	0.0225136	0.011294	0.0129566	0.0140219	0.0131509	0.0121563	0.0138006	0.0137482	0.0211789	0.0412547	0.0145661	0.0262842	0.0241205	0.0133318	0.0145314
deux	0.0320337	0.0167784	0.0239617	0.0179566	0.0199835	0.01454	0.0150203	0.0124302	0.0255408	0.0265029	0.0519914	0.0391822	0.0434993	0.0222134	0.0196622	0.0228139	0.0173166	0.0132481	0.0235101	0.0132001	0.0135055	0.0199013	0.0153708	0.0147404	0.0147539	0.0123045	0.0144742	0.0109375	0.00974349	0.0149891	0.0107558	0.0230214	0.0231915	0.0221075	0.0235782	0.0228245	0.0206418	0.018051	0.0200448	0.0203569	0.0375855	0.0377197	0.0265711	0.0283533	0.024967	0.0153536	0.0127707
langues	0.0114011	0.00774161	0.0120895	0.010649	0.0143101	0.0150571	0.0245329	0.0318458	0.0447155	0.0420252	0.0676017	0.0713954	0.0507515	0.0385442	0.0212615	0.0250481	0.0174976	0.0131963	0.0245181	0.0143421	0.0145923	0.0224328	0.0208261	0.0184008	0.0164681	0.0135237	0.0152242	0.00945472	0.008913	0.0135033	0.0116419	0.0237605	0.0238332	0.0245061	0.0183589	0.0139455	0.0111614	0.0124581	0.0132958	0.018383	0.0317941	0.020514	0.0175199	0.0130254	0.013923	0.00592309	0.0140926
du	0.0417456	0.0195927	0.0198862	0.0148116	0.0136689	0.0162217	0.0195656	0.0204464	0.0212219	0.0252641	0.0285614	0.0261069	0.0398045	0.0282101	0.0202586	0.0244335	0.0175857	0.0145401	0.0161836	0.00955635	0.00868607	0.0117696	0.0116827	0.0148388	0.0115018	0.0106704	0.0117729	0.0116902	0.0108769	0.0121838	0.00690728	0.014102	0.0106933	0.0189943	0.0240829	0.0290055	0.0223783	0.0236708	0.0243263	0.0324182	0.0483343	0.0674199	0.02951	0.0277385	0.033582	0.0133169	0.0201806
congo	0.0106701	0.00861451	0.0101054	0.00890608	0.0113282	0.0132163	0.0171795	0.0337104	0.0534237	0.0495436	0.060067	0.0616231	0.0631006	0.0400127	0.0423557	0.0313563	0.0311139	0.0203175	0.0233593	0.0144024	0.0134414	0.0180676	0.0178715	0.0223629	0.018948	0.0173798	0.0200271	0.0181235	0.0218996	0.014492	0.0218148	0.0171827	0.0185407	0.0149521	0.0122428	0.00767348	0.00660869	0.00841922	0.00609752	0.00785032	0.0100805	0.0168026	0.00854279	0.0113761	0.0119213	0.00929049	0.0235843
