 	a66	a87	a23	a99	a54	a98	a6	a92	a98	a79	a90	a98	a85	a5	a75	a25	a15	a69	a54	a47	a6	a36	a54	a47	a36	a2	a57	a87	a23	a99	a97	</S>
le	0.0422729	0.0538367	0.0522954	0.0562649	0.0820881	0.0960285	0.0784085	0.0545193	0.0727419	0.0548951	0.0412608	0.0199156	0.0133169	0.0120376	0.00733908	0.017182	0.0224698	0.0146698	0.011252	0.0260635	0.017383	0.0231059	0.00937889	0.00932439	0.0108164	0.0081786	0.0111748	0.0075821	0.00751211	0.0104961	0.0105009	0.0456882
chien	0.00249935	0.00870504	0.0195157	0.0219049	0.0497841	0.0676391	0.140845	0.0767778	0.140725	0.170259	0.0848445	0.0926584	0.0551754	0.0233415	0.0124475	0.00939168	0.00561382	0.00385997	0.00885343	0.00115656	0.000430065	0.000394476	0.000290372	0.000408228	0.00023179	0.000208834	0.000194641	0.000237181	0.000595447	0.000178437	0.000466857	0.000366066
et	0.0517141	0.0369547	0.0410788	0.0371316	0.0339945	0.0396045	0.0474413	0.0709808	0.0707798	0.0875344	0.0984576	0.0877413	0.0910307	0.04611	0.0255779	0.0208493	0.0122397	0.0114383	0.0194496	0.00636877	0.00222488	0.00354276	0.0012716	0.00135163	0.00309153	0.00402765	0.0033465	0.00402486	0.0117376	0.00616158	0.0134099	0.00933189
le	0.0302091	0.0264924	0.0230905	0.0177796	0.0437495	0.047367	0.0371773	0.0446639	0.0271768	0.0318251	0.0352945	0.0357899	0.0414306	0.0409478	0.0238755	0.0194436	0.0159686	0.0232854	0.0198604	0.0241386	0.0286761	0.0330712	0.0400937	0.0302345	0.020073	0.0281613	0.023583	0.0367991	0.0354416	0.0338973	0.0331074	0.0472959
chat	0.0589248	0.0382912	0.0378789	0.0268058	0.0521765	0.0560432	0.0267723	0.0345221	0.0222404	0.0223947	0.0241736	0.0542882	0.0473447	0.05691	0.0457141	0.0352755	0.0196003	0.0233362	0.0195156	0.0156602	0.0165191	0.0239324	0.0171644	0.0246432	0.0237464	0.0130693	0.0264737	0.0204237	0.0264817	0.025853	0.0193841	0.0444407
ne	0.0624041	0.0379556	0.0331513	0.0303843	0.0287876	0.0309416	0.0278052	0.0387129	0.0315923	0.0296531	0.0624454	0.0349812	0.0156238	0.0129339	0.00639903	0.0115342	0.0126115	0.0122923	0.0155781	0.0225824	0.0324556	0.0487466	0.0253833	0.0188303	0.0193565	0.01846	0.0256353	0.0207172	0.0329246	0.0674653	0.0302009	0.101454
s'	0.0423906	0.0366347	0.0346902	0.0313597	0.0240212	0.0245935	0.0210231	0.0340406	0.0434352	0.0338819	0.0317341	0.0202434	0.0214794	0.0254594	0.0210509	0.0386049	0.0398031	0.0450315	0.0434203	0.0286581	0.03782	0.0322372	0.0386458	0.0185629	0.0227287	0.0262285	0.0218025	0.0166471	0.016993	0.0397606	0.0241623	0.0628553
entendent	0.0421683	0.0375079	0.0349189	0.0310484	0.026774	0.030212	0.022469	0.0267032	0.0336953	0.0248222	0.0242174	0.027657	0.0184541	0.0260711	0.0250062	0.0485651	0.067532	0.0795213	0.0584342	0.0314704	0.0302605	0.0260644	0.0219922	0.0176693	0.0212354	0.0285952	0.0213125	0.0179671	0.0162439	0.0316477	0.0190773	0.0306866
pas	0.0593081	0.0385499	0.0331625	0.0226091	0.0181012	0.014696	0.0102962	0.0111309	0.010362	0.00883878	0.0240662	0.0263732	0.0200116	0.0206045	0.0158217	0.0152845	0.0096264	0.00898604	0.00738248	0.0106143	0.0156394	0.0305738	0.021306	0.01864	0.0277011	0.0290586	0.0744367	0.0343554	0.0326985	0.0973027	0.0596748	0.172788
=	0.0598783	0.0393384	0.0282525	0.0190291	0.0121952	0.0092223	0.00609649	0.00739252	0.00708553	0.00751326	0.0193168	0.0206748	0.0165951	0.0175041	0.0164079	0.0190254	0.0125714	0.0117893	0.0103579	0.0130068	0.0189353	0.0235996	0.0197834	0.0153293	0.0265999	0.0174387	0.0611622	0.029693	0.0283551	0.103447	0.0847573	0.217646
-bondima	0.055966	0.0417317	0.0285929	0.0229132	0.0136207	0.0122302	0.00863959	0.011761	0.0100271	0.0125108	0.0207943	0.0183281	0.0140957	0.0141016	0.0144042	0.0176262	0.018065	0.0176062	0.0239677	0.0242748	0.0186011	0.0301721	0.0271826	0.0142681	0.0335841	0.0458735	0.0489407	0.0442093	0.0571149	0.0972778	0.0907408	0.0907779
</S>	0.0787648	0.0571382	0.0441748	0.0360647	0.0281962	0.0322076	0.020406	0.0185508	0.0129833	0.0120426	0.0133985	0.00964325	0.00568144	0.00556158	0.0053096	0.0129179	0.0138112	0.0158446	0.0196255	0.025931	0.0191814	0.029731	0.0228702	0.014138	0.0426417	0.0508347	0.0527082	0.0449993	0.0517711	0.065268	0.0629737	0.0746293
