 	a66	a87	a23	a40	a36	a6	a36	a61	a88	a71	a9	a87	a23	a40	a7	a20	a54	a36	a6	a37	a70	a4	a13	a53	a15	a36	a2	a38	a12	a61	a12	a18	a53	a69	a44	a96	a88	a71	a9	a87	a23	a99	a50	a88	a71	a53	a4	a57	a82	a87	a23	a87	</S>
de	0.036253	0.0261724	0.0225172	0.0211604	0.0405006	0.0395807	0.0491759	0.0521858	0.058423	0.0528543	0.0265801	0.0266191	0.0292306	0.0249903	0.0246092	0.0210697	0.015864	0.0149369	0.0247923	0.0105996	0.00949999	0.00882822	0.0125013	0.0117167	0.0101222	0.00904945	0.00821621	0.0128378	0.014305	0.0145928	0.0123008	0.0109899	0.0181317	0.0179617	0.0259945	0.0231923	0.0182546	0.012559	0.00663056	0.00781101	0.0078887	0.00658601	0.00548018	0.0063151	0.00502444	0.00556001	0.00672914	0.0089101	0.00667995	0.0105669	0.0136036	0.00990627	0.0231388
nos	0.0172045	0.0207434	0.0330538	0.0373859	0.033598	0.032842	0.0420748	0.0268521	0.0270314	0.0186457	0.0197379	0.0218798	0.0185644	0.0381528	0.0153357	0.0442653	0.0385039	0.0298785	0.0405833	0.0374856	0.0273133	0.0300919	0.0365528	0.0321302	0.0192048	0.0179051	0.00713153	0.0123214	0.0130418	0.0103151	0.00905445	0.00715571	0.0071863	0.00835455	0.00601641	0.00541081	0.00622754	0.00589422	0.00586885	0.0051489	0.00669474	0.00710344	0.0114717	0.00800786	0.00671999	0.00729912	0.0100256	0.0109432	0.00977358	0.0100269	0.0149148	0.014286	0.0165885
jours	0.0262142	0.020375	0.0192227	0.0262385	0.0544039	0.0666359	0.0470906	0.0812683	0.0354068	0.0233106	0.0292008	0.0135365	0.0124496	0.020331	0.0125764	0.0140244	0.0196009	0.018283	0.0334579	0.0319125	0.0376291	0.0181568	0.0253958	0.0353088	0.019594	0.0238963	0.0252936	0.0238595	0.0173892	0.0179163	0.0188877	0.0138316	0.00663736	0.00758845	0.00499416	0.00446376	0.00774201	0.00553341	0.00455036	0.00311537	0.00309196	0.00249342	0.00145081	0.00259999	0.00514919	0.00808821	0.0104158	0.00744213	0.00843275	0.00766821	0.00603706	0.00684113	0.00296602
les	0.0318054	0.0150618	0.0120894	0.00699639	0.00754086	0.0193326	0.00708948	0.00428593	0.0108558	0.00818111	0.00494924	0.00491252	0.00447632	0.00313083	0.00604443	0.00276323	0.00546513	0.00948524	0.00900563	0.0172727	0.0192141	0.0178056	0.0174841	0.0140522	0.0200808	0.0230085	0.0324724	0.0323229	0.0577664	0.0528792	0.0998883	0.0447751	0.0300309	0.0343444	0.0172482	0.0174302	0.0347114	0.0321257	0.0126021	0.0106683	0.0164674	0.0143425	0.0138121	0.0086734	0.0110536	0.0122384	0.0143669	0.0203658	0.0172196	0.0182158	0.0156585	0.016092	0.00983907
garçons	0.0129781	0.00852419	0.0107134	0.00706856	0.00808073	0.00938081	0.00554257	0.00501203	0.00969943	0.0124109	0.0155174	0.0183857	0.0173031	0.0107925	0.0276281	0.0102399	0.0198099	0.0367975	0.0287984	0.0571241	0.0648113	0.0654782	0.0574862	0.0293674	0.0319588	0.04121	0.0433204	0.0280957	0.0336083	0.021664	0.0242719	0.0166501	0.0195225	0.0199332	0.0107744	0.0104893	0.0144474	0.0192268	0.0118489	0.008406	0.0139024	0.00734985	0.00949871	0.00265478	0.00322283	0.00341623	0.00383282	0.00657975	0.00716008	0.0087343	0.00636388	0.0147253	0.00818116
et	0.0360122	0.0234329	0.0173326	0.0101618	0.00857911	0.00808504	0.00589183	0.00528552	0.00703948	0.00946837	0.0161009	0.016084	0.0128544	0.0164538	0.0258074	0.0167184	0.0204945	0.0263211	0.0257431	0.0499559	0.0453324	0.0356318	0.0340084	0.0355215	0.0357364	0.0347734	0.0390321	0.0251352	0.0304456	0.0186223	0.0155835	0.0126504	0.0135327	0.0127523	0.0127384	0.0147738	0.0278593	0.0232806	0.0189111	0.0149068	0.0157029	0.00870888	0.0135632	0.0047204	0.00494796	0.00490563	0.00522452	0.0100744	0.0120579	0.0158743	0.00967771	0.0240862	0.0114055
les	0.0333115	0.0180453	0.00947897	0.0055632	0.00233614	0.00219608	0.00246809	0.00437122	0.00886432	0.00983868	0.0139572	0.0185051	0.0183095	0.0170392	0.0262142	0.0295223	0.0315403	0.032529	0.028912	0.0407257	0.0320608	0.0306468	0.027187	0.027282	0.0338136	0.0282677	0.0267195	0.0277117	0.0376985	0.0292703	0.0207847	0.0173206	0.00953467	0.010086	0.00909173	0.0106291	0.0131262	0.0152777	0.0103095	0.00872253	0.0152768	0.0133217	0.0185073	0.00730885	0.0111506	0.00931976	0.0100153	0.0137539	0.0227472	0.0235452	0.0159537	0.035139	0.0246922
filles	0.0181116	0.0180759	0.0130289	0.00563832	0.00262055	0.00218366	0.0034083	0.00419205	0.0067852	0.00426049	0.00389702	0.00519714	0.00656777	0.00736316	0.0169706	0.0172428	0.0201756	0.0170942	0.0297557	0.0353426	0.0231353	0.0294105	0.0453132	0.0350909	0.0488757	0.0645816	0.0591391	0.0532678	0.0856754	0.035458	0.0224092	0.0128325	0.00946023	0.0098509	0.00698354	0.012557	0.0126878	0.0120622	0.00822588	0.00618998	0.013888	0.0119288	0.0167642	0.00701552	0.0097236	0.0138878	0.00976784	0.0156142	0.0142066	0.0142198	0.013116	0.0138172	0.0149321
étudient	0.0234119	0.0178433	0.00868188	0.00287316	0.000972516	0.000935131	0.00129302	0.00184083	0.00242767	0.00392501	0.00811296	0.0133437	0.0111536	0.00940925	0.0270731	0.0186719	0.0327801	0.0385684	0.0336498	0.0413049	0.0276356	0.0426135	0.0406014	0.0162767	0.0167101	0.0198169	0.0134412	0.0234693	0.0232086	0.0208392	0.0119993	0.00847104	0.00904571	0.0133422	0.0119098	0.0145268	0.0146344	0.0145248	0.0073145	0.00683831	0.0197588	0.0165925	0.0249378	0.0110243	0.0132275	0.01583	0.0158093	0.0303665	0.0263638	0.0386261	0.041653	0.0476732	0.0426457
dans	0.0321214	0.0107813	0.004636	0.0022724	0.000842378	0.000862668	0.000884162	0.00118117	0.00233748	0.00311825	0.0110415	0.0170703	0.016531	0.0145063	0.0244597	0.0133122	0.0289471	0.0354087	0.0274544	0.0459689	0.0493094	0.0459319	0.0326452	0.0145206	0.0125338	0.0187039	0.00635339	0.0172911	0.0188934	0.0166337	0.0129263	0.0101441	0.0116127	0.0129978	0.0163686	0.0195824	0.0314876	0.035837	0.0235674	0.0181017	0.0442198	0.0215782	0.0238208	0.00978084	0.0105445	0.0073092	0.00756473	0.0189178	0.015163	0.025351	0.0214911	0.0394277	0.035652
