 	a23	a87	a23	a54	a30	a14	a66	a38	a26	a35	a76	a35	a66	a35	a94	a20	a30	a35	a66	a38	a54	a73	a44	a13	a38	a20	a7	a57	a87	a23	a87	</S>
ils	0.0633442	0.0525383	0.133607	0.0786245	0.0577525	0.0367992	0.0241719	0.0186754	0.0221107	0.0228536	0.0266198	0.0286314	0.0312953	0.016724	0.0146587	0.0168483	0.00918139	0.00804736	0.00671645	0.00630348	0.0046267	0.00810936	0.0118763	0.0170098	0.0338105	0.0262066	0.0287711	0.0301179	0.0411684	0.0421927	0.0285563	0.0520512
ont	0.00624733	0.00451036	0.00416966	0.00494804	0.00765352	0.0152066	0.0232983	0.027005	0.0424477	0.0330996	0.0379648	0.0436793	0.0501764	0.0531269	0.0401269	0.0311345	0.0206846	0.0323335	0.0231109	0.0269103	0.0228097	0.0278861	0.0438964	0.0451343	0.0585316	0.0336719	0.0415547	0.0377781	0.0473275	0.0358127	0.049884	0.0278788
beaucoup	0.00548239	0.00578687	0.0034426	0.00680432	0.00551583	0.00901966	0.018898	0.0492785	0.0584042	0.0477792	0.0298247	0.0185873	0.0235675	0.0151748	0.0339047	0.0351986	0.0417205	0.0110689	0.016367	0.00862905	0.00855712	0.0201524	0.0268006	0.027833	0.0370794	0.077359	0.0438038	0.0725591	0.0459407	0.0498235	0.101976	0.0436603
d'	0.037525	0.0390779	0.0259056	0.0206851	0.0145637	0.0162127	0.0180827	0.0133239	0.0132375	0.02531	0.0225753	0.0439687	0.0665781	0.0613098	0.0762815	0.0660484	0.0691408	0.038994	0.0315338	0.0602787	0.0557081	0.0513081	0.0432889	0.0311265	0.0152547	0.008531	0.0059093	0.00585571	0.00567474	0.0058789	0.00405893	0.00677198
amitié	0.0648108	0.0612138	0.0543095	0.045702	0.0273678	0.041316	0.046536	0.0477219	0.0236314	0.0351393	0.0249417	0.032182	0.0293909	0.0326577	0.0350648	0.0313047	0.0302718	0.0205864	0.018332	0.0218686	0.0232931	0.0221651	0.0279144	0.0226861	0.0259518	0.0154541	0.0156575	0.0148259	0.0200427	0.0202117	0.0256979	0.0417504
l'	0.0790792	0.06356	0.0604083	0.0586154	0.0483626	0.0500827	0.062731	0.0673723	0.0515051	0.0399823	0.0350613	0.0429695	0.0183788	0.00496775	0.00445471	0.00399179	0.00557379	0.00505827	0.0049662	0.00864422	0.0103119	0.0127799	0.0137533	0.0139304	0.00837256	0.0125855	0.0243244	0.0271043	0.0500472	0.038623	0.0320327	0.0403694
un	0.088854	0.0952372	0.0690581	0.0636316	0.0467694	0.048839	0.0564254	0.0426295	0.0320685	0.023188	0.0149489	0.0239854	0.0154947	0.00706534	0.00705762	0.00638466	0.00563223	0.00841356	0.00723476	0.0128652	0.0108761	0.0169523	0.0250664	0.0198182	0.0183037	0.0269583	0.0317348	0.0328145	0.0334634	0.0350338	0.0397413	0.0334541
pour	0.0828928	0.0957174	0.105791	0.0677578	0.0385058	0.0350428	0.0314436	0.0312061	0.0230262	0.0169598	0.0179451	0.0194846	0.0132301	0.0070322	0.00767493	0.00768496	0.0114227	0.016338	0.0159992	0.0184394	0.0153694	0.0188816	0.0247769	0.0190428	0.0230602	0.0238386	0.0299256	0.029033	0.0361436	0.033765	0.0404413	0.0421278
l'	0.0617537	0.0390731	0.0608335	0.0408256	0.0208943	0.0118806	0.00993498	0.00949091	0.0075447	0.00666585	0.00752891	0.00709153	0.00656847	0.00414974	0.00300234	0.00300088	0.00276638	0.00342783	0.00264747	0.00324768	0.00326669	0.00476361	0.0114092	0.0106479	0.0288702	0.0485529	0.0630309	0.076954	0.105535	0.0885258	0.0876599	0.158455
autre	0.0924923	0.0671995	0.0667533	0.0475155	0.0375173	0.0356158	0.0420259	0.0477295	0.033125	0.0293702	0.0179577	0.028933	0.0152578	0.0154966	0.0112472	0.010174	0.0120896	0.0115877	0.0094908	0.0069013	0.0120046	0.0159165	0.0263376	0.0186404	0.0353455	0.022849	0.0199685	0.022728	0.0390302	0.0396676	0.058413	0.0506188
</S>	0.0576161	0.0437719	0.0377426	0.0257782	0.0217214	0.0215675	0.0374682	0.0558995	0.0498147	0.061639	0.0496083	0.0411146	0.024757	0.018098	0.0189626	0.0273459	0.0270656	0.016218	0.0133724	0.0116141	0.0140239	0.013627	0.0209545	0.0165018	0.0261891	0.0241196	0.0341214	0.0378945	0.0433914	0.0349118	0.0313418	0.0417473
