 	a87	a23	a87	a23	a87	a23	a54	a5	a66	a53	a4	a53	a79	a98	a73	a44	a38	a66	a90	a98	a47	a44	a26	a38	a62	a21	a5	a27	a10	a24	a83	a75	a85	a44	a98	a47	a6	a37	a61	a83	a25	a38	a75	a6	a37	a36	a2	a57	a97	a87	a23	a87	a23	a87	</S>
ces	0.0289708	0.0376591	0.0299472	0.0456586	0.0536437	0.0255977	0.0282032	0.027232	0.0342285	0.0170147	0.0342672	0.0722884	0.0341295	0.0526156	0.0324273	0.0294479	0.0175127	0.0242874	0.0276254	0.0244923	0.0244722	0.018995	0.0153563	0.0235301	0.0293244	0.0193287	0.0149718	0.0160162	0.0094452	0.00489785	0.00529279	0.00637818	0.00435518	0.00482263	0.00615809	0.00446231	0.00428078	0.00450056	0.0077807	0.00954793	0.0105966	0.00511661	0.00338984	0.00422273	0.00609666	0.00410476	0.0057443	0.00427901	0.00392919	0.00460535	0.00397957	0.00540959	0.00761529	0.00580638	0.013938
gens	0.00121478	0.0015342	0.00184391	0.00387604	0.00454233	0.00444156	0.0077711	0.01152	0.0242019	0.0401703	0.0352311	0.08917	0.0579728	0.0656903	0.0640904	0.0571943	0.0419994	0.0275225	0.0358092	0.0439704	0.0532342	0.0465588	0.0407825	0.0365064	0.0293538	0.032992	0.0199173	0.0267077	0.0148791	0.0109057	0.0106714	0.0133475	0.0060035	0.00453863	0.0064439	0.00461838	0.00200611	0.00112599	0.00154613	0.00155354	0.00149872	0.00125337	0.00171618	0.00190222	0.00102363	0.00120875	0.00088063	0.000806365	0.00111579	0.00120638	0.000955138	0.000878827	0.000738637	0.000924838	0.000431296
sont	0.0175848	0.017275	0.00826273	0.0175061	0.0183725	0.0155969	0.0301606	0.030816	0.0302612	0.01781	0.0235539	0.0294976	0.0269364	0.0256149	0.0188547	0.0210565	0.0223996	0.0181578	0.0121744	0.0144112	0.0175791	0.0350778	0.0320588	0.0408448	0.0371085	0.0400728	0.0291485	0.0399728	0.0274347	0.0352343	0.0316251	0.0301742	0.0140151	0.0130348	0.0155745	0.0128345	0.0116218	0.0104238	0.0122259	0.00938485	0.00605002	0.004604	0.0042419	0.00610795	0.00332232	0.00301063	0.00378025	0.00473156	0.00502038	0.00713009	0.00780003	0.00812476	0.0118357	0.00946803	0.00302279
en	0.00834864	0.00645169	0.0052273	0.00382782	0.00316795	0.00294718	0.00296278	0.00235788	0.00461869	0.00236119	0.00317721	0.00371205	0.00388492	0.00674093	0.00661593	0.0163551	0.0095167	0.0158582	0.0203659	0.0144485	0.0353897	0.0172236	0.0438765	0.0420054	0.0439415	0.0420436	0.0307387	0.0389276	0.0252561	0.0216613	0.026781	0.0152392	0.0130495	0.00787956	0.00742487	0.00721124	0.00608508	0.00526361	0.00553136	0.0103438	0.00779001	0.0170457	0.0161685	0.0121995	0.018993	0.0280755	0.0431785	0.0294938	0.0473529	0.022084	0.0284421	0.0408296	0.021785	0.0531172	0.0246247
train	0.0167546	0.0160287	0.0127956	0.0178768	0.0189208	0.0199979	0.016405	0.0206562	0.0180095	0.00687758	0.00907116	0.00803664	0.00908575	0.0165624	0.0103231	0.00755775	0.0103098	0.0120039	0.0129955	0.0154158	0.0122733	0.0166691	0.0282545	0.0306166	0.0340531	0.0404164	0.0337513	0.018911	0.0203589	0.0274407	0.0285053	0.0313801	0.0540494	0.0433791	0.0382235	0.039828	0.02772	0.0187953	0.0195238	0.0271909	0.0103757	0.00980979	0.00765152	0.00618627	0.00728269	0.00860642	0.00845673	0.00749628	0.00912656	0.00658271	0.0118607	0.0114661	0.0106961	0.011485	0.00589288
de	0.0312263	0.0165955	0.0133061	0.0107898	0.0159914	0.0142777	0.0127654	0.0189059	0.0209601	0.00592224	0.00789779	0.00663996	0.00715351	0.0184798	0.00875713	0.0306247	0.0124377	0.0250864	0.0297994	0.0223815	0.0395752	0.0542995	0.0404075	0.0991037	0.0814831	0.0635848	0.0350991	0.0382206	0.0182609	0.0109399	0.00572641	0.0056951	0.00174138	0.00200465	0.00304421	0.00271442	0.00167925	0.00381548	0.00565043	0.0097689	0.0109366	0.00847711	0.00333519	0.00968593	0.0109162	0.00532691	0.00469382	0.0120635	0.00846641	0.0110419	0.00975426	0.00933124	0.0135202	0.0134892	0.0161487
s'	0.0143648	0.011873	0.00948565	0.00621819	0.00991298	0.0110368	0.00991947	0.00802237	0.0114576	0.0050037	0.00398788	0.00332614	0.00619732	0.0133226	0.00684922	0.0199234	0.0083381	0.0194007	0.0136147	0.00973944	0.0179852	0.0149509	0.0215064	0.0409143	0.0506429	0.0334153	0.0346239	0.0363461	0.0628411	0.0547211	0.0388978	0.0350744	0.0286177	0.0311166	0.036343	0.058071	0.024193	0.0508141	0.0489745	0.0198198	0.0211629	0.00892457	0.00279403	0.00542639	0.00397212	0.00149079	0.00190168	0.00173415	0.001194	0.00115074	0.00111921	0.00119458	0.00220472	0.00157634	0.00229049
embrasser	0.0263983	0.0182045	0.0229008	0.0152018	0.019522	0.029367	0.0213326	0.0167706	0.0203788	0.0100791	0.00746728	0.00504077	0.00863389	0.00819598	0.00921468	0.0179886	0.0128557	0.0228417	0.0123647	0.0106748	0.0276637	0.0340412	0.0423114	0.0481804	0.0400574	0.0279825	0.0259225	0.0186305	0.0355304	0.0290125	0.0258056	0.0239573	0.0154394	0.0132527	0.0193425	0.017066	0.0165128	0.0167745	0.0243768	0.0224843	0.0295769	0.0175016	0.00722613	0.0115566	0.0106236	0.00802078	0.00980812	0.00750493	0.00554611	0.00653658	0.00847171	0.00675146	0.0115873	0.0094922	0.0100179
car	0.0289544	0.0255348	0.0249949	0.0183197	0.0229907	0.0222676	0.020989	0.0173586	0.0177486	0.00832654	0.0115817	0.00790399	0.00815971	0.00879436	0.00697424	0.0109073	0.01024	0.0193775	0.019961	0.0182998	0.023598	0.0275595	0.0358204	0.0415826	0.0462166	0.0359833	0.0230514	0.0161117	0.0192258	0.00992027	0.00775107	0.00977673	0.00513457	0.00767014	0.0115671	0.00698483	0.00667784	0.00630343	0.00854103	0.0135541	0.0149218	0.0142517	0.006915	0.0125097	0.0187727	0.0161023	0.0185837	0.0208676	0.0240651	0.0232866	0.0218348	0.0212808	0.0290288	0.031633	0.0332316
ils	0.0334556	0.0249358	0.0235474	0.0115234	0.019283	0.017565	0.0125691	0.00799422	0.00838544	0.0150417	0.01167	0.00948521	0.00802037	0.00958917	0.013943	0.0197266	0.0172679	0.0196145	0.0208969	0.0196754	0.0222679	0.0227263	0.0152636	0.0209233	0.0382934	0.0307767	0.017869	0.0148055	0.0125299	0.00671645	0.00346328	0.00400809	0.00263562	0.00381546	0.00522798	0.00269118	0.00231799	0.00269418	0.00478576	0.0107553	0.0128908	0.0151857	0.0126984	0.0200106	0.0246169	0.0189101	0.0254429	0.0258537	0.0295222	0.0349745	0.0398848	0.0408483	0.0429168	0.051458	0.0360293
