 	a23	a87	a23	a40	a26	a38	a54	a20	a73	a94	a75	a73	a37	a26	a20	a73	a94	a75	a73	a41	a21	a56	a76	a94	a70	a83	a9	a87	a23	a13	a20	a94	a76	a41	a24	a41	a90	a41	a56	a43	a32	a56	a94	a58	a82	a87	</S>
assieds-toi	0.0337896	0.0434512	0.0385193	0.0371302	0.0596041	0.0396215	0.0264668	0.0263417	0.0199048	0.0231582	0.052933	0.0315077	0.0360276	0.0231425	0.0414414	0.0396739	0.0240867	0.0231776	0.0209003	0.041268	0.0140939	0.0151959	0.0201227	0.0134562	0.00834874	0.0142953	0.00956217	0.00945731	0.0136464	0.00771844	0.00666313	0.00743759	0.00610241	0.00719703	0.0112966	0.0169295	0.0096005	0.010292	0.00831168	0.0130744	0.00957754	0.0180636	0.0121814	0.0108541	0.0103923	0.0123762	0.0216068
à	0.00669428	0.0280702	0.0207283	0.019733	0.0214209	0.0211595	0.0101223	0.0147774	0.01536	0.025629	0.033379	0.0276668	0.0188517	0.0314102	0.0338997	0.0368918	0.0375993	0.0233913	0.0187721	0.0140417	0.010506	0.0108483	0.0149245	0.0104027	0.017106	0.0354983	0.0175844	0.0559151	0.0417286	0.037394	0.0193996	0.0176391	0.0217231	0.0236328	0.0339374	0.0426518	0.0180791	0.0171465	0.00768494	0.00704445	0.00561571	0.00778686	0.00668263	0.0138084	0.0143519	0.0165681	0.0147409
ma	0.0265345	0.0172386	0.0185884	0.0144615	0.00894884	0.0263602	0.0448698	0.0161323	0.0075518	0.0231325	0.0166936	0.0310613	0.0210329	0.0264471	0.0367733	0.0253944	0.0286111	0.0164403	0.0190497	0.0148986	0.0178296	0.0194803	0.0265872	0.0309609	0.0349035	0.0456179	0.0565676	0.0564608	0.055876	0.0159935	0.0125927	0.0148595	0.0114139	0.01407	0.0121759	0.00982237	0.00772802	0.00858352	0.00582503	0.00831988	0.00838519	0.0134978	0.0107795	0.0197226	0.00938359	0.0177469	0.0145954
droite	0.0164542	0.00708762	0.00565762	0.00494694	0.00971367	0.0103798	0.0285112	0.0203568	0.0375675	0.0247961	0.0210904	0.0215226	0.048284	0.0301254	0.0441971	0.048582	0.0384367	0.0438677	0.07341	0.0581087	0.0403814	0.0258701	0.0169845	0.0223217	0.0153349	0.0169169	0.0149031	0.011727	0.00933933	0.0112272	0.0113448	0.0104232	0.00840875	0.00753315	0.0100457	0.00528156	0.00700726	0.006831	0.0102779	0.0106613	0.0130693	0.0208648	0.0369115	0.0192781	0.0116807	0.0203822	0.0118965
et	0.0180835	0.0149005	0.00976774	0.00951151	0.0211801	0.0228718	0.023882	0.0283258	0.0187311	0.0252421	0.0279223	0.0358728	0.0325946	0.0219968	0.0222927	0.0260204	0.0228566	0.0158271	0.0178737	0.0253692	0.0106652	0.0162774	0.00823151	0.00762771	0.00698439	0.0120747	0.00344601	0.00359941	0.00532085	0.00296803	0.0039845	0.00342204	0.00163608	0.00255785	0.00247882	0.00240448	0.00412781	0.00764657	0.0160106	0.0406571	0.044525	0.04258	0.0764183	0.049681	0.0426769	0.0496171	0.0912583
toi	0.0517089	0.0360041	0.0260016	0.0175711	0.0138708	0.00994405	0.00760865	0.00750986	0.00229301	0.00336089	0.00560469	0.0187411	0.0101719	0.00810621	0.0175651	0.00816581	0.00701958	0.00399345	0.00342256	0.00467499	0.00824518	0.00430799	0.0070826	0.0109355	0.0192868	0.03071	0.00967777	0.0179193	0.0178413	0.0155474	0.0145919	0.0117044	0.0123678	0.0174086	0.0124129	0.0155048	0.0253722	0.0365302	0.0434611	0.0672775	0.0572727	0.0514128	0.0591643	0.0519653	0.060035	0.0415888	0.0170378
à	0.058778	0.0338727	0.0452722	0.0352372	0.0235304	0.014122	0.0102024	0.0108895	0.00629185	0.00737923	0.0167066	0.0220913	0.0198369	0.0173631	0.0246221	0.0158576	0.0069898	0.00677919	0.00524571	0.00524851	0.00689858	0.0065537	0.0037646	0.00539246	0.00647055	0.0135596	0.00632984	0.0110241	0.0134664	0.0177619	0.0171832	0.0214387	0.0136007	0.0159342	0.0173319	0.0217957	0.0286627	0.0319035	0.0324493	0.0326152	0.031165	0.0350732	0.0389793	0.0352489	0.07381	0.0494456	0.0258249
ma	0.0348561	0.0277378	0.0249485	0.0157468	0.0101375	0.00655779	0.00756987	0.00643479	0.00397643	0.00578533	0.0158926	0.0263432	0.0181422	0.0280498	0.0546988	0.0361403	0.0201868	0.0183435	0.0177788	0.0179563	0.0115727	0.010895	0.0131174	0.0144527	0.0157766	0.0204804	0.0142097	0.0213438	0.0175433	0.0143192	0.0128525	0.0162761	0.0119463	0.0105107	0.0135316	0.0184453	0.0228429	0.0209259	0.0188166	0.0200605	0.0195948	0.0238601	0.0287086	0.0366592	0.0600998	0.0820426	0.0318329
gauche	0.0423019	0.0244599	0.0158544	0.0119291	0.0148576	0.0154107	0.013527	0.00785533	0.00540016	0.00612121	0.00901669	0.0129305	0.0103316	0.00749105	0.0108971	0.0176606	0.0103332	0.0108878	0.0165864	0.0124283	0.012691	0.00903811	0.00731414	0.0123414	0.014254	0.0153047	0.0153637	0.0142652	0.012689	0.0120733	0.0185553	0.0140504	0.0117991	0.0225708	0.0241806	0.0263669	0.0297807	0.0450126	0.0468761	0.0351958	0.0496876	0.0477421	0.0475498	0.057288	0.0346813	0.0618028	0.025245
</S>	0.0571388	0.0256632	0.0155345	0.0107665	0.0132411	0.00894333	0.00980823	0.00590089	0.00267455	0.00260278	0.0040386	0.0093094	0.00750596	0.00348344	0.00591426	0.00814324	0.00511004	0.00430893	0.00431246	0.00544758	0.00304167	0.00285552	0.00416027	0.00622306	0.00871508	0.0109866	0.00762345	0.00854147	0.00757993	0.00481934	0.00466193	0.00337601	0.00424282	0.006221	0.0062118	0.0102278	0.0179333	0.0522792	0.0532419	0.0659477	0.0571894	0.0584386	0.0630409	0.0954903	0.0682377	0.111024	0.0478412
